"Shopping Cart","سبد خرید"
"Display Billing Address On","نمایش آدرس صورتحساب"
"Maximum Number of Items to Display in Order Summary","حداکثر تعداد محصولات برای نمایش در خلاصه سفارش"
"Quote Lifetime (days)","طول عمر برآورد هزینه (برحسب روز)"
"After Adding a Product Redirect to Shopping Cart","پس از افزودن محصول به سبد خرید برو"
"Number of Items to Display Pager","تعداد موارد برای نمایش پيجر"
"My Cart Link","لینک سبد خرید من"
"Display Cart Summary","نمایش خلاصه‌ سبد"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","تعداد موارد برای نمایش اسکرول بار"
"Maximum Number of Items to Display","حداکثر تعداد محصولات برای نمایش"
"Payment Failed Emails","ایمیل‌ های پرداخت ناموفق"
"Payment Failed Email Sender","فرستنده‌ ایمیل پرداخت ناموفق"
"Payment Failed Email Receiver","دریافت کننده ایمیل پرداخت ناموفق"
"Payment Failed Template","قالب پرداخت ناموفق"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Send Payment Failed Email Copy To","کپی ایمیل پرداخت ناموفق را بفرست به"
"Separate by "","".","جدا کن با "",""."
"Send Payment Failed Email Copy Method","روش فرستادن کپی ایمیل پرداخت ناموفق"
"Summary","خلاصه"
"Order Total","مجموع سفارش"
"Shipping Address","آدرس ارسال"
"We'll send your order confirmation here.","تأییدیه سفارش شما به اینجا فرستاده خواهد شد."
"Payment","پرداخت"
"Not yet calculated","هنوز محاسبه نشده است"
"We received your order!","We received your order!"
"Thank you for your purchase!","از خرید شما سپاسگزاریم!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","بستن"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","آیتم‌های درون سبد"
"Items in Cart","اقلام در سبد خرید"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
