"Shopping Cart","Carrito de compras"
"Cart Subtotal","Subtotal del carrito de compras"
"Payment Information","Información de pago"
"No Payment method available.","Ningún método de pago está disponible."
"You can track your order status by creating an account.","Puede hacer un seguimiento de su orden mediante la creación de una cuenta."
"Place Order","Realizar pedido"
"Forgot an Item?","¿Ha olvidado un elemento?"
"Edit Your Cart","Editar carrito"
"Ship Here","Entregar aquí"
"Ship To:","Enviar a:"
"edit","editar"
"Order Summary","Resumen"
"View and Edit Cart","Ver y editar carrito"
"View Details","Ver Detalles"
"Field ","Campo "
" is required."," es requerido."
"Provided Zip/Postal Code seems to be invalid.","El Código Postal parece no ser válido."
" Example: "," Ejemplo: "
"If you believe it is the right one you can ignore this notice.","Si usted cree que es el correcto, puede ignorar este aviso."
"New Address","Nueva dirección"
"Are you sure you would like to remove this item from the shopping cart?","¿Estás seguro que querés quitar este artículo del carrito de compras?"
"Review & Payments","Revisión y pago"
"Select a new payment method","Seleccione un nuevo método de pago"
"Shipping","Envío"
"Save Address","Guardar dirección"
"Please specify a shipping method.","Por favor, especifique un modo de envío."
"Checkout Options","Opciones de pago"
"Enable Onepage Checkout","Habilitar proceso de pago en una sola página"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Display Billing Address On","Mostrar la Dirección de Facturación en"
"Maximum Number of Items to Display in Order Summary","Número máximo de elementos a mostrar en Resumen de la Orden"
"Quote Lifetime (days)","Cotización de por vida (días)"
"After Adding a Product Redirect to Shopping Cart","Después de añadir un artículo redirigir al carrito de compras"
"Number of Items to Display Pager","Número de elementos a mostrar en el paginador"
"My Cart Link","Mi enlace de carrito"
"Display Cart Summary","Mostrar resumen del carrito"
"Shopping Cart Sidebar","Barra lateral del carrito de compras"
"Display Shopping Cart Sidebar","Mostrar la barra lateral del carrito de compras"
"Number of Items to Display Scrollbar","Número de elementos para mostrar la barra de desplazamiento"
"Maximum Number of Items to Display","Número máximo de elementos a mostrar"
"Payment Failed Emails","Pago sin éxito - Correos electrónicos"
"Payment Failed Email Sender","Pago sin éxito - correo electrónico del remitente"
"Payment Failed Email Receiver","Pago sin éxito - correo electrónico del destinatario"
"Payment Failed Template","Pago error plantilla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Send Payment Failed Email Copy To","Enviar errores de pago con copia a"
"Separate by "","".","Separados por "",""."
"Send Payment Failed Email Copy Method","Enviar errores de pago en papel (método)"
"Summary","Resumen"
"Order Total","Total del pedido"
"Shipping Address","Dirección de envío"
"We'll send your order confirmation here.","Aquí te enviaremos la confirmación de tu pedido."
"Payment","Pago"
"Not yet calculated","Aún no se ha calculado"
"We received your order!","¡Hemos recibido su pedido!"
"Thank you for your purchase!","¡Gracias por su compra!"
"Minimum order amount is %1","La cantidad de pedido mínima es de %1"
"Unable to save address. Please, check input data.","No se puede guardar la dirección. Por favor, comprueba los datos introducidos."
"Unable to save shipping information. Please, check input data.","No se puede guardar la información de envío. Por favor, comprueba los datos introducidos."
"Cart contains virtual product(s) only. Shipping address is not applicable.","El carrito contiene únicamente artículos(s) virtuales. La dirección de envío no es aplicable."
"Wrong minimum amount.","Cantidad mínima incorrecta."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir recibo</a>"
"Forgot Password","He olvidado la contraseña"
"Close","Cerrar"
"item","artículo"
"items","artículos"
"Go to Checkout","Ir a pagar"
"Recently added item(s)","Artículos recientemente añadidos"
"View and edit cart","Ver y editar carrito de compras"
"No Payment Methods","No hay métodos de pago"
"Shipping Methods","Métodos de envío"
"Select Method","Seleccione el método"
"Method Title","Título del método"
"Carrier Title","Título del transportista"
"Next","Siguiente"
"Sorry, no quotes are available for this order at this time","Lo sentimos, no hay cotizaciones disponibles para esta orden en este momento"
"Item in Cart","Artículo en el carrito"
"Items in Cart","Artículos en el carrito"
"Require Customer To Be Logged In To Checkout","Requieren al cliente conectarse a la comprobación"
"Maximum Display Recently Added Item(s)","Mostrar la mayor cantidad de artículos añadidos recientemente"
"of","de"
"Something went wrong while saving the page. Please refresh the page and try again.","Algo salió mal al guardar la página. Actualiza la página y vuelve a intentarlo."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Ha agregado %1 al <a href=""%2"">carrito de compras</a>."
"Please select at least one product to add to cart","Por favor, seleccione al menos un producto para añadir al carrito"
"The quote item isn't found. Verify the item and try again.","La oración no es encontrada. Verificar e intentar de nuevo."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","El pedido no fue realizado. Primero, acepte los términos y condiciones, luego intente realizar su pedido nuevamente."
"The product wasn't found. Verify the product and try again.","El producto no fue encontrado. Verifique el producto y vuelva a intentarlo."
"A server error stopped your order from being placed. Please try to place your order again.","Un error del servidor detuvo su pedido de ser completado. Por favor, intente hacer su pedido de nuevo."
"The shipping address is missing. Set the address and try again.","Falta la dirección de envío. Establece la dirección y vuelve a intentarlo."
"The shipping information was unable to be saved. Verify the input data and try again.","No se pudo guardar la información de envío. Verifica y vuelva a intentarlo."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","El método de envío no se puede configurar para un carrito vacío. Agrega un artículo al carrito y vuelve a intentarlo."
"Billing Address","Dirección de facturación"
"Something went wrong with your request. Please try again later.","Algo fue mal con su solicitud. Por favor, intentalo de nuevo."
"The shipping method is missing. Select the shipping method and try again.","Falta el método de envío. Seleccione el método de envío y vuelva a intentarlo."
"Show Cross-sell Items in the Shopping Cart","Mostrar los artículos de venta cruzada en la carrito de la compra"
"Unable to place order. Please try again later.","No se puede completar el pedido. Por favor Intentalo más tarde."
"Please specify a regionId in shipping address.","Por favor especifique un regionId en la dirección de envío."
