"Shopping Cart","Warenkorb"
"An error occurred on the server. Please try to place the order again.","Ein Serverfehler ist aufgetreten. Bitte geben Sie die Bestellung erneut auf."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Ein Versand mit der Methode %1,%2 konnte nicht gefunden werden"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," Artikel"
" items"," Artikel"
"Totals calculation is not applicable to empty cart","Summenberechnung gilt nicht für leeren Warenkorb"
"Invalid data","Ungültige Daten"
"The customer address is not valid.","Die Kundenadresse ist ungültig."
"Invalid shipping method","Ungültige Versandart"
"There are more than one shipping addresses.","Es sind mehrere Lieferadressen vorhanden."
"Sorry, guest checkout is not available.","Abmelden für Gäste ist nicht verfügbar."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sie müssen Ihr Konto bestätigen. Bitte überprüfen Sie Ihre E-Mail-Adresse für den Bestätigungslink oder <a href=""%1"">Klicken Sie hier</a> für einen neuen Link."
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Error message!","Error message!"
"Error!","Fehler!"
"DB exception","Fehler in der Datenbank"
"Message","Nachricht"
"Print receipt","Beleg drucken"
"Apply Discount Code","Gutscheincode anwenden"
"Enter discount code","Gutscheincode eingeben"
"Apply Discount","Rabatt anwenden"
"Cancel Coupon","Gutschein stornieren"
"Shopping Cart Items","Artikel im Warenkorb"
"Item","Artikel"
"Price","Preis"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Continue Shopping","Einkauf fortsetzen"
"Clear Shopping Cart","Warenkorb leeren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Cart","Warenkorb aktualisieren"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"What's this?","Was ist das?"
"Edit item parameters","Artikelparameter bearbeiten"
"Edit","Bearbeiten"
"Remove item","Artikel entfernen"
"You have no items in your shopping cart.","Sie haben keine Artikel in Ihrem Warenkorb."
"Click <a href=""%1"">here</a> to continue shopping.","Klicken Sie <a href=""%1"">hier</a> um weiter einzukaufen."
"Estimate Tax","Geschätzte Steuer"
"Estimate Shipping and Tax","Geschätzter Versand und Steuern"
"Excl. Tax","Exkl. Steuern"
"Loading...","Wird geladen …"
"Order #","Bestellung #"
"Proceed to Checkout","Zur Kasse"
"Product Name","Artikelname"
"Incl. Tax","Inkl. MwSt."
"Your order number is: %1.","Ihre Bestellnummer lautet: %1."
"Your order # is: <span>%1</span>.","Ihre Bestellung # ist: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Wir schicken Ihnen eine Bestellbestätigung mit Details und Tracking-Info."
"Payment Transaction Failed Reminder","Erinnerung für fehlgeschlagenen Zahlungsvorgang"
"Payment Transaction Failed","Zahlungsvorgang fehlgeschlagen"
"Reason","Grund"
"Checkout Type","Checkout-Typ"
"Customer:","Kunde:"
"Items","Artikel"
"Total:","Gesamtsumme:"
"Billing Address:","Rechnungsadresse:"
"Shipping Address:","Lieferadresse:"
"Shipping Method:","Versandart:"
"Payment Method:","Zahlungsart:"
"Date & Time:","Datum & Zeit:"
"Sign In","Anmelden"
"Email Address","E-Mailadresse"
"Password","Passwort"
"Forgot Your Password?","Passwort vergessen?"
"My billing and shipping address are the same","Meine Rechnungs- und Lieferanschrift sind identisch"
"Update","Aktualisieren"
"Cancel","Stornieren"
"Save in address book","Im Adressbuch speichern"
"Estimated Total","Geschätzte Gesamtkosten"
"You can create an account after checkout.","Nach dem Kauf können Sie ein Benutzerkonto erstellen."
"You already have an account with us. Sign in or continue as guest.","Sie haben bereits ein Konto bei uns. Melden Sie sich an oder kaufen Sie als Gast bei uns ein."
"Login","Anmelden"
"See Details","Details anzeigen"
"Options Details","Optionen-Details"
"Remove","Entfernen"
"Cart Subtotal","Warenkorb Zwischensumme"
"Payment Information","Zahlungsinformation"
"No Payment method available.","Keine Zahlungsart verfügbar."
"You can track your order status by creating an account.","Durch Ihre Anmeldung können Sie Ihren Bestellstatus verfolgen."
"Place Order","Jetzt kaufen"
"Forgot an Item?","Artikel vergessen?"
"Edit Your Cart","Warenkorb bearbeiten"
"Ship Here","Hierhin verschicken"
"Ship To:","Verschicken an:"
"edit","bearbeiten"
"Order Summary","Bestellübersicht"
"View and Edit Cart","Warenkorb anzeigen und bearbeiten"
"View Details","Details anzeigen"
"Field ","Feld "
" is required."," ist erforderlich."
"Provided Zip/Postal Code seems to be invalid.","Die angegebene Postleitzahl ist ungültig."
" Example: "," Beispiel: "
"If you believe it is the right one you can ignore this notice.","Wenn Sie glauben, dass dies richtig ist, können Sie den Hinweis ignorieren."
"New Address","Neue Adresse"
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Review & Payments","Prüfung & Zahlung"
"Select a new payment method","Neue Zahlungsart auswählen"
"Shipping","Versand"
"Save Address","Adresse speichern"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Checkout-Optionen"
"Enable Onepage Checkout","Onepage Bezahlung aktivieren"
"Allow Guest Checkout","Gastbestellung aktivieren"
"Display Billing Address On","Rechnungsadresse anzeigen auf"
"Maximum Number of Items to Display in Order Summary","Maximale Anzahl von Elementen zum Anzeigen in der Bestellzusammenfassung"
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Number of Items to Display Pager","Anzahl der Elemente zum Anzeigen der Pager"
"My Cart Link","Link zu meinem Warenkorb"
"Display Cart Summary","Warenkorbzusammenfassung anzeigen"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Anzahl der Elemente zum Anzeigen der Scroll-Leiste"
"Maximum Number of Items to Display","Maximale Anzahl der angezeigten Elemente"
"Payment Failed Emails","E-Mails über fehlgeschlagene Zahlung"
"Payment Failed Email Sender","Absender der E-Mails über fehlgeschlagene Zahlung"
"Payment Failed Email Receiver","Empfänger der E-Mails über fehlgeschlagene Zahlung"
"Payment Failed Template","E-Mail-Vorlage über fehlgeschlagene Zahlung"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Send Payment Failed Email Copy To","Kopie der E-Mails über fehlgeschlagene Zahlung senden an"
"Separate by "","".","Trennen durch "",""."
"Send Payment Failed Email Copy Method","Versandart der Kopie der E-Mails über fehlgeschlagene Zahlung"
"Summary","Zusammenfassung"
"Order Total","Bestellsumme"
"Shipping Address","Lieferadresse"
"We'll send your order confirmation here.","Hierhin werden wir Ihnen Ihre Bestellbestätigung schicken."
"Payment","Zahlung"
"Not yet calculated","Noch nicht berechnet"
"We received your order!","We received your order!"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Schließen"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Für diese Bestellung sind derzeit leider keine Angebote verfügbar"
"Item in Cart","Artikel im Warenkorb"
"Items in Cart","Artikel im Warenkorb"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Beim Speichern der Seite ist etwas schief gelaufen. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"You added %1 to your <a href=""%2"">shopping cart</a>."," Sie haben %1 zum <a href=""%2"">Warenkorb</a> hinzugefügt."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","Die Versandart ist nicht vorhanden. Bitte wählen Sie eine Versandart und versuchen Sie es erneut."
"Show Cross-sell Items in the Shopping Cart","Cross-Selling-Artikel im Warenkorb anzeigen"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
