"Shopping Cart","શોપિંગ કાર્ટ"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 \ Magento \ Checkout \ ગ્રાહક ડેટા \ આઇટમ ઇંટરફેસને વિસ્તૃત કરતું નથી"
"Payment Method","ચુકવણી ની રીત"
"Payment Page","ચુકવણી પૃષ્ઠ"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","અમને ક્વોટમાં ઉત્પાદન ઉમેરવા માટે અમાન્ય વિનંતી મળી."
"The product does not exist.","ઉત્પાદન અસ્તિત્વમાં નથી."
"We don't have some of the products you want.","તમારી પાસે જે ઉત્પાદનો છે તે અમારી પાસે નથી."
"We don't have as many of some products as you want.","તમને જોઈએ તેટલા કેટલાક ઉત્પાદનો અમારી પાસે નથી."
"Quantity was recalculated from %1 to %2","જથ્થો%1 થી%2 માં પુન: ગણતરી કરવામાં આવ્યો હતો"
"We adjusted product quantities to fit the required increments.","આવશ્યક ઇન્ક્રીમેન્ટ્સને બંધબેસતા અમે ઉત્પાદન જથ્થાને સમાયોજિત કર્યું."
"This quote item does not exist.","આ ક્વોટ આઇટમ અસ્તિત્વમાં નથી."
"Display number of items in cart","કાર્ટમાં વસ્તુઓની સંખ્યા પ્રદર્શિત કરો"
"Display item quantities","વસ્તુ જથ્થો પ્રદર્શિત કરો"
"An error occurred on the server. Please try to place the order again.","સર્વર પર એક ભૂલ આવી. કૃપા કરીને ફરીથી ઑર્ડર મૂકવાનો પ્રયાસ કરો."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","આવી પદ્ધતિ સાથે કૅરિઅર મળ્યું નથી:%1,%2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," વસ્તુ"
" items"," વસ્તુઓ"
"Totals calculation is not applicable to empty cart","ટૉટલ્સની ગણતરી ખાલી કાર્ટ પર લાગુ નથી"
"Invalid data","અમાન્ય ડેટા"
"The customer address is not valid.","ગ્રાહક સરનામું માન્ય નથી."
"Invalid shipping method","અમાન્ય શિપિંગ પદ્ધતિ"
"There are more than one shipping addresses.","ત્યાં એકથી વધુ શિપિંગ સરનામાં છે."
"Sorry, guest checkout is not available.","માફ કરશો, મહેમાન ચેકઆઉટ ઉપલબ્ધ નથી."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","તમારે તમારા એકાઉન્ટની પુષ્ટિ કરવી આવશ્યક છે. કૃપા કરીને નવી લિંક માટે પુષ્ટિ લિંક અથવા <a href=""%1""> અહીં ક્લિક કરો </a> માટે તમારું ઇમેઇલ તપાસો."
"Load customer quote error","ગ્રાહક ક્વોટ ભૂલ લોડ કરો"
"Error message!","Error message!"
"Error!","ભૂલ!"
"DB exception","ડીબી અપવાદ"
"Message","સંદેશ"
"Print receipt","છાપવા માટેની રસીદ"
"Apply Discount Code","ડિસ્કાઉન્ટ કોડ લાગુ કરો"
"Enter discount code","ડિસ્કાઉન્ટ કોડ દાખલ કરો"
"Apply Discount","ડિસ્કાઉન્ટ લાગુ કરો"
"Cancel Coupon","કૂપન રદ કરો"
"Shopping Cart Items","શોપિંગ કાર્ટ વસ્તુઓ"
"Item","આઇટમ"
"Price","કિંમત"
"Qty","Qty"
"Subtotal","પેટાસરવાળો"
"Continue Shopping","ખરીદારી ચાલુ રાખો"
"Clear Shopping Cart","સાફ શોપિંગ કાર્ટ"
"Update Shopping Cart","શોપિંગ કાર્ટ અપડેટ કરો"
"Update Cart","સુધારા કાર્ટ"
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"What's this?","આ શું છે?"
"Edit item parameters","આઇટમ પરિમાણો ફેરફાર કરો"
"Edit","ફેરફાર કરો"
"Remove item","આઇટમ દૂર કરો"
"You have no items in your shopping cart.","તમારી શોપિંગ કાર્ટમાં તમારી પાસે કોઈ આઇટમ્સ નથી."
"Click <a href=""%1"">here</a> to continue shopping.","ખરીદી ચાલુ રાખવા માટે <a href=""%1""> અહીં </a> ક્લિક કરો."
"Estimate Tax","અંદાજ કર"
"Estimate Shipping and Tax","શિપિંગ અને કર અંદાજ"
"Excl. Tax","Excl. કર"
"Loading...","લોડ કરી રહ્યું છે ..."
"Order #","ઑર્ડર #"
"Proceed to Checkout","ચેકઆઉટ આગળ વધો"
"Product Name","ઉત્પાદન નામ"
"Incl. Tax","શામેલ કર"
"Your order number is: %1.","તમારો ઑર્ડર નંબર છે:%1."
"Your order # is: <span>%1</span>.","તમારો ઑર્ડર # છે: <span>%1 </ span>."
"We'll email you an order confirmation with details and tracking info.","વિગતો અને ટ્રેકિંગ માહિતી સાથે અમે તમને ઓર્ડર પુષ્ટિ ઇમેઇલ કરીશું."
"Payment Transaction Failed Reminder","ચુકવણી ટ્રાંઝેક્શન નિષ્ફળ રિમાઇન્ડર"
"Payment Transaction Failed","ચુકવણી વ્યવહારો નિષ્ફળ"
"Reason","કારણ"
"Checkout Type","ચેકઆઉટ પ્રકાર"
"Customer:","ગ્રાહક:"
"Items","વસ્તુઓ"
"Total:","કુલ:"
"Billing Address:","બિલિંગ સરનામું:"
"Shipping Address:","પહોંચાડવાનું સરનામું:"
"Shipping Method:","શીપીંગ પદ્ધતિ:"
"Payment Method:","ચુકવણી ની રીત:"
"Date & Time:","તારીખ સમય:"
"Sign In","સાઇન ઇન કરો"
"Email Address","ઈ - મેઈલ સરનામું"
"Password","પાસવર્ડ"
"Forgot Your Password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"My billing and shipping address are the same","મારી બિલિંગ અને શિપિંગ સરનામું સમાન છે"
"Update","સુધારો"
"Cancel","રદ કરો"
"Save in address book","એડ્રેસ બુકમાં સેવ કરો"
"Estimated Total","અંદાજિત કુલ"
"You can create an account after checkout.","ચેકઆઉટ પછી તમે એક એકાઉન્ટ બનાવી શકો છો."
"You already have an account with us. Sign in or continue as guest.","તમારી પાસે પહેલેથી જ એક એકાઉન્ટ છે. સાઇન ઇન કરો અથવા અતિથિ તરીકે ચાલુ રાખો."
"Login","પ્રવેશ કરો"
"See Details","વિગતો જુઓ"
"Options Details","વિકલ્પો વિગતો"
"Remove","દૂર કરો"
"Cart Subtotal","કાર્ટ પેટાસરવાળો"
"Payment Information","ચુકવણી માહિતી"
"No Payment method available.","કોઈ ચુકવણી પદ્ધતિ ઉપલબ્ધ નથી."
"You can track your order status by creating an account.","તમે એકાઉન્ટ બનાવીને તમારા ઑર્ડરની સ્થિતિને ટ્રૅક કરી શકો છો."
"Place Order","ઓર્ડર કરો"
"Forgot an Item?","કોઈ આઇટમ ભૂલી ગયા છો?"
"Edit Your Cart","તમારી કાર્ટ સંપાદિત કરો"
"Ship Here","અહીં શિપ"
"Ship To:","મોકલી આપ્યું:"
"edit","સંપાદિત કરો"
"Order Summary","ઑર્ડર સારાંશ"
"View and Edit Cart","કાર્ટ જુઓ અને સંપાદિત કરો"
"View Details","વિગતો જુઓ"
"Field ","ક્ષેત્ર "
" is required."," જરૂરી છે."
"Provided Zip/Postal Code seems to be invalid.","પ્રદાન કરેલ ઝિપ / પોસ્ટલ કોડ અમાન્ય લાગે છે."
" Example: "," ઉદાહરણ: "
"If you believe it is the right one you can ignore this notice.","જો તમે માનતા હો કે તે સાચો છે તો તમે આ સૂચનાને અવગણી શકો છો."
"New Address","નવું સરનામું"
"Are you sure you would like to remove this item from the shopping cart?","શું તમે ખરેખર આ આઇટમને શોપિંગ કાર્ટમાંથી દૂર કરવા માંગો છો?"
"Review & Payments","સમીક્ષા અને ચુકવણીઓ"
"Select a new payment method","નવી ચુકવણી પદ્ધતિ પસંદ કરો"
"Shipping","વહાણ પરિવહન"
"Save Address","સરનામું સાચવો"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","ચેકઆઉટ વિકલ્પો"
"Enable Onepage Checkout","ઑનપેજ ચેકઆઉટ સક્ષમ કરો"
"Allow Guest Checkout","અતિથિ ચેકઆઉટને મંજૂરી આપો"
"Display Billing Address On","બિલિંગ સરનામું પ્રદર્શિત કરો"
"Maximum Number of Items to Display in Order Summary","ઑર્ડર સારાંશમાં પ્રદર્શિત કરવા માટેની મહત્તમ સંખ્યા"
"Quote Lifetime (days)","ભાવ લાઇફટાઇમ (દિવસો)"
"After Adding a Product Redirect to Shopping Cart","શોપિંગ કાર્ટ પર એક ઉત્પાદન પુનઃદિશામાન ઉમેરવા પછી"
"Number of Items to Display Pager","પેજર દર્શાવવા માટે વસ્તુઓની સંખ્યા"
"My Cart Link","મારી કાર્ટ લિંક"
"Display Cart Summary","ડિસ્પ્લે કાર્ટ સારાંશ"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","સ્ક્રોલબાર પ્રદર્શિત કરવા માટે વસ્તુઓની સંખ્યા"
"Maximum Number of Items to Display","પ્રદર્શિત કરવા માટે મહત્તમ સંખ્યા"
"Payment Failed Emails","ચૂકવણી નિષ્ફળ ઇમેઇલ"
"Payment Failed Email Sender","ચુકવણી નિષ્ફળ ઇમેઇલ પ્રેષક"
"Payment Failed Email Receiver","ચૂકવણી નિષ્ફળ ઇમેઇલ રીસીવર"
"Payment Failed Template","ચુકવણી નિષ્ફળ નમૂનો"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"Send Payment Failed Email Copy To","ચુકવણી મોકલો નિષ્ફળ ઇમેઇલ નકલ કરો"
"Separate by "","".",""","" દ્વારા અલગ."
"Send Payment Failed Email Copy Method","ચુકવણી નિષ્ફળ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Summary","સારાંશ"
"Order Total","ઓર્ડર કુલ"
"Shipping Address","પહોંચાડવાનું સરનામું"
"We'll send your order confirmation here.","અમે અહીં તમારી ઓર્ડર પુષ્ટિ મોકલીશું."
"Payment","ચુકવણી"
"Not yet calculated","હજી ગણતરી નથી"
"We received your order!","We received your order!"
"Thank you for your purchase!","ખરીદવા માટે આભાર!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","બંધ"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","કાર્ટ માં વસ્તુ"
"Items in Cart","કાર્ટ માં વસ્તુઓ"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","પૃષ્ઠ સાચવતી વખતે કંઈક ખોટું થયું. કૃપા કરીને પૃષ્ઠને તાજું કરો અને ફરી પ્રયાસ કરો."
"You added %1 to your <a href=""%2"">shopping cart</a>.","તમે તમારી <a href=""%2""> શોપિંગ કાર્ટ </a> પર%1 ઉમેર્યાં છે."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","શિપિંગ પદ્ધતિ ખૂટે છે. શિપિંગ પદ્ધતિ પસંદ કરો અને ફરી પ્રયાસ કરો."
"Show Cross-sell Items in the Shopping Cart","શોપિંગ કાર્ટમાં ક્રોસ-વેલ આઈટમ્સ બતાવો"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
