"Shopping Cart","Panier"
"Cart Subtotal","Sous-total du panier"
"Payment Information","Informations de paiement"
"No Payment method available.","Aucun mode de paiement disponible."
"You can track your order status by creating an account.","Vous pouvez suivre l’état de votre commande en créant un compte."
"Place Order","Valider la Commande"
"Forgot an Item?","Vous avez oublié un article ?"
"Edit Your Cart","Modifiez votre panier"
"Ship Here","Livrer ici"
"Ship To:","Livré à :"
"edit","éditer"
"Order Summary","Récapitulatif de la commande"
"View and Edit Cart","Afficher et modifier le panier"
"View Details","Voir les détails"
"Field ","Champ "
" is required."," est requis."
"Provided Zip/Postal Code seems to be invalid.","Il semble que le code postal fourni soit non valide."
" Example: "," Exemple : "
"If you believe it is the right one you can ignore this notice.","Si vous pensez que c'est correct vous pouvez ignorer cette remarque."
"New Address","Nouvelle adresse"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr(e) de vouloir enlever cet article de votre panier ?"
"Review & Payments","Vérification et paiement"
"Select a new payment method","Sélectionner un nouveau mode de paiement"
"Shipping","Livraison"
"Save Address","Sauvegarder l'adresse"
"Please specify a shipping method.","Veuillez choisir le mode de transport."
"Checkout Options","Options de règlement"
"Enable Onepage Checkout","Activer le passage de commande en une seule page"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Display Billing Address On","Afficher l’adresse de facturation sur"
"Maximum Number of Items to Display in Order Summary","Nombre Maximum d'Éléments à Afficher dans le Récapitulatif de Commande"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit"
"Number of Items to Display Pager","Nombre d'Éléments à Afficher Pager"
"My Cart Link","Lien vers mon panier"
"Display Cart Summary","Afficher le résumé du panier"
"Shopping Cart Sidebar","Barre latérale du panier"
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier"
"Number of Items to Display Scrollbar","Nombre d'Éléments à Afficher la barre de Défilement"
"Maximum Number of Items to Display","Nombre Maximum d'Éléments à Afficher"
"Payment Failed Emails","Emails d'erreur de paiement"
"Payment Failed Email Sender","Expéditeur du mail d'erreur de paiement"
"Payment Failed Email Receiver","Échec Du Paiement Électronique Récepteur"
"Payment Failed Template","Gabarit d'erreur de paiement"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le gabarit d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Send Payment Failed Email Copy To","Envoyer une copie du mail d'erreur de paiement à"
"Separate by "","".","Séparer par "",""."
"Send Payment Failed Email Copy Method","Envoyer une copie du mail d'erreur de paiement en utilisant la méthode"
"Summary","Résumé"
"Order Total","Total de la commande"
"Shipping Address","Adresse de livraison"
"We'll send your order confirmation here.","Nous vous enverrons votre confirmation de commande ici."
"Payment","Paiement"
"Not yet calculated","N’est pas encore calculé"
"We received your order!","Nous avons reçu votre commande !"
"Thank you for your purchase!","Merci pour votre commande !"
"Minimum order amount is %1","Le montant minimal de commande est %1"
"Unable to save address. Please, check input data.","Impossible d’enregistrer l’adresse. Veuillez vérifier les données fournies."
"Unable to save shipping information. Please, check input data.","Impossible d’enregistrer les informations de livraison. Veuillez vérifier les données fournies."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Le panier contient uniquement un (des) produit(s) virtuel(s). L'adresse d’expédition n’est pas applicable."
"Wrong minimum amount.","Montant minimal erroné."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print""> Imprimer le reçu</a>"
"Forgot Password","Mot de passe oublié"
"Close","Fermer"
"item","article"
"items","articles"
"Go to Checkout","Passer à la caisse"
"Recently added item(s)","Derniers articles ajoutés"
"View and edit cart","Afficher et modifier le panier"
"No Payment Methods","Aucun mode de paiement"
"Shipping Methods","Modes de livraison"
"Select Method","Sélectionner le mode"
"Method Title","Nom du mode"
"Carrier Title","Nom du transporteur"
"Next","Suivant"
"Sorry, no quotes are available for this order at this time","Désolé, aucun mode de livraison n'est disponible pour votre adresse"
"Item in Cart","Articles dans le panier"
"Items in Cart","Articles dans le panier"
"Require Customer To Be Logged In To Checkout","Imposer au client d'être connecté pour passer une commande"
"Maximum Display Recently Added Item(s)","Nombre maxi d'articles récemment ajoutés à afficher"
"of","sur"
"Something went wrong while saving the page. Please refresh the page and try again.","Quelque chose n’allait pas lors de l'enregistrement de la page. S’il vous plaît, actualisez la page et essayez à nouveau."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Vous avez ajouté %1 à votre <a href=""%2"">panier</a>."
"Please select at least one product to add to cart","Veuillez sélectionner au moins un produit à ajouter au panier"
"The quote item isn't found. Verify the item and try again.","L'article n'a pas été trouvé. Vérifiez-le et réessayez."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas pu être passée. Veuillez d'abord accepter les conditions générales, puis réessayez de passer votre commande."
"The product wasn't found. Verify the product and try again.","Le produit n'a pas été trouvé. Vérifiez-le et réessayez."
"A server error stopped your order from being placed. Please try to place your order again.","Une erreur informatique a empêché votre commande d'être finalisée. Merci de bien vouloir recommencer."
"The shipping address is missing. Set the address and try again.","L'adresse de livraison n'a pas été renseignée. Entrez l'adresse et réessayez."
"The shipping information was unable to be saved. Verify the input data and try again.","Les informations de livraison n'ont pas pu être sauvegardées. Vérifiez les données entrées, puis réessayez."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","Le mode de livraison ne peut pas être défini pour un panier vide. Ajoutez un article et réessayez."
"Billing Address","Adresse de facturation"
"Something went wrong with your request. Please try again later.","Une erreur est survenue de notre côté. Veuillez réessayer plus tard."
"The shipping method is missing. Select the shipping method and try again.","Le mode de livraison n'a pas été sélectionné. Choisissez un mode de livraison et réessayez."
"Show Cross-sell Items in the Shopping Cart","Afficher les articles de vente croisée sur la page du panier"
"Unable to place order. Please try again later.","Impossible de passer commande. Veuillez réessayer ultérieurement."
"Please specify a regionId in shipping address.","Veuillez spécifier la valeur de regionId dans l'adresse de livraison."
