"Shopping Cart","Nákupný košík"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","You can track your order status by creating an account."
"Place Order","Objednať"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Ship Here","Ship Here"
"Ship To:","Ship To:"
"edit","edit"
"Order Summary","Prehľad Objednávky"
"View and Edit Cart","Zobraziť košík"
"View Details","Zobraziť podrobnosti"
"Field ","Field "
" is required."," is required."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"New Address","New Address"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Prehľad & Platby"
"Select a new payment method","Select a new payment method"
"Shipping","Doprava"
"Save Address","Uložiť adresu"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximálny počet položiek na zobrazenie v Zhrnutie objednávky"
"Quote Lifetime (days)","Životnosť košíku (dní)"
"After Adding a Product Redirect to Shopping Cart","Po pridaní produktu presmerovať do nákupného košíka"
"Number of Items to Display Pager","Počet položiek pre zobrazenie stránkovania"
"My Cart Link","Odkaz na Môj košík"
"Display Cart Summary","Zobraziť zhrnutie košíka"
"Shopping Cart Sidebar","Postranný panel nákupného košíka"
"Display Shopping Cart Sidebar","Zobraziť Postranný panel nákupného košíka"
"Number of Items to Display Scrollbar","Počet položiek pre zobrazenie posuvníku"
"Maximum Number of Items to Display","Maximálny počet položiek na zobrazenie"
"Payment Failed Emails","Emaily pre neprevedenú platbu"
"Payment Failed Email Sender","Odosielateľ Emailu pre neprevedenú platbu"
"Payment Failed Email Receiver","Príjemca Emailu pre neprevedenú platbu"
"Payment Failed Template","Šablóna pre neprevedenú platbu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablóna pre e-mail zvolená spätnou kompatibilitou motívu keď ""Predvolená"" možnosť je nastavená."
"Send Payment Failed Email Copy To","Odoslať kopiu Emailu pre neprevedenú platbu na"
"Separate by "","".","Oddelte čiarkou "",""."
"Send Payment Failed Email Copy Method","Odoslať kopiu Emailu pre neprevedenú platbu metódou"
"Summary","Zhrnutie"
"Order Total","Celkom"
"Shipping Address","Dodacia adresa"
"We'll send your order confirmation here.","Sem Vám pošleme potvrdenie objednávky."
"Payment","Platba"
"Not yet calculated","Zatiaľ nevypočítané"
"We received your order!","Dostali sme vašu objednávku!"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Nepodarilo sa uložiť adresu. Skontrolujte vstupné údaje."
"Unable to save shipping information. Please, check input data.","Nie je možné uložiť adresu doručenia. Prosím, skontrolujte vstupné údaje."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Tlač potvrdenia</a>"
"Forgot Password","Forgot Password"
"Close","Zavrieť"
"item","položka"
"items","položky"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","Zobraziť košík"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Nasledujúca"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Položka v košíku"
"Items in Cart","Položiek v košíku"
"Require Customer To Be Logged In To Checkout","Pre dokončenie nákup je zapotreby sa prihlásiť"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Adresa pre fakturáciu"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Nie je zadať objednávku. Skúste znova neskôr."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
