"Shopping Cart","Ostukorv"
"Quantity was recalculated from %1 to %2","Kogus arvutati ümber koguselt %1 kogusele %2"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Näita toodete kogust ostukorvis"
"Display item quantities","Näita kaubakoguseid"
"An error occurred on the server. Please try to place the order again.","Serveril ilmes probleem. Palun proovige tellimus uuesti esitada."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," toode"
" items"," toodet"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Valed andmed"
"The customer address is not valid.","Kliendi aadress ei ole õige."
"Invalid shipping method","Vale tarneviis"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Vabandame, tellimuse vormistamine külalisele pole saadaval."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Te peate kinnitama oma konto. Palun kontrollige oma e-posti või <a href=""%1"">vajutage siia</a>."
"Load customer quote error","Load customer quote error"
"Error message!","Error message!"
"Error!","Viga!"
"DB exception","Andmebaasi erand"
"Message","Sõnum"
"Print receipt","Print receipt"
"Apply Discount Code","Rakenda sooduskood"
"Enter discount code","Sisesta sooduskood"
"Apply Discount","Rakenda soodus"
"Cancel Coupon","Eemalda kupong"
"Shopping Cart Items","Ostukorvi artiklid"
"Item","Toode/Artikkel"
"Price","Hind"
"Qty","Kogus"
"Subtotal","Vahesumma"
"Continue Shopping","Jätka ostlemist"
"Clear Shopping Cart","Tühjenda ostukorv"
"Update Shopping Cart","Uuenda ostukorvi"
"Update Cart","Uuenda ostukorvi"
"See price before order confirmation.","Hindade näitamine enne tellimuse kinnitamist."
"What's this?","Mis see on?"
"Edit item parameters","Muuda kauba parameetreid"
"Edit","Muuda"
"Remove item","Eemalda toode"
"You have no items in your shopping cart.","Ostukorvis pole tooteid."
"Click <a href=""%1"">here</a> to continue shopping.","Vajuta <a href=""%1"">siia</a> et jätkata ostlemist."
"Estimate Tax","Hinda makse"
"Estimate Shipping and Tax","Hinnanguline kohaletoimetamine ja maksustamine"
"Excl. Tax","Ilma maksuta"
"Loading...","Laadin..."
"Order #","Tellimus #"
"Proceed to Checkout","Vormista ost"
"Product Name","Toote nimi"
"Incl. Tax","Koos maksuga"
"Your order number is: %1.","Teie tellimus # on: %1."
"Your order # is: <span>%1</span>.","Tellimus <span>#%1</span>."
"We'll email you an order confirmation with details and tracking info.","Me saadame teile tellimuse kinnituse koos detailidega ning jälgimisinfoga."
"Payment Transaction Failed Reminder","Ebaõnnestunud makse meeldetuletus"
"Payment Transaction Failed","Makse ebaõnnestus"
"Reason","Põhjus"
"Checkout Type","Tellimuse vormistamise tüüp"
"Customer:","Klient:"
"Items","Toodet"
"Total:","Kokku:"
"Billing Address:","Arveaadress:"
"Shipping Address:","Tarneaadress:"
"Shipping Method:","Tarneviis:"
"Payment Method:","Makseviis:"
"Date & Time:","Kuupäev & Kellaeg:"
"Sign In","Logi Sisse"
"Email Address","E-posti aadress"
"Password","Salasõna"
"Forgot Your Password?","Unustasid salasõna?"
"My billing and shipping address are the same","Minu kohaletoimetamise ja arve aadress on samad"
"Update","Uuenda"
"Cancel","Tühista"
"Save in address book","Save in address book"
"Estimated Total","Eeldatav kogusumma"
"You can create an account after checkout.","Saate luua konto peale tellimuse vormistamist."
"You already have an account with us. Sign in or continue as guest.","Teil on juba konto olemas. Logi sisse või jätka külalisena."
"Login","Sisene"
"See Details","Vaata detaile"
"Options Details","Valikute üksikasjad"
"Remove","Eemalda"
"Cart Subtotal","Ostukorvi vahesumma"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","Luues konto saate jälgida oma tellimuse staatust."
"Place Order","Esita tellimus"
"Forgot an Item?","Unustasid midagi?"
"Edit Your Cart","Muuda ostukorvi sisu"
"Ship Here","Saada siia"
"Ship To:","Saaja:"
"edit","muuda"
"Order Summary","Tellimuse Kokkuvõte"
"View and Edit Cart","Vaata ja Muuda Korvi"
"View Details","Vaata lähemalt"
"Field ","Väli "
" is required."," on nõutud."
"Provided Zip/Postal Code seems to be invalid.","Postiindeks ei ole korrektne."
" Example: "," Näiteks: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"New Address","Uus aadress"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Ülevaade ja maksmine"
"Select a new payment method","Valige uus makseviis"
"Shipping","Tarne"
"Save Address","Salvesta aadress"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Tellimuse vormistamiste valikud"
"Enable Onepage Checkout","Luba ühe lehe tellimuse vormistamine"
"Allow Guest Checkout","Luba ostu vormistamist külalisena"
"Display Billing Address On","Kuva arveaadress"
"Maximum Number of Items to Display in Order Summary","Tellimuse kokkuvõttes näidatavate toodete maksimumarv"
"Quote Lifetime (days)","Pakkumise kehtivus (päevades)"
"After Adding a Product Redirect to Shopping Cart","Pärast toote lisamist suuna ostukorvi"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","Minu ostukorv"
"Display Cart Summary","Näita ostukorvi sisu"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Kokkuvõte"
"Order Total","Tellimus kokku"
"Shipping Address","Tarneaadress"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Payment","Makse"
"Not yet calculated","Pole veel arvutatud"
"We received your order!","We received your order!"
"Thank you for your purchase!","Täname ostu eest!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Sulge"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Toode ostukorvis"
"Items in Cart","Toodet ostukorvis"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
