"Shopping Cart","购物车"
"New Address","从您的地址簿选择发货地址，或输入新地址。"
"Are you sure you would like to remove this item from the shopping cart?","你确定你想要从购物车中删除此项目？"
"Review & Payments","审查及付款"
"Select a new payment method","选择支付方式"
"Shipping","运费"
"Save Address","保存地址"
"Please specify a shipping method.","请指定送货方式。"
"Checkout Options","结账选项"
"Enable Onepage Checkout","使用同一页面结帐"
"Allow Guest Checkout","允许游客结帐"
"Display Billing Address On","显示账单地址"
"Maximum Number of Items to Display in Order Summary","在订单汇总中显示的项目的最大数量"
"Quote Lifetime (days)","引述有效期 (天)"
"After Adding a Product Redirect to Shopping Cart","将产品重定向添加到购物车后"
"Number of Items to Display Pager","要显示寻呼机的项目数"
"My Cart Link","我购物车链接"
"Display Cart Summary","显示购物车摘要"
"Shopping Cart Sidebar","购物车侧边栏"
"Display Shopping Cart Sidebar","显示购物车侧边栏"
"Number of Items to Display Scrollbar","显示滚动条的项目数"
"Maximum Number of Items to Display","要显示的最大项目数"
"Payment Failed Emails","支付失败的电子邮件"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Email Receiver","支付失败邮件接收者"
"Payment Failed Template","支付失败模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Send Payment Failed Email Copy To","发送付款失败邮件的复件到"
"Separate by "","".","单独的""，""。"
"Send Payment Failed Email Copy Method","发送支付失败邮件副本的方法"
"Summary","概览"
"Order Total","订单总额"
"Shipping Address","送货地址"
"We'll send your order confirmation here.","在这里，我们会给您的订单确认。"
"Payment","付款"
"Not yet calculated","尚未计算"
"We received your order!","我们收到您的订单!"
"Thank you for your purchase!","感谢您的购买！"
"Minimum order amount is %1","最小起订量是 %1"
"Unable to save address. Please, check input data.","无法保存地址。请检查输入的数据。"
"Unable to save shipping information. Please, check input data.","无法保存航运信息。请检查输入的数据。"
"Cart contains virtual product(s) only. Shipping address is not applicable.","购物车只包含虚拟产品。送货地址是不适用的。"
"Wrong minimum amount.","错误的最小金额。"
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1""onclick=""this.target='_blank'""class=""print""> 打印收据</a>"
"Forgot Password","忘记密码?"
"Close","关闭"
"item","项目"
"items","项目"
"Go to Checkout","去结帐"
"Recently added item(s)","最近添加的商品"
"View and edit cart","查看和编辑购物车"
"No Payment Methods","没有付款方法"
"Shipping Methods","送货方式"
"Select Method","选择方法"
"Method Title","方法标题"
"Carrier Title","承运人名字"
"Next","下一页"
"Sorry, no quotes are available for this order at this time","抱歉，这个订单目前没有报价"
"Item in Cart","购物里的商品"
"Items in Cart","购物车中"
"Require Customer To Be Logged In To Checkout","要求客户必须登录到签出"
"Maximum Display Recently Added Item(s)","最大显示最近添加的项目"
"of","为"
"Something went wrong while saving the page. Please refresh the page and try again.","保存页面时出错。请刷新页面，然后重试。"
"You added %1 to your <a href=""%2"">shopping cart</a>.","您已将 %1 添加到您的 <a href=""%2"">购物车</a> 中。"
"Please select at least one product to add to cart","请选择至少一个产品添加到购物车"
"The quote item isn't found. Verify the item and try again.","找不到报价产品。验证后重试。"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","订单未生成。请先同意条款和条件，然后尝试重新下单。"
"The product wasn't found. Verify the product and try again.","找不到产品。请验证产品，然后重试。"
"A server error stopped your order from being placed. Please try to place your order again.","服务器错误终止了您的订单提交。请尝试再次下单。"
"The shipping address is missing. Set the address and try again.","收货地址缺失。请设置地址，然后重试。"
"The shipping information was unable to be saved. Verify the input data and try again.","无法保存送货信息。请检查输入数据，然后重试。"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","不能为空购物车设置配送方式。请先将产品添加到购物车，然后重试。"
"Billing Address","账单地址"
"Something went wrong with your request. Please try again later.","您的请求出错。请稍后再试。"
"The shipping method is missing. Select the shipping method and try again.","缺少配送方式。请选择配送方式，然后重试。"
"Show Cross-sell Items in the Shopping Cart","在购物车中显示交叉销售产品"
"Unable to place order. Please try again later.","无法下订单。请稍后再试。"
"Please specify a regionId in shipping address.","请在配送地址中指定一个区域 Id 。"
