"Shopping Cart","Кошничка"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Invalid data"
"The customer address is not valid.","Адресата на купувачот не е валидна."
"Invalid shipping method","Невалиден начин на испорака"
"There are more than one shipping addresses.","Има повеќе од една адреса за испорака."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Мора да го потврдите вашиот профил. Ве молиме проверете го вашиот емаил за линк за потврда или <a href=""%1"">кликнете овде</a> за да добиете нов линк."
"Load customer quote error","Load customer quote error"
"Error message!","Error message!"
"Error!","Грешка!"
"DB exception","DB exception"
"Message","Порака"
"Print receipt","Print receipt"
"Apply Discount Code","Примени код за попуст"
"Enter discount code","Внеси код за попуст"
"Apply Discount","Примени попуст"
"Cancel Coupon","Откажи го купонот"
"Shopping Cart Items","Продукти во кошничка"
"Item","Продукт"
"Price","Цена"
"Qty","Кол"
"Subtotal","Вкупно"
"Continue Shopping","Продолжи со купување"
"Clear Shopping Cart","Исчисти ја кошничката"
"Update Shopping Cart","Ажурирај ја кошничката"
"Update Cart","Ажурирај ја кошничката"
"See price before order confirmation.","Види цена пред потврда на нарачката."
"What's this?","Што е ова?"
"Edit item parameters","Edit item parameters"
"Edit","Измени"
"Remove item","Отстрани продукт"
"You have no items in your shopping cart.","Немате продукти во кошничката."
"Click <a href=""%1"">here</a> to continue shopping.","Кликнете <a href=""%1"">овде</a> да продолжите со купување."
"Estimate Tax","Пресметај данок"
"Estimate Shipping and Tax","Пресметај испорака и данок"
"Excl. Tax","Без ДДВ"
"Loading...","Вчитување..."
"Order #","Нарачка #"
"Proceed to Checkout","Заврши ја нарачката"
"Product Name","Име на продуктот"
"Incl. Tax","Со ДДВ"
"Your order number is: %1.","Вашиот број на нарачка е: %1."
"Your order # is: <span>%1</span>.","Вашата нарачка # е: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Ви испративме емаил за потврда на нарачката и повеќе информации."
"Payment Transaction Failed Reminder","Потсетник за неуспешна трансакцијата за плаќање"
"Payment Transaction Failed","Трансакцијата за плаќање е неуспешна"
"Reason","Reason"
"Checkout Type","Наичин на порачување"
"Customer:","Купувач:"
"Items","Продукти"
"Total:","Вкупно:"
"Billing Address:","Адреса за плаќање:"
"Shipping Address:","Адреса за испорака:"
"Shipping Method:","Начин на испорака:"
"Payment Method:","Начин на плаќање:"
"Date & Time:","Датум & Време:"
"Sign In","Најави се"
"Email Address","Емаил адреса"
"Password","Лозинка"
"Forgot Your Password?","Ја заборавивте вашата лозинка?"
"My billing and shipping address are the same","Мојата адреса за плаќање и испорака се исти"
"Update","Ажирирај"
"Cancel","Откажи"
"Save in address book","Зачувај во адресар"
"Estimated Total","Пресметано вкупно"
"You can create an account after checkout.","Можеш да направиш профил после завршувањето на нарачката."
"You already have an account with us. Sign in or continue as guest.","Имате регистрирано профил кај нас. Најавете се или продолжете како гостин."
"Login","Најави се"
"See Details","Види детали"
"Options Details","Детали за опции"
"Remove","Избриши"
"Cart Subtotal","Вкупно"
"Payment Information","Информации за плаќање"
"No Payment method available.","Нема достапни начини за плаќање."
"You can track your order status by creating an account.","Можете да го следите статусот на нарачката со регистрирање на профил."
"Place Order","Направи нарачка"
"Forgot an Item?","Заборавивте продукт?"
"Edit Your Cart","Измени ја кошничката"
"Ship Here","Испорачај овде"
"Ship To:","Испорачај на:"
"edit","измени"
"Order Summary","Преглед на нарачката"
"View and Edit Cart","Види и измени кошничка"
"View Details","Види детали"
"Field ","Поле "
" is required."," е задолжително."
"Provided Zip/Postal Code seems to be invalid.","Дадениот поштенски код е невалиден."
" Example: "," Пример: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"New Address","Нова адреса"
"Are you sure you would like to remove this item from the shopping cart?","Дали сте сигурни дека сакате да го отстраните овој продукт од вашата кошничка?"
"Review & Payments","Преглед и плаќање"
"Select a new payment method","Избери нов начин на плаќање"
"Shipping","Испорака"
"Save Address","Зачувај адреса"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Покажи ја адресата за плаќање на"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Преглед"
"Order Total","Вкупно"
"Shipping Address","Адреса за испорака"
"We'll send your order confirmation here.","Овде ќе ви испратиме потврда за нарачката."
"Payment","Плаќање"
"Not yet calculated","Не пресметано"
"We received your order!","We received your order!"
"Thank you for your purchase!","Ви благодариме што купувате кај нас!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Затвори"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Продукти во кошничката"
"Items in Cart","Продукти во кошничката"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
