"Country","ארץ"
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","אין החזר כספי על העסקה אלא אם כן אושר מראש."
"Cannot submit for settlement unless status is authorized.","לא יכול לחתום על ההסכם אלא אם כן הסטטוס מורשה."
"Customer does not have any credit cards.","ללקוח אין שום כרטיסי אשראי."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","אין אפשרות להגדיר עיבוד לאישור אלא אם כן יש אישור קולי."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","אין אפשרות לספק כתובת לחיוב אלא אם יינתן פרטי כרטיס אשראי."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","לאפשר פתרון זה"
"Enable PayPal through Braintree","לאפשר PayPal דרך Braintree"
"Vault Enabled","הכספת מופעלת"
"Basic Braintree Settings","הגדרות בסיסיות Braintree"
"Title","כותרת"
"Environment","סביבה"
"Payment Action","פעולת תשלום"
"Merchant ID","מספר מזהה של סוחר"
"Public Key","מספר זיהוי של הסוחר"
"Private Key","מפתח פרטי"
"Advanced Braintree Settings","הגדרות מתקדמות לBraintree"
"Vault Title","כותרת לכספת"
"Merchant Account ID","קוד חשבון הסוחר"
"Advanced Fraud Protection","הגנה מתקדמת מפני הונאות"
"Kount Merchant ID","מזהה הסוחר של Kount"
"Debug","דיבאג"
"CVV Verification","אימות CVV"
"Credit Card Types","סוג כרטיסי אשראי"
"Sort Order","סדר מיון"
"Country Specific Settings","הגדרות ספציפיות במדינה"
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Country Specific Credit Card Types","סוגי כרטיסי אשראי ספציפיים למדינה"
"PayPal through Braintree","PayPal דרך Braintree"
"Override Merchant Name","דריסה של שמות הסוחרים"
"Require Customer's Billing Address","נדרשת כתובת החיוב של הלקוח"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","אפשר לערוך משלוח שהתקבל במהלך הרכישה בצד PayPal"
"Display on Shopping Cart","התצוגה על עגלת קניות"
"Skip Order Review","Skip Order Review"
"3D Secure Verification Settings","3D Secure אימות הגדרות"
"3D Secure Verification","אימות מאובטח של 3D"
"Threshold Amount","כמות מינימלית"
"Verify for Applicable Countries","ודא למדינות יישומות"
"Verify for Specific Countries","ודא למדינות ספציפיות"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","שם"
"Phone","טלפון"
"URL","כתובות URL"
"CVV is required.","CVV נדרש."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","תאריך התפוגה נדרש."
"Expiration date is invalid.","תאריך התפוגה אינו חוקי."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","חודש התפוגה אינו חוקי."
"Expiration year is invalid.","שנת התפוגה אינה חוקית."
"Credit card number is required.","מספר כרטיס האשראי חובה."
"Credit card number is invalid.","מספר כרטיס האשראי אינו חוקי."
"Credit card number must be 12-19 digits.","מספר כרטיס האשראי חייב להיות מורכב מ12-19 ספרות."
"Cardholder name is too long.","שם בעל הכרטיס הוא ארוך מדי."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","שם החברה הוא ארוך מדי."
"Extended address is too long.","הכתובת המלאה היא ארוכה מדי."
"First name is too long.","שם פרטי זה ארוך מדי."
"Last name is too long.","שם משפחה זה ארוך מדי."
"Locality is too long.","יישוב זה יותר מדי."
"Postal code is required.","מיקוד חובה."
"Postal code may contain no more than 9 letter or number characters.","המיקוד אינו יכול להכיל יותר מ-9 אותיות או מספר תווים."
"Region is too long.","אזור זה יותר מדי."
"Street address is required.","כתובת הרחוב נדרשת."
"Street address is too long.","כתובת הרחוב ארוכה מדי."
"Postal code can only contain letters, numbers, spaces, and hyphens.","מיקוד יכול להכיל רק אותיות, מספרים, רווחים, מקפים."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","שם המדינה אינה נמצאת ברשימת המדינות המאושרות."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","החל מסננים על מנת לקבל תוצאות. רק 100 רשומות הראשונות יוצגו בגריד, ניתן יהיה להוריד את הגירסה המלאה של הדוח בתבנית. csv."
"Select...","בחירה..."
"Status","סטטוס"
"Transaction Type","סוג טרנזקציה"
"Payment Type","סוג התשלום"
"PayPal Payment ID","מזהה תשלום PayPal"
"Created At","נוצר ב-"
"Transaction ID","מספר העברה"
"Order ID","מספר הזמנה"
"Type","סוג"
"Amount","סכום"
"Settlement Code","קוד הסדר"
"Settlement Response Text","טקסט תגובת ההסדר"
"Refund Ids","מספרים מזהים של ההחזרים"
"Settlement Batch ID","מזהה ההסדר של הקבוצה"
"Currency","מטבע"
"Month","חודש"
"Year","שנה"
"Stored Card","כרטיס שמור"
"Credit card successfully added","כרטיס האשראי נוסף בהצלחה"
"Something went wrong while saving the card.","משהו השתבש תוך שמירת פרטי הכרטיס."
"Credit card does not exist","כרטיס האשראי לא קיים"
"Delete Credit Card","מחק את כרטיס אשראי"
"There was error deleting the credit card","אירעה שגיאה בעת מחיקת כרטיס האשראי"
"Credit card successfully deleted","כרטיס אשראי נמחק בהצלחה"
"Edit Credit Card","ערוך כרטיס אשראי"
"My Credit Cards","כרטיסי האשראי שלי"
"New Credit Card","כרטיס אשראי חדש"
"There was error during saving card data","אירעה שגיאה במהלך שמירת נתוני הכרטיס"
"We can't place the order.","איננו יכולים לאשר את ההזמנה."
"Incorrect payment method.","שיטת התשלום שגויה."
"We can't initialize checkout review.","איננו יכולים לאתחיל את הביקורת על הקופה."
"We can't update shipping method.","איננו יכולים לעדכן את שיטת המשלוח."
"The processor declined your transaction, please re-enter your payment information","המערכת דחתה את העסקה שלך, אנא הזן בשנית את פרטי התשלום שלך"
"Transaction declined by gateway: Check card details or try another card","העסקה נדחתה על ידי שירות הסליקה: נא בדוק את פרטי כרטיס או נסה כרטיס אחר"
"Transaction declined: ","העסקה נדחתה: "
".","."
"The processor responded with an unknown error","המערכת החזירה שגיאה לא ידועה"
"Credit card type is not allowed for your country.","סוג כרטיס האשראי אינו מורשה עבור המדינה שלך."
"Credit card type is not allowed for this payment method.","סוג כרטיס האשראי אינו מותר עבור שיטת התשלום הנוכחית."
"Selected payment type is not allowed for billing country.","סוג התשלום שנבחר אינו מאושר עבור המדינה בפרטי התשלום."
"Incomplete payment information.","פרטי התשלום לא הוזנו במלואם."
"Please try again later","אנא נסה שוב מאוחר יותר"
"Can not find original authorization transaction for partial capture","איננו יכולנו למצוא את האימות המקורי עבור סליקה זאת"
"There was an error capturing the transaction: %1.","אירעה שגיאה בעת ביצוע הסליקה: %1."
"This refund is for a partial amount but the Transaction has not settled.","החזר זה הוא עבור סכום חלקי אך הסליקה איננה אושרה."
"Please wait 24 hours before trying to issue a partial refund.","אנא המתן 24 שעות לפני בקשת החזר כספי."
"There was an error refunding the transaction: %1.","אירעה שגיאה החזר הכספי כתוצאה מהסליקה: %1."
"Some transactions are already settled or voided and cannot be voided.","חלק מהסליקות כבר אושרו או ריקות, ולכן אין אפשרות לבטלם."
"Voided capture.","סליקות ללא תוקף."
"There was an error voiding the transaction: %1.","אירעה שגיאה בסליקה הריקה: %1."
"Invoice","חשבונית"
"Shipment","משלוח"
"Invalid Customer ID provided","מזהה לקוח לא חוקי הוכנס"
"some error","תקלה"
"a,b,c","א, ב, ג"
"Something went wrong while processing.","משהו השתבש בזמן העיבוד."
"error","שגיאה"
"exception","חריגה"
"Payment Information","פרטי תשלום"
"Add new card","הוסף כרטיס חדש"
"Please Select","נא לבחור"
"Save this card for future use","שמור את פרטי הכרטיס הנוכחי לשימוש בקניות הבאות"
"or","או"
"Please confirm that you want to delete this credit card","בבקשה אשר כי ברצונך למחוק את כרטיס האשראי הזה"
"Cardholder Name","שם בעל הכרטיס"
"Back","חזור"
"* Required Fields","* שדות חובה"
"CVV","CVV"
"Card Verification Number Visual Reference","מדריך כיצד לאמת את מספר הכרטיס"
"Make Default","הפוך לברירת המחדל"
"Billing Address","כתובת חיוב"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Company","חברה"
"Address","כתובת"
"City","עיר"
"State/Province","מדינה/מחוז"
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Zip/Postal Code","מיקוד"
"Submit","שליחה"
"Add Credit Card","הוסף כרטיס אשראי"
"Card Number","מספר כרטיס"
"Is Default","ברירת מחדל"
"Yes","כן"
"No","לא"
"Edit","ערוך"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","לכידת פעולה"
"New Order Status","סטטוס הזמנה חדשה"
"Use Vault","השתמש בכספת"
"Allow Duplicate Cards","אפשר כרטיסים משוכפלים"
"Enable Credit Card auto-detection on Storefront","לאפשר איתור אוטומטי של כרטיס אשראי על החנות"
"Your Kount ID","מזהה הKnout שלך"
"Use Cache","השתמש בcache"
"Edit My Credit Cards","ערוך את כרטיסי האשראי שלי"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","בדוק כי אפשרת הגנה נגד הונאה בחשבון שלך במקטע הגדרות/עיבוד"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","משמש עבור התקשרות עם תוכנת הונאה. אתה מוזמן גם ליצור קשר עם <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> כדי להגדיר את החשבון Kount שלך."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","חשבון PayPal"
"Coinbase account","חשבון Coinbase"
"Europe bank account","חשבון בנק אירופאי"
"Credit card","כרטיס אשראי"
"Apple pay card","כרטיס Apple pay"
"Android pay card","כרטיס Android Pay"
"Authorization expired","אישור פג תוקף"
"Authorizing","מאשר"
"Authorized","מאושר"
"Gateway rejected","שער נדחה"
"Failed","נכשל"
"Processor declined","עיבוד נכשל"
"Settled","הוסדר"
"Settling","הוסדר"
"Submitted for settlement","נאספו לייחוס"
"Voided","בוטל"
"Unrecognized","לא מזוהה"
"Settlement declined","ההסדרים נדחו"
"Settlement pending","ההסדרים בהמתנה"
"Settlement confirmed","ההסדר אישר"
"Sale","מכירה"
"Credit","אשראי"
"Vault enabled","הכספת מופעלת"
