"Country","රට"
"Transaction has already been completely refunded.","ගනුදෙනුව දැනටමත් සම්පූර්ණයෙන්ම ආපසු ගෙවා ඇත."
"Payment instrument type is not accepted by this merchant account.","ගෙවීම් උපකරණ වර්ගය මෙම වෙළඳ ගිණුම විසින් පිළිගනු නොලැබේ."
"Processor authorization code cannot be set unless for a voice authorization.","හඬ අවසරයක් සඳහා මිස ප්‍රොසෙසර අවසර කේතය සැකසිය නොහැක."
"Refund amount is too large.","ආපසු ගෙවීමේ මුදල ඉතා විශාලය."
"Settlement amount is too large.","බේරුම්කරණ මුදල ඉතා විශාලය."
"Cannot provide a billing address unless also providing a credit card.","ක්‍රෙඩිට් කාඩ්පතක් සපයන්නේ නම් මිස බිල්පත් ලිපිනයක් සැපයිය නොහැක."
"Cannot refund a transaction with a suspended merchant account.","අත්හිටුවන ලද වෙළඳ ගිණුමක් සමඟ ගනුදෙනුවක් ආපසු ගෙවිය නොහැක."
"Merchant account does not support refunds.","වෙළඳ ගිණුම මුදල් ආපසු ගෙවීමට සහාය නොදක්වයි."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","මෙම වෙළඳ ගිණුමේ තත්ත්වය නිරවුල් කිරීමේදී ගනුදෙනු ගනුදෙනුවක් ආපසු ගෙවිය නොහැක. ගනුදෙනුව නිරවුල් වූ පසු නැවත උත්සාහ කරන්න."
"PayPal is not enabled for your merchant account.","ඔබේ වෙළඳ ගිණුම සඳහා PayPal සබල කර නැත."
"Partial settlements are not supported by this processor.","මෙම ප්‍රොසෙසරය මගින් අර්ධ ජනාවාස සඳහා සහය නොදක්වයි."
"Cannot submit for partial settlement.","අර්ධ බේරුම්කරණය සඳහා ඉදිරිපත් කළ නොහැක."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","PayPal අර්ධ පියවීම් ළමා ගනුදෙනුවක තත්ත්වය පියවීම_පොරොත්තු වන්නේ නම් ගනුදෙනුව අවලංගු කළ නොහැක."
"Too many concurrent attempts to refund this transaction. Try again later.","මෙම ගනුදෙනුව ආපසු ගෙවීමට සමගාමී උත්සාහයන් වැඩිය. පසුව නැවත උත්සාහ කරන්න."
"Too many concurrent attempts to void this transaction. Try again later.","මෙම ගනුදෙනුව අවලංගු කිරීමට සමගාමී උත්සාහයන් වැඩිය. පසුව නැවත උත්සාහ කරන්න."
"Braintree","බ්රේන්ට්රී"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","ඔබේ Magento වෙළඳසැලේ ක්‍රෙඩිට්/ඩෙබිට් කාඩ්පත් සහ PayPal පිළිගන්න.<br/>පිහිටුවීම් හෝ මාසික ගාස්තු නොමැති අතර ඔබේ ගනුදෙනුකරුවන් කිසි විටෙක මිලදී ගැනීම සම්පූර්ණ කිරීම සඳහා ඔබේ වෙළඳසැල හැර නොයයි."
"Enable this Solution","මෙම විසඳුම සක්රිය කරන්න"
"Enable PayPal through Braintree","Braaintree හරහා PayPal සබල කරන්න"
"Vault Enabled","සුරක්ෂිතාගාරය සක්රිය කර ඇත"
"Basic Braintree Settings","මූලික Braaintree සැකසුම්"
"Title","ශීර්ෂය"
"Environment","පරිසරය"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Merchant ID","වෙළඳ හැඳුනුම්පත"
"Public Key","පොදු යතුර"
"Private Key","පුද්ගලික යතුර"
"Advanced Braintree Settings","උසස් Braaintree සැකසුම්"
"Vault Title","සුරක්ෂිතාගාරයේ මාතෘකාව"
"Merchant Account ID","වෙළඳ ගිණුම් හැඳුනුම්පත"
"Advanced Fraud Protection","උසස් වංචා ආරක්ෂණය"
"Kount Merchant ID","කවුන්ට් වෙළඳ හැඳුනුම්පත"
"Debug","දෝෂහරණය කරන්න"
"CVV Verification","CVV සත්‍යාපනය"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Country Specific Settings","රට විශේෂිත සැකසුම්"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Country Specific Credit Card Types","රට විශේෂිත ක්‍රෙඩිට් කාඩ් වර්ග"
"PayPal through Braintree","Braaintree හරහා PayPal"
"Override Merchant Name","වෙළඳ නාමය අභිබවා යන්න"
"Require Customer's Billing Address","පාරිභෝගිකයාගේ බිල්පත් ලිපිනය අවශ්‍ය වේ"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","PayPal පැත්තේ Checkout අතරතුර ඇතුළත් කළ නැව්ගත කිරීමේ ලිපිනය සංස්කරණය කිරීමට ඉඩ දෙන්න"
"Display on Shopping Cart","සාප්පු කරත්තයේ සංදර්ශකය"
"Skip Order Review","ඇණවුම් සමාලෝචනය මඟ හරින්න"
"3D Secure Verification Settings","3D ආරක්ෂිත සත්‍යාපන සැකසුම්"
"3D Secure Verification","3D ආරක්ෂිත සත්‍යාපනය"
"Threshold Amount","එළිපත්ත මුදල"
"Verify for Applicable Countries","අදාළ රටවල් සඳහා සත්‍යාපනය කරන්න"
"Verify for Specific Countries","විශේෂිත රටවල් සඳහා තහවුරු කරන්න"
"Dynamic Descriptors","ගතික විස්තර කරන්නන්"
"Name","නම"
"Phone","දුරකථන"
"URL","URL"
"CVV is required.","CVV අවශ්‍යයි."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV American Express සඳහා ඉලක්කම් 4ක් සහ අනෙකුත් කාඩ්පත් වර්ග සඳහා ඉලක්කම් 3ක් විය යුතුය."
"Expiration date is required.","කල් ඉකුත් වීමේ දිනය අවශ්ය වේ."
"Expiration date is invalid.","කල් ඉකුත් වීමේ දිනය වලංගු නොවේ."
"Expiration year is invalid. It must be between 1975 and 2201.","කල් ඉකුත්වන වර්ෂය වලංගු නොවේ. එය 1975 සහ 2201 අතර විය යුතුය."
"Expiration month is invalid.","කල් ඉකුත්වන මාසය වලංගු නොවේ."
"Expiration year is invalid.","කල් ඉකුත්වන වර්ෂය වලංගු නොවේ."
"Credit card number is required.","ක්‍රෙඩිට් කාඩ් අංකය අවශ්‍ය වේ."
"Credit card number is invalid.","ක්‍රෙඩිට් කාඩ් අංකය වලංගු නැත."
"Credit card number must be 12-19 digits.","ක්‍රෙඩිට් කාඩ් අංකය ඉලක්කම් 12-19 විය යුතුය."
"Cardholder name is too long.","කාඩ්පත් හිමියාගේ නම දිග වැඩිය."
"CVV verification failed.","CVV සත්‍යාපනය අසාර්ථක විය."
"Postal code verification failed.","තැපැල් කේත සත්‍යාපනය අසාර්ථක විය."
"Credit card number is prohibited.","ක්‍රෙඩිට් කාඩ් අංකය තහනම්."
"Addresses must have at least one field filled in.","ලිපිනවල අවම වශයෙන් එක් ක්ෂේත්‍රයක් වත් පුරවා තිබිය යුතුය."
"Company is too long.","සමාගම දිගු වැඩියි."
"Extended address is too long.","දිගු කළ ලිපිනය දිග වැඩිය."
"First name is too long.","මුල් නම දිග වැඩියි."
"Last name is too long.","අන්තිම නම දිග වැඩියි."
"Locality is too long.","ප්‍රදේශය දිග වැඩියි."
"Postal code is required.","තැපැල් කේතය අවශ්ය වේ."
"Postal code may contain no more than 9 letter or number characters.","තැපැල් කේතයේ අකුරු 9කට වඩා වැඩි සංඛ්‍යාවක් අඩංගු නොවිය හැක."
"Region is too long.","කලාපය දිග වැඩියි."
"Street address is required.","වීදි ලිපිනය අවශ්‍ය වේ."
"Street address is too long.","වීදි ලිපිනය දිග වැඩියි."
"Postal code can only contain letters, numbers, spaces, and hyphens.","තැපැල් කේතයේ අඩංගු විය හැක්කේ අකුරු, ඉලක්කම්, අවකාශ සහ යටිකුරු පමණි."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","PayPal විකුණුම්කරු ආරක්ෂණ අවශ්‍යතා සපුරාලීම සඳහා එක්සත් ජනපද රාජ්‍ය කේත අක්ෂර දෙකක් විය යුතුය."
"Incomplete PayPal account information.","අසම්පූර්ණ PayPal ගිණුම් තොරතුරු."
"Invalid PayPal account information.","වලංගු නොවන PayPal ගිණුම් තොරතුරු."
"PayPal Accounts are not accepted by this merchant account.","මෙම වෙළඳ ගිණුම මගින් PayPal ගිණුම් පිළිගනු නොලැබේ."
"Billing address format is invalid.","බිල්පත් ලිපින ආකෘතිය වලංගු නොවේ."
"Country name is not an accepted country.","රටේ නම පිළිගත් රටක් නොවේ."
"Country code is not accepted. Please contact the store administrator.","රටේ කේතය පිළිගනු නොලැබේ. කරුණාකර ගබඩා පරිපාලක අමතන්න."
"Provided country information is inconsistent.","සපයන ලද රටේ තොරතුරු නොගැලපේ."
"Customer has already reached the maximum of 50 addresses.","පාරිභෝගිකයා දැනටමත් උපරිම ලිපින 50ට ළඟා වී ඇත."
"Address is invalid. Please contact the store administrator.","ලිපිනය වලංගු නැත. කරුණාකර ගබඩා පරිපාලක අමතන්න."
"Error communicating with PayPal.","PayPal සමඟ සන්නිවේදනය කිරීමේ දෝෂයකි."
"PayPal authentication expired.","PayPal සත්‍යාපනය කල් ඉකුත් විය."
"Error executing PayPal order.","PayPal ඇණවුම ක්‍රියාත්මක කිරීමේ දෝෂයකි."
"Error executing PayPal billing agreement.","PayPal බිල්පත් ගිවිසුම ක්‍රියාත්මක කිරීමේ දෝෂයකි."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","ප්‍රතිඵල ලබා ගැනීම සඳහා පෙරහන් යොදන්න. ජාලකය තුළ පළමු වාර්තා 100 පමණක් දර්ශනය වනු ඇත, ඔබට වාර්තාවේ සම්පූර්ණ අනුවාදය .csv ආකෘතියෙන් බාගත කළ හැක."
"Select...","තෝරන්න..."
"Status","තත්ත්වය"
"Transaction Type","ගනුදෙනු වර්ගය"
"Payment Type","ගෙවීම් වර්ගය"
"PayPal Payment ID","PayPal ගෙවීම් හැඳුනුම්පත"
"Created At","දී නිර්මාණය කරන ලදී"
"Transaction ID","ගනුදෙනු හැඳුනුම්පත"
"Order ID","ඕඩර අංකය"
"Type","ටයිප් කරන්න"
"Amount","ප්රමාණය"
"Settlement Code","බේරුම්කරණ කේතය"
"Settlement Response Text","බේරුම්කරණ ප්‍රතිචාර පෙළ"
"Refund Ids","ආපසු ගෙවීමේ හැඳුනුම්පත්"
"Settlement Batch ID","බේරුම්කරණ කණ්ඩායම් හැඳුනුම්පත"
"Currency","මුදල්"
"Month","මාසික"
"Year","අවුරුදු"
"Stored Card","ගබඩා කළ කාඩ්පත"
"Credit card successfully added","ක්‍රෙඩිට් කාඩ්පත සාර්ථකව එකතු කරන ලදී"
"Something went wrong while saving the card.","කාඩ්පත සුරැකීමේදී යමක් වැරදී ඇත."
"Credit card does not exist","ක්‍රෙඩිට් කාඩ්පත නොපවතී"
"Delete Credit Card","ක්‍රෙඩිට් කාඩ් මකන්න"
"There was error deleting the credit card","ක්‍රෙඩිට් කාඩ්පත මැකීමේ දෝෂයක් ඇති විය"
"Credit card successfully deleted","ක්‍රෙඩිට් කාඩ්පත සාර්ථකව මකා ඇත"
"Edit Credit Card","ක්‍රෙඩිට් කාඩ්පත සංස්කරණය කරන්න"
"My Credit Cards","මගේ ක්‍රෙඩිට් කාඩ්"
"New Credit Card","අලුත් Credit Card"
"There was error during saving card data","කාඩ්පත් දත්ත සුරැකීමේදී දෝෂයක් ඇති විය"
"We can't place the order.","අපට ඇණවුම ලබා දිය නොහැක."
"Incorrect payment method.","වැරදි ගෙවීමේ ක්‍රමය."
"We can't initialize checkout review.","අපට පිටවීමේ සමාලෝචනය ආරම්භ කළ නොහැක."
"We can't update shipping method.","අපට නැව්ගත කිරීමේ ක්‍රමය යාවත්කාලීන කළ නොහැක."
"The processor declined your transaction, please re-enter your payment information","ප්‍රොසෙසරය ඔබේ ගනුදෙනුව ප්‍රතික්ෂේප කළේය, කරුණාකර ඔබේ ගෙවීම් තොරතුරු නැවත ඇතුළු කරන්න"
"Transaction declined by gateway: Check card details or try another card","ගේට්වේ මගින් ගනුදෙනුව ප්‍රතික්ෂේප විය: කාඩ්පත් විස්තර පරීක්ෂා කරන්න හෝ වෙනත් කාඩ්පතක් උත්සාහ කරන්න"
"Transaction declined: ","ගනුදෙනුව ප්රතික්ෂේප: "
".","."
"The processor responded with an unknown error","ප්‍රොසෙසරය නොදන්නා දෝෂයකින් ප්‍රතිචාර දැක්වීය"
"Credit card type is not allowed for your country.","ක්‍රෙඩිට් කාඩ් වර්ගය ඔබේ රට සඳහා ඉඩ නොදේ."
"Credit card type is not allowed for this payment method.","මෙම ගෙවීමේ ක්‍රමය සඳහා ක්‍රෙඩිට් කාඩ් වර්ගයට ඉඩ නොදේ."
"Selected payment type is not allowed for billing country.","තෝරාගත් ගෙවීම් වර්ගය බිල්පත් රට සඳහා ඉඩ නොදේ."
"Incomplete payment information.","අසම්පූර්ණ ගෙවීම් තොරතුරු."
"Please try again later","කරුණාකර පසුව නැවත උත්සාහ කරන්න"
"Can not find original authorization transaction for partial capture","අර්ධ අල්ලා ගැනීම සඳහා මුල් අවසර ගනුදෙනුව සොයාගත නොහැක"
"There was an error capturing the transaction: %1.","ගනුදෙනුව ග්‍රහණය කර ගැනීමේ දෝෂයක් ඇති විය: %1."
"This refund is for a partial amount but the Transaction has not settled.","මෙම ආපසු ගෙවීම අර්ධ මුදලක් සඳහා වන නමුත් ගනුදෙනුව පියවා නැත."
"Please wait 24 hours before trying to issue a partial refund.","අර්ධ ආපසු ගෙවීමක් නිකුත් කිරීමට උත්සාහ කිරීමට පෙර කරුණාකර පැය 24ක් රැඳී සිටින්න."
"There was an error refunding the transaction: %1.","ගනුදෙනුව ආපසු ගෙවීමේ දෝෂයක් ඇති විය: %1."
"Some transactions are already settled or voided and cannot be voided.","සමහර ගනුදෙනු දැනටමත් පියවා හෝ අවලංගු කර ඇති අතර ඒවා අවලංගු කළ නොහැක."
"Voided capture.","අවලංගු කරන ලද අල්ලා ගැනීම."
"There was an error voiding the transaction: %1.","ගනුදෙනුව අවලංගු කිරීමේ දෝෂයක් ඇති විය: %1."
"Invoice","ඉන්වොයිසිය"
"Shipment","නැව්ගත"
"Invalid Customer ID provided","වලංගු නොවන පාරිභෝගික ID සපයා ඇත"
"some error","යම් දෝෂයක්"
"a,b,c","a,b,c"
"Something went wrong while processing.","සැකසීමේදී යම් දෙයක් වැරදී ඇත."
"error","දෝෂය"
"exception","ව්යතිරේක"
"Payment Information","ගෙවීම් තොරතුරු"
"Add new card","නව කාඩ්පත එක් කරන්න"
"Please Select","කරුණාකර තෝරන්න"
"Save this card for future use","අනාගත භාවිතය සඳහා මෙම කාඩ්පත සුරකින්න"
"or","හෝ"
"Please confirm that you want to delete this credit card","ඔබට මෙම ණය පත මැකීමට අවශ්‍ය බව කරුණාකර තහවුරු කරන්න"
"Cardholder Name","කාඩ්පත් හිමියාගේ නම"
"Back","ආපසු"
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"CVV","CVV"
"Card Verification Number Visual Reference","කාඩ්පත් සත්‍යාපන අංකය දෘශ්‍ය යොමුව"
"Make Default","Default කරන්න"
"Billing Address","බිල්පත් ලිපිනය"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Company","සමාගම"
"Address","ලිපිනය"
"City","නගරය"
"State/Province","ප්රාන්තය/පළාත"
"Please select region, state or province","කරුණාකර කලාපය, ප්‍රාන්තය හෝ පළාත තෝරන්න"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"Submit","ඉදිරිපත් කරන්න"
"Add Credit Card","ක්රෙඩිට් කාඩ් එකතු කරන්න"
"Card Number","කාඩ්පත් අංකය"
"Is Default","පෙරනිමි වේ"
"Yes","ඔව්"
"No","නැත"
"Edit","සංස්කරණය කරන්න"
"An error occured with payment processing.","ගෙවීම් සැකසීමේදී දෝෂයක් සිදු විය."
"Can not initialize PayPal (Braintree)","PayPal (Braaintree) ආරම්භ කළ නොහැක"
"&nbsp;","&nbsp;"
"Capture action","ක්‍රියාව අල්ලා ගන්න"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Use Vault","වෝල්ට් භාවිතා කරන්න"
"Allow Duplicate Cards","අනුපිටපත් කාඩ්පත් වලට ඉඩ දෙන්න"
"Enable Credit Card auto-detection on Storefront","වෙළඳසැල ඉදිරිපිට ක්‍රෙඩිට් කාඩ් ස්වයංක්‍රීයව හඳුනාගැනීම සබල කරන්න"
"Your Kount ID","ඔබේ ගණන් හැඳුනුම්පත"
"Use Cache","Cache භාවිතා කරන්න"
"Edit My Credit Cards","මගේ ක්‍රෙඩිට් කාඩ්පත් සංස්කරණය කරන්න"
"Pay with PayPal","PayPal සමඟ ගෙවන්න"
"Transaction is cancelled offline.","නොබැඳි ගනුදෙනුව අවලංගු කර ඇත."
"Braintree Settlement","බ්රේන්ට්රී ජනාවාස"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","ඔබ ගනුදෙනුවක් සැකසීමට භාවිතා කළ යුතු වෙළඳ ගිණුම සඳහන් නොකරන්නේ නම්, බ්‍රේන්ට්‍රී එය ඔබේ පෙරනිමි වෙළඳ ගිණුම භාවිතයෙන් සකසනු ඇත."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","සැකසීම්/සැකසුම් අංශය තුළ ඔබේ බ්‍රේන්ට්‍රී ගිණුමේ උසස් වංචා ආරක්ෂණය සබල කිරීමට වග බලා ගන්න"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","සෘජු වංචා මෙවලම් ඒකාබද්ධ කිරීම සඳහා භාවිතා වේ. ඔබගේ කවුන්ට් ගිණුම පිහිටුවීමට ඔබ <a href=""mailto:accounts@braintreepayments.com"">accounts@brainreepayments.com</a> ඇමතීමටද වග බලා ගන්න."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Settings/Processing Section හි ඔබගේ Braintree ගිණුමේ AVS සහ/හෝ CVV සබල කිරීමට වග බලා ගන්න."
"It is recommended to set this value to ""PayPal"" per store views.","මෙම අගය එක් ගබඩා බැලීම් සඳහා ""PayPal"" ලෙස සැකසීමට නිර්දේශ කෙරේ."
"This feature needs be enabled first for the merchant account through PayPal technical support.","PayPal තාක්ෂණික සහාය හරහා වෙළඳ ගිණුම සඳහා මෙම විශේෂාංගය පළමුව සක්‍රීය කළ යුතුය."
"Also affects mini-shopping cart.","කුඩා සාප්පු කරත්තයට ද බලපායි."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","ගතික විස්තරයන් එක් ගනුදෙනු පදනමක් මත යවනු ලබන අතර නිශ්චිත මිලදී ගැනීමක් සඳහා ඔබේ ගනුදෙනුකරුවන් ක්‍රෙඩිට් කාඩ්පත් ප්‍රකාශවල දිස්වන දේ නිර්වචනය කරන්න.
                            ඔබේ නිෂ්පාදනයේ විස්තරය පැහැදිලි වන තරමට, ව්‍යාකූලත්වය හෝ හඳුනා නොගැනීම හේතුවෙන් පාරිභෝගිකයින් අයකිරීම් නිකුත් කිරීමට ඇති ඉඩකඩ අඩුය.
                            Dynamic descriptors සියලු ගිණුම්වල පෙරනිමියෙන් සක්‍රීය කර නොමැත. ඔබට 92203 ක වලංගුකරණ දෝෂයක් ලැබෙන්නේ නම් හෝ ඔබේ ගතික විස්තර කිරීම් බලාපොරොත්තු වන පරිදි නොපෙන්වන්නේ නම්,
                            කරුණාකර <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","ගනුදෙනුකරුවෙකුගේ ප්‍රකාශයේ ව්‍යාපාර නාම ක්ෂේත්‍රයේ වටිනාකම. සමාගමේ නම/DBA කොටස අක්ෂර
                                , 7 හෝ 12 විය යුතු අතර නිෂ්පාදන විස්තරය පිළිවෙළින් අනුලකුණු 18, 14, හෝ 9 දක්වා විය හැකිය (අකුරු 22 ක සම්පූර්ණ විස්තර නාමයක් අතර * සමඟ)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","පාරිභෝගිකයාගේ ප්‍රකාශයේ දුරකථන අංක ක්ෂේත්‍රයේ අගය. දුරකථනයේ අක්ෂර 10-14 විය යුතු අතර අංක, ඉරි, වරහන් සහ කාල සීමා පමණක් අඩංගු විය හැක."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","පාරිභෝගික ප්‍රකාශයක URL/වෙබ් ලිපින ක්ෂේත්‍රයේ අගය. URL එක අක්ෂර 13ක් හෝ ඊට අඩු විය යුතුය."
"The Payment Token is not available to perform the request.","ඉල්ලීම ඉටු කිරීමට ගෙවීම් ටෝකනය නොමැත."
"Checkout failed to initialize. Verify and try again.","පිටවීම ආරම්භ කිරීමට අසමත් විය. තහවුරු කර නැවත උත්සාහ කරන්න."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ඇණවුම ලබා දී නැත. පළමුව, නියමයන් සහ කොන්දේසි වලට එකඟ වන්න, ඉන්පසු ඔබේ ඇණවුම නැවත කිරීමට උත්සාහ කරන්න."
"Paypal account","Paypal ගිණුම"
"Coinbase account","Coinbase ගිණුම"
"Europe bank account","යුරෝපයේ බැංකු ගිණුම"
"Credit card","ණයවර පත"
"Apple pay card","ඇපල් ගෙවුම් කාඩ්පත"
"Android pay card","Android ගෙවීම් කාඩ්පත"
"Authorization expired","අවසරය කල් ඉකුත් විය"
"Authorizing","අවසර දීම"
"Authorized","බලයලත්"
"Gateway rejected","ගේට්වේ ප්‍රතික්ෂේප විය"
"Failed","අසාර්ථකයි"
"Processor declined","ප්‍රොසෙසරය ප්‍රතික්ෂේප විය"
"Settled","පදිංචි වුණා"
"Settling","පදිංචි වෙනවා"
"Submitted for settlement","බේරුම්කරණය සඳහා ඉදිරිපත් කර ඇත"
"Voided","අවලංගු කරන ලදී"
"Unrecognized","හඳුනා නොගත්"
"Settlement declined","බේරුම්කරණය ප්‍රතික්ෂේප විය"
"Settlement pending","බේරුම්කරණය පොරොත්තුවෙන්"
"Settlement confirmed","බේරුම්කරණය තහවුරු කර ඇත"
"Sale","විකිණීමට"
"Credit","ණය"
"Vault enabled","සුරක්ෂිතාගාරය සක්රිය කර ඇත"
