"Country","País"
"Credit Card Types","Tipos de Cartão de Crédito"
"Sort Order","Ordenação"
"Country Specific Settings","Definições Específicas de País"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Country Specific Credit Card Types","Tipos de Cartão de Crédito específicos do País"
"PayPal through Braintree","PayPal através do Braintree"
"Override Merchant Name","Substituir o Nome do Comerciante"
"Require Customer's Billing Address","Exigir Endereço de Faturação do Cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir a Edição da Morada de Envio Inserida Durante o Checkout no PayPal"
"Display on Shopping Cart","Mostrar no Carrinho de Compras"
"Skip Order Review","Saltar a Revisão da Encomenda"
"3D Secure Verification Settings","Definições de Verificação Segura 3D"
"3D Secure Verification","Verificação Segura 3D"
"Threshold Amount","Valor Limite"
"Verify for Applicable Countries","Verificar para países aplicáveis"
"Verify for Specific Countries","Verificar para países específicos"
"Dynamic Descriptors","Descritores de dinâmicos"
"Name","Nome"
"Phone","Telefone"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Aplicar filtros para obter resultados. Apenas os primeiros 100 registos serão mostrados na grelha, e poderá fazer download da versão completa do relatório em formato CSV."
"Select...","Selecione..."
"Status","Estado"
"Transaction Type","Tipo de Transação"
"Payment Type","Tipo de Pagamento"
"PayPal Payment ID","ID de pagamento PayPal"
"Created At","Criado em"
"Transaction ID","ID da Transação"
"Order ID","ID da Encomenda"
"Type","Tipo"
"Amount","Valor"
"Settlement Code","Código de Liquidação"
"Settlement Response Text","Texto da Resposta de Liquidação"
"Refund Ids","Ids de Reembolso"
"Settlement Batch ID","ID do Lote de Liquidação"
"Currency","Moeda"
"Month","Mês "
"Year","Ano"
"Stored Card","Cartão Guardado"
"Credit card successfully added","Cartão de crédito adicionado com sucesso"
"Something went wrong while saving the card.","Algo correu mal durante a gravação do cartão."
"Credit card does not exist","O cartão de crédito não existe"
"Delete Credit Card","Apagar Cartão de Crédito"
"There was error deleting the credit card","Ocorreu um erro durante a remoção do cartão de crédito"
"Credit card successfully deleted","Cartão de crédito removido com sucesso"
"Edit Credit Card","Editar Cartão de Crédito"
"My Credit Cards","Os Meus Cartões de Crédito"
"New Credit Card","Novo Cartão de Crédito"
"There was error during saving card data","Ocorreu um erro durante a gravação dos dados do cartão"
"We can't place the order.","Não foi possível confirmar a encomenda."
"Incorrect payment method.","Método de pagamento incorreto."
"We can't initialize checkout review.","Não foi possível inicializar a revisão do checkout."
"We can't update shipping method.","Não foi possível atualizar o modo de envio."
"The processor declined your transaction, please re-enter your payment information","O processador recusou a sua transação, por favor introduza novamente as suas informações de pagamento"
"Transaction declined by gateway: Check card details or try another card","Transação recusada pelo terminal: Verifique os detalhes do cartão ou tente outro cartão"
"Transaction declined: ","Transação recusada: "
".","."
"The processor responded with an unknown error","O processador do pagamento respondeu com um erro desconhecido"
"Credit card type is not allowed for your country.","O tipo de cartão de crédito não é permitido para o seu país."
"Credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para este método de pagamento."
"Selected payment type is not allowed for billing country.","O tipo de pagamento selecionado não é permitido para o país de faturação."
"Incomplete payment information.","Informações de pagamento incompletas."
"Please try again later","Por favor tente novamente mais tarde"
"Can not find original authorization transaction for partial capture","Não foi possível encontrar a autorização de transação original para captura parcial"
"There was an error capturing the transaction: %1.","Ocorreu um erro ao capturar a transação: %1."
"This refund is for a partial amount but the Transaction has not settled.","Este reembolso é para um montante parcial mas a transação ainda não terminou."
"Please wait 24 hours before trying to issue a partial refund.","Por favor aguarde 24 horas antes de tentar emitir um reembolso parcial."
"There was an error refunding the transaction: %1.","Ocorreu um erro durante o reembolso da transação: %1."
"Some transactions are already settled or voided and cannot be voided.","Algumas transações já estão liquidadas ou anuladas e não podem ser anuladas."
"Voided capture.","Captura anulada."
"There was an error voiding the transaction: %1.","Ocorreu um erro ao anular a transação: %1."
"Invoice","Fatura"
"Shipment","Expedição"
"Invalid Customer ID provided","O ID de Cliente Fornecido é Inválido"
"some error","algum erro"
"a,b,c","a, b, c"
"Something went wrong while processing.","Algo correu mal durante o processamento."
"error","erro"
"exception","exceção"
"Payment Information","Informação do Pagamento"
"Add new card","Adicionar novo cartão"
"Please Select","Por favor selecione"
"Save this card for future use","Gravar este cartão para uso futuro"
"or","ou"
"Please confirm that you want to delete this credit card","Por favor confirme que pretende remover este cartão de crédito"
"Cardholder Name","Titular do cartão"
"Back","Voltar"
"* Required Fields","* Campos Obrigatórios"
"CVV","CVV"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Make Default","Tornar padrão"
"Billing Address","Morada de Faturação"
"First Name","Nome"
"Last Name","Sobrenome"
"Company","Empresa"
"Address","Morada"
"City","Cidade"
"State/Province","Concelho/Distrito"
"Please select region, state or province","Por favor selecione a região, concelho ou distrito"
"Zip/Postal Code","Código Postal"
"Submit","Submeter"
"Add Credit Card","Adicionar Cartão de Crédito"
"Card Number","Número do Cartão"
"Is Default","Utilizar por pré-definição"
"Yes","Sim"
"No","Não"
"Edit","Editar"
"An error occured with payment processing.","Ocorreu um erro com o processamento do pagamento."
"Can not initialize PayPal (Braintree)","Não foi possível inicializar o PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capturar ação"
"New Order Status","Estado da Nova Encomenda"
"Use Vault","Usar Vault"
"Allow Duplicate Cards","Permitir Cartões Duplicados"
"Enable Credit Card auto-detection on Storefront","Ativar a deteção automática de Cartão de Crédito na Loja"
"Your Kount ID","O seu ID Kount"
"Use Cache","Usar Cache"
"Edit My Credit Cards","Editar os Meus Cartões de Crédito"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","É recomendado definir este valor para ""PayPal"" por vista de loja."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta funcionalidade precisa de ser primeiro ativada para a conta de comerciante através do suporte técnico do PayPal."
"Also affects mini-shopping cart.","Também afeta o mini-carrinho de compras."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Conta PayPal"
"Coinbase account","Conta Coinbase"
"Europe bank account","Conta Bancária Europeia"
"Credit card","Cartão de Crédito"
"Apple pay card","Cartão Apple Pay"
"Android pay card","Cartão Android Pay"
"Authorization expired","A autorização expirou"
"Authorizing","Autorizando"
"Authorized","Autorizado"
"Gateway rejected","Gateway rejeitado"
"Failed","Falhou"
"Processor declined","Processador recusado"
"Settled","Liquidada"
"Settling","Liquidando"
"Submitted for settlement","Enviada para liquidação"
"Voided","Anulada"
"Unrecognized","Não reconhecida"
"Settlement declined","Liquidação recusada"
"Settlement pending","Liquidação pendente"
"Settlement confirmed","Liquidação confirmada"
"Sale","Venda"
"Credit","Crédito"
"Vault enabled","Segurança ativada"
