"Country","Land"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Akzeptieren Sie Kreditkarten und PayPal in Ihrem Magento-Shop!<br />Keine Einrichtungsgebühren oder laufende Kosten und Ihre Kunden müssen Ihren Shop nie verlassen, um einen Kauf abzuschließen."
"Enable this Solution","Diese Lösung aktivieren"
"Enable PayPal through Braintree","PayPal über Braintree aktivieren"
"Vault Enabled","Tresor aktiviert"
"Basic Braintree Settings","Einfache Braintree-Einstellungen"
"Title","Titel"
"Environment","Umgebung"
"Payment Action","Zahlungsvorgang"
"Merchant ID","Verkäufer ID"
"Public Key","Öffentlicher Schlüssel"
"Private Key","Privater Schlüssel"
"Advanced Braintree Settings","Erweiterte Braintree-Einstellungen"
"Vault Title","Tresor-Titel"
"Merchant Account ID","Händler-Konto-ID"
"Advanced Fraud Protection","Erweiterter Betrugsschutz"
"Kount Merchant ID","Kount Händler ID"
"Debug","Debug"
"CVV Verification","CVV Verification"
"Credit Card Types","Kreditkartentypen"
"Sort Order","Sortierreihenfolge"
"Country Specific Settings","Länderspezifische Einstellungen"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Country Specific Credit Card Types","Länderspezifische Kreditkartentypen"
"PayPal through Braintree","PayPal via Braintree"
"Override Merchant Name","Händlername überschreiben"
"Require Customer's Billing Address","Pflichtangabe der Rechnungsadresse des Kunden"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Zulassen, dass die beim Checkout eingegebene Lieferadresse auf der PayPal-Seite geändert werden kann"
"Display on Shopping Cart","Im Warenkorb anzeigen"
"Skip Order Review","Bestellübersicht überspringen"
"3D Secure Verification Settings","3D Secure Verifizierungseinstellungen"
"3D Secure Verification","3D Secure Verifizierung"
"Threshold Amount","Schwellenbetrag"
"Verify for Applicable Countries","Verifizierung für anwendbare Länder"
"Verify for Specific Countries","Verifizierung für bestimmte Länder"
"Dynamic Descriptors","Dynamische Beschreibung"
"Name","Name"
"Phone","Telefonnummer"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Ablaufdatum ist erforderlich."
"Expiration date is invalid.","Ablaufdatum ist ungültig."
"Expiration year is invalid. It must be between 1975 and 2201.","Ablaufjahr ist ungültig. Es muss zwischen 1975 und 2201 liegen."
"Expiration month is invalid.","Ablaufmonat ist ungültig."
"Expiration year is invalid.","Ablaufjahr ist ungültig."
"Credit card number is required.","Kreditkartennummer ist erforderlich."
"Credit card number is invalid.","Kreditkartennummer ist ungültig."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Der Name des Karteninhabers ist zu lang."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Kreditkartennummer ist verboten."
"Addresses must have at least one field filled in.","Adressen benötigen mindestens ein ausgefülltes Feld."
"Company is too long.","Firma ist zu lang."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postleitzahl ist erforderlich."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Straße ist erforderlich."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Unvollständige PayPal-Kontoinformationen."
"Invalid PayPal account information.","Ungültige PayPal-Kontoinformationen."
"PayPal Accounts are not accepted by this merchant account.","PayPal-Konten werden von diesem Händler-Konto nicht akzeptiert."
"Billing address format is invalid.","Format der Rechnungsadresse ist ungültig."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Ländercode wurde nicht akzeptiert. Bitte kontaktiere den Administrator."
"Provided country information is inconsistent.","Angegebene Länderinformation ist inkonsistent."
"Customer has already reached the maximum of 50 addresses.","Der Kunde hat bereits das Maximum von 50 Adressen erreicht."
"Address is invalid. Please contact the store administrator.","Adresse ist ungültig. Bitte kontaktiere den Shopadministrator."
"Error communicating with PayPal.","Fehler bei der Kommunikation mit PayPal."
"PayPal authentication expired.","PayPal Authentifizierung ist abgelaufen."
"Error executing PayPal order.","Fehler beim Ausführen der Bestellung mit  PayPal."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Wenden Sie Filter an, um Ergebnisse zu erzielen. Nur die ersten 100 Datensätze können in der Übersicht angezeigt werden. Die vollständige Auflistung der Datensätze kann im CSV-Format heruntergeladen werden."
"Select...","Bitte wählen..."
"Status","Status"
"Transaction Type","Transaktionstyp"
"Payment Type","Zahlungsart"
"PayPal Payment ID","PayPal Payment ID"
"Created At","Erstellt am"
"Transaction ID","Transaktions ID"
"Order ID","Bestellnummer"
"Type","Typ"
"Amount","Betrag"
"Settlement Code","Verrechnungs-Code"
"Settlement Response Text","Verrechnungsantwort-Text"
"Refund Ids","Gutschrift ID (Refund ID)"
"Settlement Batch ID","Verrechnungsschub-ID"
"Currency","Währung"
"Month","Monat"
"Year","Jahr"
"Stored Card","Gespeicherte Karte"
"Credit card successfully added","Kreditkarte erfolgreich hinzugefügt"
"Something went wrong while saving the card.","Beim Speichern der Karte trat ein Fehler auf."
"Credit card does not exist","Kreditkarte ist nicht vorhanden."
"Delete Credit Card","Kreditkarte entfernen"
"There was error deleting the credit card","Fehler beim Löschen der Kreditkarte"
"Credit card successfully deleted","Kreditkarte erfolgreich gelöscht"
"Edit Credit Card","Kreditkarte bearbeiten"
"My Credit Cards","Meine Kreditkarten"
"New Credit Card","Neue Kreditkarte"
"There was error during saving card data","Fehler beim Speichern der Kartendaten"
"We can't place the order.","Wir können die Bestellung nicht aufgeben."
"Incorrect payment method.","Falsche Zahlungsart."
"We can't initialize checkout review.","Wir konnten die Überprüfung der Bestellung nicht initialisieren."
"We can't update shipping method.","Wir können die Versandart nicht aktualisieren."
"The processor declined your transaction, please re-enter your payment information","Das verarbeitende Unternehmen hat Ihre Transaktion abgelehnt, bitte geben Sie Ihre Zahlungsinformationen erneut ein"
"Transaction declined by gateway: Check card details or try another card","Transaktion vom Gateway abgelehnt: Überprüfen Sie die Kartendetails oder versuchen Sie eine andere Karte"
"Transaction declined: ","Transaktion abgelehnt: "
".","."
"The processor responded with an unknown error","Das verarbeitende Unternehmen hat mit einem unbekannten Fehler geantwortet"
"Credit card type is not allowed for your country.","Kreditkartentyp ist für Ihr Land nicht erlaubt."
"Credit card type is not allowed for this payment method.","Kreditkartentyp ist für diese Zahlungsart nicht zulässig."
"Selected payment type is not allowed for billing country.","Ausgewählte Zahlungsart ist nicht zulässig. Überprüfen Sie bitte das Land Ihrer Rechnungsadresse."
"Incomplete payment information.","Unvollständige Zahlungsinformationen."
"Please try again later","Bitte versuchen Sie es später erneut"
"Can not find original authorization transaction for partial capture","Konnte ursprüngliche Authorisierungstransaktion für Teilabbuchung nicht finden"
"There was an error capturing the transaction: %1.","Fehler beim Erfassen der Transaktion: %1."
"This refund is for a partial amount but the Transaction has not settled.","Diese Erstattung ist für einen Teilbetrag, dessen Transaktion nicht beglichen wurde."
"Please wait 24 hours before trying to issue a partial refund.","Bitte warten Sie 24 Stunden bevor Sie versuchen eine anteilige Rückerstattung zu erstellen."
"There was an error refunding the transaction: %1.","Es ist ein Fehler bei der Erstattung der Transaktion aufgetreten: %1."
"Some transactions are already settled or voided and cannot be voided.","Einige Transaktionen sind bereits beglich oder ungültig und können nicht storniert werden."
"Voided capture.","Ungültige Erfassung."
"There was an error voiding the transaction: %1.","Fehler bei der Stornierung der Transaktion: %1."
"Invoice","Rechnung"
"Shipment","Versand"
"Invalid Customer ID provided","Ungültige Kundennummer angegeben"
"some error","ein Fehler"
"a,b,c","a, b, c"
"Something went wrong while processing.","Bei der Verarbeitung ist ein Fehler aufgetreten."
"error","Fehler"
"exception","Ausnahme"
"Payment Information","Zahlungsinformation"
"Add new card","Neue Karte hinzufügen"
"Please Select","Bitte wählen"
"Save this card for future use","Diese Karte für zukünftige Verwendung speichern"
"or","oder"
"Please confirm that you want to delete this credit card","Bitte bestätigen Sie, dass Sie diese Kreditkarte löschen möchten"
"Cardholder Name","Name des Karteninhabers"
"Back","Zurück"
"* Required Fields","* Pflichtfelder"
"CVV","Kartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Make Default","Als Standard festlegen"
"Billing Address","Rechnungsadresse"
"First Name","Vorname"
"Last Name","Nachname"
"Company","Firma"
"Address","Adresse"
"City","Stadt"
"State/Province","Bundesland"
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Zip/Postal Code","PLZ"
"Submit","Absenden"
"Add Credit Card","Kreditkarte hinzufügen"
"Card Number","Kartennummer"
"Is Default","Ist voreingestellt"
"Yes","Ja"
"No","Nein"
"Edit","Bearbeiten"
"An error occured with payment processing.","Bei der Zahlungsabwicklung ist ein Fehler aufgetreten."
"Can not initialize PayPal (Braintree)","PayPal kann nicht initialisiert werden (Braintree)"
"&nbsp;","&#160;"
"Capture action","Aktion aufzeichnen"
"New Order Status","Neuer Bestellstatus"
"Use Vault","Vault verwenden"
"Allow Duplicate Cards","doppelte Karten ermöglichen"
"Enable Credit Card auto-detection on Storefront","Automatische Erkennung der Kreditkarten im Frontend aktivieren"
"Your Kount ID","Ihre Kount-ID"
"Use Cache","Cache verwenden"
"Edit My Credit Cards","Meine Kreditkarten bearbeiten"
"Pay with PayPal","Mit PayPal bezahlen"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Dies betrifft auch den Mini-Warenkorb."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Die Bestellung wurde nicht aufgenommen. Bitte stimmen Sie zuerst den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung erneut aufgeben."
"Paypal account","PayPal-Konto"
"Coinbase account","Coinbase-Konto"
"Europe bank account","Europäisches Bankkonto"
"Credit card","Kreditkarte"
"Apple pay card","Apple Pay Karte"
"Android pay card","Android Pay Karte"
"Authorization expired","Autorisierung abgelaufen"
"Authorizing","Autorisieren"
"Authorized","Autorisiert"
"Gateway rejected","Gateway abgelehnt"
"Failed","Fehlgeschlagen"
"Processor declined","Prozessor abgelehnt"
"Settled","Verrechnet"
"Settling","Verrechnen"
"Submitted for settlement","Übermittelt für Verrechnung"
"Voided","Storniert"
"Unrecognized","Unbekannt"
"Settlement declined","Verrechnung abgelehnt"
"Settlement pending","Verrechnung ausstehend"
"Settlement confirmed","Verrechnung bestätigt"
"Sale","Verkauf"
"Credit","Guthaben"
"Vault enabled","Tresor aktiviert"
