"Country","País"
"Expiration year is invalid. It must be between 1975 and 2201.","El año de caducidad no es correcto. Debe ser entre 1975 y 2201."
"Expiration month is invalid.","Mes de vencimiento no es válido."
"Expiration year is invalid.","Año de caducidad no es válido."
"Credit card number is required.","Se necesita un número de tarjeta de crédito."
"Credit card number is invalid.","Número de tarjeta de crédito es inválido."
"Credit card number must be 12-19 digits.","El número de tarjeta de crédito debe ser entre 12 a 19 dígitos."
"Cardholder name is too long.","Nombre del titular de la tarjeta es demasiado largo."
"CVV verification failed.","La verificación del CVV ha fallado."
"Postal code verification failed.","La verificación del código postal ha fallado."
"Credit card number is prohibited.","El número de tarjeta de crédito es inválido."
"Addresses must have at least one field filled in.","La dirección debe tener al menos un campo relleno."
"Company is too long.","Compañía es demasiado larga."
"Extended address is too long.","La dirección adicional es demasiado larga."
"First name is too long.","El nombre es demasiado largo."
"Last name is too long.","El apellido es demasiado largo."
"Locality is too long.","Localidad es demasiado larga."
"Postal code is required.","Código postal es requerido."
"Postal code may contain no more than 9 letter or number characters.","El código postal puede contener no más de 9 letras o números."
"Region is too long.","Región es demasiado larga."
"Street address is required.","Se requiere la dirección."
"Street address is too long.","La dirección es demasiado larga."
"Postal code can only contain letters, numbers, spaces, and hyphens.","El código postal solo puede contener letras, números, espacios y guiones."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Códigos de estado de Estados Unidos deben tener dos caracteres para satisfacer requisitos de protección del vendedor de PayPal."
"Incomplete PayPal account information.","La información de la cuenta de PayPal esta incompleta."
"Invalid PayPal account information.","La información de la cuenta de PayPal es invalida."
"PayPal Accounts are not accepted by this merchant account.","Las cuentas de PayPal no son aceptadas en la cuenta de comerciante."
"Billing address format is invalid.","Formato de dirección de facturación es incorrecto."
"Country name is not an accepted country.","Nombre del país no es un país aceptado."
"Country code is not accepted. Please contact the store administrator.","El código del país no es aceptado. Por favor, póngase en contacto con el administrador de la tienda."
"Provided country information is inconsistent.","La información proporcionada sobre el país es inconsistente."
"Customer has already reached the maximum of 50 addresses.","El cliente ya ha alcanzado el máximo de 50 direcciones."
"Address is invalid. Please contact the store administrator.","La dirección no es válida. Por favor, póngase en contacto con el administrador de la tienda."
"Error communicating with PayPal.","Error al comunicar con PayPal."
"PayPal authentication expired.","Autenticación de PayPal expiró."
"Error executing PayPal order.","Error al ejecutar la orden de PayPal."
"Error executing PayPal billing agreement.","Error al ejecutar el acuerdo de facturación de PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Aplicar filtros para obtener resultados. Sólo los 100 primeros registros se mostrarán en la cuadrícula, podrá descargar la versión completa del informe en formato .csv ."
"Select...","Seleccionar..."
"Status","Estatus"
"Transaction Type","Tipo de transacción"
"Payment Type","Tipo de pago"
"PayPal Payment ID","ID de pago de PayPal"
"Created At","Creado en"
"Transaction ID","Id de la transacción"
"Order ID","Pedido ID"
"Type","Tipo"
"Amount","Importe"
"Settlement Code","Código de establecimiento"
"Settlement Response Text","Texto de respuesta de establecimiento"
"Refund Ids","Ids de reembolso"
"Settlement Batch ID","ID de lote de establecimiento"
"Currency","Moneda"
"Month","Mes"
"Year","Año"
"Stored Card","Tarjeta almacenada"
"Credit card successfully added","Tarjeta de crédito agregada con éxito"
"Something went wrong while saving the card.","Algo salió mal al guardar la tarjeta."
"Credit card does not exist","La tarjeta de crédito no existe"
"Delete Credit Card","Borrar la tarjeta de crédito"
"There was error deleting the credit card","Ocurrió un error al eliminar la tarjeta de crédito"
"Credit card successfully deleted","Tarjeta de crédito eliminada correctamente"
"Edit Credit Card","Editar tarjeta de crédito"
"My Credit Cards","Mis tarjetas de crédito"
"New Credit Card","Nueva tarjeta de crédito"
"There was error during saving card data","Ocurrió un error al guardar los datos de la tarjeta"
"We can't place the order.","No se puede realizar el pedido."
"Incorrect payment method.","Método de pago incorrecto."
"We can't initialize checkout review.","No se puede iniciar el informe de comprobación."
"We can't update shipping method.","No se puede actualizar el método de envío."
"The processor declined your transaction, please re-enter your payment information","El procesador declinó su transacción, por favor vuelva a introducir la información de pago"
"Transaction declined by gateway: Check card details or try another card","Transacción declinada por la puerta de enlace: Comprueba los datos o prueba con otra tarjeta"
"Transaction declined: ","Transacción rechazada: "
".","."
"The processor responded with an unknown error","El procesador respondió con un error desconocido"
"Credit card type is not allowed for your country.","Tipo de tarjeta de crédito no está permitido para su país."
"Credit card type is not allowed for this payment method.","Este tipo de tarjeta de crédito no está permitido para este método de pago."
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Incomplete payment information.","Información de pago incompleta."
"Please try again later","Por favor, inténtalo más tarde"
"Can not find original authorization transaction for partial capture","No se encuentra la transacción original de la autorización para la captura parcial"
"There was an error capturing the transaction: %1.","Hubo un error en la captura de la transacción: %1."
"This refund is for a partial amount but the Transaction has not settled.","Este reembolso es una cantidad parcial pero la transacción no se ha establecido."
"Please wait 24 hours before trying to issue a partial refund.","Por favor espere 24 horas antes de emitir un reembolso parcial."
"There was an error refunding the transaction: %1.","Hubo un error en la devolución de la transacción: %1."
"Some transactions are already settled or voided and cannot be voided.","Algunas transacciones ya se han acordado o anulado y no pueden ser anuladas."
"Voided capture.","Captura anulada."
"There was an error voiding the transaction: %1.","Hubo un error de anulación de la transacción: %1."
"Invoice","Factura"
"Shipment","Envío"
"Invalid Customer ID provided","ID de cliente proporcionado no válido"
"some error","algún error"
"a,b,c","a, b, c"
"Something went wrong while processing.","Algo salió mal durante el proceso."
"error","error"
"exception","excepción"
"Payment Information","Información de pago"
"Add new card","Agregar nueva tarjeta"
"Please Select","Bitte auswählen"
"Save this card for future use","Guarde esta tarjeta para usos futuros"
"or","o"
"Please confirm that you want to delete this credit card","Por favor confirme que desea eliminar esta tarjeta de crédito"
"Cardholder Name","Nombre titular"
"Back","Atrás"
"* Required Fields","* Campos obligatorios"
"CVV","CVV"
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Make Default","Establecer por defecto"
"Billing Address","Dirección de facturación"
"First Name","Nombre"
"Last Name","Apellidos"
"Company","Empresa"
"Address","Dirección"
"City","Ciudad"
"State/Province","Estado/provincia"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Zip/Postal Code","Código Postal"
"Submit","Enviar"
"Add Credit Card","Añadir tarjeta de crédito"
"Card Number","Número de la tarjeta"
"Is Default","Es por defecto"
"Yes","Sí"
"No","No 	"
"Edit","Editar"
"An error occured with payment processing.","Se ha producido un error con el proceso de pago."
"Can not initialize PayPal (Braintree)","No se puede inicializar PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capturar acción"
"New Order Status","Nuevo estado del pedido"
"Use Vault","Usa Vault"
"Allow Duplicate Cards","Permitir tarjetas duplicadas"
"Enable Credit Card auto-detection on Storefront","Habilitar detección automática de tarjeta de crédito en tienda"
"Your Kount ID","Su ID de Kount"
"Use Cache","Usar Cache"
"Edit My Credit Cards","Editar mis tarjetas de crédito"
"Pay with PayPal","Pagar con PayPal"
"Transaction is cancelled offline.","La transacción se ha cancelado offline."
"Braintree Settlement","{""Securely login into our website using your existing Amazon details."":""Securely login to our website using your existing Amazon details.""}"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Si no se especifica la cuenta de comerciante para procesar una transacción, Braintree procesará utilizando su cuenta de comerciante por defecto."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Asegúrese de habilitar la protección contra fraude avanzada en su cuenta de Braintree en la sección configuración/procesamiento"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Se usa para la integración directa de herramientas de fraude. Asegúrese de contactar también a <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com </a> para configurar su cuenta de Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Asegúrese de habilitar la protección contra fraude avanzada en su cuenta de Braintree en la sección configuración/procesamiento."
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda fijar este valor en ""PayPal"" por vistas de tienda."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta característica necesita primero ser activada para la cuenta comercial a través del soporte técnico de PayPal."
"Also affects mini-shopping cart.","También afecta al mini-carro de la compra."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Los descriptores dinámicos son enviados sobre una base por transacción y definen lo que aparecerán en las declaraciones de su tarjeta de crédito para una compra específica.
                            Cuanto más clara sea la descripción de su producto, los clientes menos probables emitirán cargos debido a confusión o no reconocimiento.
                            Los descriptores dinámicos no están habilitados en todas las cuentas por defecto. Si recibe un error de validación de 92203 o si sus descriptores dinámicos no se muestran como se esperaba,
                            por favor <a href=""mailto:support@getbraintree.com"">Soporte de Braintree</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","El valor en el campo del nombre de negocio de la declaración de un cliente. La sección Nombre de la empresa/DBA debe ser de 3, 7 o 12 caracteres
                                y el descriptor del producto puede ser de hasta 18, 14 o 9 caracteres respectivamente (con un * entre un nombre total del descriptor de 22 caracteres)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","El valor en el campo número de teléfono de la declaración del cliente. El teléfono debe tener 10-14 caracteres y sólo puede contener números, guiones, paréntesis y períodos."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","El valor en el campo URL/dirección web de la declaración de un cliente. La URL debe tener 13 caracteres o más corto."
"The Payment Token is not available to perform the request.","El token de pago no está disponible para realizar la solicitud."
"Checkout failed to initialize. Verify and try again.","No se pudo iniciar el proceso de pago. Vuelva a intentarlo."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","El pedido no fue realizado. Primero, acepte los términos y condiciones, luego intente realizar su pedido nuevamente."
"Paypal account","Cuenta de PayPal"
"Coinbase account","Cuenta Coinbase"
"Europe bank account","Cuenta del banco europeo"
"Credit card","Tarjeta de crédito"
"Apple pay card","Tarjeta de pago de Apple"
"Android pay card","Tarjeta de pago Android"
"Authorization expired","Autorización caducada"
"Authorizing","Autorizando"
"Authorized","Autorizado"
"Gateway rejected","Puerta de enlace rechazada"
"Failed","Falló"
"Processor declined","Declinado por el procesador"
"Settled","Establecido"
"Settling","Estableciendo"
"Submitted for settlement","Enviado por establecimiento"
"Voided","Anuladas"
"Unrecognized","No reconocido"
"Settlement declined","Establecimiento declinado"
"Settlement pending","Establecimiento pendiente"
"Settlement confirmed","Establecimiento confirmado"
"Sale","Venta"
"Credit","Crédito"
"Vault enabled","Bóveda activada"
