"Country","كشور"
"Cannot submit for settlement unless status is authorized.","نمی توان برای پرداخت ارسال کرد مگر اینکه وضعیت مجاز باشد."
"Customer does not have any credit cards.","مشتری هیچ کارت اعتباری ندارد."
"Transaction has already been completely refunded.","تراکنش قبلا به طور کامل مسترد شده است."
"Payment instrument type is not accepted by this merchant account.","این روش پرداخت برای حساب این فروشنده پذیرفته نیست."
"Processor authorization code cannot be set unless for a voice authorization.","کد مجوز پردازنده را نمی توان تعیین کرد، مگر اینکه برای یک مجوز صوتی."
"Refund amount is too large.","مقدار بازپرداخت خیلی زیاد است."
"Settlement amount is too large.","مقدار واریز زیاد است."
"Cannot provide a billing address unless also providing a credit card.","نمی توان یک آدرس صورتحساب ارائه داد  مگر اینکه ارائه یک کارت اعتباری باشد."
"Cannot refund a transaction with a suspended merchant account.","استرداد تراکنش در مورد حساب های معلق فروشندگان امکانپذیر نیست."
"Merchant account does not support refunds.","حساب فروشنده سیستم بازپرداخت را پشتیبانی نمی کند."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","قادر به بازپرداخت تراکنش در وضعیت واریز، در این حساب فروشنده نیستیم. پس از تسویه تراکنش دوباره سعی کنید."
"PayPal is not enabled for your merchant account.","PayPal برای حساب فروشندگی شما فعال نیست."
"Partial settlements are not supported by this processor.","واریز قسطی توسط این پردازنده پشتیبانی نمی شود."
"Cannot submit for partial settlement.","نمی توان برای واریز قسطی ثبت نام کرد."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","اگر وضعیت یک تراکنش فرعی واریز قسطی PayPal، در حالت انتظار باشد، تراکنش نمی تواند باطل شود."
"Too many concurrent attempts to refund this transaction. Try again later.","تلاش های همزمان برای بازپرداخت این تراکنش بیش از حد است. بعدا دوباره تلاش کنید."
"Too many concurrent attempts to void this transaction. Try again later.","تلاش های همزمان برای ابطال این تراکنش بیش از حد است. بعدا دوباره تلاش کنید."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","کارت های بانکی/اعتباری و PayPal را در فروشگاه Magento خود قبول کنید. <br/> بدون تنظیمات یا هزینه ماهیانه و مشتریان شما هرگز فروشگاهتان را برای تکمیل خرید خود ترک نخواهند کرد."
"Enable this Solution","فعال کردن این راه حل"
"Enable PayPal through Braintree","پی پال را از طریق Braintree فعال کنید"
"Vault Enabled","نقش فعال شد"
"Basic Braintree Settings","تنظیمات پایه Braintree"
"Title","عنوان"
"Environment","محیط"
"Payment Action","عمل پرداخت"
"Merchant ID","شناسه‌ فروشنده"
"Public Key","کلید عمومی"
"Private Key","کلید خصوصی"
"Advanced Braintree Settings","تنظیمات Braintree پیشرفته"
"Vault Title","Vault عنوان"
"Merchant Account ID","شناسه حساب فروشنده"
"Advanced Fraud Protection","حفاظت پیشرفته از تقلب"
"Kount Merchant ID","Kount Merchant ID"
"Debug","اشکال زدايي کردن"
"CVV Verification","تأیید CVV"
"Credit Card Types","انواع كارت بانکی"
"Sort Order","ترتيب سفارش"
"Country Specific Settings","تنظیمات خاص کشور"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Country Specific Credit Card Types","انواع کارت بانکی خاص کشور"
"PayPal through Braintree","پی پال از طریق Braintree"
"Override Merchant Name","نادیده گرفتن نام فروشنده"
"Require Customer's Billing Address","نیاز به آدرس صورتحساب مشتری"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","مجاز به ویرایش آدرس ارسال وارد شده در هنگام پرداخت نهایی از سمت پی پال"
"Display on Shopping Cart","نمایش در سبد خرید"
"Skip Order Review","رد کردن بررسی سفارش"
"3D Secure Verification Settings","تنظیمات تأیید صحت امنیتی 3D"
"3D Secure Verification","تأیید صحت امنیتی 3D"
"Threshold Amount","مقدار آستانه"
"Verify for Applicable Countries","تأیید برای کشورهای قابل قبول"
"Verify for Specific Countries","برای کشورهای خاص تأیید کنید"
"Dynamic Descriptors","توصیف گرهای پویا"
"Name","نام"
"Phone","تلفن"
"URL","URL"
"CVV is required.","CVV مورد نیاز است."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV باید ۳ یا ۴ رقم باشد."
"Expiration date is required.","تاریخ انقضا مورد نیاز است."
"Expiration date is invalid.","تاریخ انقضا معتبر نیست."
"Expiration year is invalid. It must be between 1975 and 2201.","سال انقضاء نامعتبر است."
"Expiration month is invalid.","ماه تاریخ انقضاء نامعتبر است."
"Expiration year is invalid.","سال تاریخ انقضاء نامعتبر است."
"Credit card number is required.","شماره کارت اعتباری مورد نیاز است."
"Credit card number is invalid.","شماره کارت اعتباری معتبر نیست."
"Credit card number must be 12-19 digits.","شماره کارت اعتباری باید 12-19 رقمی باشد."
"Cardholder name is too long.","نام دارنده کارت بیش از حد طولانی است."
"CVV verification failed.","CVV تأیید نشد."
"Postal code verification failed.","کد پستی تأیید نشد."
"Credit card number is prohibited.","شماره کارت بانکی مسدود است."
"Addresses must have at least one field filled in.","حداقل باید یک فیلد آدرس را وارد کنید."
"Company is too long.","شرکت بیش از حد طولانی است."
"Extended address is too long.","آدرس توسعه یافته بیش از حد طولانی است."
"First name is too long.","نام بیش از حد طولانی است."
"Last name is too long.","نام خانوادگی بیش از حد طولانی است."
"Locality is too long.","محل خیلی طولانی است."
"Postal code is required.","کد پستی مورد نیاز است."
"Postal code may contain no more than 9 letter or number characters.","کد پستی ممکن است شامل بیش از 9 حرف یا شماره کاراکتر باشد."
"Region is too long.","منطقه بیش از حد طولانی است."
"Street address is required.","آدرس خیابان مورد نیاز است."
"Street address is too long.","آدرس خیابان خیلی طولانی است."
"Postal code can only contain letters, numbers, spaces, and hyphens.","کد پستی فقط شامل حروف، اعداد، فضاها و خط ها می باشد."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","اطلاعات حساب PayPal ناقص می باشد."
"Invalid PayPal account information.","اطلاعات حساب کاربری PayPal نامعتبر است."
"PayPal Accounts are not accepted by this merchant account.","حساب های PayPal توسط این حساب فروشنده پذیرفته نمی شوند."
"Billing address format is invalid.","فرمت آدرس صورتحساب نامعتبر است."
"Country name is not an accepted country.","نام کشور یک کشور پذیرفته نشده است."
"Country code is not accepted. Please contact the store administrator.","کد کشور پذیرفته نمی شود. لطفا با مدیر فروشگاه تماس بگیرید."
"Provided country information is inconsistent.","اطلاعات کشور ارائه شده متناقض است."
"Customer has already reached the maximum of 50 addresses.","مشتری قبلا به حداکثر 50 آدرس رسیده است."
"Address is invalid. Please contact the store administrator.","آدرس نامعتبر است. لطفا با مدیر فروشگاه تماس بگیرید."
"Error communicating with PayPal.","خطا در ارتباط با پی پال."
"PayPal authentication expired.","تأیید اعتبار پی پال منقضی شده است."
"Error executing PayPal order.","خطا در اجرای دستور PayPal."
"Error executing PayPal billing agreement.","خطا در اجرای توافقنامه صدور صورت حساب PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","برای دریافت نتایج، فیلترها را اعمال کنید. تنها 100 رکورد اول در جدول نشان داده می شود، شما می توانید نسخه کامل این گزارش را در فرمت .csv دانلود کنید."
"Select...","انتخاب..."
"Status","وضعيت"
"Transaction Type","نوع تراکنش"
"Payment Type","روش پرداخت"
"PayPal Payment ID","شناسه پرداخت پی پال"
"Created At","ايجاد شده در"
"Transaction ID","شناسه تراکنش"
"Order ID","شناسه سفارش"
"Type","نوع"
"Amount","مبلغ"
"Settlement Code","کد واریز"
"Settlement Response Text","متن پاسخ واریز"
"Refund Ids","اسناد بازپرداخت"
"Settlement Batch ID","واریز با شناسه دسته"
"Currency","واحد پول"
"Month","ماه"
"Year","سال"
"Stored Card","کارت های ذخیره شده"
"Credit card successfully added","کارت اعتباری با موفقیت اضافه شد"
"Something went wrong while saving the card.","هنگام ذخیره کارت اشتباهی رخ داده."
"Credit card does not exist","کارت اعتباری وجود ندارد"
"Delete Credit Card","حذف کردن کارت اعتباری"
"There was error deleting the credit card","هنگام حذف کارت اعتباری خطایی روی داده"
"Credit card successfully deleted","کارت اعتباری با موفقیت حذف شد"
"Edit Credit Card","ویرایش کارت اعتباری"
"My Credit Cards","کارت های اعتباری من"
"New Credit Card","کارت اعتباری جدید"
"There was error during saving card data","خطایی در ذخیره داده های کارت وجود دارد"
"We can't place the order.","ما نمی توانیم سفارش بدهیم."
"Incorrect payment method.","روش پرداخت نادرست می باشد."
"We can't initialize checkout review.","ما نمیتوانیم بازبینی پرداخت را بازیابی کنیم."
"We can't update shipping method.","ما نمی توانیم روش حمل و نقل را به روز کنیم."
"The processor declined your transaction, please re-enter your payment information","پردازش تراکنش شما رد شده! لطفا اطلاعات پرداخت خود را دوباره وارد کنید"
"Transaction declined by gateway: Check card details or try another card","تراکنش توسط دروازه رد شده: جزئیات کارت را بررسی کنید یا کارت دیگری را امتحان کنید"
"Transaction declined: ","تراکنش رد شده: "
".","."
"The processor responded with an unknown error","پردازنده با یک خطای ناشناخته پاسخ داد می دهد"
"Credit card type is not allowed for your country.","نوع کارت اعتباری برای کشور شما مجاز نیست."
"Credit card type is not allowed for this payment method.","نوع کارت اعتباری برای این روش پرداخت مجاز نیست."
"Selected payment type is not allowed for billing country.","انتخاب نوع پرداخت برای کشور صدور صورت حساب مجاز نیست."
"Incomplete payment information.","اطلاعات پرداخت ناقص می باشد."
"Please try again later","لطفا بعدا دوباره تلاش کنید"
"Can not find original authorization transaction for partial capture","نمی توانیم مجوز اصلی برای معامله را پیدا کنیم"
"There was an error capturing the transaction: %1.","یک خطا در گرفتن معامله وجود دارد: %1."
"This refund is for a partial amount but the Transaction has not settled.","این بازپرداخت برای مقدار جزئی است، اما معامله انجام نشده است."
"Please wait 24 hours before trying to issue a partial refund.","لطفا برای بازپرداخت هزینه بعد از 24 ساعت دوباره تلاش کنید."
"There was an error refunding the transaction: %1.","یک خطا در بازپرداخت معامله وجود دارد: %1."
"Some transactions are already settled or voided and cannot be voided.","برخی معاملات از قبلا حل و فصل شده اند و منعقد نمی شوند."
"Voided capture.","باطل شدن ضبط."
"There was an error voiding the transaction: %1.","یک خطا در بازپرداخت معامله وجود دارد: %1."
"Invoice","فاکتور"
"Shipment","محموله"
"Invalid Customer ID provided","شناسه مشتری نامعتبر می باشد"
"some error","چند خطا"
"a,b,c","الف، ب، ج"
"Something went wrong while processing.","در هنگام پردازش اشتباهی رخ داد."
"error","خطا"
"exception","استثنا"
"Payment Information","اطلاعات پرداخت"
"Add new card","اضافه کردن کارت جدید"
"Please Select","لطفا انتخاب نمایید"
"Save this card for future use","این کارت را برای استفاده های بعدی ذخیره کن"
"or","یا"
"Please confirm that you want to delete this credit card","لطفا تأیید کنید که میخواهید این کارت اعتباری را حذف کنید"
"Cardholder Name","نام دارنده کارت"
"Back","بازگشت"
"* Required Fields","* زمينه هاي مورد نياز"
"CVV","CVV"
"Card Verification Number Visual Reference","ارجاع دیداری CVV2"
"Make Default","پیش فرض کردن"
"Billing Address","آدرس صورتحساب"
"First Name","نام"
"Last Name","نام خانوادگی"
"Company","شركت"
"Address","آدرس"
"City","شهر"
"State/Province","استان / شهرستان"
"Please select region, state or province","لطفا منطقه، ایالت یا استان را انتخاب کنید"
"Zip/Postal Code","کد پستی"
"Submit","ارسال"
"Add Credit Card","اضافه کردن کارت اعتباری"
"Card Number","شماره‌ی کارت"
"Is Default","پیش فرض است"
"Yes","بله"
"No","خیر"
"Edit","ويرايش"
"An error occured with payment processing.","یک خطا در پردازش پرداخت رخ داده است."
"Can not initialize PayPal (Braintree)","PayPal راه اندازی نمی شود (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","عمل ضبط"
"New Order Status","وضعيت سفارش جديد"
"Use Vault","استفاده از پيش فرض"
"Allow Duplicate Cards","اجازه دادن به کارت های تکراری"
"Enable Credit Card auto-detection on Storefront","فعال کردن تشخیص خودکار کارت اعتباری در فروشگاه"
"Your Kount ID","شناسه حساب شما"
"Use Cache","استفاده از حافظه نهان"
"Edit My Credit Cards","ویرایش کارت اعتباری من"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","اطمینان حاصل کنید که حفاظت پیشرفته تقلب را در حساب کاربری Braintree خود در بخش تنظیمات / پردازش فعال کنید"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","برای ادغام ابزار تقلب مستقیم استفاده می شود. اطمینان حاصل کنید که با <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com </a> تماس بگیرید تا حساب Kount شما تنظیم شود."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","توصیه می‌شود این مقدار را به ""پی پال"" بر نماهای فروشگاه تنظیم کنید."
"This feature needs be enabled first for the merchant account through PayPal technical support.","برای پشتیبانی از طریق PayPal این ویژگی ابتدا باید برای حساب تجاری باز شود."
"Also affects mini-shopping cart.","همچنین بر سبد خرید کوچک  نیز اثر می‌کند."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","حساب پی پال"
"Coinbase account","حساب Coinbase"
"Europe bank account","حساب بانکی اروپا"
"Credit card","کارت بانکی"
"Apple pay card","کارت پرداخت اپل"
"Android pay card","کارت پرداخت اندروید"
"Authorization expired","مجوز منقضی شده"
"Authorizing","اجازه دادن"
"Authorized","مجاز"
"Gateway rejected","درگاه پرداخت رد شد"
"Failed","ناموفق"
"Processor declined","پردازنده رد شده است"
"Settled","واریز شده"
"Settling","استقرار"
"Submitted for settlement","ثبت شده برای واریز"
"Voided","باطل شدن"
"Unrecognized","ناشناخته"
"Settlement declined","واریز رد شده است"
"Settlement pending","در انتظار واریز"
"Settlement confirmed","واریز تأیید شده است"
"Sale","فروش"
"Credit","اعتبار"
"Vault enabled","نقش فعال شد"
