"Country","Країна"
"Settlement Batch ID","Ідентифікатор Партії Розрахування"
"Currency","Валюта"
"Month","Місяць"
"Year","Рік"
"Stored Card","Збережена картка"
"Credit card successfully added","Кредитну картку успішно додано"
"Something went wrong while saving the card.","Щось пішло не так під час збереження картки."
"Credit card does not exist","Кредитна картка не існує"
"Delete Credit Card","Видалити Кредитну Картку"
"There was error deleting the credit card","Помилка під час видалення кредитної картки"
"Credit card successfully deleted","Кредитну картку успішно видалено"
"Edit Credit Card","Редагувати Кредитну Картку"
"My Credit Cards","Мої Кредитні Картки"
"New Credit Card","Нова Кредитна Картка"
"There was error during saving card data","Сталася помилка під час збереження даних картки"
"We can't place the order.","Ми не можемо розмістити замовлення."
"Incorrect payment method.","Невірний спосіб оплати."
"We can't initialize checkout review.","Ми не можемо ініціалізувати огляд розрахунку."
"We can't update shipping method.","Ми не можемо оновити спосіб доставки."
"The processor declined your transaction, please re-enter your payment information","Процесор відхилив Вашу транзакцію, будь-ласка, введіть повторно Вашу платіжну інформацію"
"Transaction declined by gateway: Check card details or try another card","Транзакція відхилена шлюзом: Перевірте дані картки або спробуйте іншу картку"
"Transaction declined: ","Транзакція відхилена: "
".","."
"The processor responded with an unknown error","Процесор відповів невідомою помилкою"
"Credit card type is not allowed for your country.","Тип кредитної картки не дозволений для Вашої країни."
"Credit card type is not allowed for this payment method.","Тип кредитної картки не дозволений для цього способу оплати."
"Selected payment type is not allowed for billing country.","Обраний тип оплати не дозволений для країни виставлення рахунків."
"Incomplete payment information.","Неповна платіжна інформація."
"Please try again later","Будь ласка, спробуйте ще раз пізніше"
"Can not find original authorization transaction for partial capture","Не вдається знайти початкову транзакцію авторизації для часткового захоплення"
"There was an error capturing the transaction: %1.","Сталася помилка під час захоплення транзакції: %1."
"This refund is for a partial amount but the Transaction has not settled.","Це часткове повернення коштів, але транзакція не була вирішена."
"Please wait 24 hours before trying to issue a partial refund.","Будь-ласка, зачекайте 24 години, перш ніж робити часткове відшкодування."
"There was an error refunding the transaction: %1.","Сталася помилка під час відшкодування транзакції: %1."
"Some transactions are already settled or voided and cannot be voided.","Деякі транзакціє вже вирішені або анульовані і не можуть бути анульвані."
"Voided capture.","Анульоване захоплення."
"There was an error voiding the transaction: %1.","Сталася помилка при анулюванні транзакції: %1."
"Invoice","Рахунок-фактура"
"Shipment","Відвантаження"
"Invalid Customer ID provided","Надано Недійсний Ідентифікатор Покупця"
"some error","деяка помилка"
"a,b,c","a,b,c"
"Something went wrong while processing.","Щось пішло не так під час обробки."
"error","помилка"
"exception","виняток"
"Payment Information","Відомості про оплату"
"Add new card","Додати нову картку"
"Please Select","Виберіть, будь ласка"
"Save this card for future use","Зберегти цю картку для подальшого використання"
"or","або"
"Please confirm that you want to delete this credit card","Будь-ласка, підтвердіть, що Ви бажаєте видалити цю кредитну картку"
"Cardholder Name","Ім'я Власника Кредитної Картки"
"Back","Назад"
"* Required Fields","* Обов'язкові поля"
"CVV","CVV"
"Card Verification Number Visual Reference","Візуальне Посилання Номера Підтвердження Картки"
"Make Default","Зробити Значенням за Замовчуванням"
"Billing Address","Платіжна Адреса"
"First Name","Ім'я"
"Last Name","Прізвище"
"Company","Компанія"
"Address","Адреса"
"City","Місто"
"State/Province","Штат/Область"
"Please select region, state or province","Будь-ласка, оберіть регіон, штат або область"
"Zip/Postal Code","Поштовий індекс"
"Submit","Підтвердити"
"Add Credit Card","Додати Кредитнку Картку"
"Card Number","Номер Картки"
"Is Default","Є за промовчанням"
"Yes","Так"
"No","Ні"
"Edit","Редагувати"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Дія захоплення"
"New Order Status","Статус нового замовлення"
"Use Vault","Використовувати сховище"
"Allow Duplicate Cards","Дозволити дублікати карток"
"Enable Credit Card auto-detection on Storefront","Увімкнути автоматичне визначення кредитної картки на Вітрині"
"Your Kount ID","Ваш ідентифікатор Kount"
"Use Cache","Використовувати кеш"
"Edit My Credit Cards","Редагувати Мої Кредитні Картки"
"Pay with PayPal","Сплатити за допомогою PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Обліковий запис PayPal"
"Coinbase account","Обліковий запис Coinbase"
"Europe bank account","Банківський рахунок Europe"
"Credit card","Кредитна картка"
"Apple pay card","Платіжна картка Apple"
"Android pay card","Платіжна картка Android"
"Authorization expired","Авторизацію прострочено"
"Authorizing","Авторизовую"
"Authorized","Авторизовано"
"Gateway rejected","Шлюз відхилено"
"Failed","Не вдалося"
"Processor declined","Процесор відмовив"
"Settled","Рохраховано"
"Settling","Розраховується"
"Submitted for settlement","Внесено для розрахування"
"Voided","Анульовано"
"Unrecognized","Нерозпізнано"
"Settlement declined","Разрахування відхилено"
"Settlement pending","Розрахування в очікуванні"
"Settlement confirmed","Рохрахування підтверджено"
"Sale","Продаж"
"Credit","Кредит"
"Vault enabled","Vault enabled"
