"Country","الدولة"
"Delete Credit Card","حذف بطاقة الائتمان"
"There was error deleting the credit card","حدث خطأ أثناء حذف بطاقة الائتمان"
"Credit card successfully deleted","تم حذف بطاقة الائتمان بنجاح"
"Edit Credit Card","تحرير بطاقة الائتمان"
"My Credit Cards","بطاقات الائتمان"
"New Credit Card","بطاقة ائتمان جديدة"
"There was error during saving card data","حدث خطأ أثناء حفظ بيانات البطاقة"
"We can't place the order.","We can't place the order."
"Incorrect payment method.","طريقة الدفع غير صحيحة."
"We can't initialize checkout review.","ونحن لا يمكن تهيئة استعراض الخروج."
"We can't update shipping method.","We can't update shipping method."
"The processor declined your transaction, please re-enter your payment information","المعالج رفض لعملية, الرجاء إعادة إدخال معلومات الشراء"
"Transaction declined by gateway: Check card details or try another card","العملية رفضت من المصدر: تحقق من تفاصيل البطاقة او جرب بطاقة اخرى"
"Transaction declined: ","تم رفض العملية: "
".","."
"The processor responded with an unknown error","رد المعالج بخطأ غير معروف"
"Credit card type is not allowed for your country.","نوع بطاقة الائتمان غير مسموح به في بلدك."
"Credit card type is not allowed for this payment method.","غير مسموح بنوع بطاقة الائتمان لطريقة الدفع هذه."
"Selected payment type is not allowed for billing country.","غير مسموح بنوع الدفع المحدد للفوترة في البلد."
"Incomplete payment information.","معلومات الدفع غير مكتملة."
"Please try again later","من فضلك حاول مرة أخرى"
"Can not find original authorization transaction for partial capture","لا يمكن العثور على عملية الإذن الأصلي لالتقاط جزئي"
"There was an error capturing the transaction: %1.","حدث خطأ أثناء التقاط العملية: %1."
"This refund is for a partial amount but the Transaction has not settled.","هذا المبلغ المسترجع بمبلغ جزئي ولكن العملية لم تتم."
"Please wait 24 hours before trying to issue a partial refund.","الرجاء الانتظار 24 ساعة قبل محاولة إصدار مسترجع جزئي."
"There was an error refunding the transaction: %1.","حدث خطأ أثناء إسترجاع العملية: %1."
"Some transactions are already settled or voided and cannot be voided.","بعض المعاملات بالفعل تسويتها أو باطلة ولا يمكن أن تكون باطلة."
"Voided capture.","التقاط خطأ."
"There was an error voiding the transaction: %1.","حدث خطأ أثناء إسترجاع العملية: %1."
"Invoice","فاتورة"
"Shipment","شحنه"
"Invalid Customer ID provided","هوية عميل غير صالحة مقدمة"
"some error","خطأ ما"
"a,b,c","أ، ب، ج"
"Something went wrong while processing.","حدث خطأ أثناء المعاملة."
"error","خطأ"
"exception","إستثناء"
"Payment Information","معلومات الدفع"
"Add new card","إضافة بطاقة جديد"
"Please Select","أختر من فضلك"
"Save this card for future use","حفظ هذه البطاقة للاستخدام في المستقبل"
"or","أو"
"Please confirm that you want to delete this credit card","الرجاء التأكيد من أنك تريد حذف هذه البطاقة الائتمانية"
"Cardholder Name","اسم حامل البطاقة"
"Back","رجوع"
"* Required Fields","* حقول مطلوبة"
"CVV","CVV"
"Card Verification Number Visual Reference","بطاقه رقم التحقق من الاشارة البصريه"
"Make Default","جعلها الافتراضية"
"Billing Address","عنوان الفاتورة"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Company","الشركة"
"Address","العنوان"
"City","المدينة"
"State/Province","ولاية/محافظة"
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Zip/Postal Code","الرمز البريدي"
"Submit","إرسال"
"Add Credit Card","إضافة بطاقة إئتمان"
"Card Number","رقم الكارد"
"Is Default","هي افتراضية"
"Yes","نعم"
"No","لا"
"Edit","تعديل"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","امسك الحدث"
"New Order Status","حالة طلب جديدة"
"Use Vault","استخدم الحافظة"
"Allow Duplicate Cards","اسمع لبطاقات مكررة"
"Enable Credit Card auto-detection on Storefront","تمكين الكشف التلقائي عن بطاقة الائتمان في الواجهة"
"Your Kount ID","معرف الحساب الخاص بك"
"Use Cache","استخدام ذاكرة التخزين المؤقت"
"Edit My Credit Cards","تعديل بطاقات الائتمان الخاصة بي"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","تسوية Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","تأكد من تمكين الحماية المتقدمة من الاحتيال في ""حساب Braintree الخاص بك"" في الإعدادات/قسم المعالجة"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","تستخدم لإندماج أداة الغش المباشر. تأكد من التواصل بـ <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> لإعداد حساب Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","حساب باي بال"
"Coinbase account","حساب Coinbase"
"Europe bank account","حساب مصرفي في أوروبا"
"Credit card","بطاقة الإئتمان"
"Apple pay card","بطاقة دفع أبل"
"Android pay card","بطاقة دفع اندرويد"
"Authorization expired","انتهت مدة صلاحية الترخيص"
"Authorizing","الإذن"
"Authorized","مصرّح"
"Gateway rejected","بوابة الدفع رفضت"
"Failed","فشل"
"Processor declined","رفض المعالج"
"Settled","استقر"
"Settling","تسوية"
"Submitted for settlement","مرسل للتسوية"
"Voided","ملغاة"
"Unrecognized","غير معروف"
"Settlement declined","رفضت التسوية"
"Settlement pending","التسوية معلقة"
"Settlement confirmed","التسوية مأكدة"
"Sale","بيع"
"Credit","الرصيد"
"Vault enabled","تم تمكين الخزنة"
