"Country","國家"
"Verify for Applicable Countries","驗證適用的國家"
"Verify for Specific Countries","驗證特定的國家"
"Dynamic Descriptors","動態描述項"
"Name","名稱"
"Phone","電話"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","應用篩選器以獲得結果。 網格中只會顯示前100條記錄，您將能夠以.csv格式下載完整的報告。"
"Select...","選擇… "
"Status","狀態"
"Transaction Type","交易類型"
"Payment Type","付款類型"
"PayPal Payment ID","PayPal 付款編號"
"Created At","新增於"
"Transaction ID","交易編號"
"Order ID","訂單編號"
"Type","類別"
"Amount","金額"
"Settlement Code","結算代碼"
"Settlement Response Text","結算回應文本"
"Refund Ids","退款 Ids"
"Settlement Batch ID","結算批次編號"
"Currency","貨幣"
"Month","月"
"Year","年 "
"Stored Card","已儲存卡"
"Credit card successfully added","信用卡已成功添加"
"Something went wrong while saving the card.","保存卡時發生錯誤。"
"Credit card does not exist","信用卡不存在"
"Delete Credit Card","刪除信用卡"
"There was error deleting the credit card","刪除信用卡時發生錯誤"
"Credit card successfully deleted","信用卡已成功刪除"
"Edit Credit Card","編輯信用卡"
"My Credit Cards","我的信用卡"
"New Credit Card","新的信用卡"
"There was error during saving card data","在卡資料儲存過程中發生錯誤"
"We can't place the order.","我們不能下訂單。"
"Incorrect payment method.","不正確的支付方式。"
"We can't initialize checkout review.","我們不能初始化結帳審查。"
"We can't update shipping method.","我們不能更新運輸方法。"
"The processor declined your transaction, please re-enter your payment information","處理器拒絕您的交易，請重新輸入您的付款資訊"
"Transaction declined by gateway: Check card details or try another card","交易被閘道拒絕 ︰ 檢查卡的詳細資料，或嘗試另一張卡"
"Transaction declined: ","交易已被拒絕： "
".","."
"The processor responded with an unknown error","處理器回應一個未知錯誤"
"Credit card type is not allowed for your country.","你的國家不允許這信用卡類型。"
"Credit card type is not allowed for this payment method.","對於此付款條件不允許這信用卡類型。"
"Selected payment type is not allowed for billing country.","計費國家不允許所選的付款類型。"
"Incomplete payment information.","不完整的付款資訊。"
"Please try again later","請稍後再試"
"Can not find original authorization transaction for partial capture","找不到部分捕獲的原始授權交易。"
"There was an error capturing the transaction: %1.","捕獲交易時出錯 ︰ %1。"
"This refund is for a partial amount but the Transaction has not settled.","這筆退款額只是部分但結算仍未安排。"
"Please wait 24 hours before trying to issue a partial refund.","嘗試發出部分退款前請等待 24 小時。"
"There was an error refunding the transaction: %1.","退還交易記錄時發生錯誤 ︰ %1。"
"Some transactions are already settled or voided and cannot be voided.","有些交易是已經解決或作廢，現不能作廢。"
"Voided capture.","作廢的捕捉。"
"There was an error voiding the transaction: %1.","交易作廢時發生錯誤：%1。"
"Invoice","發票"
"Shipment","裝運"
"Invalid Customer ID provided","提供的客戶編號無效"
"some error","一些錯誤"
"a,b,c","a,b,c"
"Something went wrong while processing.","處理時發生錯誤。"
"error","錯誤"
"exception","例外"
"Payment Information","付款資訊"
"Add new card","新增卡"
"Please Select","請選擇"
"Save this card for future use","保存此卡作將來之用"
"or","或"
"Please confirm that you want to delete this credit card","請確認您要刪除這張信用卡"
"Cardholder Name","持卡人姓名"
"Back","上一步"
"* Required Fields","* 為必填項"
"CVV","CVV"
"Card Verification Number Visual Reference","卡驗證碼視覺參考"
"Make Default","設定為預設"
"Billing Address","賬單地址"
"First Name","名字"
"Last Name","姓氏"
"Company","公司"
"Address","位址"
"City","城市"
"State/Province","州/省"
"Please select region, state or province","請選擇地區、 州或省"
"Zip/Postal Code","郵政編碼"
"Submit","提交"
"Add Credit Card","新增信用卡"
"Card Number","卡號"
"Is Default","是預設"
"Yes","是"
"No","否"
"Edit","編輯"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","新訂單狀態"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal 帳戶"
"Coinbase account","Coinbase 帳戶"
"Europe bank account","歐洲銀行帳戶"
"Credit card","信用卡"
"Apple pay card","Apple Pay 卡"
"Android pay card","Android Pay 卡"
"Authorization expired","授權過期"
"Authorizing","授權中"
"Authorized","已授權"
"Gateway rejected","閘道拒絕"
"Failed","失敗"
"Processor declined","處理器拒絕"
"Settled","已結算"
"Settling","結算中"
"Submitted for settlement","送出結算資料"
"Voided","作廢"
"Unrecognized","無法識別"
"Settlement declined","結算拒絕"
"Settlement pending","等待結算"
"Settlement confirmed","結算確認"
"Sale","促銷"
"Credit","積分"
"Vault enabled","Vault enabled"
