"Country","Ország"
"Enable this Solution","A megoldás engedélyezése"
"Enable PayPal through Braintree","PayPal engedélyezése Braintreen kersztül"
"Vault Enabled","Vault engedélyezése"
"Basic Braintree Settings","Braintree alapbeállításai"
"Title","Cím"
"Environment","Környezet"
"Payment Action","Fizetési művelet"
"Merchant ID","Kereskedő azonosító"
"Public Key","Nyilvános kulcs"
"Private Key","Privát kulcs"
"Advanced Braintree Settings","Braintree speciális beállítások"
"Vault Title","Vault cím"
"Merchant Account ID","Kereskedő fiók azonosító"
"Advanced Fraud Protection","Fejlett adathalász védelem"
"Kount Merchant ID","Kount kereskedő azonosító"
"Debug","Hibakeresés"
"CVV Verification","CVV ellenőrzés"
"Credit Card Types","Hitelkártya típusok"
"Sort Order","Rendezési sorrend"
"Country Specific Settings","Ország-specifikus beállítások"
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Country Specific Credit Card Types","Ország specifikus hitelkártya típusok"
"PayPal through Braintree","PayPal a Braintreen keresztül"
"Override Merchant Name","Kereskedő nevének felülírása"
"Require Customer's Billing Address","Vásárló számlázási címe szükséges"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","A szállítási cím szerkesztésének engedélyezése PayPal fizetési folyamat közben"
"Display on Shopping Cart","Megjelenik a kosárban"
"Skip Order Review","Rendelés áttekintésének átugrása"
"3D Secure Verification Settings","3D Secure ellenőrzés beállítások"
"3D Secure Verification","3D Secure ellenőrzés"
"Threshold Amount","Küszöbérték"
"Verify for Applicable Countries","Alkalmazható országok ellenőrzése"
"Verify for Specific Countries","Meghatározott országok ellenőrzése"
"Dynamic Descriptors","Dinamikus leírók"
"Name","Név"
"Phone","Telefon"
"URL","URL-cím"
"CVV is required.","CVV kötelező."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Lejárati dátum kötelező."
"Expiration date is invalid.","Lejárati dátum érvénytelen."
"Expiration year is invalid. It must be between 1975 and 2201.","Lejárati év érvénytelen. Értékének 1975 és 2201 között kell lennie."
"Expiration month is invalid.","Lejárati hónap érvénytelen."
"Expiration year is invalid.","Lejárati év érvénytelen."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Kártyakibocsátó neve túl hosszú."
"CVV verification failed.","CVV ellenőrzés sikertelen."
"Postal code verification failed.","Irányítószám ellenőrzés sikertelen."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Cégnév túl hosszú."
"Extended address is too long.","Extended address is too long."
"First name is too long.","A keresztnév túl hosszú."
"Last name is too long.","A vezetéknév túl hosszú."
"Locality is too long.","A hely túl hosszú."
"Postal code is required.","Irányítószám megadása kötelező."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","A régió túl hosszú."
"Street address is required.","Az utca megadása kötelező."
"Street address is too long.","Az utcanév túl rövid."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Az irányítószám csak betűket, számokat, szóközöket, és kötőjeleket tartalmazhat."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Érvénytelen PayPal fiók információ."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Számlázási cím formátuma érvénytelen."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Szűrők alkalmazása az eredményért. Csak az első 100 rekord jelenik meg a táblázatban, de lehetősége van a teljes jelentés letöltésére .csv formátumban."
"Select...","Válasszon..."
"Status","Állapot"
"Transaction Type","Tranzakció típus"
"Payment Type","Fizetési mód"
"PayPal Payment ID","PayPal fizetési azonosító"
"Created At","Létrehozva"
"Transaction ID","Tranzakció azonosító"
"Order ID","Megrendelés azonosító"
"Type","Típus"
"Amount","Összeg"
"Settlement Code","Elszámolás kód"
"Settlement Response Text","Elszámolás válasz szöveg"
"Refund Ids","Visszatérítés azonosítók"
"Settlement Batch ID","Elszámolási köteg azonosító"
"Currency","Pénznem"
"Month","Hónap"
"Year","Év"
"Stored Card","Tárolt kártya"
"Credit card successfully added","Hitelkártya sikeresen hozzáadva"
"Something went wrong while saving the card.","Hiba történt a kártya mentése közben."
"Credit card does not exist","Bankkártya nem létezik."
"Delete Credit Card","Bankkártya törlése"
"There was error deleting the credit card","Hiba történt a bankkártya törlése közben."
"Credit card successfully deleted","Bankkártya sikeresen törölve."
"Edit Credit Card","Bankkártya módosítása"
"My Credit Cards","Bankkártyáim"
"New Credit Card","Új bankkártya"
"There was error during saving card data","Hiba történt a kártya adatainak mentése közben."
"We can't place the order.","Nem indítható a megrendelés."
"Incorrect payment method.","Helytelen fizetési mód."
"We can't initialize checkout review.","Nem indítható a fizetés ellenőrzése."
"We can't update shipping method.","A szállítási módot nem tudjuk megváltoztatni."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaction declined: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","Incomplete payment information."
"Please try again later","Please try again later"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Számla"
"Shipment","Shipment"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","néhány hiba"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","error"
"exception","exception"
"Payment Information","Fizetési információk"
"Add new card","Add new card"
"Please Select","Kérem válasszon"
"Save this card for future use","Save this card for future use"
"or","vagy"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Back","Vissza"
"* Required Fields","* kitöltése kötelező"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","Számlázási cím"
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Company","Cég"
"Address","Cím"
"City","Város"
"State/Province","Állam/megye"
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Zip/Postal Code","Irányítószám"
"Submit","Beküldés"
"Add Credit Card","Add Credit Card"
"Card Number","Kártyaszám"
"Is Default","Alapértelmezett"
"Yes","Igen"
"No","Nem "
"Edit","Szerkesztés"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","Új megrendelés állapota"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal fiók"
"Coinbase account","Coinbase fiók"
"Europe bank account","Európa bank fiók"
"Credit card","Bankkártya"
"Apple pay card","Apple pay card"
"Android pay card","Android pay card"
"Authorization expired","Engedély lejárt"
"Authorizing","Engedélyezés"
"Authorized","Engedélyezve"
"Gateway rejected","Átjáró elutasítva"
"Failed","Sikertelen"
"Processor declined","Tranzakció visszautasítva"
"Settled","Elszámolva"
"Settling","Rendezés"
"Submitted for settlement","Beküldött elszámolások"
"Voided","Érvénytelenítve"
"Unrecognized","Ismeretlen"
"Settlement declined","Elszámolás visszautasítva"
"Settlement pending","Elszámolás folyamatban"
"Settlement confirmed","Elszámolás megerősítve"
"Sale","Eladás"
"Credit","Egyenleg"
"Vault enabled","Vault engedélyezése"
