"Country","Ülke"
"Transaction Type","İşlem Tipi"
"Payment Type","Ödeme Türü"
"PayPal Payment ID","PayPal Ödeme Kimliği"
"Created At","Oluşturulduğu Tarih"
"Transaction ID","İşlem ID"
"Order ID","Sipariş No"
"Type","Tip"
"Amount","Tutar"
"Settlement Code","Uzlaşma Kodu"
"Settlement Response Text","Alışveriş Yanıt Metni"
"Refund Ids","İadesi Yapıldı"
"Settlement Batch ID","Toplu Alışveriş Kimliği"
"Currency","Para Birimi"
"Month","Ay"
"Year","Yıl"
"Stored Card","Mağaza sepeti"
"Credit card successfully added","Kredi kartı başarıyla eklendi"
"Something went wrong while saving the card.","Kart kaydedilirken bir şeyler ters gitti."
"Credit card does not exist","Kredi kartı yok"
"Delete Credit Card","Kredi kartı silme"
"There was error deleting the credit card","Kredi kartı silme hata oluştu"
"Credit card successfully deleted","Kredi kartı başarıyla silindi"
"Edit Credit Card","Kredi Kartlarını Düzenle"
"My Credit Cards","Kredi kartları"
"New Credit Card","Yeni kredi kartı"
"There was error during saving card data","Kart verilerini kaydetme sırasında hata oluştu"
"We can't place the order.","Siparişi veremiyoruz."
"Incorrect payment method.","Yanlış ödeme yöntemi."
"We can't initialize checkout review.","Kullanıma alma inceleme başlatamıyor."
"We can't update shipping method.","Sevkiyat yöntemi güncelleştiremiyor."
"The processor declined your transaction, please re-enter your payment information","İşlemci işlem reddedildi, lütfen ödeme bilgilerinizi yeniden girin"
"Transaction declined by gateway: Check card details or try another card","Hareket Ağ Geçidi tarafından reddedildi: kart bilgilerini denetleyin veya başka bir kart deneyin"
"Transaction declined: ","Hareket reddetti: "
".","."
"The processor responded with an unknown error","İşlemci bilinmeyen bir hatayla yanıt verdi."
"Credit card type is not allowed for your country.","Kredi kartı türü ülkeniz için izin verilmez."
"Credit card type is not allowed for this payment method.","Kredi kartı tipi bu ödeme yöntemi için izin verilmiyor."
"Selected payment type is not allowed for billing country.","Seçilen ödeme tipi fatura ülkesi için izin verilmemiş."
"Incomplete payment information.","Eksik ödeme bilgileri."
"Please try again later","Lütfen daha sonra tekrar deneyiniz"
"Can not find original authorization transaction for partial capture","Orijinal yetkilendirme hareket kısmi yakalama için bulamıyorum"
"There was an error capturing the transaction: %1.","%1 işleminde bir hata oluştu."
"This refund is for a partial amount but the Transaction has not settled.","Bu iade için kısmi bir miktar ama hareket değil yerleşmiş bulunmaktadır."
"Please wait 24 hours before trying to issue a partial refund.","Taraflı bir geri ödeme yapmaya çalışmadan önce 24 saat bekleyin."
"There was an error refunding the transaction: %1.","İşlem geri ödeme bir hata oluştu: %1."
"Some transactions are already settled or voided and cannot be voided.","Zaten bazı hareketler veya hükümsüz ve geçersiz olamaz yerleşti."
"Voided capture.","Geçersiz kılınan yakalama."
"There was an error voiding the transaction: %1.","İşlem geçersiz bir hata oluştu: %1."
"Invoice","Fatura"
"Shipment","Teslimat"
"Invalid Customer ID provided","Sağlanan müşteri kimliği geçersiz"
"some error","Bazı hatalar"
"a,b,c","a, b, c"
"Something went wrong while processing.","İşlem sırasında bir şey oldu."
"error","hata"
"exception","istisna"
"Payment Information","Ödeme Bilgisi"
"Add new card","Yeni kart ekle"
"Please Select","Lütfen seçiniz"
"Save this card for future use","Bu kart ileride kullanmak için kaydetmek"
"or","veya"
"Please confirm that you want to delete this credit card","Lütfen bu kredi kartı silmek istediğinizi onaylamak"
"Cardholder Name","Kart sahibi adı"
"Back","Geri"
"* Required Fields","* Zorunlu Alan"
"CVV","CVV"
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Make Default","Varsayılan yap"
"Billing Address","Fatura Adresi"
"First Name","Adı"
"Last Name","Soyadı"
"Company","Şirket"
"Address","Adres"
"City","Şehir"
"State/Province","Eyalet/Şehir"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Zip/Postal Code","Zip/Posta Kodu"
"Submit","Gönder"
"Add Credit Card","Kredi kartı ekleme"
"Card Number","Kart numarası"
"Is Default","Varsayılan"
"Yes","Evet"
"No","Hayır"
"Edit","Düzenle"
"An error occured with payment processing.","Ödeme işleminde bir hata oluştu."
"Can not initialize PayPal (Braintree)","PayPal başlatılamıyor (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Yakalama Eylemi"
"New Order Status","Yeni sipariş durumu"
"Use Vault","Apps Kasası Kullanın"
"Allow Duplicate Cards","Yinelenen kartları izin"
"Enable Credit Card auto-detection on Storefront","Storefront'ta Kredi Kartı otomatik algılamasını etkinleştir"
"Your Kount ID","Kount ID niz"
"Use Cache","Önbellek kullanımı"
"Edit My Credit Cards","Kredi kartlarım Düzenle"
"Pay with PayPal","PayPal ile Ödeyin"
"Transaction is cancelled offline.","İşlem çevrimdışı iptal edildi."
"Braintree Settlement","Braintree Alışveriş"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Bir işlemi işlemek için kullanılacak tüccar hesabını belirtmezseniz, Braintree, varsayılan tüccar hesabınızı kullanarak işleme koyar."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Ayarlar/İşleme Bölümü'ndeki Braintree Hesabınızdaki Gelişmiş Dolandırıcılık Korumasını Etkinleştirdiğinizden emin olun"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Doğrudan dolandırıcılık aracı entegrasyonu için kullanılır. Kount hesabınızı kurmak için <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com </a> ile iletişime geçtiğinizden emin olun."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Ayarlar / İşleme Bölümündeki Braintree Hesabınızda AVS ve / veya CVV'yi Etkinleştirdiğinizden emin olun."
"It is recommended to set this value to ""PayPal"" per store views.","Bu değeri her mağaza görünümü için ""PayPal"" olarak ayarlamanız tavsiye edilir."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Bu özellik, öncelikle Paypal teknik destek yoluyla satıcı  hesabının aktif olmasını gerektirir."
"Also affects mini-shopping cart.","Mini alışveriş sepetini de etkiler."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dinamik tanımlayıcılar, işlem başına gönderilir ve belirli bir satın alma işlemi için müşterilerinizin kredi kartı beyannamelerinde ne gösterileceğini tanımlar. 

Ürününüzün açıklaması ne kadar net olursa, müşterilerin kargaşası veya tanınmaması nedeniyle geri dönüşleri o kadar az olasıdır. 

Dinamik tanımlayıcılar varsayılan olarak tüm hesaplarda etkin değildir. 92203 onaylaması hatası alırsanız veya dinamik tanımlayıcınız beklendiği gibi görüntülenmiyorsa, lütfen <a href=""mailto:support@getbraintree.com"">Braintree Destek</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Bir müşterinin bildiriminin işletme adı alanındaki değer. Firma ismi DBA bölümü 3, 7 veya 12 karekter olmalı ve ürün tanımlayıcı sırasıyla  18, 14 veya 9 karektere kadar olabilir. ( toplam tanımlayıcı adı 22 karekter arasında)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Bir müşteri bildiriminin telefon numarası alanındaki değer. Telefonun 10-14 karakter olması gerekir ve yalnızca sayılar, kısa çizgiler, parantezler ve periyotlar içerebilir."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Bir müşteri bildiriminin URL / web adresi alanındaki değer. URL 13 karakter veya daha kısa olmalıdır."
"The Payment Token is not available to perform the request.","Ödeme Simgesi isteği gerçekleştiremez."
"Checkout failed to initialize. Verify and try again.","Ödeme başlatılamadı. Doğrulayıp tekrar deneyiniz."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Sipariş oluşturulamadı. Siparişinizi tamamlamak lütfen sözleşmeleri onayladıktan sonra tekrar deneyiniz."
"Paypal account","PayPal hesabı"
"Coinbase account","Coinbase hesap"
"Europe bank account","Avrupa banka hesabı"
"Credit card","Kredi kartı"
"Apple pay card","Apple ödeme kartı"
"Android pay card","Android ödeme kartı"
"Authorization expired","Yetkilendirme süresi Geçmiş"
"Authorizing","Doğrulanıyor"
"Authorized","Yetkilendirildi"
"Gateway rejected","Ağ Geçidi reddetti"
"Failed","tamamlanamadı"
"Processor declined","İşlemci reddetti"
"Settled","Yerleşik"
"Settling","Yerleşme"
"Submitted for settlement","Kapatılmak üzere gönderilmiş"
"Voided","Hükümsüz"
"Unrecognized","Tanınmayan"
"Settlement declined","Alışveriş reddedildi"
"Settlement pending","Alışveriş bekliyor"
"Settlement confirmed","Alışveriş doğrulandı"
"Sale","Satış"
"Credit","Kredi"
"Vault enabled","Apps Kasası etkin"
