"Country","Valsts"
"Payment instrument type is not accepted by this merchant account.","Šis pārdevējs nepieņem šo maksājuma apstrādes veidu."
"Processor authorization code cannot be set unless for a voice authorization.","Procesora autorizācijas kodu nevar iestatīt, ja vien nav paredzēta balss atļauja."
"Refund amount is too large.","Atgriešanas summa ir par lielu."
"Settlement amount is too large.","Norēķina summa ir par lielu."
"Cannot provide a billing address unless also providing a credit card.","Nevar izmantot norēķinu adresi ja nav ievadīta kredītkarte."
"Cannot refund a transaction with a suspended merchant account.","Nevar atgriezt transakciju, ja nedarbojas pārdevēja konts."
"Merchant account does not support refunds.","Pārdevēja konts neatbalsta atmaksu."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Nevar atgriezt transakciju kura ir norēķinu statusā pārdevēja kontā. Mēģiniet vēlāk kad transakcija ir pabeigta."
"PayPal is not enabled for your merchant account.","Pārdevēja kontam nav ieslēgts PayPal."
"Partial settlements are not supported by this processor.","Šis procesors neatbalsta daļējus norēķinus."
"Cannot submit for partial settlement.","Nevar nosūtīt daļēju norēķināšanos."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transakciju nevar anulēt ja PayPal daļējs nākošais maksājums ir ar statusu settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Pārāk daudz pieslēgumu lai atgrieztu šo transakciju. Mēģiniet vēlāk."
"Too many concurrent attempts to void this transaction. Try again later.","Pārāk daudz pieslēgumu lai anulētu šo transakciju. Mēģiniet vēlāk."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Pieņemt kredīt/debetkartes un PayPal šajā Magento veikalā.<br/> Nav uzstādīšanas vai mēneša maksas un klientiem nav jāpamet veikals lai veiktu pirkumu."
"Enable this Solution","Ieslēgt šo risinājumu"
"Enable PayPal through Braintree","Ieslēgt PayPal caur Braintree"
"Vault Enabled","Seifs ieslēgts"
"Basic Braintree Settings","Braintree pamatiestatījumi"
"Title","Nosaukums"
"Environment","Vide"
"Payment Action","Maksājuma darbība"
"Merchant ID","Tirgotāja ID"
"Public Key","Publiskā atslēga"
"Private Key","Privātā atslēga"
"Advanced Braintree Settings","Braintree papildus iestatījumi"
"Vault Title","Seifa nosaukums"
"Merchant Account ID","Tirgotāja konta ID"
"Advanced Fraud Protection","Papildus krāpšanās aizsardzība"
"Kount Merchant ID","Kount tirgotāja ID"
"Debug","Atkļūdot"
"CVV Verification","CVV pārbaude"
"Credit Card Types","Kredītkaršu veidi"
"Sort Order","Kārtošanas secība"
"Country Specific Settings","Valstij specifiski iestatījumi"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Country Specific Credit Card Types","Valstij specifiski kredītkaršu veidi"
"PayPal through Braintree","PayPal caur Braintree"
"Override Merchant Name","Pārlabot tirgotāja nosaukumu"
"Require Customer's Billing Address","Pieprasīt klienta norēķinu adresi"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Atļaut labot PayPal iepirkšanās laikā ievadīto piegādes adresi"
"Display on Shopping Cart","Rādīt iepirkumu grozā"
"Skip Order Review","Izlaist pirkuma apskatīšanu"
"3D Secure Verification Settings","3D Secure verifikācijas iestatījumi"
"3D Secure Verification","3D Secure verifikācija"
"Threshold Amount","Sliekšņa summas"
"Verify for Applicable Countries","Pārbaudīt pieejamajām valstīm"
"Verify for Specific Countries","Pārbaudīt specifiskām valstīm"
"Dynamic Descriptors","Dinamiskie apraksti"
"Name","Vārds"
"Phone","Telefons"
"URL","URL"
"CVV is required.","CVV ir obligāts."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV kodam jābūt 4 cipariem American Express kartēm un 3 cipariem priekš pārējām kartēm."
"Expiration date is required.","Nepieciešams derīguma termiņš."
"Expiration date is invalid.","Nepareizs derīguma termiņš."
"Expiration year is invalid. It must be between 1975 and 2201.","Beigu gads nav derīgs. Tam jābūt no 1975 līdz 2201."
"Expiration month is invalid.","Nepareizs derīguma mēnesis."
"Expiration year is invalid.","Nepareizs derīguma gads."
"Credit card number is required.","Jānorāda kredītkartes numurs."
"Credit card number is invalid.","Nepareizs kredītkartes numurs."
"Credit card number must be 12-19 digits.","Kredītkartes numuram jābūt 12-19 cipariem garam."
"Cardholder name is too long.","Kartes īpašnieka vārds ir par garu."
"CVV verification failed.","CVV pārbaude neizdevās."
"Postal code verification failed.","Pasta indeksa pārbaude neizdevās."
"Credit card number is prohibited.","Kredītkartes numurs ir aizliegts."
"Addresses must have at least one field filled in.","Adresēm jābūt aizpildītam vismaz vienam laukam."
"Company is too long.","Kompānijas nosaukums ir par garu."
"Extended address is too long.","Paplašinātā adrese ir par garu."
"First name is too long.","Vārds ir pārāk garš."
"Last name is too long.","Uzvārds ir pārāk garš."
"Locality is too long.","Novads ir pārāk garš."
"Postal code is required.","Pasta indekss ir obligāts."
"Postal code may contain no more than 9 letter or number characters.","Pasta indekss nevar būt garāks par 9 simboliem."
"Region is too long.","Novads ir par garu."
"Street address is required.","Iela ir obligāts."
"Street address is too long.","Iela ir pārāk gara."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Pasta indekss var saturēt tikai burtus, ciparus, atstarpes un domu zīmes."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","ASV štatu kodiem jābūt 2 simboliem lai atbilstu PayPAL Pircēju aizsardzībai."
"Incomplete PayPal account information.","Nepilnīga PayPal konta informācija."
"Invalid PayPal account information.","Nepareiza PayPal konta informācija."
"PayPal Accounts are not accepted by this merchant account.","Šis pārdevējs nepieņem PayPal Accounts maksāumus."
"Billing address format is invalid.","Norēķinu adreses formāts ir nepareizs."
"Country name is not an accepted country.","Valsts nosaukums nav atļauts."
"Country code is not accepted. Please contact the store administrator.","Valsts kods nav derīgs. Sazinieties ar veikala administratoru."
"Provided country information is inconsistent.","Informācija par valsti ir nepietiekama."
"Customer has already reached the maximum of 50 addresses.","Klientan jau ir maksimālais adresu skaits - 50."
"Address is invalid. Please contact the store administrator.","Nepareiza adrese. Sazinieties ar veikala administratoru."
"Error communicating with PayPal.","Kļūda sazinoties ar PayPal."
"PayPal authentication expired.","PayPal autentifikācija beigusies."
"Error executing PayPal order.","Kļūda izpildot PayPal pasūtījumu."
"Error executing PayPal billing agreement.","Kļūda, izpildot PayPal norēķinu līgumu."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Izmantojiet filtrēšanu lai iegūtu rezultātus. Parādīti tiks pirmie 100 rezultāti, Jums ir iespēja lejupielādēt pilnu sarakstu .csv formātā."
"Select...","Izvēlēties..."
"Status","Statuss"
"Transaction Type","Transakcijas Tips"
"Payment Type","Maksājuma Veids"
"PayPal Payment ID","PayPal maksājuma ID"
"Created At","Izveidots"
"Transaction ID","Transakcijas ID"
"Order ID","Pasūtījuma ID"
"Type","Veids"
"Amount","Skaits"
"Settlement Code","Izpildes kods"
"Settlement Response Text","Izpildes atbildes tekstu"
"Refund Ids","Atmaksas Ids"
"Settlement Batch ID","Norēķinu partijas ID"
"Currency","Valūta"
"Month","Mēnesis"
"Year","Gads"
"Stored Card","Saglabātā Karte"
"Credit card successfully added","Kredītkarte veiksmīgi pievienota"
"Something went wrong while saving the card.","Kļūda saglabājot kredītkarti."
"Credit card does not exist","Kredītkarte neeksistē"
"Delete Credit Card","Dzēst kredītkarti"
"There was error deleting the credit card","Kļūda dzēšot kredītkarti"
"Credit card successfully deleted","Kredītkarte nodzēsta"
"Edit Credit Card","Labot kredītkarti"
"My Credit Cards","Manas kredītkartes"
"New Credit Card","Jauna kredītkarte"
"There was error during saving card data","Kļūda saglabājot kredītkarti"
"We can't place the order.","Nevar izveidot pasūtījumu."
"Incorrect payment method.","Nepareizs apmaksas veids."
"We can't initialize checkout review.","Nevar inicializēt iepirkšanās atskaiti."
"We can't update shipping method.","Nevar atjaunot piegādes veidu."
"The processor declined your transaction, please re-enter your payment information","Procesors noraidīja transakciju, ievadiet vēlreiz maksājuma informāciju"
"Transaction declined by gateway: Check card details or try another card","Vārteja noraidīja transakciju: Pārbaudiet kartes informāciju vai pamēģiniet citu karti"
"Transaction declined: ","Transakcija noraidīta: "
".","."
"The processor responded with an unknown error","Procesors atbildēja ar nezināmu kļūdu"
"Credit card type is not allowed for your country.","Jūsu valstij šis kredītkartes veids nav atļauts."
"Credit card type is not allowed for this payment method.","Maksājuma veidam šis kredītkartes veids nav atļauts."
"Selected payment type is not allowed for billing country.","Izvēlētais maksājuma veids nav atļauts valstī no kuras ir maksātājs."
"Incomplete payment information.","Nepilnīga maksājuma informācija."
"Please try again later","Mēģiniet vēlāk"
"Can not find original authorization transaction for partial capture","Nevar atrast oriģinālo autorizācijas transakciju daļējai nolasīšanai"
"There was an error capturing the transaction: %1.","Kļūda nolasot transakciju: %1."
"This refund is for a partial amount but the Transaction has not settled.","Ši ir daļēja maksājuma atgriešana, transakcija nav apmaksāta."
"Please wait 24 hours before trying to issue a partial refund.","Lūdzu gaidiet 24 stundas pirms sākt daļējas atmaksas veikšanu."
"There was an error refunding the transaction: %1.","Kļūda atmaksājot transakciju: %1."
"Some transactions are already settled or voided and cannot be voided.","Atsevišķas transakcija ir pabeigtas vai anulētas un tās nevar anulēt."
"Voided capture.","Anulēta saņemšana."
"There was an error voiding the transaction: %1.","Kļūda anulējot transakciju: %1."
"Invoice","Rēķins"
"Shipment","Piegāde"
"Invalid Customer ID provided","Nepareizs klienta ID"
"some error","nenoteikta kļūda"
"a,b,c","a,b,c"
"Something went wrong while processing.","Kļūd apstrādājot."
"error","kļūda"
"exception","izņēmums"
"Payment Information","Norēķinu informācija"
"Add new card","Pievienot jaunu karti"
"Please Select","Lūdzu izvēlieties"
"Save this card for future use","Saglabāt karti lietošanai nākotnē"
"or","vai"
"Please confirm that you want to delete this credit card","Apstipriniet, ka vēlaties dzēst šo kredītkarti"
"Cardholder Name","Kartes īpašnieka vārds"
"Back","Atpakaļ"
"* Required Fields","* obligātie lauki"
"CVV","CVV"
"Card Verification Number Visual Reference","Kredītkartes parbaudes koda vizuālā atsauce"
"Make Default","Uzstādīt kā noklusēto"
"Billing Address","Norēķinu Adrese"
"First Name","Vārds"
"Last Name","Uzvārds"
"Company","Kompānija"
"Address","Adrese"
"City","Pilsēta"
"State/Province","Štats/Province"
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Zip/Postal Code","Pasta indekss"
"Submit","Iesniegt"
"Add Credit Card","Pievienot kredītkarti"
"Card Number","Kartes numurs"
"Is Default","Noklusētais"
"Yes","Jā"
"No","Nē"
"Edit","Labot"
"An error occured with payment processing.","Kļūda apstrādājot maksājumu."
"Can not initialize PayPal (Braintree)","Nevar inicializēt PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Nolasīšanas darbība"
"New Order Status","Jauna pasūtījuma statuss"
"Use Vault","Lietot Seifu"
"Allow Duplicate Cards","Atļaut Kartes Dublikātus"
"Enable Credit Card auto-detection on Storefront","Ieslēgt kredītkartes automātiksu noteikšanu"
"Your Kount ID","Jūsu Kount ID"
"Use Cache","Lietot Kešu"
"Edit My Credit Cards","Labot Manas kredītkartes"
"Pay with PayPal","Maksāt ar PayPal"
"Transaction is cancelled offline.","Transakcija ir noraidīta."
"Braintree Settlement","Braintree norēķini"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Ja nenorādīsiet pārdevēja kontu lai veiktu transakciju, Braintree veiks transakciju izmantojot noklusēto pārdevēja kontu."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Pārliecinieties vai ir ieslēgta Paplašināta Krāpšanas Aizsardzība Jūsu Braintree kontā pie Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Lieto tiešai krāpniecības rīka integrēšanai. Sazinieties ar <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> lai iestatītu Kount kontu."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Pārliecinieties vai ir ieslēgts AVS un /vai CVV Jūsu Braintree kontā pie Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","Ieteicams ieslēgt šo vērtību uz ""PayPal"" katra veikala skatā."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Šai funkcijai jābūt ieslēgtai PayPal pārdevēja kontā. To jāveic PayPal tehniskajā atbalstā."
"Also affects mini-shopping cart.","Iespaido arī mini grozu."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Kompānijas nosaukuma lauks klienta paziņojumā. Kompānijas nosaukumam/DBA sadaļai jābūt 3, 7 vai 12 simboliem
                                un produkta apraksts attiecīgi var būt līdz 18, 14 vai 9 simbolu garš (ieskaitot * starp apraksta nosaukuma 22 simboliem)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Telefona lauks klienta paziņojumā. Telefona numuram jābūt 10-14 simboliem un tas var saturēt tikai ciparus, domuzīmes, iekavas un punktus."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Veikala web adreses lauks klienta paziņojumā. Saitei jābūt 13 simboliem vai īsākai."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Paypal konts"
"Coinbase account","Coinbase konts"
"Europe bank account","Eiropas bankas konts"
"Credit card","Kredītkarte"
"Apple pay card","Apple pay karte"
"Android pay card","Android pay karte"
"Authorization expired","Beigusies autorizācija"
"Authorizing","Autorizācija"
"Authorized","Autorizēts"
"Gateway rejected","Vārteja noraidīta"
"Failed","Neizdevās"
"Processor declined","Procesors aizliegts"
"Settled","Atrisināts"
"Settling","Risina"
"Submitted for settlement","Nosūtīts risināšanai"
"Voided","Anulēts"
"Unrecognized","Neatpazīts"
"Settlement declined","Risinājums noraidīts"
"Settlement pending","Gaida risinājumu"
"Settlement confirmed","Risinājums apstiprināts"
"Sale","Pārdošana"
"Credit","Kredīts"
"Vault enabled","Seifs ieslēgts"
