"Country","Pays"
"Enable PayPal through Braintree","Activer PayPal par Braintree"
"Vault Enabled","Coffre activé"
"Basic Braintree Settings","Paramètres de base de Braintree"
"Title","Titre"
"Environment","Environnement"
"Payment Action","Action de paiement"
"Merchant ID","Identifiant marchand"
"Public Key","Clé publique"
"Private Key","Clé privée"
"Advanced Braintree Settings","Paramètres avancés de Braintree"
"Vault Title","Nom du coffre"
"Merchant Account ID","Identifiant du compte marchand"
"Advanced Fraud Protection","Protection contre la fraude avancée"
"Kount Merchant ID","Identifiant marchand Kount"
"Debug","Déboguage"
"CVV Verification","Vérification du CVV"
"Credit Card Types","Types de cartes de paiement"
"Sort Order","Ordre de tri""Abandoned Carts"
"Country Specific Settings","Paramètres spécifiques au pays"
"Payment from Applicable Countries","Mode de paiement autorisé pour les pays concernés"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Country Specific Credit Card Types","Cartes de crédit spécifiques à certains pays"
"PayPal through Braintree","PayPal par Braintree"
"Override Merchant Name","Substituer le nom de marchand"
"Require Customer's Billing Address","Nécessite l'adresse de facturation du client"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permet de modifier l’adresse d'expédition saisie lors de votre sortie de PayPal Side"
"Display on Shopping Cart","Afficher dans le panier"
"Skip Order Review","Ignorer l'examen des commandes"
"3D Secure Verification Settings","Paramètres de vérification 3D Secure "
"3D Secure Verification","Vérification 3D Secure"
"Threshold Amount","Montant seuil"
"Verify for Applicable Countries","Vérifier pour les pays concernés"
"Verify for Specific Countries","Vérifier pour pays spécifiques"
"Dynamic Descriptors","Descripteurs dynamiques"
"Name","Nom"
"Phone","Téléphone"
"URL","URL"
"CVV is required.","Le cryptogramme de sécurité (CVV) est nécessaire."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV doit être de 4 chiffres pour American Express et 3 chiffres pour les autres types de cartes."
"Expiration date is required.","Une date d'expiration est nécessaire."
"Expiration date is invalid.","La date d'expiration est non valide."
"Expiration year is invalid. It must be between 1975 and 2201.","L'année d’expiration n’est pas valide. Elle doit être comprise entre 1975 et 2201."
"Expiration month is invalid.","Le mois d'expiration est non valide."
"Expiration year is invalid.","L'année d'expiration est non valide."
"Credit card number is required.","Un numéro de carte de crédit est nécessaire."
"Credit card number is invalid.","Le numéro de carte de crédit est non valide."
"Credit card number must be 12-19 digits.","Le numéro de carte de crédit doit être de 12 à 19 chiffres."
"Cardholder name is too long.","Le nom du titulaire de carte est trop long."
"CVV verification failed.","Échec de la vérification de la CVV."
"Postal code verification failed.","Échec de la vérification du code postal."
"Credit card number is prohibited.","Numéro de carte de crédit est interdite."
"Addresses must have at least one field filled in.","Les adresses doivent avoir au moins un champ renseigné."
"Company is too long.","La société est trop longue."
"Extended address is too long.","L'adresse étendue est trop longue."
"First name is too long.","Le prénom est trop long."
"Last name is too long.","Le nom de famille est trop long."
"Locality is too long.","La ville est trop longue."
"Postal code is required.","Le code postal est requis."
"Postal code may contain no more than 9 letter or number characters.","Le code postal ne peut contenir au maximum que 9 lettres ou chiffres."
"Region is too long.","La région est trop longue."
"Street address is required.","L'adresse de rue est requise."
"Street address is too long.","L'adresse de rue est trop longue."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Le code postal ne peut contenir que des lettres, des chiffres, des espaces et des traits d'union."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Codes d’état des États-Unis doivent être deux caractères pour répondre aux exigences de Protection de vendeur PayPal."
"Incomplete PayPal account information.","Information incomplète de compte PayPal."
"Invalid PayPal account information.","Informations de compte PayPal non valides."
"PayPal Accounts are not accepted by this merchant account.","Les comptes PayPal ne sont pas acceptés par ce compte marchand."
"Billing address format is invalid.","Le format d’adresse de facturation n’est pas valide."
"Country name is not an accepted country.","Le nom du pays n'est pas un pays accepté."
"Country code is not accepted. Please contact the store administrator.","Ce code de pays n’est pas accepté. Veuillez contacter l’administrateur du site."
"Provided country information is inconsistent.","Informations sur le pays fourni sont incompatibles."
"Customer has already reached the maximum of 50 addresses.","Client a déjà atteint le maximum de 50 adresses."
"Address is invalid. Please contact the store administrator.","L’adresse n'est pas valide. Veuillez contacter l’administrateur du site."
"Error communicating with PayPal.","Erreur de communication avec PayPal."
"PayPal authentication expired.","Authentification de PayPal a expiré."
"Error executing PayPal order.","Erreur d’exécution de commande PayPal."
"Error executing PayPal billing agreement.","Erreur d’exécution PayPal entente de facturation."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Appliquer des filtres pour obtenir des résultats. Seulement 100 premiers enregistrements seront affichés dans la grille, vous serez en mesure de télécharger la version complète du rapport au format .csv."
"Select...","Sélectionner..."
"Status","Statut"
"Transaction Type","Type de transaction"
"Payment Type","Type de paiement"
"PayPal Payment ID","Identifiant de paiement PayPal"
"Created At","Créé à"
"Transaction ID","Identifiant de transaction"
"Order ID","ID Commande"
"Type","Type"
"Amount","Montant"
"Settlement Code","Code de règlement"
"Settlement Response Text","Texte de réponse de règlement"
"Refund Ids","Remboursement n°"
"Settlement Batch ID","N° de lot de règlement"
"Currency","Monnaie"
"Month","Mois"
"Year","Année"
"Stored Card","Carte enregistrée"
"Credit card successfully added","La carte de crédit a bien été ajouté"
"Something went wrong while saving the card.","Une erreur s'est produite lors de l'enregistrement de la carte."
"Credit card does not exist","La carte de crédit n'existe pas"
"Delete Credit Card","Supprimer la carte de crédit"
"There was error deleting the credit card","Une erreur s'est produite lors de la suppression de la carte de crédit"
"Credit card successfully deleted","La carte de crédit a bien été supprimée"
"Edit Credit Card","Modifier la carte de crédit"
"My Credit Cards","Mes cartes de crédit"
"New Credit Card","Nouvelle carte de crédit"
"There was error during saving card data","Il y a eu une erreur pendant l'enregistrement des données de la carte"
"We can't place the order.","Nous ne pouvons pas passer la commande."
"Incorrect payment method.","Mode de paiement incorrect."
"We can't initialize checkout review.","Impossible d'initialiser le commentaire de commande."
"We can't update shipping method.","Nous ne pouvons pas mettre à jour les mode de livraison."
"The processor declined your transaction, please re-enter your payment information","Le processeur a décliné votre transaction, veuillez saisir à nouveau vos informations de paiement"
"Transaction declined by gateway: Check card details or try another card","Transaction refusée par la passerelle: Vérifiez les détails de la carte ou essayez une autre carte"
"Transaction declined: ","Transaction refusée: "
"."," "
"The processor responded with an unknown error","Le processeur a répondu par une erreur inconnue"
"Credit card type is not allowed for your country.","Ce type de carte de crédit n'est pas autorisé pour votre pays."
"Credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement."
"Selected payment type is not allowed for billing country.","Le type de paiement sélectionné n'est pas autorisé pour le pays de facturation."
"Incomplete payment information.","Informations de paiement incomplètes."
"Please try again later","Veuillez réessayer plus tard"
"Can not find original authorization transaction for partial capture","Impossible de trouver l'autorisation de transaction originale pour une collecte partielle"
"There was an error capturing the transaction: %1.","Il y avait une erreur de saisie de la transaction : %1."
"This refund is for a partial amount but the Transaction has not settled.","Ce remboursement est pour une partie du montant mais la Transaction n'a pas été réglée."
"Please wait 24 hours before trying to issue a partial refund.","Veuillez attendre 24 heures avant d'essayer d'émettre un remboursement partiel."
"There was an error refunding the transaction: %1.","Une erreur s'est produite lors du remboursement de la transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Certaines de ces transactions sont déjà réglées ou annulées et ne peuvent pas être annulées."
"Voided capture.","Capture refusée."
"There was an error voiding the transaction: %1.","Une erreur s'est produite lors de l'annulation de la transaction: %1."
"Invoice","Facturer"
"Shipment","Expédition"
"Invalid Customer ID provided","Identifiant client spécifié invalide"
"some error","une erreur"
"a,b,c","a,b,c"
"Something went wrong while processing.","Une erreur est survenue lors du traitement."
"error","erreur"
"exception","XML d'Excel"
"Payment Information","Informations de paiement"
"Add new card","Ajouter une nouvelle carte"
"Please Select","Veuillez sélectionner"
"Save this card for future use","Enregistrer cette carte pour une prochaine fois"
"or","ou"
"Please confirm that you want to delete this credit card","Veuillez confirmer la suppression de cette carte de crédit"
"Cardholder Name","Nom du titulaire de la carte"
"Back","Retour"
"* Required Fields","* Champs obligatoires"
"CVV","Cryptogramme de sécurité (CVV)"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Make Default","Définir par défaut"
"Billing Address","Adresse de facturation"
"First Name","Prénom"
"Last Name","Nom"
"Company","Société"
"Address","Adresse"
"City","Ville"
"State/Province","État/Région"
"Please select region, state or province","Sélectionnez un département / état"
"Zip/Postal Code","Code postal"
"Submit","Valider"
"Add Credit Card","Ajouter une carte de crédit"
"Card Number","Numéro de carte"
"Is Default","Est par défaut"
"Yes","Oui"
"No","Non"
"Edit","Éditer"
"An error occured with payment processing.","Une erreur s'est produite lors du traitement du paiement."
"Can not initialize PayPal (Braintree)","Impossible d'initialiser PayPal (Braintree)"
"&nbsp;","&"
"Capture action","Capturer l'action"
"New Order Status","Statut d'une nouvelle commande"
"Use Vault","Utiliser le coffre"
"Allow Duplicate Cards","Autoriser les cartes en double"
"Enable Credit Card auto-detection on Storefront","Activer la détection automatique de cartes de crédit sur le font-office"
"Your Kount ID","Votre ID Kount"
"Use Cache","Utiliser le cache"
"Edit My Credit Cards","Modifier mes cartes de crédit"
"Pay with PayPal","Payer avec PayPal"
"Transaction is cancelled offline.","La transaction est annulée hors ligne."
"Braintree Settlement","Règlement Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Si vous ne spécifiez pas le compte marchand à utiliser pour traiter une transaction, Braintree le traitera en utilisant votre compte marchand par défaut."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Assurez-vous d'activer la protection des fraudes avancées dans votre compte Braintree dans la section Paramètres/Traitement"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Utilisé pour l'intégration directe de l'outil de fraude. Assurez-vous également de contacter <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> pour configurer votre compte Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Assurez-vous d'activer AVS et/ou CVV dans votre compte Braintree dans la section Paramètres/Traitement."
"It is recommended to set this value to ""PayPal"" per store views.","Il est recommandé de fixer cette valeur à ""PayPal"" par vues de magasin."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Cette fonctionnalité doit d'abord être activée pour le compte commerçant via le support technique de PayPal."
"Also affects mini-shopping cart.","Affecte également le panier de mini-achats."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Les descripteurs dynamiques sont envoyés sur une base par transaction et définissent ce qui apparaîtra sur vos relevés de carte de crédit clients pour un achat spécifique.
                            Plus la description de votre produit est claire, les clients moins susceptibles émettront des débits en raison de la confusion ou de la non-reconnaissance.
                            Les descripteurs dynamiques ne sont pas activés sur tous les comptes par défaut. Si vous recevez une erreur de validation de 92203 ou si vos descripteurs dynamiques ne s'affichent pas comme prévu,
                            Veuillez <a href=""mailto:support@getbraintree.com"">Soutien Braintree</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","La valeur dans le champ nom d'entreprise d'une déclaration de client. La section Nom de la société/DBA doit être soit 3, 7 ou 12 caractères
                                et le descripteur du produit peut être de 18, 14 ou 9 caractères respectivement (avec un * entre le nom du descripteur total de 22 caractères)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","La valeur dans le champ numéro de téléphone d'une commande client. Le téléphone doit contenir 10-14 caractères et ne peut contenir que des chiffres, des tirets, des parenthèses et des points."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","La valeur dans le champ URL/adresse web de la requête du client. L'URL doit être de 13 caractères ou plus courte."
"The Payment Token is not available to perform the request.","Le jeton de paiement n'est pas disponible pour effectuer la demande."
"Checkout failed to initialize. Verify and try again.","La commande a échoué à initialiser. Vérifiez et réessayez."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas été passée. Tout d'abord, acceptez les conditions générales, puis essayez de passer votre commande à nouveau."
"Paypal account","Compte Paypal"
"Coinbase account","Compte Coinbase"
"Europe bank account","Compte bancaire Europe"
"Credit card","Carte de crédit"
"Apple pay card","Apple PayCard"
"Android pay card","Carte de paiement Android"
"Authorization expired","Autorisation expirée"
"Authorizing","Autorisation en cours"
"Authorized","Autorisé"
"Gateway rejected","Transaction rejetée"
"Failed","Échec"
"Processor declined","Procédure refusée"
"Settled","Réglé"
"Settling","Réglement en cours"
"Submitted for settlement","Soumis pour règlement"
"Voided","Annulé"
"Unrecognized","Non reconnu"
"Settlement declined","Règlement refusé"
"Settlement pending","Règlement en attente"
"Settlement confirmed","Règlement confirmé"
"Sale","Vente"
"Credit","Crédit"
"Vault enabled","Coffre activé"
