"Country","Negara"
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Pelanggan tidak memiliki kartu kredit."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Terima kartu kredit / debit dan PayPal di toko Magento Anda. <br/> Tidak ada biaya setup atau bulanan dan pelanggan Anda tidak pernah meninggalkan toko Anda untuk menyelesaikan pembelian."
"Enable this Solution","Aktifkan Solusi ini"
"Enable PayPal through Braintree","Aktifkan PayPal melalui Braintree"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Setelan Dasar Braintree"
"Title","Judul"
"Environment","Lingkungan Hidup"
"Payment Action","Tindakan Pembayaran"
"Merchant ID","ID Pedagang"
"Public Key","Kunci Publik"
"Private Key","Kunci Pribadi"
"Advanced Braintree Settings","Setelan Braintree Tingkat Lanjut"
"Vault Title","Judul Lompatan"
"Merchant Account ID","ID Akun Pedagang"
"Advanced Fraud Protection","Perlindungan Penipuan canggih"
"Kount Merchant ID","Jumlah ID Pedagang"
"Debug","Menulusuri"
"CVV Verification","Verifikasi CVV"
"Credit Card Types","Tipe Kartu Kredit"
"Sort Order","Urutan"
"Country Specific Settings","Pengaturan Negara-Negara tertentu"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Country Specific Credit Card Types","Tipe Kartu Kredit Negara-Negara tertentu"
"PayPal through Braintree","PayPal melalui Braintree"
"Override Merchant Name","Mengesampingkan Nama Pedagang"
"Require Customer's Billing Address","Membutuhkan Alamat Penagihan Pelanggan"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Memungkinkan untuk Mengedit Alamat Pengiriman Pemasukan Selama Checkout di Situs PayPal"
"Display on Shopping Cart","Tampilan di Keranjang Belanja"
"Skip Order Review","Lewati ulasan pesanan"
"3D Secure Verification Settings","Pengaturan Verifikasi 3D Aman"
"3D Secure Verification","Verifikasi 3D Aman"
"Threshold Amount","Jumlah Permulaan"
"Verify for Applicable Countries","Verifikasi untuk Negara yang Berlaku"
"Verify for Specific Countries","Verifikasi untuk Negara-Negara Tertentu"
"Dynamic Descriptors","Descriptor Dinamis"
"Name","Nama"
"Phone","Telepon"
"URL","URL"
"CVV is required.","CVV diperlukan."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Tanggal kadaluarsa diperlukan."
"Expiration date is invalid.","Tanggal kadaluarsa tidak valid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Bulan kadaluarsa tidak valid."
"Expiration year is invalid.","Tahun kadaluarsa tidak valid."
"Credit card number is required.","Nomor kartu kredit diperlukan."
"Credit card number is invalid.","Nomor kartu kredit tidak valid."
"Credit card number must be 12-19 digits.","Nomor kartu kredit harus 12-19 digit."
"Cardholder name is too long.","Nama pemegang kartu terlalu panjang."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Perusahaan terlalu panjang."
"Extended address is too long.","Extended address is too long."
"First name is too long.","Nama depan terlalu panjang."
"Last name is too long.","Nama terakhir terlalu panjang."
"Locality is too long.","Locality is too long."
"Postal code is required.","Kode pos yang diperlukan."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Wilayah terlalu panjang."
"Street address is required.","Alamat jalan diperlukan."
"Street address is too long.","Alamat jalan terlalu panjang."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Terapkan filter untuk mendapatkan hasil. Hanya 100 pertama catatan akan ditampilkan di grid, Anda akan dapat men-download versi lengkap dari laporan yang berformat .csv."
"Select...","Pilih..."
"Status","Keadaan"
"Transaction Type","Tipe Transaksi"
"Payment Type","Tipe Pembayaran"
"PayPal Payment ID","ID Pembayaran PayPal"
"Created At","Dibuat di"
"Transaction ID","ID Transaksi"
"Order ID","Memesan ID"
"Type","Jenis"
"Amount","Jumlah"
"Settlement Code","Kode Penyelesaian"
"Settlement Response Text","Teks Respon Penyelesaian"
"Refund Ids","Pengembalian dana Ids"
"Settlement Batch ID","Penyelesaian sejumlah ID"
"Currency","Mata Uang"
"Month","Bulan"
"Year","Tahun"
"Stored Card","Stored Card"
"Credit card successfully added","Kartu kredit berhasil ditambahkan"
"Something went wrong while saving the card.","Terjadi kesalahan ketika menyimpan kartu."
"Credit card does not exist","Kartu kredit tidak ditemukan"
"Delete Credit Card","Hapus Kartu Kredit"
"There was error deleting the credit card","There was an error deleting the credit card"
"Credit card successfully deleted","Kartu kredit berhasil dihapus"
"Edit Credit Card","Edit Kartu Kredit"
"My Credit Cards","Kartu Kredit Saya"
"New Credit Card","Kartu Kredit Baru"
"There was error during saving card data","There was an error during saving card data"
"We can't place the order.","Kami tidak bisa melakukan pemesanan."
"Incorrect payment method.","Metode pembayaran salah."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","Kami tidak bisa memperbarui metode pengiriman."
"The processor declined your transaction, please re-enter your payment information","Prosesor menolak transaksi kamu, silahkan masukkan kembali informasi pembayaran anda"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaksi ditolak: "
".","."
"The processor responded with an unknown error","Prosesor merespons dengan kesalahan yang tidak diketahui"
"Credit card type is not allowed for your country.","Jenis kartu kredit tidak diizinkan untuk negara anda."
"Credit card type is not allowed for this payment method.","Kartu kredit tidak diizinkan untuk metode pembayaran ini."
"Selected payment type is not allowed for billing country.","Jenis pembayaran yang dipilih tidak diizinkan untuk negara penagihan."
"Incomplete payment information.","Informasi pembayaran tidak lengkap."
"Please try again later","Silahkan coba lagi nanti"
"Can not find original authorization transaction for partial capture","Cannot find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Silahkan tunggu 24 jam sebelum mencoba mengeluarkan sebagian pengembalian dana."
"There was an error refunding the transaction: %1.","Terjadi kesalahan saat pengembalian dana transaksi: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Pengambilan suara."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Faktur"
"Shipment","Pengiriman"
"Invalid Customer ID provided","ID Pelanggan diberikan Tidak Valid"
"some error","beberapa kesalahan"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","kesalahan"
"exception","pengecualian"
"Payment Information","Informasi Pembayaran"
"Add new card","Tambahkan kartu baru"
"Please Select","Silahkan pilih"
"Save this card for future use","Save this card for future use"
"or","atau"
"Please confirm that you want to delete this credit card","Silahkan konfimasi jika kamu mau menghapus kartu kredit ini"
"Cardholder Name","Nama Pemegang kartu"
"Back","Kembali"
"* Required Fields","* Bidang yang harus Diisi"
"CVV","CVV"
"Card Verification Number Visual Reference","Nomor Referensi Visual Verifikasi Kartu"
"Make Default","Make Default"
"Billing Address","Alamat tagihan"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Company","Perusahaan"
"Address","Alamat"
"City","Kota"
"State/Province","Negara/Provinsi"
"Please select region, state or province","Silakan pilih wilayah, negara bagian atau provinsi"
"Zip/Postal Code","Zip/Kode Pos"
"Submit","Kirim"
"Add Credit Card","Tambahkan Kartu Kredit"
"Card Number","Nomor kartu"
"Is Default","Default"
"Yes","Ya"
"No","Tidak"
"Edit","Ubah"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","Status Pesanan Baru"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Ubah Kartu Kredit Saya"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","Dianjurkan untuk menetapkan nilai ini untuk ""PayPal"" setiap toko dilihat."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Fitur ini perlu diaktifkan pertama untuk pedagang akun melalui PayPal dukungan teknis."
"Also affects mini-shopping cart.","Juga memengaruhi keranjang belanja-mini."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Akun Paypal"
"Coinbase account","Akun Coinbase"
"Europe bank account","Akun Bank Eropa"
"Credit card","Kartu Kredit"
"Apple pay card","Kartu bayar Apple"
"Android pay card","Kartu bayar Android"
"Authorization expired","Otorisasi kadaluarsa"
"Authorizing","Otorisasi"
"Authorized","Resmi"
"Gateway rejected","Gateway ditolak"
"Failed","Gagal"
"Processor declined","Processor menurun"
"Settled","Lunas"
"Settling","Penyelesaian"
"Submitted for settlement","Diajukan untuk penyelesaian"
"Voided","Membatalkan"
"Unrecognized","Yang belum diakui"
"Settlement declined","Penyelesaian menurun"
"Settlement pending","Penyelesaian tertunda"
"Settlement confirmed","Penyelesaian diterima"
"Sale","Dijual"
"Credit","Kredit"
"Vault enabled","Lompatan diaktifkan"
