"Country","Χώρα"
"This payment is not available","Η πληρωμή αυτή δεν είναι διαθέσιμη"
"MM","MM"
"YY","ΕΕ"
"Please try again with another form of payment.","Παρακαλώ δοκιμάστε ξανά με μια άλλη μέθοδο πληρωμής."
"Sorry, but something went wrong.","Συγνώμη, αλλά κάτι πήγε στραβά."
"Payment ","Πληρωμή "
"Credit card type is not accepted by this merchant account.","Ο τύπος πιστωτικής κάρτας δεν ήταν αποδεκτός από αυτόν τον λογαριασμό εμπόρου."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Οι πιστωτικές συναλλαγές δεν μπορούν να επιστραφούν."
"Cannot refund a transaction unless it is settled.","Δεν είναι δυνατή η επιστροφή χρημάτων μιας συναλλαγής εκτός εάν έχει γίνει διακανονισμός."
"Cannot submit for settlement unless status is authorized.","Δεν είναι δυνατή η υποβολή για διακανονισμό εκτός εάν η κατάσταση έχει εγκριθεί."
"Customer does not have any credit cards.","Ο πελάτης δεν έχει καμία πιστωτική κάρτα."
"Transaction has already been completely refunded.","Η συναλλαγή έχει ήδη επιστραφεί πλήρως."
"Payment instrument type is not accepted by this merchant account.","Ο τύπος μέσου πληρωμής δεν γίνεται αποδεκτός από αυτόν τον λογαριασμό εμπόρου."
"Processor authorization code cannot be set unless for a voice authorization.","Ο κωδικός εξουσιοδότησης επεξεργαστή δεν μπορεί να οριστεί εκτός εάν πρόκειται για φωνητική εξουσιοδότηση."
"Refund amount is too large.","Το ποσό επιστροφής είναι πολύ μεγάλο."
"Settlement amount is too large.","Το ποσό διευθέτησης είναι πολύ μεγάλο."
"Cannot provide a billing address unless also providing a credit card.","Δεν είναι δυνατή η παροχή μιας διεύθυνσης χρέωσης, εκτός εάν παρέχεται και μια πιστωτική κάρτα."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Ο λογαριασμός εμπόρου δεν υποστηρίζει επιστροφές."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Δεν είναι δυνατή η επιστροφή μιας συναλλαγής συναλλαγής στην κατάσταση διακανονισμού σε αυτόν τον λογαριασμό εμπόρου. Δοκιμάστε ξανά μετά τη διευθέτηση της συναλλαγής."
"PayPal is not enabled for your merchant account.","Το PayPal δεν είναι ενεργοποιημένο για τον εμπορικό σας λογαριασμό."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Δεν είναι δυνατή η υποβολή για μερική διευθέτηση."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Πάρα πολλές ταυτόχρονες προσπάθειες επιστροφής χρημάτων για τη συγκεκριμένη συναλλαγή. Προσπαθήστε ξανά αργότερα."
"Too many concurrent attempts to void this transaction. Try again later.","Πάρα πολλές ταυτόχρονες προσπάθειες να ακυρωθεί αυτή η συναλλαγή. Προσπαθήστε ξανά αργότερα."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Δεχτείτε πιστωτικές/χρεωστικές κάρτες και πληρωμές μέσω PayPal στο Magento κατάστημα σας.<br/>Χωρίς μηνιαία ή κόστη ενεργοποιήσης και οι πελάτες σας δεν φεύγουν από το κατάστημα για να ολοκληρώσουν την αγορά τους."
"Enable this Solution","Ενεργοποίηση αυτής της λύσης"
"Enable PayPal through Braintree","Ενεργοποίηση PayPal μέσω Braintree"
"Vault Enabled","Θάλαμος Ενεργοποιημένος"
"Basic Braintree Settings","Bασικές ρυθμίσεις Braintree"
"Title","Τίτλος"
"Environment","Περιβάλλον"
"Payment Action","Ενέργεια Πληρωμής"
"Merchant ID","ID Εμπόρου"
"Public Key","Δημόσιο Κλειδί"
"Private Key","Ιδιωτικό Κλειδί"
"Advanced Braintree Settings","Προηγμένες Ρυθμίσεις Braintree"
"Vault Title","Τίτλος Θάλαμου"
"Merchant Account ID","ID του λογαριασμού εμπόρου"
"Advanced Fraud Protection","Προηγμένη Προστασία Απάτης"
"Kount Merchant ID","Kount ID Εμπόρου"
"Debug","Αποσφαλμάτωση"
"CVV Verification","Eπαλήθευση CVV"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Sort Order","Σειρά Ταξινόμησης"
"Country Specific Settings","Ειδικές ρυθμίσεις χώρας"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Country Specific Credit Card Types","Τύποι Συγκεκριμένων πιστωτικών καρτών Χώρας"
"PayPal through Braintree","PayPal μέσω Braintree"
"Override Merchant Name","Παράκαμψη Ονόματος Εμπόρου"
"Require Customer's Billing Address","Απαιτείται Διεύθυνση Χρέωσης του Πελάτη"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Επιτρέξτε την Επεξεργασία εισαγώμενης Διεύθυνσης Αποστολής κατά τη διάρκεια Ολοκλήρωσης Παραγγελίας Checkout στην πλευρά του PayPal"
"Display on Shopping Cart","Προβολή στο καλάθι αγορών"
"Skip Order Review","Παράκαμψη της Ανασκόπησης της Παραγγελίας"
"3D Secure Verification Settings","3D ασφαλής επαλήθευση ρυθμίσεων"
"3D Secure Verification","3D ασφαλής επαλήθευση"
"Threshold Amount","Όριο Ποσού"
"Verify for Applicable Countries","Βεβαίωση για Ισχύουσες Χώρες"
"Verify for Specific Countries","Βεβαίωση για Συγκεκριμένες Χώρες"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","Όνομα"
"Phone","Τηλέφωνο"
"URL","Διεύθυνση URL"
"CVV is required.","CVV είναι απαραίτητη."
"CVV must be 4 digits for American Express and 3 digits for other card types.","Ο κωδικός CVV πρέπει να είναι 4 ψηφία για American Express και 3 ψηφία για άλλους τύπους καρτών."
"Expiration date is required.","Ημερομηνία λήξης είναι απαραίτητη."
"Expiration date is invalid.","Ημερομηνία λήξης δεν είναι έγκυρη."
"Expiration year is invalid. It must be between 1975 and 2201.","Το έτος λήξης δεν είναι έγκυρο. Πρέπει να είναι μεταξύ 1975 και 2201."
"Expiration month is invalid.","Μήνα λήξης δεν είναι έγκυρος."
"Expiration year is invalid.","Έτος λήξης δεν είναι έγκυρο."
"Credit card number is required.","Απαιτείται ο αριθμός κάρτας."
"Credit card number is invalid.","Ο αριθμός κάρτας δεν είναι έγκυρος."
"Credit card number must be 12-19 digits.","Ο αριθμός πιστωτικής κάρτας πρέπει να είναι 12-19 ψηφία."
"Cardholder name is too long.","Το όνομα του κατόχου κάρτας είναι πολύ μεγάλο."
"CVV verification failed.","Η επαλήθευση CVV απέτυχε."
"Postal code verification failed.","Η επαλήθευση ταχυδρομικού κώδικα απέτυχε."
"Credit card number is prohibited.","Απαγορεύεται ο αριθμός κάρτας."
"Addresses must have at least one field filled in.","Οι διευθύνσεις πρέπει να έχουν τουλάχιστον ένα πεδίο συμπληρωμένο."
"Company is too long.","Η εταιρεία είναι πολύ μεγάλη."
"Extended address is too long.","Εκτεταμένη διεύθυνση είναι πολύ μεγάλη."
"First name is too long.","Το όνομα είναι πολύ μεγάλο."
"Last name is too long.","Το επώνυμο είναι πολύ μεγάλο."
"Locality is too long.","Τοποθεσία είναι πάρα πολύ μεγάλο."
"Postal code is required.","Ταχυδρομικός κώδικας απαιτείται."
"Postal code may contain no more than 9 letter or number characters.","Ο ταχυδρομικός κωδικός δεν μπορεί να είναι περισσότερο από 9 χαρακτήρες γραμμάτων ή αριθμών."
"Region is too long.","Η περιοχή είναι πολύ μεγάλο."
"Street address is required.","Ταχυδρομική διεύθυνση είναι απαραίτητη."
"Street address is too long.","Ταχυδρομική διεύθυνση είναι πολύ μεγάλη."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Ο ταχυδρομικός κωδικός μπορεί να περιέχει μόνο γράμματα, αριθμούς, κενά, και παύλες."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Ελλιπείς πληροφορίες λογαριασμού PayPal."
"Invalid PayPal account information.","Μη έγκυρες πληροφορίες λογαριασμού PayPal."
"PayPal Accounts are not accepted by this merchant account.","Οι λογαριασμοί PayPal δεν γίνονται αποδεκτοί από αυτόν τον λογαριασμό εμπόρου."
"Billing address format is invalid.","Η μορφή της διεύθυνσης χρέωσης δεν είναι έγκυρη."
"Country name is not an accepted country.","Το όνομα χώρας δεν είναι αποδεκτή χώρα."
"Country code is not accepted. Please contact the store administrator.","Ο κωδικός χώρας δεν είναι αποδεκτός. Παρακαλώ επικοινωνήστε με τον διαχειριστή καταστήματος."
"Provided country information is inconsistent.","Οι παρεχόμενες πληροφορίες για τη χώρα είναι ασυνεπείς."
"Customer has already reached the maximum of 50 addresses.","Ο πελάτης έχει ήδη φτάσει το μέγιστο των 50 διευθύνσεων."
"Address is invalid. Please contact the store administrator.","Η διεύθυνση δεν είναι έγκυρη. Επικοινωνήστε με τον διαχειριστή του καταστήματος."
"Error communicating with PayPal.","Σφάλμα επικοινωνίας με PayPal."
"PayPal authentication expired.","Ο έλεγχος ταυτότητας PayPal έληξε."
"Error executing PayPal order.","Σφάλμα εκτέλεσης παραγγελίας PayPal."
"Error executing PayPal billing agreement.","Σφάλμα κατά την εκτέλεση της συμφωνίας χρέωσης του PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Εφαρμόστε τα φίλτρα για να πάρετε τα αποτελέσματα. Μόνο οι πρώτες 100 εγγραφές θα εμφανιστούν στο πλέγμα, θα είστε σε θέση να κατεβάσετε την πλήρη έκδοση της έκθεσης σε μορφή csv."
"Select...","Επιλέξτε..."
"Status","Κατάσταση"
"Transaction Type","Τύπος Συναλλαγής"
"Payment Type","Τύπος Πληρωμής"
"PayPal Payment ID","ID Πληρωμής PayPal"
"Created At","Δημιουργήθηκε στις"
"Transaction ID","ID Συναλλαγής"
"Order ID","Κωδικός Παραγγελίας"
"Type","Τύπος"
"Amount","Ποσό"
"Settlement Code","Κώδικας διευθέτησης"
"Settlement Response Text","Κείμενο Απάντησης Διευθέτησης"
"Refund Ids","Επιστρεφόμενα id"
"Settlement Batch ID","Αναγνωριστικό δέσμης διευθέτησης"
"Currency","Νόμισμα"
"Month","Μήνας"
"Year","Έτος"
"Stored Card","Αποθηκευμένη Κάρτα"
"Credit card successfully added","Η Πιστωτική κάρτα προστέθηκε με επιτυχία"
"Something went wrong while saving the card.","Κάτι πήγε στραβά κατά την αποθήκευση της κάρτας."
"Credit card does not exist","Η πιστωτική κάρτα δεν υπάρχει"
"Delete Credit Card","Διαγραφή Πιστωτικής Κάρτας"
"There was error deleting the credit card","Παρουσιάστηκε σφάλμα κατά τη διαγραφή της πιστωτικής κάρτας"
"Credit card successfully deleted","Η πιστωτική κάρτα διαγράφηκε με επιτυχία"
"Edit Credit Card","Επεξεργασία Πιστωτικών Καρτών"
"My Credit Cards","Οι Πιστωτικές Κάρτες μου"
"New Credit Card","Νέα Πιστωτική Κάρτα"
"There was error during saving card data","Παρουσιάστηκε σφάλμα κατά την αποθήκευση των δεδομένων της κάρτας"
"We can't place the order.","Δεν μπορούμε να ολοκληρώσουμε την παραγγελία."
"Incorrect payment method.","Λανθασμένη μέθοδος πληρωμής."
"We can't initialize checkout review.","Δεν είναι δυνατή η προετοιμασία της αναθεώρησης της Ολοκλήρωσης Αγοράς."
"We can't update shipping method.","Δεν είναι δυνατό να ενημερώσουμε μέθοδο αποστολής."
"The processor declined your transaction, please re-enter your payment information","Ο επεξεργαστής αρνήθηκε τη συναλλαγή σας, παρακαλούμε να εισάγετε εκ νέου τα στοιχεία πληρωμής σας"
"Transaction declined by gateway: Check card details or try another card","Η συναλλαγή ακυρώθηκε από την πύλη: Ελέγξτε τα στοιχεία της κάρτας ή δοκιμάστε μια άλλη κάρτα"
"Transaction declined: ","Η συναλλαγή απορρίφθηκε: "
".","."
"The processor responded with an unknown error","Ο επεξεργαστής απάντησε με ένα άγνωστο σφάλμα"
"Credit card type is not allowed for your country.","Ο τύπος πιστωτικής κάρτας δεν επιτρέπεται για τη χώρα σας."
"Credit card type is not allowed for this payment method.","Ο τύπος πιστωτικής κάρτας δεν επιτρέπεται για αυτήν τη μέθοδο πληρωμής."
"Selected payment type is not allowed for billing country.","Ο επιλεγμένος τύπος πληρωμής δεν επιτρέπεται για τιμολόγηση σε αυτήν την χώρα."
"Incomplete payment information.","Ελλιπής πληροφορίες πληρωμής."
"Please try again later","Παρακαλώ δοκιμάστε ξανά αργότερα"
"Can not find original authorization transaction for partial capture","Δεν μπορεί να βρεθεί η αρχική άδεια συναλλαγής για μερική σύλληψη"
"There was an error capturing the transaction: %1.","Παρουσιάστηκε σφάλμα κατά την δέσμευση της συναλλαγής: %1."
"This refund is for a partial amount but the Transaction has not settled.","Αυτή η επιστροφή είναι για μια μερική ποσότητα αλλά η συναλλαγή δεν έχει διευθετηθεί."
"Please wait 24 hours before trying to issue a partial refund.","Περιμένετε 24 ώρες πρίν προσπαθήσετε να εκδώσετε μια μερική επιστροφή χρημάτων."
"There was an error refunding the transaction: %1.","Παρουσιάστηκε σφάλμα κατά την επιστροφή της συναλλαγής: %1."
"Some transactions are already settled or voided and cannot be voided.","Ορισμένες συναλλαγές είναι ήδη σε διευθέτηση ή ακυρώθηκαν και δεν μπορούν να ακυρωθούν."
"Voided capture.","Ακυρωμένο σύλληψη."
"There was an error voiding the transaction: %1.","Παρουσιάστηκε σφάλμα κατά την ακύρωση συναλλαγής: %1."
"Invoice","Παραστατικό"
"Shipment","Αποστολή"
"Invalid Customer ID provided","Μη έγκυρο ID πελάτη που δόθηκε"
"some error","κάποιο λάθος"
"a,b,c","α, β, γ"
"Something went wrong while processing.","Κάτι πήγε στραβά κατά την επεξεργασία."
"error","σφάλμα"
"exception","εξαίρεση"
"Payment Information","Στοιχεία Πληρωμής"
"Add new card","Προσθέστε νέα κάρτα"
"Please Select","Παρακαλώ Επιλέξτε"
"Save this card for future use","Αποθηκεύστε αυτή την κάρτα για μελλοντική χρήση"
"or","ή"
"Please confirm that you want to delete this credit card","Παρακαλώ επιβεβαιώστε ότι θέλετε να διαγράψετε αυτή τη πιστωτική κάρτα"
"Cardholder Name","Όνομα κατόχου της κάρτας"
"Back","Πίσω"
"* Required Fields","* Απαιτούμενα πεδία"
"CVV","CVV"
"Card Verification Number Visual Reference","Οπτική αναφορά αριθμού επαλήθευσης κάρτας"
"Make Default","Κάντε Προεπιλεγμένη"
"Billing Address","Διεύθυνση Χρέωσης"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Company","Εταιρία"
"Address","Διεύθυνση"
"City","Πόλη"
"State/Province","Νομός/επαρχία"
"Please select region, state or province","Παρακαλώ επιλέξτε μια περιοχή, χώρα ή περιφέρεια"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Submit","Υποβολή"
"Add Credit Card","Προσθήκη πιστωτικής κάρτας"
"Card Number","Αριθμός Κάρτας"
"Is Default","Είναι Προεπιλογή"
"Yes","Ναί"
"No","Όχι"
"Edit","Επεξεργασία"
"An error occured with payment processing.","Παρουσιάστηκε ένα σφάλμα κατά την επεξεργασία των πληρωμών."
"Can not initialize PayPal (Braintree)","Δεν μπορεί να μην προετοιμαστεί το PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Δέσμευση Ενέργειας"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Use Vault","Χρήση Θάλαμου"
"Allow Duplicate Cards","Επιτρέψτε Πανομοιότυπες Κάρτες"
"Enable Credit Card auto-detection on Storefront","Ενεργοποίηση αυτόματης ανίχνευσης Πιστωτικής κάρτας στη Βιτρίνα Καταστήματος"
"Your Kount ID","Το ID Kount"
"Use Cache","Χρήση Προσωρινής Μνήμης"
"Edit My Credit Cards","Επεξεργασία των Πιστωτικών μου Καρτών"
"Pay with PayPal","Πληρωμή με PayPal"
"Transaction is cancelled offline.","Η συναλλαγή ακυρώθηκε χωρίς σύνδεση."
"Braintree Settlement","Διευθέτηση Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Αν δεν καθορίσετε τον εμπορικό λογαριασμό που θα χρησιμοποιηθεί για την επεξεργασία μιας συναλλαγής, η Braintree θα την επεξεργαστεί χρησιμοποιώντας τον προεπιλεγμένο λογαριασμό εμπόρου."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Βεβαιωθείτε ότι έχετε ενεργοποιήσει το AVS ή/και το CVV στον λογαριασμό Braintree στο τμήμα Ρυθμίσεις/Επεξεργασία."
"It is recommended to set this value to ""PayPal"" per store views.","Συνιστάται να ρυθμίσετε αυτήν την τιμή ""Paypal"" ανά προβολές καταστήματος."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Αυτή η δυνατότητα πρέπει να ενεργοποιηθεί πρώτα για τον εμπορικό λογαριασμό μέσω της τεχνικής υποστήριξης του PayPal."
"Also affects mini-shopping cart.","Επηρεάζει επίσης το μίνι-καλάθι αγορών."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Η ολοκλήρωση παραγγελίας απέτυχε να προετοιμαστεί. Επαληθεύστε και προσπαθήστε ξανά."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Η παραγγελία δεν υποβλήθηκε. Αποδεχτείτε πρώτα τους όρους χρήσης και στη συνέχεια προσπαθήστε να υποβάλετε ξανά την παραγγελία σας."
"Paypal account","Λογαριασμός PayPal"
"Coinbase account","Λογαριασμός Coinbase"
"Europe bank account","Τραπεζικός λογαριασμός Ευρώπης"
"Credit card","Πιστωτική Κάρτα"
"Apple pay card","Κάρτα πληρωμής Apple"
"Android pay card","Κάρτα πληρωμής Android"
"Authorization expired","Έληξε η άδεια"
"Authorizing","Εξουσιοδότηση"
"Authorized","Εξουσιοδοτήθηκε"
"Gateway rejected","Η Πύλη απέρριψε"
"Failed","Απέτυχε"
"Processor declined","Ο Επεξεργαστής μειώθηκε"
"Settled","Εγκαταστάθηκαν"
"Settling","Διευθέτηση"
"Submitted for settlement","Υποβλήθηκαν για διευθέτηση"
"Voided","Ακυρωμένη"
"Unrecognized","Δεν αναγνωρίζεται"
"Settlement declined","Η Διευθέτηση ακυρώθηκε"
"Settlement pending","Διευθέτηση σε αναμονή"
"Settlement confirmed","Η Διευθέτηση επιβεβαιωθηκε"
"Sale","Προσφορά"
"Credit","Πίστωση"
"Vault enabled","Θάλαμος ενεργοποιημένος"
