"Country","Land"
"Too many concurrent attempts to void this transaction. Try again later.","For mange samtidige forsøk på å ugyldiggjøre denne transaksjonen. Prøv igjen senere."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","Aktiver løsningen"
"Enable PayPal through Braintree","Aktiver PayPal gjennom Braintree"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Grunnleggende Braintree innstillinger"
"Title","Tittel"
"Environment","Miljø"
"Payment Action","Betalingshandling"
"Merchant ID","Selger ID"
"Public Key","Offentlig nøkkel"
"Private Key","Privat nøkkel"
"Advanced Braintree Settings","Avansert Braintree innstillinger"
"Vault Title","Vault Title"
"Merchant Account ID","Kjøpmann konto-ID"
"Advanced Fraud Protection","Avansert svidelbeskyttelse"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Feilsøk"
"CVV Verification","CVV bekreftelse"
"Credit Card Types","Kredittkorttyper"
"Sort Order","Sorteringsrekkefølge"
"Country Specific Settings","Landspesifikke instillinger"
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Country Specific Credit Card Types","Landet bestemte kredittkort typer"
"PayPal through Braintree","PayPal gjennom Braintree"
"Override Merchant Name","Overstyr selgernavn"
"Require Customer's Billing Address","Krev kundens faktureringsadresse"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Tillat redigering av leveringsadresser oppgitt når det betales via Paypal side"
"Display on Shopping Cart","Vis i handlekurv"
"Skip Order Review","Hopp over ordregjennomgang"
"3D Secure Verification Settings","3D Sikker Verifikasjon Innstillinger"
"3D Secure Verification","3D Sikker Verifikasjon"
"Threshold Amount","Terskelbeløp"
"Verify for Applicable Countries","Bekreft for aktuelle land"
"Verify for Specific Countries","Bekreft for bestemte land"
"Dynamic Descriptors","Dynamiske beskrivere"
"Name","Navn"
"Phone","Telefon"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Utløpsdato er ugyldig. Det må være mellom 1975 og 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verifikasjon feilet."
"Postal code verification failed.","Postkode verifikasjon feilet."
"Credit card number is prohibited.","Kreditkortnummer er påbudt."
"Addresses must have at least one field filled in.","Addresser må ha minst et felt fylt inn."
"Company is too long.","Firmanavn er for langt."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Amerikanske stat-koder må være to tegn for å oppfylle PayPal Sellers beskyttelseskrav."
"Incomplete PayPal account information.","Ufullstendig PayPal-kontoinformasjon."
"Invalid PayPal account information.","Ugyldig PayPal-kontoinformasjon."
"PayPal Accounts are not accepted by this merchant account.","PayPal-kontoer aksepteres ikke av denne selgerkontoen."
"Billing address format is invalid.","Faktureringsadresseformat er ugyldig."
"Country name is not an accepted country.","Landet er ikke et akseptert land."
"Country code is not accepted. Please contact the store administrator.","Landskode aksepteres ikke. Ta kontakt med butikkadministratoren."
"Provided country information is inconsistent.","Angitt informasjon om land er inkonsekvent."
"Customer has already reached the maximum of 50 addresses.","Kunden har allerede nådd maksgrensen på 50 adresser."
"Address is invalid. Please contact the store administrator.","Adressen er ugyldig. Kontakt butikkadministratoren."
"Error communicating with PayPal.","Feil under kommunikasjon med PayPal."
"PayPal authentication expired.","PayPal godkjenning utløpt."
"Error executing PayPal order.","Feil under utføring av PayPal bestilling."
"Error executing PayPal billing agreement.","Feil under utføring av PayPal faktureringsavtale."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Bruke filtre for å få resultatene. Bare de første 100 postene vil vises i rutenettet, du kunne laste ned fullversjonen av rapporten i csv-format."
"Select...","Velg..."
"Status","Status"
"Transaction Type","Transaksjonstype"
"Payment Type","Betalingstype"
"PayPal Payment ID","PayPal betalings-ID"
"Created At","Opprettet"
"Transaction ID","Transaksjons-ID"
"Order ID","Ordre-ID"
"Type","Type"
"Amount","Antall"
"Settlement Code","Forlikskode"
"Settlement Response Text","Forliks-svar tekst"
"Refund Ids","Refusjonsid'er"
"Settlement Batch ID","Oppgjørsseddel ID"
"Currency","Valuta"
"Month","Måned"
"Year","År"
"Stored Card","Lagrede kort"
"Credit card successfully added","Credit card successfully added"
"Something went wrong while saving the card.","Something went wrong while saving the card."
"Credit card does not exist","Kredittkort finnes ikke"
"Delete Credit Card","Delete Credit Card"
"There was error deleting the credit card","There was error deleting the credit card"
"Credit card successfully deleted","Vellykket sletting av kredittkort"
"Edit Credit Card","Redigere kredittkort"
"My Credit Cards","Mine kredittkort"
"New Credit Card","Nytt kredittkort"
"There was error during saving card data","There was error during saving card data"
"We can't place the order.","We can't place the order."
"Incorrect payment method.","Incorrect payment method."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","Vi kan ikke oppdatere leveringsmetoden."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaksjonen avslått: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","Ufullstendig betalingsinformasjon."
"Please try again later","Vennligst prøv igjen senere"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Faktura"
"Shipment","Forsendelse"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","en feil har oppstått"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","error"
"exception","unntak"
"Payment Information","Betalingsinformasjon"
"Add new card","Add new card"
"Please Select","Vennligst velg"
"Save this card for future use","Save this card for future use"
"or","eller"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Back","Tilbake"
"* Required Fields","* Nødvendige felt"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","Faktureringsadresse"
"First Name","Fornavn"
"Last Name","Etternavn"
"Company","Bedrift"
"Address","Adresse"
"City","By"
"State/Province","Stat/provins"
"Please select region, state or province","Please select region, state or province"
"Zip/Postal Code","Postnummer"
"Submit","Lagre"
"Add Credit Card","Add Credit Card"
"Card Number","Kortnummer"
"Is Default","Er standard"
"Yes","Ja"
"No","Nei"
"Edit","Redigere"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","Ny ordrestatus"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Påvirker også mini handlekurv."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal-konto"
"Coinbase account","Coinbase konto"
"Europe bank account","Europa bankkonto"
"Credit card","Kredittkort"
"Apple pay card","Apple-betalingskort"
"Android pay card","Android-betalingskort"
"Authorization expired","Autorisasjon utløpt"
"Authorizing","Autoriserer"
"Authorized","Autorisert"
"Gateway rejected","Gateway avvist"
"Failed","Mislykket"
"Processor declined","Prosessor avslått"
"Settled","Avgjort"
"Settling","Avgjøring"
"Submitted for settlement","Sendt til oppgjør"
"Voided","Kansellert"
"Unrecognized","Ikke gjenkjent"
"Settlement declined","Avgjøring avslått"
"Settlement pending","Avgjøring venter"
"Settlement confirmed","Avgjøring bekreftet"
"Sale","Salg"
"Credit","Kreditt"
"Vault enabled","Vault enabled"
