"Country","Země"
"PayPal Payment ID","ID platby PayPal"
"Created At","Vytvořeno v"
"Transaction ID","ID transakce"
"Order ID","ID objednávky"
"Type","Typ"
"Amount","Množství"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Měna"
"Month","Měsíc"
"Year","Rok"
"Stored Card","Uložená karta"
"Credit card successfully added","Platební karta byla úspěšně přidána"
"Something went wrong while saving the card.","Při ukládání karty nastala chyba."
"Credit card does not exist","Platební karta neexistuje"
"Delete Credit Card","Odstranit platební kartu"
"There was error deleting the credit card","Při odstraňování platební karty nastala chyba"
"Credit card successfully deleted","Platební karta byla odstraněna"
"Edit Credit Card","Upravit platební kartu"
"My Credit Cards","Mé platební karty"
"New Credit Card","Nová platební karta"
"There was error during saving card data","Během ukládání údajů karty došlo k chybě"
"We can't place the order.","Objednávku nelze dokončit."
"Incorrect payment method.","Neplatný způsob platby."
"We can't initialize checkout review.","Souhrn objednávky nelze inicializovat."
"We can't update shipping method.","Způsob přepravy nelze upravit."
"The processor declined your transaction, please re-enter your payment information","Procesor vaší transakci odmítl, zadejte znovu platební údaje"
"Transaction declined by gateway: Check card details or try another card","Platební brána odmítla vaší transakci: Prověřte údaje karty nebo zkuste jinou"
"Transaction declined: ","Transakce zamítnuta: "
".","."
"The processor responded with an unknown error","Procesor odpověděl neznámou chybou"
"Credit card type is not allowed for your country.","Typ platební karty není ve vaší zemi povolen."
"Credit card type is not allowed for this payment method.","Platební kartu nelze pro tento způsob platby použít."
"Selected payment type is not allowed for billing country.","Zvolený typ platby není pro zvolenou fakturační zemi povolen."
"Incomplete payment information.","Neúplné platební údaje."
"Please try again later","Opakujte prosím později"
"Can not find original authorization transaction for partial capture","Nelze najít původní oprávnění transakce pro částečné získání"
"There was an error capturing the transaction: %1.","Při získání transakce nastala chyba: %1."
"This refund is for a partial amount but the Transaction has not settled.","Tato vratka je částečná, ale transakce nebyla vypořádána."
"Please wait 24 hours before trying to issue a partial refund.","Před pokusem o částečné vrácení počkejte aspoň 24 hodin."
"There was an error refunding the transaction: %1.","Při vrácení transakce nastala chyba: %1."
"Some transactions are already settled or voided and cannot be voided.","Některé transakce jsou již vypořádané nebo anulované a nemůžou být zrušeny."
"Voided capture.","Anulované získání."
"There was an error voiding the transaction: %1.","Při anulování transakce nastala chyba: %1."
"Invoice","Faktura"
"Shipment","Zásilka"
"Invalid Customer ID provided","Neplatné ID zákazníka"
"some error","nějaká chyba"
"a,b,c","a,b,c"
"Something went wrong while processing.","Při zpracování požadavku nastala chyba."
"error","chyba"
"exception","výjimka"
"Payment Information","Platební údaje"
"Add new card","Přidat novou kartu"
"Please Select","Vyberte"
"Save this card for future use","Uložit tuto kartu pro budoucí použití"
"or","nebo"
"Please confirm that you want to delete this credit card","Potvrďte odstranění této platební karty prosím"
"Cardholder Name","Jméno držitele karty"
"Back","Zpět"
"* Required Fields","* Povinný údaj"
"CVV","CVV"
"Card Verification Number Visual Reference","Nápověda ke kontrolnímu číslu karty"
"Make Default","Nastavit jako výchozí"
"Billing Address","Fakturační adresa"
"First Name","Jméno"
"Last Name","Příjmení"
"Company","Společnost"
"Address","Adresa"
"City","Město"
"State/Province","Kraj / region"
"Please select region, state or province","Zvolte kraj / region prosím"
"Zip/Postal Code","PSČ"
"Submit","Odeslat"
"Add Credit Card","Přidat platební kartu"
"Card Number","Číslo karty"
"Is Default","Je výchozí"
"Yes","Ano"
"No","Ne"
"Edit","Upravit"
"An error occured with payment processing.","Při zpracování platby nastala chyba."
"Can not initialize PayPal (Braintree)","PayPal (Braintree) nelze inicializovat"
"&nbsp;","&nbsp;"
"Capture action","Zachycení"
"New Order Status","Stav nové objednávky"
"Use Vault","Použít trezor"
"Allow Duplicate Cards","Povolit duplicitní karty"
"Enable Credit Card auto-detection on Storefront","Zapnout autodetekci kreditních karet v obchodě"
"Your Kount ID","Vaše Kount ID"
"Use Cache","Použít mezipaměť"
"Edit My Credit Cards","Upravit mé platební karty"
"Pay with PayPal","Platit přes PayPal"
"Transaction is cancelled offline.","Transakce je zrušena offline."
"Braintree Settlement","Braintree přehled o vypořádání"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Pokud nevyberete konkrétní účet pro zpracování transakcí, Braintree provede objednávku pomocí výchozího účtu."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Nezapomeňte povolit Avs a / nebo Cvv ve svém účtu Braintree v části Nastavení / zpracování"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Používá se pro integraci nástroje pro přímé podvody. Nezapomeňte také kontaktovat <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> pro nastavení účtu Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Nezapomeňte povolit AVS a / nebo CVV ve svém účtu Braintree v části Nastavení / zpracování."
"It is recommended to set this value to ""PayPal"" per store views.","Je doporučeno nastavit na ""PayPal"" v každém zobrazení obchodu."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Tato funkce musí být povolena nejprve pro obchodní účet prostřednictvím technické podpory PayPal."
"Also affects mini-shopping cart.","Ovlivňuje také blok mini košíku."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Hodnota v telefonním čísle prohlášení zákazníka. Telefon musí obsahovat 10–14 znaků a obsahovat pouze čísla, pomlčky, závorky a tečky."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Hodnota v oblasti URL/webové adresy zákazníka, URL musí být 13 znaků nebo kratší."
"The Payment Token is not available to perform the request.","Platební Token není k dispozici pro provedení žádosti."
"Checkout failed to initialize. Verify and try again.","Zaplacení se nezdařilo. Ověřte a zkuste to znovu."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Objednávka nebyla zadána. Nejprve musíte souhlasit s podmínkami a pak můžete zkusit objednat znovu."
"Paypal account","PayPal účet"
"Coinbase account","Coinbase účet"
"Europe bank account","Evropské bankovní účet"
"Credit card","Platební karta"
"Apple pay card","Platební karta Apple Pay"
"Android pay card","Platební karta Android"
"Authorization expired","Platnost ověření vypršela"
"Authorizing","Ověřuji"
"Authorized","Schváleno"
"Gateway rejected","Zamítnutí platební branou"
"Failed","Chyba"
"Processor declined","Odmítnutí procesorem"
"Settled","Vypořádáno"
"Settling","Probíhá vypořádání"
"Submitted for settlement","Odesláno k vypořádání"
"Voided","Anulováno"
"Unrecognized","Nerozpoznáno"
"Settlement declined","Vypořádání odmítnuto"
"Settlement pending","Čeká na vypořádání"
"Settlement confirmed","Vypořádání potvrzeno"
"Sale","Prodej"
"Credit","Úvěr"
"Vault enabled","Trezor zapnut"
