"Reward Points","Belohnungspunkte"
"Cap Reward Points Balance At","Belohnungspunkteguthaben beschränken auf"
"Reward Points Expire in (days)","Belohnungspunkte verfallen in (Tage)"
"Reward Points Expiry Calculation","Belohnungspunkte-Verfallsberechnung"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statisch"" definiert das Ablaufdatum genau dann, wenn sich das Guthaben erhöht. ""Dynamisch"" besitzt kein Ablaufdatum,errechnet allerdings eines wenn das Guthaben auf Ablauf gechecked wird."
"Refund Reward Points Automatically","Belohnungspunkte automatisch zurückerstatten"
"Deduct Reward Points from Refund Amount Automatically","Belohnungspunkte automatisch vom Rückerstattungsbetrag abziehen"
"Landing Page","Landing-Page"
"Actions for Acquiring Reward Points by Customers","Aktionen, mit denen Kunden Belohnungspunkte erhalten können"
"Purchase","Kauf"
"Added for spent money according to reward exchange rates.","Gemäß dem Belohnungskurs dem ausgegebenen Geld hinzugefügt"
"Registration","Registrierung"
"Newsletter Signup","Newsletter-Anmeldung"
"Only for customers who subscribe for the first time.","Nur für Kunden, die zum ersten Mal abonnieren."
"Converting Invitation to Customer","Konvertiert Einladung zum Kunden"
"Invitation to Customer Conversions Quantity Limit","Einladung zu Kundenumrechnungsmengenlimit"
"Converting Invitation to Order","Konvertiert Einladung zur Bestellung"
"Invitation to Order Conversions Quantity Limit","Einladung zu Bestellkonvertierungen-Quantitätslimit"
"Invitation Conversion to Order Reward","Einladungsumwandlung zu Bestellbelohnung"
"Review Submission","Absendung einer Bewertung"
"After approval by administrator.","Nach Genehmigung eines Administrators"
"Rewarded Reviews Submission Quantity Limit","Maximale Punkte für die Absendung einer Bewertung"
"Email Sender","E-Mail-Absender"
"Subscribe Customers by Default","Kunden als Standardeinstellung abonnieren lassen"
"Balance Update Email","Guthabenupdate-E-Mail"
"Reward Points Expiry Warning Email","Warnungs-E-Mail bei Belohnungspunkteverfall"
"Expiry Warning Before (days)","Ablaufwarnung vorher (Tage)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Kein eingegebener Wert oder ein Wert größer als die Verfallslaufzeit deaktiviert die Warnungsbenachrichtigung."
"Reward Points Rates","Belohnungspunkteraten"
"Amount Balance","Saldobetrag"
"Created","Erstellt"
"Expires","Gültig bis"
"ID","Id"
"Add Reward Points","Belohnungspunkte hinzufügen"
"Check out now and earn %1 for this order.","Gehen Sie jetzt zur Kasse und erhalten Sie %1 für diese Bestellung."
"Create an account on our site now and earn %1.","Einen Account auf unserer Seite erstellen und %1 erhalten."
"Subscribe to our newsletter now and earn %1.","Abonnieren Sie unseren Newsletter jetzt und verdienen Sie %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Diese Einladung jetzt senden und %s erhalten, wenn die Person sich auf unserer Seite anmeldet."
"You can reward up to %s invitee registration(s).","Sie können bis zu %1s Eingeladenen Registrierungen belohnen."
"Earn %s for purchases your invitees make.","Verdienen Sie %s für Käufe von Ihren eingeladenen Kunden."
"You can reward up to %s invitee purchase(s).","Sie können bis zu %1s Eingeladenen Käufe belohnen."
"Submit a review now and earn %1 after the review is approved.","Geben Sie jetzt eine Rezension ab und erhalten Sie %1 nachdem Ihre Rezension genehmigt wurde."
"You can reward up to %1 new reviews(s).","Sie können bis zu %1 neue Rezensionen belohnen."
"Reward points should be a valid integer number.","Prämienpunkte sollten eine gültige Ganzzahl sein."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Diese Einladung jetzt senden und %1 erhalten, wenn die Person sich auf unserer Seite anmeldet."
"You can reward up to %1 invitee registration(s).","Sie können bis zu %1s Eingeladenen Registrierungen belohnen."
"Earn %1 for purchases your invitees make.","Verdienen Sie %1 für Käufe von Ihren eingeladenen Kunden."
"You can reward up to %1 invitee purchase(s).","Sie können bis zu %1s Eingeladenen Käufe belohnen."
"Sign in now and earn %1 for this order.","Melde dich jetzt an und erhalte %1 für diese Bestellung."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","Der ""Mindest-Belohnungspunkt-Guthaben"" ist ungültig. Der Kontostand muss eine positive Nummer sein oder leer bleiben. Überprüfen Sie und versuchen Sie es erneut."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","Der ""Cap Reward Points Balance"" ist ungültig. Der Saldo muss eine positive Nummer sein oder leer bleiben. Überprüfen Sie und versuchen Sie es erneut."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","Der ""Mindest-Belohnungspunkt-Guthaben"" ist ungültig. Der Saldo muss kleiner oder gleich dem ""Cap Reward Points Balance"" sein."
