"Reward Points","Punti Fedeltà"
"Points to Currency","Da punti a valuta"
"Currency to Points","Da valuta a Punti"
"All Customer Groups","Tutti i gruppi di clienti"
"Static","Statico"
"Dynamic","Dinamico"
"Each","Ogni"
"First","Primo"
"All Websites","Tutti i Website"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Saldo minimo punti fedeltà"" deve essere un numero positivo o lasciato vuoto."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","Il ""Limite saldo punti fedeltà"" deve essere un numero positivo o lasciato vuoto."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","Il ""saldo minimo punti fedeltà"" deve essere minore o uguale a ""Limite saldo punti fedelta""."
"Customer earned promotion extra %1.","Il cliente ha guadagnato la promozione extra %1."
"The customer earned %1 for this order.","Il cliente ha guadagnato %1 per questo ordine."
"Reward Points Balance","Saldo punti fedeltà"
"upper boundary","limite superiore"
"Refund Reward Points","Rimborsa Punti fedeltà"
"Reward Points refunded to customer","Punti fedeltà rimborsati al cliente"
"Remove","Elimina"
"Back","Indietro"
"Balance History","Cronologia Saldo"
"Amount","Importo"
"Points","Punti"
"Reason","Motivo"
"Date","Data"
"Expires on %1","Scade il %1"
"There is no balance history.","Non c'è nessuna cronologia del saldo."
"Reward points balance Information","Informazioni saldo punti fedeltà"
"Your balance is %1.","Il saldo è di %1."
"Current exchange rates:","Tassi di cambio correnti:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 spesi = %2 guadagnati"
"None","Nessuno"
"Balance limit is %1.","Il limite del saldo è di %1."
"Maximum balance is reached","Il saldo massimo è stato raggiunto"
"Minimum Balance in order to redeem: %1.","Saldo minimo per il riscatto: %1."
"You need a higher balance to use your rewards points.","Hai bisogno di un saldo maggiore per utilizzare i tuoi punti fedeltà."
"Each earned reward points award expires in %1 days.","Ogni ricompensa per i punti fedeltà guadagnati scade in %1 giorni."
"Refer to reward points history to see when a specific record expires.","Fare riferimento alla cronologia dei punti fedeltà per vedere quando scade un record specifico."
"Email Notification Settings","Impostazioni di notifica email"
"Save Subscription Settings","Salvare le impostazioni di iscrizione"
"Reward Points Balance Updated at %store_name","Saldo Punti Fedeltà aggiornato a %store_name"
"%name,","%name,"
"You have %points_balance points that may be used in our store:","Hai bisogno di %points_balance punti che possono essere utilizzati nel nostro negozio:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url""> Cancellati</a> da queste notifiche."
"Reward Points Expiry Warning at %store_name","Avviso di scadenza Punti Fedeltà presso %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Ci sono %remaining_days giorni rimanenti per l'utilizzo di %points_expiring dei tuoi punti fedeltà."
"After %remaining_days day(s) these points will expire.","Dopo %remaining_days giorni questi punti scadranno."
"You have a total of %points_balance points that may be used in our store:","Hai un totale di %points_balance punti che possono essere usati nel nostro negozio:"
"Reward points","Punti fedeltà"
"Use reward points","Utilizzare i punti fedeltà"
"Your reward point was successfully applied","Il tuoi punti fedeltà sono stati applicati con successo"
"Manage Reward Points Balances","Gestisci saldo punti fedeltà"
"Can Spend Reward Points","Puoi utilizzare Punti Fedeltà"
"Enable Reward Points Functionality","Abilita la funzionalità dei punti fedeltà"
"Enable Reward Points Functionality on Storefront","Abilita la funzionalità dei punti fedeltà nel frontend"
"Customers May See Reward Points History","I clienti possono vedere la cronologia dei punti fedeltà"
"Rewards Points Balance Redemption Threshold","Soglia riscatto saldo punti fedeltà"
"An empty value disables this limitation.","Un valore vuoto disattiva questa limitazione."
"Cap Reward Points Balance At","Limite saldo punti fedeltà a"
"Reward Points Expire in (days)","I punti fedeltà scadono in (giorni)"
"Reward Points Expiry Calculation","Calcolo della scadenza dei punti fedeltà"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statico"" definisce la data di scadenza esattamente quando il saldo aumenta. ""Dinamico"" non ha una data di scadenza, ma ne calcola una quando il saldo viene controllato per la scadenza."
"Refund Reward Points Automatically","Rimborsa punti fedeltà automaticamente"
"Deduct Reward Points from Refund Amount Automatically","Detrai automaticamente i punti fedeltà dall'importo del rimborso"
"Landing Page","Landing Page"
"Actions for Acquiring Reward Points by Customers","Azioni per l'acquisizione di punti fedeltà da parte dei clienti"
"Purchase","Acquista"
"Added for spent money according to reward exchange rates.","Aggiunto per soldi spesi secondo tassi di cambio dei punti fedeltà."
"Registration","Registrazione"
"Newsletter Signup","Iscriviti alla newsletter"
"Only for customers who subscribe for the first time.","Solo per i clienti che si iscrivono per la prima volta."
"Converting Invitation to Customer","Conversione invito in cliente"
"Invitation to Customer Conversions Quantity Limit","Limite quantità conversioni inviti in cliente"
"Converting Invitation to Order","Conversione invito in ordine"
"Invitation to Order Conversions Quantity Limit","Limite quantità conversioni invito in ordine"
"Invitation Conversion to Order Reward","Ricompensa conversione invito in ordine"
"Review Submission","Rivedi invio"
"After approval by administrator.","Dopo l'approvazione dell'amministratore."
"Rewarded Reviews Submission Quantity Limit","Limite Qtà recensioni inviate premiate"
"Email Sender","Mittente email"
"Subscribe Customers by Default","Iscrivi i clienti come impostazione predefinita"
"Balance Update Email","Email di aggiornamento del saldo"
"Reward Points Expiry Warning Email","Email di avviso di scadenza punti fedeltà"
"Expiry Warning Before (days)","Avviso di scadenza prima di (giorni)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Non inserire un valore o inserire un valore maggiore rispetto alla data di scadenza disattiva la notifica di avviso."
"Reward Points Rates","Tassi punti fedeltà"
"Amount Balance","Importo saldo"
"Created","Creato"
"Expires","Scadenza"
"ID","ID"
"Add Reward Points","Aggiungi punti fedeltà"
"Check out now and earn %1 for this order.","Acquista ora e guadagna %1 per quest'ordine."
"Create an account on our site now and earn %1.","Crea subito un account sul nostro sito e guadagna %1."
"Subscribe to our newsletter now and earn %1.","Iscriviti subito alla nostra newsletter e guadagna %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Invia questo invito ora e guadagna %s quando il tuo invitato si iscriverà al nostro sito."
"You can reward up to %s invitee registration(s).","Si può premiare fino a %s registrazioni invitati."
"Earn %s for purchases your invitees make.","Guadagna %s per acquisti fatti dai tuoi invitati."
"You can reward up to %s invitee purchase(s).","Si può premiare fino a %s acquisti degli invitati."
"Submit a review now and earn %1 after the review is approved.","Invia una recensione ora e guadagna %1 dopo che la recensione sarà approvata."
"You can reward up to %1 new reviews(s).","Si può premiare fino a %1 nuove recensioni."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
