"Reward Points","Наградни поени"
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Sorry, but a rate for the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Страница није пронађена."
"You saved the settings.","You saved the settings."
"You unsubscribed.","You unsubscribed."
"You can't unsubscribed right now.","Не можете унсубсцрибед ригхт ноw."
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Ажуриран бy модератор"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","For submitting a product review"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"%1 store reward points available (%2)","%1 store reward points available (%2)"
"%1 store reward points available","%1 store reward points available"
"%1 was deducted because of refund.","%1 was deducted because of refund."
"The action ID you enter must be a number.","The action ID you enter must be a number."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Points to Currency"
"Currency to Points","Currency to Points"
"All Customer Groups","Све Групе Купаца"
"Static","Статички"
"Dynamic","Динамички"
"Each","Each"
"First","Први"
"All Websites","Све Wеб локације"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Минимално стање наградних поена"" треба да буде позитиван број или остављено празно."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Максимално стање наградних поена"" треба да буде позитиван број или остављено празно."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Минимално стање наградних поена"" треба да буде мање или једнако ""Максималном стању наградних поена""."
"Customer earned promotion extra %1.","Купац еарнед промотион еxтра %1."
"The customer earned %1 for this order.","The customer earned %1 for this order."
"Reward Points Balance","Наградни поени Баланце"
"upper boundary","upper boundary"
"Refund Reward Points","Повраћај Наградни поени"
"Reward Points refunded to customer","Наградни поени рефундед то цустомер"
"Remove","Уклони"
"Back","Назад"
"Balance History","Историја Баланса"
"Amount","Износ"
"Points","Points"
"Reason","Разлог"
"Date","Датум"
"Expires on %1","Expires on %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Реwард поинтс баланце Информације"
"Your balance is %1.","Your balance is %1."
"Current exchange rates:","Current exchange rates:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 spent = %2 earned"
"None","Ништа"
"Balance limit is %1.","Balance limit is %1."
"Maximum balance is reached","Maximum balance is reached"
"Minimum Balance in order to redeem: %1.","Minimum Balance in order to redeem: %1."
"You need a higher balance to use your rewards points.","You need a higher balance to use your rewards points."
"Each earned reward points award expires in %1 days.","Each earned reward points award expires in %1 days."
"Refer to reward points history to see when a specific record expires.","Refer to reward points history to see when a specific record expires."
"Email Notification Settings","Е-пошта Обавештење Подешавања"
"Save Subscription Settings","Сачувај Претплата Подешавања"
"Reward Points Balance Updated at %store_name","Наградни поени Баланце Ажуриран ат %сторе_наме"
"%name,","%назив,"
"You have %points_balance points that may be used in our store:","You have %points_balance points that may be used in our store:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<а хреф=""%унсубсцриптион_урл"">Ођавите се</а> са ових обавештења."
"Reward Points Expiry Warning at %store_name","Наградни поени Еxпирy Упозорење ат %сторе_наме"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","There are %remaining_days day(s) remaining to use %points_expiring of your reward points."
"After %remaining_days day(s) these points will expire.","After %remaining_days day(s) these points will expire."
"You have a total of %points_balance points that may be used in our store:","You have a total of %points_balance points that may be used in our store:"
"Reward points","Reward points"
"Use reward points","Use reward points"
"Your reward point was successfully applied","Yоур реwард поинт wас успешно апплиед"
"Manage Reward Points Balances","Манаге Наградни поени Баланцес"
"Can Spend Reward Points","Цан Спенд Наградни поени"
"Enable Reward Points Functionality","Омогући Наградни поени Фунцтионалитy"
"Enable Reward Points Functionality on Storefront","Омогући Наградни поени Фунцтионалитy он Сторефронт"
"Customers May See Reward Points History","Купци Маy Сее Наградни поени Хисторy"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold"
"An empty value disables this limitation.","An empty value disables this limitation."
"Cap Reward Points Balance At","Цап Наградни поени Баланце Ат"
"Reward Points Expire in (days)","Наградни поени Еxпире ин (даyс)"
"Reward Points Expiry Calculation","Наградни поени Еxпирy Цалцулатион"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Статички"" дефинише датум истека тачно када се стање повећава. ""Динамички"" нема датум истека, већ га израчунава када се стање провери за истек."
"Refund Reward Points Automatically","Повраћај Наградни поени Аутоматицаллy"
"Deduct Reward Points from Refund Amount Automatically","Дедуцт Наградни поени фром Повраћај Амоунт Аутоматицаллy"
"Landing Page","Ландинг Страница"
"Actions for Acquiring Reward Points by Customers","Акције фор Ацqуиринг Наградни поени бy Купци"
"Purchase","Purchase"
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates."
"Registration","Registration"
"Newsletter Signup","Билтен Сигнуп"
"Only for customers who subscribe for the first time.","Only for customers who subscribe for the first time."
"Converting Invitation to Customer","Цонвертинг Позивница то Купац"
"Invitation to Customer Conversions Quantity Limit","Позивница то Купац Цонверсионс Количина Лимит"
"Converting Invitation to Order","Цонвертинг Позивница то Поруџбина"
"Invitation to Order Conversions Quantity Limit","Позивница то Поруџбина Цонверсионс Количина Лимит"
"Invitation Conversion to Order Reward","Позивница Цонверсион то Поруџбина Реwард"
"Review Submission","Рецензија Субмиссион"
"After approval by administrator.","After approval by administrator."
"Rewarded Reviews Submission Quantity Limit","Реwардед Рецензије Субмиссион Количина Лимит"
"Email Sender","Пошиљаоц Мејла"
"Subscribe Customers by Default","Пријави се Купци бy Подразумевано"
"Balance Update Email","Баланце Ажурирај Е-пошта"
"Reward Points Expiry Warning Email","Наградни поени Еxпирy Упозорење Е-пошта"
"Expiry Warning Before (days)","Еxпирy Упозорење Бефоре (даyс)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Entering no value or a value greater than the expiration lifetime disables the warning notification."
"Reward Points Rates","Наградни поени Ратес"
"Amount Balance","Amount Balance"
"Created","Креиран"
"Expires","Expires"
"ID","ИД"
"Add Reward Points","Додај Наградни поени"
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Create an account on our site now and earn %1.","Креирај ан аццоунт он оур сите ноw анд еарн %1."
"Subscribe to our newsletter now and earn %1.","Пријави се то оур неwслеттер ноw анд еарн %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Пошаљи тхис инвитатион ноw анд еарн %с wхен yоур инвитее сигнс уп он оур сите."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Пошаљи а ревиеw ноw анд еарн %1 афтер тхе ревиеw ис аппровед."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Пошаљи тхис инвитатион ноw анд еарн %1 wхен yоур инвитее сигнс уп он оур сите."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Минимално стање наградних поена"" је неважеће. Стање мора бити позитиван број или остављено празно. Проверите и покушајте поново."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Максимално стање наградних поена"" је неважеће. Стање мора бити позитиван број или остављено празно. Проверите и покушајте поново."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","""Минимално стање наградних поена"" је неважеће. Стање мора бити мање или једнако ""Максималном стању наградних поена""."
