"Reward Points","پاداش امتیازات"
"Redeemed for order #%1","بازخرید برای سفارش #%1"
"Earned points for order #%1","امتیاز کسب شده برای سفارش #%1"
"Reverted from incomplete order #%1","بازگشت از  سفارش ناقص #%1"
"Registered as customer","ثبت نام به عنوان مشتری"
"For submitting a product review","ارسال برای بررسی یک محصول"
"Earned promotion extra points from order #%1","امتیاز اضافی کسب شده از سفارش # %1"
"%1 store reward points available (%2)","پاداش امتیازات %1 فروشگاه در دسترس (%2) است"
"%1 store reward points available","پاداش امتیازات %1 در دسترس است"
"%1 was deducted because of refund.","%1 به دلیل بازپرداخت کسر شد."
"The action ID you enter must be a number.","شناسه عملیات را وارد کنید ، باید یک عدد باشد."
"You don't have enough reward points to pay for this purchase.","شما امتیاز پاداش کافی ندارید  برای پرداخت این خرید."
"Points to Currency","امتیاز به ارز"
"Currency to Points","ارز به نقاط"
"All Customer Groups","همه گروه های مشتری"
"Static","ایستا"
"Dynamic","پویا"
"Each","هر"
"First","اولین"
"All Websites","همه‌ی وب‌سایت‌ها"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","مشتری %1 پیشرفت اضافی را به دست آورد."
"The customer earned %1 for this order.","مشتری برای این سفارش %1 را به دست آورد."
"Reward Points Balance","تعادل پاداش جایزه"
"upper boundary","مرز بالایی"
"Refund Reward Points","پس دادن پاداش امتیازات"
"Reward Points refunded to customer","پاداش امتیاز به مشتری استرداد می شود"
"Remove","برداشتن"
"Back","بازگشت"
"Balance History","تاریخچه موجودی"
"Amount","مبلغ"
"Points","امتیازها"
"Reason","دلیل"
"Date","تاریخ"
"Expires on %1","منقضی می شود در %1"
"There is no balance history.","هیچ تاریخ تعادل وجود ندارد."
"Reward points balance Information","اطلاعات تعادل پاداش امتیاز"
"Your balance is %1.","تعادل شما %1 است."
"Current exchange rates:","نرخ ارز فعلی:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 خرج شده=%2 به دست آورده"
"None","هیچ یک"
"Balance limit is %1.","حد تعادل %1 است."
"Maximum balance is reached","تعادل به حداکثر رسیده است"
"Minimum Balance in order to redeem: %1.","حداقل تعادل برای بازخرید:%1."
"You need a higher balance to use your rewards points.","برای استفاده از نقاط پاداش به یک تعادل بالاتر نیاز دارید."
"Each earned reward points award expires in %1 days.","هر پاداش امتیاز به دست آورده در %1 روز منقضی می شود."
"Refer to reward points history to see when a specific record expires.","به تاریخ امتیاز پاداش مراجعه کنید تا زمانی که یک رکورد خاص از بین می رود."
"Email Notification Settings","تنظیمات اطلاع رسانی ایمیل"
"Save Subscription Settings","ذخیره تنظیمات اشتراک"
"Reward Points Balance Updated at %store_name","پاداش امتیازات به روز شده در %store_name"
"%name,","%name"
"You have %points_balance points that may be used in our store:","شما دارای %points_balance نقاطی که ممکن است در فروشگاه ما استفاده شود:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">لغو اشتراک</a> از این اعلان ها."
"Reward Points Expiry Warning at %store_name","هشدار انقضاء پاداش امتیاز در %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","% Remaining_days در روز باقی مانده استفاده از %points_expiring از نقاط پاداش وجود دارد."
"After %remaining_days day(s) these points will expire.","پس از %remaining_days روز (ها) این امتیازات منقضی خواهد شد."
"You have a total of %points_balance points that may be used in our store:","مجموع امتیازات %points_balance که ممکن است در فروشگاه ما استفاده شود:"
"Reward points","امتیاز پاداش"
"Use reward points","استفاده از پاداش امتیازات"
"Your reward point was successfully applied","پاداش امتیاز شما با موفقیت اعمال شد"
"Manage Reward Points Balances","مدیریت تعادل پاداش امتیاز"
"Can Spend Reward Points","می تواند پاداش امتیاز را خرج کند"
"Enable Reward Points Functionality","قابلیت پاداش امتیازات را فعال کنید"
"Enable Reward Points Functionality on Storefront","قابلیت پاداش امتیازات را در فروشگاه فعال کنید"
"Customers May See Reward Points History","مشتریان می توانند تاریخ پاداش امتیاز را مشاهده کنند"
"Rewards Points Balance Redemption Threshold","  آستانه بازخرید پاداش امتیازات"
"An empty value disables this limitation.","مقدار خالی این محدودیت را غیرفعال می کند."
"Cap Reward Points Balance At","تعادل پاداش امتیاز در"
"Reward Points Expire in (days)","پاداش امتیاز در (روزها) به پایان رسید"
"Reward Points Expiry Calculation","محاسبه انقضا پاداش امتیازات"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""استاتیک"" تاریخ انقضا دقیقا زمانی است که تعادل افزایش می یابد. ""داینامیک"" تاریخ انقضا ندارد، اما زمانی که تعادل برای انقضا بررسی می شود، محاسبه می شود."
"Refund Reward Points Automatically","بازپرداخت پاداش امتیاز به صورت خودکار"
"Deduct Reward Points from Refund Amount Automatically","کسر پاداش امتیاز از مبلغ بازپرداخت به صورت خودکار"
"Landing Page","صفحه فرود"
"Actions for Acquiring Reward Points by Customers","اقدامات برای کسب پاداش امتیاز توسط مشتریان"
"Purchase","خرید"
"Added for spent money according to reward exchange rates.","برای خرج پول با توجه به نرخ ارز پاداش اضافه شده است."
"Registration","ثبت نام"
"Newsletter Signup","ثبت نام در خبرنامه"
"Only for customers who subscribe for the first time.","فقط برای مشتریانی که برای اولین بار مشترک می شوند."
"Converting Invitation to Customer","تبدیل دعوت به مشتری"
"Invitation to Customer Conversions Quantity Limit","تبدیل تعداد محدودیت دعوت به مشتری
 "
"Converting Invitation to Order","تبدیل دعوت به سفارش"
"Invitation to Order Conversions Quantity Limit","تبدیل تعداد محدودیت دعوت به سفارش"
"Invitation Conversion to Order Reward","تبدیل دعوت به منظور پاداش"
"Review Submission","بررسی ارسال"
"After approval by administrator.","پس از تصویب توسط مدیر."
"Rewarded Reviews Submission Quantity Limit","مقدار محدود بررسی ثبت پاداش"
"Email Sender","فرستنده‌ی ایمیل"
"Subscribe Customers by Default","مشترک شدن مشتریان به صورت پیش فرض"
"Balance Update Email","تعادل به روز رسانی ایمیل"
"Reward Points Expiry Warning Email","هشدار ایمیل انقضاء پاداش امتیاز"
"Expiry Warning Before (days)","اخطار قبل از مهلت پایان (روزها)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","وارد کردن هیچ ارزش یا مقدار بیشتر از زمان انقضا، اطلاع رسانی هشدار را غیرفعال می کند."
"Reward Points Rates","میزان پاداش امتیاز"
"Amount Balance","مقدار تعادل"
"Created","ايجاد شد"
"Expires","منقضی شد"
"ID","شناسه"
"Add Reward Points","اضافه کردن پاداش امتیاز"
"Check out now and earn %1 for this order.","پرداخت کنید حالا  و برای این سفارش %1 دریافت کنید."
"Create an account on our site now and earn %1.","اکنون یک حساب کاربری در سایت ما ایجاد کنید و %1 را کسب کنید."
"Subscribe to our newsletter now and earn %1.","اکنون برای خبرنامه ما مشترک شوید و درآمد %1 را دریافت کنید."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","اکنون بازبینی کنید و درآمد کسب کنید  %1 پس از بررسی تایید شده است."
"You can reward up to %1 new reviews(s).","شما می توانید به %1 بازبینی (های) جدید پاداش بدهید."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
