"Reward Points","Ödül puanı"
"Reverted from incomplete order #%1","Tamamlanmamış siparişten geri döndürülen #%1"
"Registered as customer","Müşteri olarak kayıt olundu"
"For submitting a product review","Bir ürün görünümü göndermek için"
"Earned promotion extra points from order #%1","Siparişten kazanılan ekstra tanıtım puanları #%1"
"%1 store reward points available (%2)","%1 mağazada kullanılabilir ödül puanları (%2)"
"%1 store reward points available","%1 mağazada kullanılabilir ödül puanları"
"%1 was deducted because of refund.","Geri ödeme nedeniyle %1 mahsup edildi."
"The action ID you enter must be a number.","Girdiğiniz eylem kimliği bir sayı olmalıdır."
"You don't have enough reward points to pay for this purchase.","Bu satın almayı ödemek için yeterli ödül puanınız yok."
"Points to Currency","Para Birimi için Puanlar"
"Currency to Points","Puanlar için Para Birimi"
"All Customer Groups","Tüm Müşteri Grupları"
"Static","Statik"
"Dynamic","Dinamik"
"Each","Her bir"
"First","İlk"
"All Websites","Tüm Web siteleri"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","Müşteri %1 ekstra promosyon kazandı."
"The customer earned %1 for this order.","Bu sipariş için müşteri %1 kazandı."
"Reward Points Balance","Ödül Puanları Bakiyesi"
"upper boundary","üst sınır"
"Refund Reward Points","İade Edilen Ödül Puanları"
"Reward Points refunded to customer","Müşteriye iade edilen Ödül Puanları"
"Remove","Kaldır"
"Back","Geri"
"Balance History","Bakiye Geçmişi"
"Amount","Tutar"
"Points","Puanlar"
"Reason","Neden"
"Date","Tarih"
"Expires on %1","Bitiş Tarihi %1"
"There is no balance history.","Bakiye geçmişi yok."
"Reward points balance Information","Ödül Puanları Bakiye Bilgisi"
"Your balance is %1.","Bakiyeniz %1 'dir."
"Current exchange rates:","Güncel kur farklılıkları:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 harcanan = %2 kazanılan"
"None","Hiçbiri"
"Balance limit is %1.","Bakiye limiti %1 'dir."
"Maximum balance is reached","Maksimum bakiyeye ulaşıldı"
"Minimum Balance in order to redeem: %1.","Ödeme yapmak için sipariş içindeki Minimum Bakiye: %1."
"You need a higher balance to use your rewards points.","Ödül puanlarınızı kullanmanız için daha yüksek bir bakiyeye ihtiyacınız var."
"Each earned reward points award expires in %1 days.","Her kazanılan ödül puan ödül %1 gün içinde sona eriyor."
"Refer to reward points history to see when a specific record expires.","Belirli bir kaydın ne zaman sona ereceğini görmek için ödül puanı geçmişine bakın."
"Email Notification Settings","E-posta Bildirim Ayarları"
"Save Subscription Settings","Abonelik Ayarlarını Kaydet"
"Reward Points Balance Updated at %store_name","Ödül Puanları Bakiyesi %store_name 'de güncellendi"
"%name,","%isim,"
"You have %points_balance points that may be used in our store:","Mağazamızda kullanılabilecek %points_balance puanınız var:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","Bu bildirimlerin <a href=""%unsubscription_url"">aboneliğinden çıkın</a>."
"Reward Points Expiry Warning at %store_name","%store_name 'de Ödül Puanları Vade Uyarısı"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","%points_expiring ödül puanınızı kullanmak için %remaining_days gün kaldı."
"After %remaining_days day(s) these points will expire.","%remaining_days gün(ler) sonra bu puanların süresi dolacaktır."
"You have a total of %points_balance points that may be used in our store:","Mağazamızda kullanılabilecek toplam %points_balance puanı var:"
"Reward points","Ödül puanları"
"Use reward points","Ödül puanlarını kullan"
"Your reward point was successfully applied","Ödül puanınız başarıyla uygulandı"
"Manage Reward Points Balances","Ödül Puanı Bakiyelerini Yönetme"
"Can Spend Reward Points","Ödül Puanlarını Harcayabilir mi"
"Enable Reward Points Functionality","Ödül Puanlarının İşlevselliklerini Etkinleştir"
"Enable Reward Points Functionality on Storefront","Mağaza Önünde Ödül Puan İşlevini Etkinleştir"
"Customers May See Reward Points History","Müşteriler Ödül Puanları Geçmişini Görebilirler"
"Rewards Points Balance Redemption Threshold","Ödüller puanlar bakiye iadesi eşiği"
"An empty value disables this limitation.","Boş bir değer bu sınırlamayı devre dışı bırakır."
"Cap Reward Points Balance At","Kapak Ödül Puanları Dengesi"
"Reward Points Expire in (days)","Ödül Puanı geçerlilik süresi (gün)"
"Reward Points Expiry Calculation","Ödül Puanları Vade Hesaplama"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statik"", son kullanma tarihini denge arttıkça tam olarak tanımlar. ""Dinamik"" in son kullanma tarihi yoktur, ancak bakiye sonlandırma kontrolü yapıldığında hesaplar."
"Refund Reward Points Automatically","Ödül Puanlarını Otomatik Olarak Geri Ödeme"
"Deduct Reward Points from Refund Amount Automatically","Ödül Puanlarını Geri Ödeme Tutarından Otomatik Olarak Düş"
"Landing Page","Açılış sayfası"
"Actions for Acquiring Reward Points by Customers","Aksiyonlar Müşterilere Göre Ödül Pusulalarını Edinme"
"Purchase","Satın alma"
"Added for spent money according to reward exchange rates.","Kur farkı ödüllerine göre harcanan para için ilave edildi."
"Registration","Kayıt"
"Newsletter Signup","Bülten aboneliği"
"Only for customers who subscribe for the first time.","Yalnızca ilk kez abone olan müşteriler için."
"Converting Invitation to Customer","Daveti Müşteriye Dönüştürme"
"Invitation to Customer Conversions Quantity Limit","Müşteri Dönüşümleri Miktar Sınırı için Davet"
"Converting Invitation to Order","Daveti Siparişe Dönüştürme"
"Invitation to Order Conversions Quantity Limit","Sipariş Dönüşümleri Miktar Sınırı için davet"
"Invitation Conversion to Order Reward","Sipariş Ödülü için Davetiye Dönüşümü"
"Review Submission","Gönderi İnceleme"
"After approval by administrator.","Yönetici tarafından onaylandıktan sonra."
"Rewarded Reviews Submission Quantity Limit","Gönderim Miktarı Sınırı Ödüllü İncelemeleri"
"Email Sender","E-posta Göndericisi"
"Subscribe Customers by Default","Varsayılan olarak Abone Olan Müşteriler"
"Balance Update Email","Bakiye Güncelleme E-postası"
"Reward Points Expiry Warning Email","Ödül Puanları Bitiş Tarihi Uyarı E-postası"
"Expiry Warning Before (days)","Bitiş Tarihi Uyarıları (günler) Önce"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Hiçbir değer girilmemesi veya son kullanım tarihinden büyük bir değer girilmesi uyarı bildirimini devre dışı bırakır."
"Reward Points Rates","Ödül Puanı Oranları"
"Amount Balance","Bakiye Tutarı"
"Created","Oluşturuldu"
"Expires","Bitiş"
"ID","No"
"Add Reward Points","Ödül Puanı Ekle"
"Check out now and earn %1 for this order.","Siparişinizi şimdi verin ve bu siparişten %1 kazanın."
"Create an account on our site now and earn %1.","Hemen sitemizden bir hesap oluşturun ve kazanın %1."
"Subscribe to our newsletter now and earn %1.","Bültenimize abone olun ve %1 kazanın."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Şimdi bir inceleme yapın ve incelemeniz onaylandıktan sonra %1 kazanın."
"You can reward up to %1 new reviews(s).","%1 kadar yeni inceleme(ler) için ödül alabilirsiniz."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
