"Reward Points","Nagradni poeni"
"An empty value disables this limitation.","An empty value disables this limitation."
"Cap Reward Points Balance At","Cap Nagradni poeni Balance At"
"Reward Points Expire in (days)","Nagradni poeni Expire in (days)"
"Reward Points Expiry Calculation","Nagradni poeni Expiry Calculation"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statički"" definiše datum isteka tačno kada se stanje povećava. ""Dinamički"" nema datum isteka, već ga izračunava kada se stanje proveri za istek."
"Refund Reward Points Automatically","Povraćaj Nagradni poeni Automatically"
"Deduct Reward Points from Refund Amount Automatically","Deduct Nagradni poeni from Povraćaj Amount Automatically"
"Landing Page","Landing Stranica"
"Actions for Acquiring Reward Points by Customers","Akcije for Acquiring Nagradni poeni by Kupci"
"Purchase","Purchase"
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates."
"Registration","Registration"
"Newsletter Signup","Bilten Signup"
"Only for customers who subscribe for the first time.","Only for customers who subscribe for the first time."
"Converting Invitation to Customer","Converting Pozivnica to Kupac"
"Invitation to Customer Conversions Quantity Limit","Pozivnica to Kupac Conversions Količina Limit"
"Converting Invitation to Order","Converting Pozivnica to Porudžbina"
"Invitation to Order Conversions Quantity Limit","Pozivnica to Porudžbina Conversions Količina Limit"
"Invitation Conversion to Order Reward","Pozivnica Conversion to Porudžbina Reward"
"Review Submission","Recenzija Submission"
"After approval by administrator.","After approval by administrator."
"Rewarded Reviews Submission Quantity Limit","Rewarded Recenzije Submission Količina Limit"
"Email Sender","Pošiljaoc Mejla"
"Subscribe Customers by Default","Prijavi se Kupci by Podrazumevano"
"Balance Update Email","Balance Ažuriraj E-pošta"
"Reward Points Expiry Warning Email","Nagradni poeni Expiry Upozorenje E-pošta"
"Expiry Warning Before (days)","Expiry Upozorenje Before (days)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Entering no value or a value greater than the expiration lifetime disables the warning notification."
"Reward Points Rates","Nagradni poeni Rates"
"Amount Balance","Amount Balance"
"Created","Kreiran"
"Expires","Expires"
"ID","ID"
"Add Reward Points","Dodaj Nagradni poeni"
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Create an account on our site now and earn %1.","Kreiraj an account on our site now and earn %1."
"Subscribe to our newsletter now and earn %1.","Prijavi se to our newsletter now and earn %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Pošalji this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Pošalji a review now and earn %1 after the review is approved."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Pošalji this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Minimalno stanje nagradnih poena"" je nevažeće. Stanje mora biti pozitivan broj ili ostavljeno prazno. Proverite i pokušajte ponovo."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Maksimalno stanje nagradnih poena"" je nevažeće. Stanje mora biti pozitivan broj ili ostavljeno prazno. Proverite i pokušajte ponovo."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","""Minimalno stanje nagradnih poena"" je nevažeće. Stanje mora biti manje ili jednako ""Maksimalnom stanju nagradnih poena""."
