"Reward Points","Poin Hadiah"
"The action ID you enter must be a number.","ID tindakan yang Anda masukkan harus berupa angka."
"You don't have enough reward points to pay for this purchase.","Anda tidak memiliki cukup poin reward untuk membayar pembelian ini."
"Points to Currency","Poin ke Mata Uang"
"Currency to Points","Mata uang ke Poin"
"All Customer Groups","Semua Kelompok Pelanggan"
"Static","Statis"
"Dynamic","Dinamis"
"Each","Masing-masing"
"First","Pertama"
"All Websites","Semua Website"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","Pelanggan mendapatkan promosi tambahan %1."
"The customer earned %1 for this order.","Pelanggan memperoleh %1 untuk pesanan ini."
"Reward Points Balance","Penghargaan Poin Saldo"
"upper boundary","bagian atas"
"Refund Reward Points","Poin Reward Pengembalian Dana"
"Reward Points refunded to customer","Poin Reward dikembalikan kepada pelanggan"
"Remove","Hapus"
"Back","Kembali"
"Balance History","Riwayat Saldo"
"Amount","Jumlah"
"Points","Poin"
"Reason","Alasan"
"Date","Tanggal"
"Expires on %1","Kedaluwarsa pada %1"
"There is no balance history.","Tidak ada riwayat saldo."
"Reward points balance Information","Penghargaan poin Informasi saldo"
"Your balance is %1.","Saldo anda adalah %1."
"Current exchange rates:","Nilai tukar saat ini:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 menghabiskan = %2 diterima"
"None","Tidak ada"
"Balance limit is %1.","Batas saldo adalah %1."
"Maximum balance is reached","Saldo maksimal tercapai"
"Minimum Balance in order to redeem: %1.","Saldo Minimum untuk menukarkan: %1."
"You need a higher balance to use your rewards points.","Anda membutuhkan saldo yang lebih tinggi untuk menggunakan poin reward Anda."
"Each earned reward points award expires in %1 days.","Setiap penghargaan poin penghargaan akan berakhir dalam% 1 hari."
"Refer to reward points history to see when a specific record expires.","Lihat sejarah poin penghargaan untuk melihat kapan sebuah catatan tertentu berakhir."
"Email Notification Settings","Setelan Pemberitahuan Email"
"Save Subscription Settings","Simpan Setelan Langganan"
"Reward Points Balance Updated at %store_name","Poin penghargaan saldo diperbaharui di %nama_toko"
"%name,","%nama,"
"You have %points_balance points that may be used in our store:","Anda memiliki poin_saldo%poin yang mungkin digunakan di toko kami:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%uberhenti berlangganan_url""> Berhenti berlangganan </a> dari pemberitahuan ini."
"Reward Points Expiry Warning at %store_name","Peringatan Penghargaan poin kadaluwarsa di %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Ada sisa sisa% hari tersisa (s) untuk menggunakan%points_expiring dari poin penghargaan Anda."
"After %remaining_days day(s) these points will expire.","Setelah %hari_tersisa day(s) titik-titik ini akan berakhir."
"You have a total of %points_balance points that may be used in our store:","Anda memiliki poin_saldo%poin yang mungkin digunakan di toko kami:"
"Reward points","Poin Penghargaan"
"Use reward points","Gunakan poin penghargaan"
"Your reward point was successfully applied","Poin reward anda berhasil diaplikasikan"
"Manage Reward Points Balances","Mengelola Reward Points Saldo"
"Can Spend Reward Points","Bisa Menghabiskan Poin Reward"
"Enable Reward Points Functionality","Aktifkan Reward Points Fungsionalitas"
"Enable Reward Points Functionality on Storefront","Aktifkan Reward Points Fungsionalitas di etalase"
"Customers May See Reward Points History","Pelanggan Dapat Melihat Sejarah Poin Reward"
"Rewards Points Balance Redemption Threshold","Poin Rewards Saldo Ambang penebusan"
"An empty value disables this limitation.","Nilai kosong menonaktifkan batasan ini."
"Cap Reward Points Balance At","Cap Poin Reward Saldo Pada"
"Reward Points Expire in (days)","Poin Rewover Berakhir dalam (hari)"
"Reward Points Expiry Calculation","Poin reward kalkulasi kedaluwarsa"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statis"" mendefinisikan tanggal kadaluarsa sebagai tepat Kapan saldo meningkat. ""Dinamis"" tidak memiliki tanggal kedaluwarsa, tetapi menghitung satu ketika saldo dicentang untuk kedaluwarsa."
"Refund Reward Points Automatically","Mengembalikan Poin Reward secara otomatis"
"Deduct Reward Points from Refund Amount Automatically","Kurangi Poin Hadiah dari Jumlah Pengembalian Secara Otomatis"
"Landing Page","Halaman arahan"
"Actions for Acquiring Reward Points by Customers","Tindakan untuk Memperoleh Poin Hadiah oleh Pelanggan"
"Purchase","Pembelian"
"Added for spent money according to reward exchange rates.","Ditambahkan untuk uang yang dibelanjakan sesuai dengan nilai tukar reward."
"Registration","Registrasi"
"Newsletter Signup","Sign up newsletter"
"Only for customers who subscribe for the first time.","Hanya untuk pelanggan yang berlangganan untuk pertama kalinya."
"Converting Invitation to Customer","Mengkonversi Undangan ke Pelanggan"
"Invitation to Customer Conversions Quantity Limit","Undangan untuk Konversi Pelanggan Quantity Limit"
"Converting Invitation to Order","Mengkonversi Undangan ke Pesan"
"Invitation to Order Conversions Quantity Limit","Undangan untuk Memesan Konversi Quantity Limit"
"Invitation Conversion to Order Reward","Undangan Konversi ke Pesanan Reward"
"Review Submission","Kiriman Ulasan"
"After approval by administrator.","Setelah disetujui oleh administrator."
"Rewarded Reviews Submission Quantity Limit","Dihargai batas kuantitas penyerahan ulasan"
"Email Sender","Pengirim email"
"Subscribe Customers by Default","Berlangganan pelanggan secara Default"
"Balance Update Email","Email Pembaruan Saldo"
"Reward Points Expiry Warning Email","Email Peringatan Kedaluwarsanya Poin Penghargaan"
"Expiry Warning Before (days)","Kedaluwarsa peringatan sebelum (hari)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Memasukkan nilai atau nilai yang lebih besar daripada masa kadaluarsa menonaktifkan pemberitahuan peringatan."
"Reward Points Rates","Poin reward Peringkat"
"Amount Balance","Jumlah saldo"
"Created","Dibuat"
"Expires","Kadaluarsa"
"ID","Id"
"Add Reward Points","Menambahkan Poin Reward"
"Check out now and earn %1 for this order.","Check out sekarang dan mendapatkan %1 untuk pesanan ini."
"Create an account on our site now and earn %1.","Membuat account di situs kami sekarang dan mendapatkan %1."
"Subscribe to our newsletter now and earn %1.","Berlangganan newsletter kami sekarang dan dapatkan %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Kirimkan ulasan sekarang dan mendapatkan %1 setelah ulasan disetujui."
"You can reward up to %1 new reviews(s).","Anda dapat hadiah tambahan review baru %1 (s)."
"Reward points should be a valid integer number.","Reward points should be a valid integer number."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
