"Search Term","Istilah pencarian"
"    All Store Views","    Semua tampilan toko"
"All Store Views","Semua Tampilan Store"
"Delete","Hapus"
"Are you sure you want to delete synonym group with id: %1?","Apakah anda yakin anda ingin menghapus sinonim group dengan id: %1?"
"View/Edit","Lihat / ubah"
"Search entire store here...","Cari seluruh toko disini..."
"There are no search terms available.","Tidak ada istilah pencarian yang tersedia."
"Search Engine","Mesin pencarian"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Nomor"
"Hits","Permintaan"
"Are you sure?","Apakah Anda Yakin?"
"Suggested Terms","Ketentuan yang Disarankan"
"yes","yes"
"no","no"
"Action","Tindakan"
"Edit","Ubah"
"You can adjust the scope of this synonym group by selecting an option from the list.","Anda dapat menyesuaikan cakupan grup sinonim ini dengan memilih opsi dari daftar."
"Scope","Cakupan"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Daftar sinonim yang dipisahkan koma. Istilah yang dimasukkan (dipisahkan dengan koma) akan digunakan sebagai kategori penelusuran ""ATAU"" untuk menelusuri seluruh toko Anda. Misalnya, jika Anda memasukkan ""sepatu, alas kaki"", dan pengguna untuk mencari ""sepatu"", hasil pencarian akan mencakup produk atau konten dengan istilah ""sepatu"" atau ""alas kaki"""
"Synonyms","Sinonim"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Secara otomatis menggabungkan sinonim dalam grup yang memiliki cakupan yang sama. Jika Anda mencentang kotak ini dan menambahkan satu atau beberapa istilah yang sama ke grup sinonim yang berbeda dalam lingkup yang sama, secara otomatis menggabungkan semua persyaratan ke satu grup. Jika ini bukan yang Anda inginkan, hapus centang pada kotak dan muncul kesalahan jika Anda mencoba menambahkan istilah yang sama."
"Store View","Tampilan toko"
"Website","Situs web"
"Are you sure you want to delete the selected synonym groups?","Yakin ingin menghapus grup sinonim yang dipilih?"
"Delete items","Hapus benda"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
