"Search Term","Terme de recherche"
"    All Store Views","    Toutes les vues de magasin"
"All Store Views","Toutes les vues magasin"
"Delete","Supprimer"
"Are you sure you want to delete synonym group with id: %1?","Êtes-vous certain(e) de vouloir supprimer le groupe de synonymes portant l'identifiant : %1 ?"
"View/Edit","Afficher/Modifier"
"Search entire store here...","Rechercher dans tout le magasin..."
"There are no search terms available.","Aucun terme de recherche disponible."
"Search Engine","Moteur de recherche"
"CSV","CSV"
"Excel XML","XML d'Excel"
"ID","Identifiant"
"Hits","Vues"
"Are you sure?","Êtes-vous sûr(e) ?"
"Suggested Terms","Termes suggérés"
"yes","oui"
"no","non"
"Action","Action"
"Edit","Éditer"
"You can adjust the scope of this synonym group by selecting an option from the list.","Vous pouvez régler la portée de ce groupe de synonymes en sélectionnant une option dans la liste."
"Scope","Portée"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Liste séparée par des virgules de synonymes. Les termes entrés (séparés par des virgules) serviront comme une requête de recherche « OU » pour rechercher dans tout le magasin. Par exemple, si vous entrez « bottines, chaussures », et l’utilisateur étaient à la recherche de « chaussures », les résultats de recherche incluent n’importe quel produit ou contenu avec le terme «  bottines » ou « chaussures »."
"Synonyms","Synonymes"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Fusionne automatiquement des synonymes dans les groupes qui partagent la même portée. Si vous cochez cette case et que vous ajoutez un ou plusieurs des mêmes conditions aux groupes synonyme différents dans la même portée, fusionne automatiquement tous les termes à un seul groupe. Si ce n’est pas ce que vous voulez, décochez la case et une erreur s’affiche si vous tentez d’ajouter aux mêmes conditions."
"Store View","Vue magasin"
"Website","Site web"
"Are you sure you want to delete the selected synonym groups?","Êtes-vous certain(e) de vouloir supprimer les groupes de synonymes sélectionnés ?"
"Delete items","Supprimer les éléments"
"Synonym For","Synonyme de"
"Will make search for the query above return results for this search","Recherchera les résultats de la requête ci-dessus pour cette recherche"
"Synonym","Synonyme"
"Merge existing synonyms","Fusionner les synonymes existants"
"The synonym group with the ""%1"" ID can't be deleted. %2","Le groupe de synonymes avec l'ID ""%1"" ne peut pas être supprimé. %2"
