"Search Term","Termo de pesquisa"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Combina automaticamente os sinónimos em grupos que partilhem o mesmo escopo. Se selecionar esta opção e adicionar um ou mais dos mesmos termos a grupos de sinónimos diferentes, os mesmos serão combinados num único grupo. Se não for isto o que deseja, não selecione esta caixa e será posteriormente mostrado um erro quando tentar inserir os mesmos termos."
"Store View","Vista da Loja"
"Website","Site"
"Are you sure you want to delete the selected synonym groups?","Tem a certeza que deseja excluir os grupos de sinónimos selecionados?"
"Delete items","Remover itens"
"Synonym For","Sinônimo de"
"Will make search for the query above return results for this search","Irá retornar resultados de acordo com a consulta acima"
"Synonym","Sinónimo"
"Merge existing synonyms","Combinar sinónimos existentes"
"The synonym group with the ""%1"" ID can't be deleted. %2","O grupo de sinónimos com id %1 não pode ser eliminado. %2"
