"Search Term","සොයන්න කාලීන"
"Something went wrong while saving the search query.","සෙවුම් විමසුම සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"You already have an identical search term query.","ඔබට දැනටමත් සමාන සෙවුම් පද විමසුමක් ඇත."
"Your search query can't be longer than %1, so we shortened your query.","ඔබගේ සෙවුම් විමසුම %1ට වඩා දිගු විය නොහැක, එබැවින් අපි ඔබගේ විමසුම කෙටි කලෙමු."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","පවතින සමානාර්ථ කණ්ඩායම්(ය) සමඟ ගැටුම ඒකාබද්ධ කරන්න: %1"
"All Websites","සියලුම වෙබ් අඩවි"
"    All Store Views","    සියලුම ගබඩා දර්ශන"
"All Store Views","සියලුම ගබඩා දර්ශන"
"Delete","මකන්න"
"Are you sure you want to delete synonym group with id: %1?","ඔබට හැඳුනුම්පත: %1සමඟ සමාන පද සමූහය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"View/Edit","බලන්න/සංස්කරණය කරන්න"
"Search entire store here...","සම්පූර්ණ ගබඩාව මෙතනින් සොයන්න..."
"There are no search terms available.","සෙවුම් පද නොමැත."
"Search Engine","සෙවුම් යන්ත්‍රය"
"CSV","CSV"
"Excel XML","එක්සෙල් XML"
"ID","හැඳුනුම්පත"
"Hits","පහරවල්"
"Are you sure?","ඔබට විශ්වාසද?"
"Suggested Terms","යෝජිත නියමයන්"
"yes","yes"
"no","no"
"Action","කටයුතු"
"Edit","සංස්කරණය කරන්න"
"You can adjust the scope of this synonym group by selecting an option from the list.","ලැයිස්තුවෙන් විකල්පයක් තේරීමෙන් ඔබට මෙම සමානාර්ථ සමූහයේ විෂය පථය සකස් කළ හැක."
"Scope","විෂය පථය"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","කොමාවෙන් වෙන් වූ සමාන පද ලැයිස්තුව. ඇතුළත් කළ නියමයන් (කොමාවෙන් වෙන් කර ඇත) ඔබේ සම්පූර්ණ ගබඩාව සෙවීමට ""OR"" සෙවුම් විමසුමක් ලෙස භාවිතා කරනු ඇත. උදාහරණයක් ලෙස, ඔබ “සපත්තු, පාවහන්” ඇතුළත් කළහොත් සහ පරිශීලකයා “සපත්තු” සෙවීමට නම්, සෙවුම් ප්‍රතිඵලවල “සපත්තු” හෝ “පාවහන්” යන යෙදුම සහිත ඕනෑම නිෂ්පාදනයක් හෝ අන්තර්ගතයක් ඇතුළත් වේ."
"Synonyms","සමාන පද"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","එකම විෂය පථය බෙදා ගන්නා කණ්ඩායම්වල සමාන පද ස්වයංක්‍රීයව ඒකාබද්ධ කරයි. ඔබ මෙම කොටුව සලකුණු කර, ඔබ එකම විෂය පථය තුළ විවිධ සමානාර්ථ කණ්ඩායම් වෙත එකම පද එකක් හෝ කිහිපයක් එක් කළහොත්, ස්වයංක්‍රීයව සියලුම නියමයන් එක් කණ්ඩායමකට ඒකාබද්ධ කරයි. මෙය ඔබට අවශ්‍ය දේ නොවේ නම්, කොටුව සලකුණු නොකරන්න, ඔබ එකම නියමයන් එක් කිරීමට උත්සාහ කළහොත් දෝෂයක් දිස්වේ."
"Store View","ගබඩා දර්ශනය"
"Website","වෙබ් අඩවිය"
"Are you sure you want to delete the selected synonym groups?","ඔබට තෝරාගත් සමානාර්ථ කණ්ඩායම් මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Delete items","අයිතම මකන්න"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","පවතින සමාන පද ඒකාබද්ධ කරන්න"
"The synonym group with the ""%1"" ID can't be deleted. %2","""%1"" හැඳුනුම්පත සමඟ සමාන පද සමූහය මකා දැමිය නොහැක. %2"
