"Search Term","Termo de pesquisa"
"Search Engine","Motor de busca"
"CSV","CSV"
"Excel XML","Excel, XML"
"ID","Id."
"Hits","Visitas"
"Are you sure?","Você tem certeza?"
"Suggested Terms","Termos sugeridos"
"yes","sim"
"no","não"
"Action","Ação"
"Edit","Editar"
"You can adjust the scope of this synonym group by selecting an option from the list.","Você pode ajustar o escopo deste grupo de sinônimos ao selecionar uma opção da lista."
"Scope","Escopo"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Lista de sinónimos separada por vírgulas. Os termos inseridos (separados por vírgulas) serão usado numa query ""OR"" para pesquisar na loja inteira. Por exemplo, se você escrever ""sapatos, calçado"", e o utilizador procurar por ""sapatos"", os resultados da pesquisa incluirão qualquer produto ou conteúdo com os termos ""sapatos"" ou ""calçado"""
"Synonyms","Sinônimos"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Combina automaticamente os sinônimos em grupos que possuem o mesmo escopo. Se selecionar esta opção e adicionar um ou mais dos mesmos termos a diferente grupos de sinônimos do mesmo escopo, os mesmos serão combinados num único grupo. Se não for isto o que deseja, desmarque esta opção e um erro será mostrado ai tentar adicionar os mesmos termos."
"Store View","Visão de Loja"
"Website","Site"
"Are you sure you want to delete the selected synonym groups?","Tem a certeza que deseja excluir os grupos de sinônimos selecionados?"
"Delete items","Excluir itens"
"Synonym For","Sinônimo para"
"Will make search for the query above return results for this search","Irá retornar resultados de acordo com a consulta acima"
"Synonym","Sinónimo"
"Merge existing synonyms","Combinar sinônimos existentes"
"The synonym group with the ""%1"" ID can't be deleted. %2","O grupo de sinônimos com id %1 não pode ser removido. %2"
