"Segments","Szegmensek"
"Shopping Cart Products Qty %1 %2:","Termékek mennyisége a kosárban %1 %2:"
"equals or greater than","egyenlő vagy nagyobb, mint"
"equals or less than","kisebb vagy egyenlő, mint"
"greater than","nagyobb, mint"
"less than","kisebb, mint"
"Up To Date","Naprakész"
"Period %1 %2 Days Up To Date","%1 időszak %2 nap naprakész"
"Customer Segment","Vásárló-szegmensek"
"Use in Customer Segment","Használja a Vásárló-szegmensben"
"Please choose a condition to add.","Válasszon feltételt."
"Enable Customer Segment Functionality","Vásárló-szegmensek engedélyezése"
"Refresh Data","Adatok frissítése"
"Manage Segments","Szegmensek kezelése"
"All Websites","Minden honlap"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Név"
"Email","E-mail"
"Group","Csoport"
"Phone","Telefon"
"ZIP","Irányítószám"
"Country","Ország"
"State/Province","Állam/megye"
"Customer Since","Első vásárlás"
"View Combined Report","Kombinált jelentés megtekintése"
"Set","Beállít"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
