"Segments","Segmente"
"Shipping","Versand"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","hat Bundesland/Kanton"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","hat"
"does not have","hat keinen"
"exists","vorhanden"
"does not exist","ist nicht vorhanden"
"Customer %1","Kunde %1"
"Newsletter Subscription","Newsletter Abonnement"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","abonniert"
"not subscribed","nicht abonniert"
"Store Credit","Shop-Guthaben"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Zeitraum"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Date Range %1 within %2","Datumsbereich %1 innerhalb %2"
"If Order Addresses match %1 of these Conditions:","Wenn Bestelladressen %1 dieser Bedingungen entsprechen:"
"Order Address Attributes","Bestelladressattribute"
"Order Address %1","Bestell Adresse %1"
"Address Type","Adresstyp"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Bestellstatus"
"Any","Jeder"
"Order Status %1 %2:","Bestell Status %1 %2:"
"Product Attributes","Artikelattribute"
"Product %1","Produkt %1"
"Date Ranges","Datumsbereich"
"viewed","angesehen"
"ordered","bestellt"
"was","war"
"was not","war nicht"
"If Product %1 %2 and matches %3 of these Conditions:","Wenn Produkt %1 %2 und %3 dieser Bedingungen entsprechen:"
"Shopping Cart","Warenkorb"
"Wish List","Wunschliste"
"found","gefunden"
"not found","nicht gefunden"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Bestelladresse"
"Sales Amount","Verkaufsbetrag"
"Number of Orders","Anzahl der Bestellungen"
"Purchased Quantity","Eingekaufte Menge"
"Sales","Verkäufe"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"Total","Gesamtsumme"
"Average","Durchschnitt"
"If Customer Segment %1 %2","Wenn Kundensegment %1 %2"
"matches","übereinstimmen"
"does not match","nicht übereinstimmen"
"is one of","ist eines von"
"is not one of","ist nicht eines von"
"Shopping Cart Total","Warenkorb Gesamt"
"Subtotal","Zwischensumme"
"Grand Total","Gesamtsumme"
"Tax","Steuer"
"Gift Card","Geschenkkarte"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Anzahl der Warenkorb Einzelposten"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Produktmenge"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","größer gleich als"
"equals or less than","kleiner gleich als"
"greater than","größer als"
"less than","kleiner als"
"Up To Date","Aktuell"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Kundensegment"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Please choose a condition to add."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Daten aktualisieren"
"Manage Segments","Segmente verwalten"
"All Websites","Alle Webseiten"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Name"
"Email","E-Mail"
"Group","Gruppe"
"Phone","Telefonnummer"
"ZIP","PLZ"
"Country","Land"
"State/Province","Bundesland"
"Customer Since","Kunde seit"
"View Combined Report","Kombinierten Bericht anzeigen"
"Set","Einrichten"
"We're unable to delete the segement.","Wir sind nicht in der Lage, das Segment zu löschen."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
