"Segments","Сегменти"
"Order Status %1 %2:","Поръчка статус %1 %2:"
"Product Attributes","Продуктови атрибути"
"Product %1","Продукт %1"
"Date Ranges","Времеви период"
"viewed","гледан"
"ordered","поръчан"
"was","беше"
"was not","не беше"
"If Product %1 %2 and matches %3 of these Conditions:","Ако продукт %1 %2 и мача %3 на следните условия:"
"Shopping Cart","Количка"
"Wish List","Списък с желани"
"found","намерен"
"not found","не е намерен"
"If Product is %1 in the %2 with %3 of these Conditions match:","Ако продуктът е %1 в %2 с %3 на тези условия отговарят:"
"Order Address","Адрес на поръчка"
"Sales Amount","Сума на продажбите"
"Number of Orders","Брой поръчки"
"Purchased Quantity","Закупеното количество"
"Sales","Продажби"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 при %5 на тези условия отговарят:"
"Total","Общо"
"Average","Среден"
"If Customer Segment %1 %2","Ако клиент сегмент %1 %2"
"matches","съвпада"
"does not match","не съвпада"
"is one of","е един от"
"is not one of","не е един от"
"Shopping Cart Total","Общо количка"
"Subtotal","Сума"
"Grand Total","Обща сума"
"Tax","Данък"
"Gift Card","Карта подарък"
"Shopping Cart %1 Amount %2 %3:","Пазаруване кошница %1 сума %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Брой елементи в количката"
"Number of Shopping Cart Line Items %1 %2:","Брой елементи в количката %1 %2:"
"Products Quantity","Количество продукти"
"Shopping Cart Products Qty %1 %2:","Пазаруване кошница продукти количество %1 %2:"
"equals or greater than","е равно на или по-голяма от"
"equals or less than","е равно на или по-малко от"
"greater than","по-голяма от"
"less than","по-малко от"
"Up To Date","Актуално"
"Period %1 %2 Days Up To Date","Период %1 %2 дни до датата на"
"Customer Segment","Потребителски сегмент"
"Use in Customer Segment","Използване в потребителски сегмент"
"Please choose a condition to add.","Моля изберете условие да добавите."
"Enable Customer Segment Functionality","Разреши клиентски сегмент функционалност"
"Refresh Data","Обновяване на данни"
"Manage Segments","Управление на сегменти"
"All Websites","Всички уеб сайтове"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Име"
"Email","Имейл"
"Group","Група"
"Phone","Телефон"
"ZIP","Пощенски код"
"Country","Държава"
"State/Province","Област / Провинция"
"Customer Since","Клиенти от"
"View Combined Report","Покажи комбинирана справка"
"Set","Задаване"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","Зададенят Тоталът за квота е непозната. Проверете и тотала и опитайт пак."
