"Segments","Segmentos"
"subscribed","inscrito"
"not subscribed","não inscrito"
"Store Credit","Crédito na loja"
"Customer Store Credit Amount %1 %2:","Quantidade %1 %2 de crédito ao cliente loja:"
"Date Range","Intervalo de Data"
"Open Chooser","Abrir Seletor"
"Date Range %1 within %2","Intervalo de datas %1 entre %2"
"If Order Addresses match %1 of these Conditions:","Se os endereços do pedidos correspondem a %1 dessas condições:"
"Order Address Attributes","Atributos do Endereço do Pedido"
"Order Address %1","Endereço do Pedido %1"
"Address Type","Tipo de endereço"
"Order Address %1 a %2 Address","Ordem endereço %1 um endereço %2"
"Order Status","Situação do pedido"
"Any","Qualquer"
"Order Status %1 %2:","Status do Pedido %1 %2:"
"Product Attributes","Atributos de Produto"
"Product %1","Produto %1"
"Date Ranges","Intervalo de Data"
"viewed","visualizaram"
"ordered","comprado"
"was","era"
"was not","não era"
"If Product %1 %2 and matches %3 of these Conditions:","Se produto %1 %3 %2 e partidas destas condições:"
"Shopping Cart","Carrinho de Compras"
"Wish List","Lista de Desejos"
"found","encontrados"
"not found","não encontrado"
"If Product is %1 in the %2 with %3 of these Conditions match:","Se o produto é %1 na %2 com %3 destas condições correspondem:"
"Order Address","Endereço do Pedido"
"Sales Amount","Quantidade de vendas"
"Number of Orders","Número de pedidos"
"Purchased Quantity","Quantidade comprada"
"Sales","Vendas"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 ao %5 dessas condições correspondem:"
"Total","Total"
"Average","Média"
"If Customer Segment %1 %2","Se o segmento do cliente %1 %2"
"matches","corresponde a"
"does not match","não coincide"
"is one of","é um dos"
"is not one of","não é um dos"
"Shopping Cart Total","Total"
"Subtotal","Sub-total"
"Grand Total","Total geral"
"Tax","Taxa"
"Gift Card","Cartão de presente"
"Shopping Cart %1 Amount %2 %3:","Carrinho %1 quantidade %2 %3 de compras:"
"Unknown quote total specified.","O total do orçamento especificado é desconhecido."
"Number of Cart Line Items","Número de Itens no Carrinho"
"Number of Shopping Cart Line Items %1 %2:","Número da linha carrinho de compras itens %1 %2:"
"Products Quantity","Quantidade de produtos"
"Shopping Cart Products Qty %1 %2:","Qtde. de produtos no carrinho %1 %2:"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"greater than","maior do que"
"less than","menos que"
"Up To Date","Atualizado"
"Period %1 %2 Days Up To Date","Período de %1 dias de %2 até a data"
"Customer Segment","Segmento de clientes"
"Use in Customer Segment","Uso no segmento de clientes"
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar."
"Enable Customer Segment Functionality","Habilitar funcionalidade de segmentação de cliente"
"Refresh Data","Atualizar dados"
"Manage Segments","Gerir segmentos"
"All Websites","Todos os sites"
"CSV","CSV"
"Excel XML","Excel, XML"
"Name","Nome"
"Email","E-mail"
"Group","Grupo"
"Phone","Telefone"
"ZIP","CEP"
"Country","País"
"State/Province","Estado"
"Customer Since","Cliente desde"
"View Combined Report","Exibir Relatório Combinado"
"Set","Definir"
"We're unable to delete the segement.","Não foi possível excluir o seguimento."
"Custom Condition","Condição customizada"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
