"Segments","Segmentos"
"Conditions Combination","Combinação de Condições"
"Customer Address","Morada do Cliente"
"Product List","Lista de Produtos"
"Product History","Histórico de Produtos"
"Products","Produtos"
"Wrong ""ApplyTo"" type","O tipo de ""ApplyTo"" é incorreto"
"Customer","Cliente"
"If Customer Addresses match %1 of these Conditions:","Se a Morada do Cliente corresponder a %1 destas Condições:"
"Address Attributes","Atributos de Morada"
"Customer Address %1","Morada de Cliente %1"
"Default Address","Morada Pré-definida"
"Billing","Faturação "
"Shipping","Envio"
"Customer Address %1 Default %2 Address","Morada de Cliente %1 Pré-definida %2 Morada"
"Has State/Province","Tem Região/Distrito"
"If Customer Address %1 State/Province specified","Se a Morada de Cliente %1 tiver Região/Distrito especificado"
"has","tem"
"does not have","não tem"
"exists","existe"
"does not exist","não existe"
"Customer %1","Cliente %1"
"Newsletter Subscription","Subscrição da Newsletter"
"Customer is %1 to newsletter.","O cliente está %1 à newsletter."
"subscribed","subscrito"
"not subscribed","não subscrito"
"Store Credit","Crédito na Loja"
"Customer Store Credit Amount %1 %2:","Montante de Crédito de Loja de Cliente %1 %2:"
"Date Range","Intervalo de Datas"
"Open Chooser","Abrir o Seletor"
"Date Range %1 within %2","Intervalo de Datas %1 entre %2"
"If Order Addresses match %1 of these Conditions:","Se as Moradas da Encomenda corresponderem a %1 destas Condições:"
"Order Address Attributes","Atributos de Morada da Encomenda"
"Order Address %1","Morada da Encomenda %1"
"Address Type","Tipo de Morada"
"Order Address %1 a %2 Address","Morada da Encomenda %1 a Morada %2"
"Order Status","Estado da Encomenda"
"Any","Qualquer"
"Order Status %1 %2:","Estado da Encomenda %1 %2:"
"Product Attributes","Atributos de Produto"
"Product %1","Produto %1"
"Date Ranges","Intervalos de Datas"
"viewed","visualizado"
"ordered","ordenado"
"was","foi"
"was not","não foi"
"If Product %1 %2 and matches %3 of these Conditions:","Se o Produto %1 %2 e corresponde a %3 destas Condições:"
"Shopping Cart","Carrinho de compras"
"Wish List","Lista de Desejos"
"found","encontrado"
"not found","não foi encontrado"
"If Product is %1 in the %2 with %3 of these Conditions match:","Se o Produto é %1 na %2 e corresponde a %3 destas Condições:"
"Order Address","Morada da Encomenda"
"Sales Amount","Quantidade de Vendas"
"Number of Orders","Número de Encomendas"
"Purchased Quantity","Quantidade Adquirida"
"Sales","Vendas"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 enquanto correspondem %5 destas Condições:"
"Total","Total"
"Average","Média"
"If Customer Segment %1 %2","Se o Segmento de Cliente %1 %2"
"matches","corresponde a"
"does not match","não corresponde"
"is one of","é um dos"
"is not one of","não é um dos"
"Shopping Cart Total","Total do Carrinho de Compras"
"Subtotal","Subtotal"
"Grand Total","Preço Final"
"Tax","Taxa"
"Gift Card","Cartão-Prenda"
"Shopping Cart %1 Amount %2 %3:","Carrinho de Compras %1 Quantidade %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Número de Itens no Carrinho por Linha"
"Number of Shopping Cart Line Items %1 %2:","Número de Itens do Carrinho de Compras por Linha %1 %2:"
"Products Quantity","Quantidade de Produtos"
"Shopping Cart Products Qty %1 %2:","Qtd Produtos no Carrinho de Compras %1 %2:"
"equals or greater than","superior ou igual a"
"equals or less than","inferior ou igual a"
"greater than","superior a"
"less than","inferior a"
"Up To Date","Atualizado"
"Period %1 %2 Days Up To Date","Período de %1 %2 Dias Até À Data"
"Customer Segment","Segmento de Cliente"
"Use in Customer Segment","Utilizar no Segmento de Cliente"
"Please choose a condition to add.","Por favor escolha uma condição para adicionar."
"Enable Customer Segment Functionality","Permitir a Funcionalidade de Segmento do Cliente"
"Refresh Data","Atualizar dados"
"Manage Segments","Gerir segmentos"
"All Websites","Todos os Sites"
"CSV","CSV"
"Excel XML","XML Excel"
"Name","Nome"
"Email","Correio electrónico"
"Group","Grupo"
"Phone","Telefone"
"ZIP","Cód. Postal"
"Country","País"
"State/Province","Concelho/Distrito"
"Customer Since","Cliente Desde"
"View Combined Report","Exibir Relatório Combinado"
"Set","Definir"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
