"Segments","Segmenti"
"Wrong ""ApplyTo"" type","Hai sbagliato tipo ""ApplyTo"""
"Customer","Cliente"
"If Customer Addresses match %1 of these Conditions:","Se gli indirizzi del cliente corrispondono a %1 di queste condizioni:"
"Address Attributes","Attributi indirizzo"
"Customer Address %1","Indirizzo cliente %1"
"Default Address","Indirizzo predefinito"
"Billing","Fatturazione"
"Shipping","Spedizione"
"Customer Address %1 Default %2 Address","Indirizzo cliente %1 predefinito %2 indirizzo"
"Has State/Province","Ha Stato/Provincia"
"If Customer Address %1 State/Province specified","Se indirizzo cliente %1 Stato/provincia specificato"
"has","ha"
"does not have","non ha"
"exists","esiste"
"does not exist","non esiste"
"Customer %1","Cliente %1"
"Newsletter Subscription","Iscrizione alla newsletter"
"Customer is %1 to newsletter.","Cliente è %1 alla newsletter."
"subscribed","iscritto"
"not subscribed","non iscritto"
"Store Credit","Credito negozio"
"Customer Store Credit Amount %1 %2:","Importo credito negozio cliente %1 %2:"
"Date Range","Intervallo di Date"
"Open Chooser","Selezione aperta"
"Date Range %1 within %2","Intervallo di date %1 all'interno %2"
"If Order Addresses match %1 of these Conditions:","Se gli indirizzi dell'ordine corrispondono a %1 di queste condizioni:"
"Order Address Attributes","Attributi indirizzo ordine"
"Order Address %1","Indirizzo ordine %1"
"Address Type","Tipo di indirizzo"
"Order Address %1 a %2 Address","Indirizzo ordine %1 a indirizzo %2"
"Order Status","Status Ordine"
"Any","Qualsiasi"
"Order Status %1 %2:","Status ordine %1 %2:"
"Product Attributes","Attributi prodotto"
"Product %1","Prodotto %1"
"Date Ranges","Intervallo di Date"
"viewed","visto"
"ordered","ordinato"
"was","era"
"was not","non era"
"If Product %1 %2 and matches %3 of these Conditions:","Se il prodotto %1 %2 corrisponde a %3 di queste condizioni:"
"Shopping Cart","Carrello"
"Wish List","Lista desideri"
"found","trovato"
"not found","non trovato"
"If Product is %1 in the %2 with %3 of these Conditions match:","Se il prodotto è %1 nel %2 con %3 di queste condizioni che corrispondono:"
"Order Address","Indirizzo d'ordine"
"Sales Amount","Importo vendite"
"Number of Orders","Numero di ordini"
"Purchased Quantity","Quantità acquistata"
"Sales","Vendite"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 mentre %5 di queste condizioni corrispondono:"
"Total","Totale"
"Average","Media"
"If Customer Segment %1 %2","Se il segmento cliente %1 %2"
"matches","corrispondono"
"does not match","non corrisponde"
"is one of","è uno di"
"is not one of","non è uno di"
"Shopping Cart Total","Totale carrello"
"Subtotal","Subtotale"
"Grand Total","Totale complessivo"
"Tax","Tassa"
"Gift Card","Carta Regalo"
"Shopping Cart %1 Amount %2 %3:","Carrello %1 importo %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Numero di elementi di riga del carrello"
"Number of Shopping Cart Line Items %1 %2:","Numero di elementi riga carrello %1 %2:"
"Products Quantity","Quantità prodotti"
"Shopping Cart Products Qty %1 %2:","Qtà prodotti carrello %1 %2:"
"equals or greater than","è uguale o maggiore di"
"equals or less than","è uguale o inferiore a"
"greater than","maggiore di"
"less than","minore di"
"Up To Date","Aggiornato"
"Period %1 %2 Days Up To Date","Periodo di %1 %2 aggiornato"
"Customer Segment","Segmento cliente"
"Use in Customer Segment","Usa nel segmento cliente"
"Please choose a condition to add.","Si prega di scegliere una condizione da aggiungere."
"Enable Customer Segment Functionality","Abilita la funzionalità di segmento del cliente"
"Refresh Data","Aggiorna dati"
"Manage Segments","Gestione Segmenti"
"All Websites","Tutti i Website"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Nome"
"Email","Email"
"Group","Gruppo"
"Phone","Telefono"
"ZIP","CAP"
"Country","Nazione"
"State/Province","Provincia/Regione"
"Customer Since","Cliente dal"
"View Combined Report","Mostra Report combinati"
"Set","Imposta"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
