"Wishlist","Lista de deseos"
"Test Phrase","Frase de prueba"
"Unknown Magento error","Error desconocido de Magento"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Actualizar"
"All Wish Lists","Todas las listas de deseos"
"Item","Artículo"
"Qty","Cantidad"
"Price","Precio"
"Remove","Quitar"
"Add To Order","Añadir al pedido"
"Configure and Add to Order","Configurar y añadir al pedido"
"No items","No hay artículos"
"Delete Wish List","Eliminar lista de deseos"
"Owner","Propietario"
"Name","Nombre"
"Updated","Actualizado"
"Wish List Items","Elementos de la lista de deseos"
"You must select items to add to the cart.","Debe seleccionar elementos a añadir al carrito."
"Add to Cart","Agregar al Carrito"
"Back","Volver"
"Add to:","Añadir a:"
"Create New Wish List","Crear nueva lista de deseos"
"Move to Wish List","Mover a la lista de pedidos"
"Copy to Wish List","Copiar a lista de deseos"
"Search Options","Opciones de búsqueda"
"Required Fields","Campos Requeridos"
"First Name","Nombre"
"Last Name","Apellidos"
"Search","Buscar"
"Search Results","Resultados de Búsqueda"
"Wish List Name","Nombre de la lista de deseos"
"Actions","Acciones"
"View","Ver"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"Wish List","Lista de artículos deseados"
"Create Wish List","Crear lista de deseos"
"Edit Wish List","Editar lista de deseos"
"Edit","Editar"
"Public Wish List","Lista de deseos pública"
"Private Wish List","Lista de deseos privada"
"Select all","Seleccionar todo"
"Move Selected to Wish List","Mover seleccionado a la lista de deseos"
"Copy Selected to Wish List","Copiar seleccionado a la lista de deseos"
"Search By","Buscar por"
"Please enter at least two letters.","Por favor introduzca al menos dos letras."
"Close","Cerrar"
"Save","Guardar"
"Cancel","Cancelar"
"We can't create the Wish List right now.","No podemos crear la lista de favoritos en este momento."
"Please select items to move.","Por favor, seleccionar los elementos a mover."
"Please select items to copy.","Por favor, seleccionar los elementos a copiar."
"Are you sure you want to delete your wish list? This action can't be undone.","¿Está seguro que desea eliminar de su lista de deseos? Esta acción no se puede deshacer."
"Wish Lists","Listas de deseo"
"Enable Multiple Wish Lists","Permitir múltiples listas de deseos"
"Number of Multiple Wish Lists","Número de múltiples listas de deseos"
"The number of multiple wish lists should be equal to or more than 2.","El número de múltiples listas de deseos debe ser igual o más de 2."
"My Wish Lists Link","Enlace de mis listas de deseos"
"Display Wish Lists Summary","Mostrar Resumen de listas de deseos"
"Wish List Search Description","Descripción de búsqueda de lista de deseos"
"Quick Search Form Types","Tipos de formulario de búsqueda rápida"
"Template","Plantilla"
"Wish List Search Template","Plantilla de búsqueda de lista de deseos"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Añadido"
"Customer","Cliente"
"Status","Estado"
"Public","Público"
"Private","Privado"
"Product","Producto"
"SKU","Art"
"Comment","Comentario"
"Wish List Quantity","Cantidad de lista de deseos"
"Store Quantity","Cantidad en la tienda"
"Surplus / Deficit","Superávit / déficit"
"All Websites","Todos los sitios web"
"Product Info","Información del producto"
"Unit Price","Precio Unitario"
"Add to Wish List","Añadir a lista de deseos"
"Could not create a wish list.","No se pudo crear una lista de deseos."
"The default wish list can't be deleted.","La lista de deseos predeterminada no se puede eliminar."
"Edit wish list","Editar lista de deseos"
