"Wishlist","Takip Listesi"
"%1 product(s) have been added to shopping cart: %2.","%1 ürün (ler) alışveriş sepetine eklendi: %2."
"Please reenter your search options.","Lütfen arama seçeneklerinizi yeniden girin."
"We could not perform the search.","Aramayı gerçekleştiremedi."
"All Forms","Tüm formlar"
"Owner Name","Sahibinin Adı"
"Owner Email","E-posta sahibi"
"%1's Wish List","%1'in istek listesi"
"%1's Wish List (%2)","%1' in İstek Listesi (%2)"
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi girin."
"Please enter at least 2 letters of the first name.","Lütfen ilk adın en az 2 harfini girin."
"Please enter at least 2 letters of the last name.","Lütfen soyadın en az 2 harfini girin."
"Sign in to edit wish lists.","İstek listelerini düzenlemek için oturum açın."
"The wish list is not assigned to your account and can't be edited.","Dilek listesi hesabınıza atanmaz ve düzenlenemez."
"Provide the wish list name.","İstek listesi adı sağlayın."
"Wish list ""%1"" already exists.","İstek listesi ""%1"" zaten mevcut."
"Only %1 wish list(s) can be created.","Sadece %1 dilek listesi (listeleri) oluşturulabilir."
"Test Phrase","Test Cümle"
"Unknown Magento error","Bilinmeyen Magento hatası"
"InvalidArgumentException","GeçersizArgümanİstisnası"
"Refresh","Yenile"
"All Wish Lists","Tüm istek listeleri"
"Item","Ürün"
"Qty","Miktar"
"Price","Fiyat"
"Remove","Kaldır"
"Add To Order","Siparişe Ekle"
"Configure and Add to Order","Yapılandır ve Siparişe Ekle"
"No items","Ürün yok"
"Delete Wish List","İstek Listesini Sil"
"Owner","Sahip"
"Name","Adı"
"Updated","Güncellendi"
"Wish List Items","İstek Listeleri Öğeleri"
"You must select items to add to the cart.","Sepete eklemek için öğeleri seçmelisiniz."
"Add to Cart","Sepete Ekle"
"Back","Geri"
"Add to:","Ekle:"
"Create New Wish List","Yeni İstek Listesi Oluştur"
"Move to Wish List","İstek listeme taşı"
"Copy to Wish List","İstek Listesine Kopyala"
"Search Options","Arama seçenekleri"
"Required Fields","Doldurulması zorunlu alanlar"
"First Name","Adı"
"Last Name","Soyadı"
"Search","Arama"
"Search Results","Arama Sonuçları"
"Wish List Name","İstek listesi ismi"
"Actions","İşlemler"
"View","Göster"
"Your search returned no results.","Aramanız için hiç sonuç bulunamadı."
"Wish List","İstek listesi"
"Create Wish List","İstek Listesi Oluştur"
"Edit Wish List","İstek listesini düzenle"
"Edit","Düzenle"
"Public Wish List","Genel İstek Listesi"
"Private Wish List","Özel İstek Listesi"
"Select all","Hepsini seç"
"Move Selected to Wish List","Seçilenleri İstek Listesine Taşı"
"Copy Selected to Wish List","Seçilen Ürünü İstek Listesine Kopyala"
"Search By","Şuna göre ara"
"Please enter at least two letters.","Lütfen en az iki harf girin."
"Close","Kapat"
"Save","Kaydet"
"Cancel","İptal"
"We can't create the Wish List right now.","Şuan istek listesini oluşturamıyoruz."
"Please select items to move.","Lütfen taşınacak öğeleri seçin."
"Please select items to copy.","Lütfen kopyalanacak oğeleri seçin."
"Are you sure you want to delete your wish list? This action can't be undone.","Dilek listenizi silmek istediğinizden emin misiniz? Bu eylem geri alınamaz."
"Wish Lists","İstek listesi"
"Enable Multiple Wish Lists","Birden Çok İstek Listesini Etkinleştir"
"Number of Multiple Wish Lists","Birden Çok İstek Listesi Sayısı"
"The number of multiple wish lists should be equal to or more than 2.","Birden çok dilek listesinin sayısı 2'ye eşit veya daha fazla olmalıdır."
"My Wish Lists Link","İstek listem"
"Display Wish Lists Summary","İstek Listesi Özeti Görüntüle"
"Wish List Search Description","İstek listesi arama açıklaması"
"Quick Search Form Types","Hızlı Arama Formu Tipleri"
"Template","Şablon"
"Wish List Search Template","İstek Listesi Arama Şablonu"
"CSV","Csv"
"Excel XML","Excel XML"
"Added","Katma"
"Customer","Müşteri"
"Status","Durum"
"Public","Kamu"
"Private","Özel"
"Product","Ürün"
"SKU","Ürün Kodu"
"Comment","Yorum"
"Wish List Quantity","İstek Listesi Miktarı"
"Store Quantity","Stok Sayısı"
"Surplus / Deficit","Artı / eksikliği"
"All Websites","Tüm Web siteleri"
"Product Info","Ürün bilgisi"
"Unit Price","Birim Fiyat"
"Add to Wish List","İstek Listesine Ekle"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
