"Backup options","Alternativ för säkerhetskopiering"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller understreck (_) i detta fält, och det första tecknet bör vara en bokstav."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9), blanksteg eller brädgård ""#"" i fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel +46 23 456 78 90 eller +46 (0)23-456 78 90."
"Please enter a valid fax number (Ex: 123-456-7890).","Ange ett giltigt faxnummer (Till exempel: 123-456 78 90)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Vänligen ange en giltig e-postadress. (Till exempel: exempel@domän.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Ange 6 eller fler tecken. Inledande och efterföljande mellanslag kommer att ignoreras."
"Please enter 7 or more characters, using both numeric and alphabetic.","Ange 7 eller fler tecken med både numeriska och alfabetiska tecken."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimilängden på detta fält måste vara minst %1 symboler. Inledande och efterföljande blanksteg ignoreras."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Du måste minst ha %1 olika typer av tecken i lösenordet. Till teckentyper räknas: gemener, versaler, siffror och specialtecken."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Ange en giltig URL. Ange den med protokoll (http://, https://, eller ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Ange en giltig URL. Till exempel http://www.example.com eller www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Ange en giltig XML-identifierare (Till exempel: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Ange ett giltigt personnummer (Till exempel: ÅÅMMDDNNNN eller 123-45-789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Ange ett giltigt postnummer (Till exempel 906 02)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Använd detta datumformat: dd/mm/yyyy. Till exempel 17/03/2006 för den 17 mars 2006."
"Please enter a valid $ amount. For example $100.00.","Ange en giltig $-värde. Till exempel 100 $."
"Please enter a number 0 or greater in this field.","Skriv in en siffra, 0 eller större i detta fält."
"Please enter a number greater than 0 in this field.","Du måste fylla in en siffra större än 0 i detta fält."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Vänligen ange en giltig CSS-längd (Till exempel 100px,77pt, 20em, .5ex eller 50%)."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"The value is not within the specified range.","Värdet är inte inom det angivna intervallet."
"Please use letters only (a-z or A-Z) in this field.","Använd endast bokstäver (a-z eller A-Z) i detta fält."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller understreck (_) i detta fält, och det första tecknet ska vara en bokstav."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Använd endast bokstäver (a-z eller A-Z) eller siffror (0-9) i detta fält. Inga mellanslag eller andra tecken är tillåtna."
"Please enter a valid date.","Ange ett giltigt datum."
"Make sure the To Date is later than or the same as the From Date.","Försäkra att Till datumet är senare eller detsamma som Från datumet."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Ange en giltig URL-nyckel (Till exempel ""exempelsida"", ""exempelsida.html"" eller ""enannanniva/exempelsida"")."
"Please enter a valid zip code.","Ange ett giltigt postnummer."
"Please select one of the options above.","Välj ett av alternativen ovan."
"Please select State/Province.","Välj ett län/region."
"Please select a file.","Välj en fil."
"The field isn't complete.","Fältet är inte komplett."
"This is a required field.","Detta är ett obligatoriskt fält."
"Please select one of the options.","Välj ett av alternativen."
"Please enter a value less than or equal to %s.","Ange ett värde som är mindre än eller lika med %s."
"Please enter a value greater than or equal to %s.","Vänligen ange ett värde större än eller lika med %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Ange giltiga e-postadresser separerade med kommatecken. Till exempel johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Korttypen matchar inte kreditkortsnumret."
"Credit card number does not match credit card type.","Kreditkortsnummer matchar inte kreditkortstyp."
"Incorrect credit card expiration date.","Felaktigt utgångsdatum för kreditkort."
"Please enter a valid credit card verification number.","Ange en giltig kreditkortssäkerhetskod."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please enter less or equal than %1 symbols.","Ange mindre eller lika med %1 symboler."
"Please enter more or equal than %1 symbols.","Ange mer eller lika med %1 symboler."
"Please enter positive number in this field.","Ange ett positivt tal i fältet."
"Please enter a valid value, ex: 10,20,30","Ange ett giltigt värde, till exempel 10,20,30"
"Please enter a valid value from list","Ange ett giltigt värde från listan"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","Detta är ett obligatoriskt fält"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Korrigera det här fältet."
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Please enter a value less than or equal to {0}."
"Please enter a value greater than or equal to {0}.","Please enter a value greater than or equal to {0}."
"Please specify the quantity of product(s).","Vänligen välj antalet produkter."
"Please enter a date between %min and %max.","Ange ett datum mellan % min och % max."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid year (1900-%1).","Ange ett giltigt år (1900-%1)."
"Please enter a valid day (1-%1).","Ange en giltig dag (1-%1)."
"Please enter a date from the past.","Ange ett datum i det förflutna."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","Inga yttre mellanslag"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Infoga variabel"
"Insert Widget","Infoga widget"
"The widget %1 is no longer available. Select a different widget.","Widgeten %1 är inte längre tillgänglig. Välj en annan widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
