"Backup options","Opzioni backup"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Inserisci un numero di fax valido (Esempio: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Inserisci un indirizzo email valido (Esempio: johndoe@dominio.it)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Inserisci 6 o più caratteri. Gli spazi iniziali o finali verranno ignorati."
"Please enter 7 or more characters, using both numeric and alphabetic.","Inserisci 7 o più caratteri, utilizzando sia caratteri numerici che alfabetici."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di %1 caratteri. Spazi iniziali e finali verranno ignorati."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il numero minimo di diverse classi di caratteri nella password è %1. Classi di caratteri: lettere minuscole, lettere maiuscole, cifre e caratteri speciali."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Inserisci una URL valida. È necessario specificare il protocollo (http://, https:// o ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Inserisci una URL valida. Ad esempio http://www.example.com o www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Inserisci un identificatore XML valido (Esempio: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Inserisci un numero di previdenza sociale valido (Esempio: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Inserisci un Cap valido (Esempio: 09032)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usa questo formato data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo € valido. Per esempio €100,00."
"Please enter a number 0 or greater in this field.","Inserire un numero maggiore o uguale a 0 in questo campo."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Inserisci una lunghezza CSS valida (Esempio: 100px, 77pt, 20em, .5ex o 50%)."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"The value is not within the specified range.","Il valore non è compreso nell'intervallo specificato."
"Please use letters only (a-z or A-Z) in this field.","Usa solo lettere (a-z o A-Z) in questo campo."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizzare solo lettere (a-z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Utilizza solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Nessuno spazio o altri caratteri sono consentiti."
"Please enter a valid date.","Inserire una data valida."
"Make sure the To Date is later than or the same as the From Date.","Assicurarsi che il valore del campo Alla data sia maggiore o uguale al valore del campo Dalla data."
"Please make sure your passwords match.","Verificare che le password coincidano."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Inserisci una URL key valida (Esempio: ""pagina-esempio"", ""pagina-esempio.html"" o ""altrolivello/pagina-esempio"")."
"Please enter a valid zip code.","Inserire un Cap valido."
"Please select one of the options above.","Seleziona una delle opzioni sopra."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select a file.","Selezionare un file."
"The field isn't complete.","Il campo non è completo."
"This is a required field.","Questo è un campo obbligatorio."
"Please select one of the options.","Seleziona una delle opzioni."
"Please enter a value less than or equal to %s.","Inserisci un valore minore o uguale a %s."
"Please enter a value greater than or equal to %s.","Inserisci un valore maggiore o uguale a %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Inserire indirizzi email validi, separati da virgole. Ad esempio, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Tipo di carta non corrisponde il numero di carta di credito."
"Credit card number does not match credit card type.","Il numero di carta di credito non corrisponde al tipo di carta di credito."
"Incorrect credit card expiration date.","Data di scadenza della carta di credito errata."
"Please enter a valid credit card verification number.","Si prega di inserire un numero valido di verifica della carta di credito."
"Please enter issue number or start date for switch/solo card type.","Inserisci il numero di emissione o data di inizio per tipo di carta switch/solo."
"Please enter less or equal than %1 symbols.","Inserisci al massimo %1 simboli."
"Please enter more or equal than %1 symbols.","Inserisci almeno %1 simboli."
"Please enter positive number in this field.","Inserisci un numero positivo in questo campo."
"Please enter a valid value, ex: 10,20,30","Inserisci un valore valido, es: 10,20,30"
"Please enter a valid value from list","Per favore inserisci un valore valido dalla lista"
"Please enter valid SKU key.","Inserisci un codice SKU valido."
"Please enter a valid number.","Inserisci un numero valido."
"This is required field","Questo è un campo obbligatorio"
"Admin is a required field in each row.","Admin è un campo obbligatorio in ogni riga."
"Password cannot be the same as email address.","La password non può essere la stessa dell'indirizzo email."
"Please fix this field.","Correggi questo campo."
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"Please enter a valid URL.","Immetti un URL valido."
"Please enter a valid date (ISO).","Immetti una data valida (ISO)."
"Please enter only digits.","Immettere solo valori numerici."
"Please enter the same value again.","Immetti nuovamente lo stesso valore."
"Please enter no more than {0} characters.","Ti preghiamo di inserire non più di {0} caratteri."
"Please enter at least {0} characters.","Inserisci almeno {0} caratteri."
"Please enter a value between {0} and {1} characters long.","Immetti un valore con un numero di caratteri compreso tra {0} e {1}."
"Please enter a value between {0} and {1}.","Immetti un valore compreso tra {0} e {1}."
"Please enter a value less than or equal to {0}.","Inserisci un valore minore o uguale a {0}."
"Please enter a value greater than or equal to {0}.","Si prega di inserire un valore maggiore o uguale a {0}."
"Please specify the quantity of product(s).","Specifica la quantità di prodotto(i)."
"Please enter a date between %min and %max.","Inserisci una data tra %min e %max."
"Please enter a valid full date.","Si prega di inserire una data valida."
"Please enter a valid month (1-12).","Inserisci un mese valido (1-12)."
"Please enter a valid year (1900-%1).","Inserisci un anno valido (1900-%1)."
"Please enter a valid day (1-%1).","Inserisci un giorno valido (1-%1)."
"Please enter a date from the past.","Inserisci una data del passato."
"Maximum length of this field must be equal or less than %1 symbols.","La lunghezza massima di questo campo deve essere uguale o minore di %1 simboli."
"Admin is a required field in the each row.","Admin è un campo obbligatorio in ogni riga."
"Please enter a quantity greater than 0.","Immetti un valore maggiore di 0."
"The fewest you may purchase is %1.","La quantità minima acquistabile è %1."
"The maximum you may purchase is %1.","La quantità massima acquistabile è %1."
"You can buy this product only in quantities of %1 at a time.","È possibile acquistare questo prodotto solo in quantità di %1 per volta."
"Forbidden extensions has been used. Avoid usage of ","Sono state usate estensioni vietate. Evita l'uso di "
"No marginal white space please","Nessuno spazio bianco ai margini per favore"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserire 6 o più caratteri. Gli spazi iniziali o finali saranno ignorati."
"Enter valid SKU key","Inserisci una chiave SKU valida"
"Swatch and Admin are the required fields in the each row.","Swatch e Admin sono campi obbligatori di ogni riga."
"Insert Variable","Inserisci Variabile"
"Insert Widget","Inserisci Widget"
"The widget %1 is no longer available. Select a different widget.","Il widget %1 non è più disponibile. Seleziona un widget diverso."
"First character must be letter.","Il primo carattere deve essere una lettera."
"The password can't be the same as the email address. Create a new password and try again.","La password non può essere uguale all'indirizzo di posta elettronica. Creare una nuova password e riprovare."
