"Backup options","Pilihan cadangan"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau garis bawah (_) di bidang ini, dan karakter pertama harus menjadi sebuah surat."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Silakan menggunakan hanya huruf (a-z atau A-Z), angka (0-9), ruang dan ""#"" di bidang ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Masukkan nomor telepon. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Harap masukkan Nomer fax yang berlaku (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Harap masukkan alamat email yang berlaku (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Masukkan 6 karakter atau lebih. Terkemuka dan trailing ruang akan diabaikan."
"Please enter 7 or more characters, using both numeric and alphabetic.","Masukkan karakter 7 atau lebih, menggunakan kedua angka dan abjad."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Panjang minimum dari bidang ini harus sama atau lebih besar daripada %1 simbol. Terkemuka dan trailing ruang akan diabaikan."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimal kelas yang berbeda karakter dalam password adalah %1. Kelas karakter: huruf kecil, huruf, digit dan karakter khusus."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Masukkan URL yang valid. Protokol diperlukan (http://, https:// atau ftp: / /)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Masukkan URL yang valid. Misalnya http://www.example.com atau www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Masukkan sebuah XML-identifier yang berlaku (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Harap masukkan nomor sosial keamanan yang berlaku (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Harap masukkan Kode pos yang berlaku (Ex: 90602 or 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Harap gunakan format tanggal ini: dd/mm/yyyy. Untuk contoh 17/03/2006 untuk tanggal 17 bulan maret 2006."
"Please enter a valid $ amount. For example $100.00.","Masukkan sejumlah $ berlaku. Misalnya $100,00."
"Please enter a number 0 or greater in this field.","Harap masukkan sebuah angka 0 atau lebih besar dalam daerah ini."
"Please enter a number greater than 0 in this field.","Harap masukkan sebuah angka yang lebih besar dari 0 dalam daerah ini."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Harap masukkan Panjang CSS yang valid (Ex: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","Harap masukkan nomor yang valid dalam daerah ini."
"The value is not within the specified range.","Nilai ini tidak dalam jangkauan tertentu."
"Please use letters only (a-z or A-Z) in this field.","Silakan gunakan hanya huruf (a-z atau A-Z) dalam dearah ini."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Silakan gunakan hanya huruf (a-z atau A-Z) atau angka (0-9) dalam bidang ini. Diperbolehkan ada spasi atau karakter lain."
"Please enter a valid date.","Silakan masukkan tanggal yang benar."
"Make sure the To Date is later than or the same as the From Date.","Pastikan untuk tanggal lebih dari atau sama dengan tanggal dari."
"Please make sure your passwords match.","Pastikan kata sandi anda benar."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Silahkan masukkan kode pos yang valid."
"Please select one of the options above.","Please select one of the options above."
"Please select State/Province.","Silahkan pilih Negara bagian/Provinsi."
"Please select a file.","Please select a file."
"The field isn't complete.","Bidang tidak lengkap."
"This is a required field.","Ini adalah bidang yang diperlukan."
"Please select one of the options.","Mohon pilih satu dari pilihan."
"Please enter a value less than or equal to %s.","Mohon masukkan nilai kurang dari atau sama dengan %s."
"Please enter a value greater than or equal to %s.","Mohon masukkan nilai lebih dari atau sama dengan %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Silahkan masukkan alamat email yang valid, yang dipisahkan oleh koma. Misalnya, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Jenis kartu tidak cocok dengan nomor kartu kredit."
"Credit card number does not match credit card type.","Nomor kartu kredit tidak cocok dengan jenis kartu kredit."
"Incorrect credit card expiration date.","Salah tanggal kadaluarsa kartu kredit."
"Please enter a valid credit card verification number.","Silahkan masukkan nomor verifikasi kartu kredit yang berlaku."
"Please enter issue number or start date for switch/solo card type.","Silahkan masukkan nomor edisi atau tanggal mulai untuk beralih/solo jenis kartu."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please enter positive number in this field.","Please enter positive number in this field."
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30"
"Please enter a valid value from list","Please enter a valid value from list"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","This is required field"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Please fix this field."
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Please enter a value less than or equal to {0}."
"Please enter a value greater than or equal to {0}.","Please enter a value greater than or equal to {0}."
"Please specify the quantity of product(s).","Silahkan tentukan jumlah produk(s)."
"Please enter a date between %min and %max.","Mohon masukkan tanggal antara %minimum dan %maksimum."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid month (1-12).","Mohon masukkan bulan yang benar (1-12)."
"Please enter a valid year (1900-%1).","Mohon masukkan tahun yang benar (1900-%1)."
"Please enter a valid day (1-%1).","Mohon masukkan hari yang benar (1-%1)."
"Please enter a date from the past.","Please enter a date from the past."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
