"Backup options","备份选项"
"Please enter 7 or more characters, using both numeric and alphabetic.","请输入 7 或更多个字符，使用数字和字母。"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","此字段的最小长度必须等于或大于 %1 符号。前导和尾随空格将被忽略。"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","密码中的字符的不同类的最低是 %1。字符类： 小写、 大写、 数字、 特殊字符。"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","请输入一个有效的 URL。协议是需要 (http://、 https:// 或 ftp: / /)。"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","请输入一个有效的 URL。例如 http://www.example.com 或 www.example.com。"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","请输入一个有效的 XML 标识符 (Ex: something_1，block5，id-4)。"
"Please enter a valid social security number (Ex: 123-45-6789).","请输入一个有效的社会安全号码 (Ex: 123-45-6789)。"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","请输入一个有效的邮政编码 (Ex: 90602 或 90602-1234年)。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用此日期格式： dd/mm/yyyy。例如 2006/3/17 为 2006 年 3 月 17。"
"Please enter a valid $ amount. For example $100.00.","请输入有效的美元金额。例如 100.00 美元。"
"Please enter a number 0 or greater in this field.","请在此字段中输入大于或等于 0 的数。"
"Please enter a number greater than 0 in this field.","请在此字段中输入大于 0 的数字。"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","请输入一个有效的 CSS 长度 (Ex: 100px，77pt，20em，.5ex 或 50%)。"
"Please enter a valid number in this field.","请在此字段中输入一个有效的数字。"
"The value is not within the specified range.","值不是在指定的范围之内。"
"Please use letters only (a-z or A-Z) in this field.","请仅使用字母 （a 到 z 或 A 到 Z） 在这一领域。"
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","请仅使用字母（a-z、A-Z）或数字（0-9）在这场。不允许空格或其他字符。"
"Please enter a valid date.","请输入一个有效的日期。"
"Make sure the To Date is later than or the same as the From Date.","确定日期晚于日期或与日期相同。"
"Please make sure your passwords match.","请确保您的密码相匹配。"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","请输入一个有效的 URL 密钥 (Ex:""示例页面""、""示例-page.html""或""anotherlevel/示例-页"")。"
"Please enter a valid zip code.","请输入一个有效的邮政编码。"
"Please select one of the options above.","请选择其中一个选项。"
"Please select State/Province.","请选择省/市/自治区。"
"Please select a file.","请选择一个文件。"
"The field isn't complete.","该字段不是完整的。"
"This is a required field.","这是必填的字段。"
"Please select one of the options.","请选择其中一个选项。"
"Please enter a value less than or equal to %s.","请输入一个小于或等于 %s 的值。"
"Please enter a value greater than or equal to %s.","请输入一个大于或等于 %s 的值。"
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","请输入有效的电子邮件地址，用逗号分隔。例如，johndoe@domain.com，johnsmith@domain.com。"
"Card type does not match credit card number.","卡类型与信用卡卡号不匹配。"
"Credit card number does not match credit card type.","信用卡号码与信用卡类型不匹配。"
"Incorrect credit card expiration date.","不正确的信用卡到期日期。"
"Please enter a valid credit card verification number.","请输入有效的信用卡验证号码。"
"Please enter issue number or start date for switch/solo card type.","请输入开关/个人卡类型的发出号码或开始日期。"
"Please enter less or equal than %1 symbols.","请输入小于或等于% 1符号。"
"Please enter more or equal than %1 symbols.","请输入多于或等于% 1符号。"
"Please enter positive number in this field.","请在此字段中输入正数。"
"Please enter a valid value, ex: 10,20,30","请输入一个有效的值，: 10,20,30"
"Please enter a valid value from list","请从列表中输入一个有效的值"
"Please enter valid SKU key.","请输入有效的 SKU 密钥。"
"Please enter a valid number.","请输入一个有效号码。"
"This is required field","这是必填的字段"
"Admin is a required field in each row.","每一行的管理员都是必填字段。"
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","请修复此字段。"
"Please enter a valid email address.","请输入一个有效的电子邮件地址。"
"Please enter a valid URL.","请输入一个有效的 URL。"
"Please enter a valid date (ISO).","请输入一个有效的日期 (ISO)。"
"Please enter only digits.","请输入唯一的数字。"
"Please enter the same value again.","请再次输入相同的值。"
"Please enter no more than {0} characters.","请输入不超过 {0} 个字符。"
"Please enter at least {0} characters.","请输入至少 {0} 字符。"
"Please enter a value between {0} and {1} characters long.","请输入一个值介于 {0} 至 {1} 字符长。"
"Please enter a value between {0} and {1}.","请输入一个值 {0} 和 {1} 之间。"
"Please enter a value less than or equal to {0}.","请输入小于或等于 {0}。"
"Please enter a value greater than or equal to {0}.","请输入一个值大于或等于 {0}。"
"Please specify the quantity of product(s).","请指定产品的数量。"
"Please enter a date between %min and %max.","请输入一个正确的天数 (1-%1)。"
"Please enter a valid full date.","请输入一个有效的日期。"
"Please enter a valid month (1-12).","请输入有效的月份 (1-12)。"
"Please enter a valid year (1900-%1).","请输入有效的年份 (1900年-%1)。"
"Please enter a valid day (1-%1).","请输入有效的日期 (1-%1)。"
"Please enter a date from the past.","请输入一个过去的日期。"
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","没有空格"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
