"Backup options","백업 옵션"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","올바른 우편번호를 입력해 주십시오."
"Please select one of the options above.","위의 옵션중 하나를 선택해 주세요."
"Please select State/Province.","시/도 선택 하십시오."
"Please select a file.","파일을 선택해 주세요."
"The field isn't complete.","이 필드는 완료되지 않았습니다."
"This is a required field.","필수 항목 입니다."
"Please select one of the options.","위의 옵션 중 하나를 선택 하십시오."
"Please enter a value less than or equal to %s.","%s 이하의 값을 입력해 주십시오."
"Please enter a value greater than or equal to %s.","%s 이상의 값을 입력해 주십시오."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Card type does not match credit card number."
"Credit card number does not match credit card type.","Credit card number does not match credit card type."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please enter positive number in this field.","이 필드에는 양수를 입력해 주십시오."
"Please enter a valid value, ex: 10,20,30","올바른 값을 입력해 주십시오. 예: 10,20,30"
"Please enter a valid value from list","Please enter a valid value from list"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","This is required field"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","이 항목을 수정해 주세요."
"Please enter a valid email address.","올바른 이메일 주소를 입력하세요."
"Please enter a valid URL.","올바른 URL을 입력해주십시오."
"Please enter a valid date (ISO).","올바른 날짜를 입력해 주십시오."
"Please enter only digits.","숫자만 입력해 주세요."
"Please enter the same value again.","같은 값을 다시한번 입력해 주세요."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","{0} 이하의 값을 입력해 주십시오."
"Please enter a value greater than or equal to {0}.","{0} 이상의 값을 입력해 주십시오."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please enter a date between %min and %max.","%min과 %max 사이의 날짜를 입력해 주십시오."
"Please enter a valid full date.","올바른 전체 날짜를 입력해 주세요."
"Please enter a valid month (1-12).","올바른 월 (1-12)를 입력해 주세요."
"Please enter a valid year (1900-%1).","올바른 연도(1900-%1)를 입력해 주십시오."
"Please enter a valid day (1-%1).","올바른 날짜(1-%1)를 입력해 주십시오."
"Please enter a date from the past.","과거 날짜를 입력해 주십시오."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","금지된 익스텐션이 사용되었습니다. 사용을 피해 주세요. "
"No marginal white space please","가장자리 공백은 허용되지 않습니다."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","변수 추가"
"Insert Widget","위젯 추가"
"The widget %1 is no longer available. Select a different widget.","위젯 %1은 더이상 유효하지 않습니다. 다른 위젯을 선택해 주세요."
"First character must be letter.","첫번째 문자는 글자여야 합니다."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
