"Backup options","Možnosti zálohování"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","V tomto údaji používejte pouze písmena (a-z nebo A-Z), číslice (0-9) nebo podtržítko (_), prvním znakem musí být písmeno."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","V tomto údaji používejte pouze písmena (a-z nebo A-Z), číslice (0-9), mezery nebo křížek (#)."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadejte platné telefonní číslo (například 123 456 789)."
"Please enter a valid fax number (Ex: 123-456-7890).","Zadejte platné faxové číslo prosím (např. 123 456 789)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Zadejte platnou e-mailovou adresu prosím (např. jmeno@domena.cz)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Zadejte 6 nebo více znaků. Úvodní a koncové mezery budou ignorovány."
"Please enter 7 or more characters, using both numeric and alphabetic.","Zadejte 7 nebo více znaků použitím číslic i písmen."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimální délka tohoto pole musí být rovna nebo větší než %1 znaků. Úvodní a koncové mezery budou ignorovány."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Heslo musí obsahovat alespoň %1 druhy znaků. Druhy znaků jsou: malá písmena, velká písmena, číslice, speciální znaky."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Zadejte platnou URL adresu. Protokol (http://, https:// nebo ftp://) je povinný."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Zadejte platnou URL adresu. Například http://www.domena.cz nebo www.domena.cz."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Zadejte platný XML identifikátor (Např: neco_1, blok5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Zadejte platné číslo sociálního pojištění (např. 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Zadejte platné PSČ (např. 11150 nebo 440 01)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použijte tento formát data: dd/mm/rrrr. Například pro 17. březen 2006 zadejte 17/03/2006."
"Please enter a valid $ amount. For example $100.00.","Zadejte prosím platnou částku v Kč. Například 100,00 Kč."
"Please enter a number 0 or greater in this field.","Do tohoto údaje zadejte číslo 0 nebo větší."
"Please enter a number greater than 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Zadejte platnou CSS délku (Např: 100px, 77pt, 20em, .5ex nebo 50 %)."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"The value is not within the specified range.","Hodnota je mimo určený rozsah."
"Please use letters only (a-z or A-Z) in this field.","V tomto poli použijte pouze písmena (a-z nebo A-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","V tomto údaji použijte pouze písmena (a-z nebo A-Z) nebo číslice (0-9). Mezery nebo jiné znaky nejsou povoleny."
"Please enter a valid date.","Zadejte platné datum."
"Make sure the To Date is later than or the same as the From Date.","Zkontrolujte, zda konečné datum následuje po počátečním datu."
"Please make sure your passwords match.","Zkontrolujte, že se zadaná hesla shodují."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Zadejte platný klíč URL adresy (Např: ""demo-stranka"", ""demo-stranka.html"" nebo ""cesta/demo-stranka"")."
"Please enter a valid zip code.","Zadejte platné PSČ."
"Please select one of the options above.","Zvolte jednu z výše uvedených možností."
"Please select State/Province.","Zvolte kraj / region."
"Please select a file.","Vyberte soubor."
"The field isn't complete.","Pole není kompletní."
"This is a required field.","Toto pole je povinné."
"Please select one of the options.","Zvolte jednu z možností."
"Please enter a value less than or equal to %s.","Zadejte hodnotu menší než nebo rovnu %s."
"Please enter a value greater than or equal to %s.","Zadejte hodnotu větší než nebo rovnu %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Zadejte prosím platné e-mailové adresy oddělené čárkami. Například jan.novak@domena.cz, petr.novy@domain.com."
"Card type does not match credit card number.","Typ karty neodpovídá číslu kreditní karty."
"Credit card number does not match credit card type.","Číslo platební karty neodpovídá typu platební karty."
"Incorrect credit card expiration date.","Nesprávné datum expirace platební karty."
"Please enter a valid credit card verification number.","Zadejte prosím platné ověřovací číslo platební karty."
"Please enter issue number or start date for switch/solo card type.","Zadejte číslo vydání nebo počáteční datum karty typu switch/solo."
"Please enter less or equal than %1 symbols.","Zadejte %1 nebo méně znaků."
"Please enter more or equal than %1 symbols.","Zadejte %1 nebo více znaků."
"Please enter positive number in this field.","Do tohoto údaje zadejte prosím kladné číslo."
"Please enter a valid value, ex: 10,20,30","Zadejte platnou hodnotu, např: 10,20,30"
"Please enter a valid value from list","Vyberte platnou hodnotu ze seznamu"
"Please enter valid SKU key.","Zadejte prosím platný SKU klíč."
"Please enter a valid number.","Zadejte platné číslo."
"This is required field","Toto pole je povinné"
"Admin is a required field in each row.","Admin je povinné pole v každém řádku."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Please fix this field."
"Please enter a valid email address.","Zadejte prosím platnou e-mailovou adresu."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Please enter a value less than or equal to {0}."
"Please enter a value greater than or equal to {0}.","Please enter a value greater than or equal to {0}."
"Please specify the quantity of product(s).","Zvolte požadované množství produktu(ů)."
"Please enter a date between %min and %max.","Zadejte prosím datum v rozmezí od %min do %max."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid month (1-12).","Zadejte platný měsíc (1-12)."
"Please enter a valid year (1900-%1).","Zadejte prosím platný rok (1900-%1)."
"Please enter a valid day (1-%1).","Zadejte prosím platný den (1-%1)."
"Please enter a date from the past.","Zadejte minulé datum prosím."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Zadejte prosím množství větší než 0."
"The fewest you may purchase is %1.","Můžete zakoupit nejméně %1 ks."
"The maximum you may purchase is %1.","Můžete zakoupit nejvíce %1 ks."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Byla použita zakázaná rozšíření. Vyhněte se použití "
"No marginal white space please","Bez mezer prosím"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Vložit proměnnou"
"Insert Widget","Vložit widget"
"The widget %1 is no longer available. Select a different widget.","Widget %1 již není k dispozici. Vyberte jiný widget."
"First character must be letter.","První znak musí být písmeno."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
