"Backup options","Opcions de backup"
"Please enter 7 or more characters, using both numeric and alphabetic.","Si us plau, introduïu 7 o més caràcters, utilitzant tant alfabètics com numèrics."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longitud mínima d’aquest camp ha de ser igual o superior als símbols de %1. Els espais del principi i del final seran ignorats."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","El mínim de diferents classes de caràcters a la contrasenya és %1. Classes de caràcters: Minúscula, Majúscula, Numèrics, Caràcters especials."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Si us plau, introduïu una URL vàlida. El protocol és obligatori (http://, https:// o ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Si us plau, introduïu una URL vàlida. Per exemple, http://www.exemple.com o www.exemple.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Si us plau, introduïu un identificador XML vàlid (Ex: alguna_cosa_1, bloc5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Si us plau, introduïu un número de seguretat social vàlid (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Si us plau, introduïu un codi postal vàlid (Ex: 90602 o 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Si us plau, utilitzeu aquest format de data: dd/mm/aaaa. Per exemple, 17/03/2006 pel 17 de març de 2006."
"Please enter a valid $ amount. For example $100.00.","Introduïu un import € vàlid. Per exemple, 100,00€."
"Please enter a number 0 or greater in this field.","Si us plau, introduïu un nombre igual o més gran que 0."
"Please enter a number greater than 0 in this field.","Si us plau, introduïu un nombre més gran que 0."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Si us plau, introduïu una longitud CSS vàlida (ex: 100px, 77pt, 20em, .5ex o 50%)."
"Please enter a valid number in this field.","Si us plau, introduïu un número vàlid en aquest camp."
"The value is not within the specified range.","El valor no està dins del rang especificat."
"Please use letters only (a-z or A-Z) in this field.","Si us plau, utilitzeu només lletres (a-z o A-Z) en aquest camp."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Si us plau, utilitzeu només lletres (a-z), números (0-9) o guió baix (_) en aquest camp, i el primer caràcter hauria de ser una lletra."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Si us plau, utilitzeu en aquest camp només lletres (a-z o A-Z) o números (0-9). No s’admeten espais ni altres caràcters."
"Please enter a valid date.","Si us plau, introduïu una data vàlida."
"Make sure the To Date is later than or the same as the From Date.","Assegureu-vos que la data ""Fins a"" és posterior o igual a la de data ""Des de""."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Si us plau, introduïu una clau d’URL vàlida (Ex: ""exemple-de-pagina"", ""exemple-pagina.html"" o ""un-altre-nivell/-pagina-d-exemples"")."
"Please enter a valid zip code.","Si us plau, introduïu un codi postal vàlid."
"Please select one of the options above.","Si us plau, seleccioneu una de les opcions anteriors."
"Please select State/Province.","Si us plau, seleccioneu Estat/Província."
"Please select a file.","Si us plau, seleccioneu un fitxer."
"The field isn't complete.","El camp no està complet."
"This is a required field.","Aquest camp és obligatori."
"Please select one of the options.","Si us plau, seleccioneu una de les opcions."
"Please enter a value less than or equal to %s.","Si us plau, introduïu un valor més petit o igual a %s."
"Please enter a value greater than or equal to %s.","Si us plau, introduïu un valor més gran o igual a %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Si us plau, introduïu adreces de correu electrònic vàlides, separades per comes. Per exemple, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","El tipus de targeta no coincideix amb el número de targeta de crèdit."
"Credit card number does not match credit card type.","El número de targeta de crèdit no coincideix amb el tipus de targeta de crèdit."
"Incorrect credit card expiration date.","Data de caducitat incorrecta de la targeta de crèdit."
"Please enter a valid credit card verification number.","Introduïu un número de verificació de targeta de crèdit vàlid si us plau."
"Please enter issue number or start date for switch/solo card type.","Si us plau, introduïu el número d'emissió o la data d'inici per al tipus de targeta de dèbit."
"Please enter less or equal than %1 symbols.","Si us plau, introduïu menys o igual a %1 símbols."
"Please enter more or equal than %1 symbols.","Si us plau, introduïu més o igual a %1 símbols."
"Please enter positive number in this field.","Si us plau, introduïu un número positiu en aquest camp."
"Please enter a valid value, ex: 10,20,30","Si us plau, introduïu un valor vàlid, ex: 10,20,30"
"Please enter a valid value from list","Si us plau, introduïu un valor vàlid de la llista"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","This is required field"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Please fix this field."
"Please enter a valid email address.","Please enter a valid email address."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Please enter a value less than or equal to {0}."
"Please enter a value greater than or equal to {0}.","Please enter a value greater than or equal to {0}."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please enter a date between %min and %max.","Please enter a date between %min and %max."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid year (1900-%1).","Please enter a valid year (1900-%1)."
"Please enter a valid day (1-%1).","Please enter a valid day (1-%1)."
"Please enter a date from the past.","Please enter a date from the past."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
