"Backup options","Επιλογές Αντιγράφων Ασφαλείας"
"Please enter a valid number.","Παρακαλώ εισάγετε ένα έγκυρο αριθμός."
"This is required field","Αυτό είναι υποχρεωτικό πεδίο"
"Admin is a required field in each row.","Ο διαχειριστής είναι ένα απαιτούμενο πεδίο στη κάθε γραμμή."
"Password cannot be the same as email address.","Ο Κωδικός πρόσβασης δεν μπορεί να είναι ο ίδιος με τη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"Please fix this field.","Παρακαλώ διορθώστε αυτό το πεδίο."
"Please enter a valid email address.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email."
"Please enter a valid URL.","Παρακαλώ εισαγάγετε μια έγκυρη διεύθυνση URL."
"Please enter a valid date (ISO).","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία (ISO)."
"Please enter only digits.","Παρακαλώ εισάγετε μόνο ψηφία."
"Please enter the same value again.","Παρακαλώ πληκτρολογήστε ξανά την ίδια τιμή."
"Please enter no more than {0} characters.","Παρακαλώ εισάγετε το πολύ {0} χαρακτήρες."
"Please enter at least {0} characters.","Παρακαλώ εισάγετε τουλάχιστον {0} χαρακτήρες."
"Please enter a value between {0} and {1} characters long.","Παρακαλούμε εισάγετε μια έγκυρη τιμή μεταξύ {0} και {1} χαρακτήρων."
"Please enter a value between {0} and {1}.","Παρακαλούμε μια έγκυρη τιμή μεταξύ {0} και {1}."
"Please enter a value less than or equal to {0}.","Παρακαλούμε εισάγετε μια τιμή μικρότερη ή ίση με {0}."
"Please enter a value greater than or equal to {0}.","Εισαγάγετε μια τιμή μεγαλύτερη από ή ίση με {0}."
"Please specify the quantity of product(s).","Παρακαλώ προσδιορίσετε την ποσότητα του(των) προϊόντος/ων."
"Please enter a date between %min and %max.","Παρακαλούμε εισάγετε μια ημερομηνία μεταξύ % min και % max."
"Please enter a valid full date.","Παρακαλώ εισάγετε μια έγκυρη πλήρης ημερομηνία."
"Please enter a valid month (1-12).","Παρακαλώ εισάγετε έναν έγκυρο μήνα (1-12)."
"Please enter a valid year (1900-%1).","Παρακαλώ εισάγετε ένα έγκυρο έτος (1900-%1)."
"Please enter a valid day (1-%1).","Παρακαλώ εισάγετε μια έγκυρη ημέρα (1-%1)."
"Please enter a date from the past.","Παρακαλούμε εισάγετε μια ημερομηνία από το παρελθόν."
"Maximum length of this field must be equal or less than %1 symbols.","Το μέγιστο μήκος αυτού του πεδίου πρέπει να είναι ίσο ή μικρότερο από %1 σύμβολα."
"Admin is a required field in the each row.","Ο διαχειριστής είναι ένα απαιτούμενο πεδίο στη κάθε γραμμή."
"Please enter a quantity greater than 0.","Παρακαλούμε εισάγετε μια ποσότητα μεγαλύτερη από 0."
"The fewest you may purchase is %1.","O μικρότεροw αριθμόw που μπορείτε να αγοράσετε είναι %1."
"The maximum you may purchase is %1.","Το μέγιστο που μπορείτε να αγοράσετε είναι %1."
"You can buy this product only in quantities of %1 at a time.","Μπορείτε να αγοράσετε αυτό το προϊόν μόνο σε %1 ποσότητες κάθε φορά."
"Forbidden extensions has been used. Avoid usage of ","Απαγορευμένες επεκτάσεις χρησιμοποιήθηκαν. Αποφύγετε τη χρήση των "
"No marginal white space please","Όχι κενά διαστήματα παρακαλώ"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Παρακαλώ εισάγετε 6 ή περισσότερους χαρακτήρες. Τα κενά διαστήματα πριν ή μετά θα παραβλεφθούν."
"Enter valid SKU key","Εισάγετε έγκυρο SKU κλειδί"
"Swatch and Admin are the required fields in the each row.","Δείγματα και Διαχείριση είναι τα απαραίτητα πεδία σε κάθε γραμμή."
"Insert Variable","Εισάγετε μεταβλητή"
"Insert Widget","Εισάγετε Γραφικού Στοιχείου"
"The widget %1 is no longer available. Select a different widget.","Το widget %1 δεν είναι πλέον διαθέσιμο. Επιλέξτε ένα διαφορετικό widget."
"First character must be letter.","Ο Πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"The password can't be the same as the email address. Create a new password and try again.","Ο κωδικός πρόσβασης δεν μπορεί να είναι ο ίδιος με τη διεύθυνση ηλεκτρονικού ταχυδρομείου. Δημιουργήστε έναν νέο κωδικό πρόσβασης και προσπαθήστε ξανά."
