"Backup options","گزینه های پشتیبان گیری"
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","لطفا فقط از حروف (a-z یا A-Z), اعداد (0-9) یا فاصله در این فیلد استفاده کنید."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","لطفا یک شماره تلفن معتبر وارد نمایید. برای مثال 7890-456 (123) یا 7890-456-123."
"Please enter a valid fax number (Ex: 123-456-7890).","لطفا یک شماره فکس معتبر (مانند: 123-456-7890) را وارد کنید."
"Please enter a valid email address (Ex: johndoe@domain.com).","لطفا یک آدرس ایمیل معتبر وارد کنید (مانند: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","لطفا 6 کاراکتر یا بیشتر وارد نمایید. فاصله‌های ابتدایی یا انتهایی نادیده گرفته خواهند شد."
"Please enter 7 or more characters, using both numeric and alphabetic.","لطفا 7 یا بیشتر از کاراکترها را با استفاده از عددی و حروف الفبا وارد کنید."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","حداقل طول این فیلد باید برابر یا بیشتر از%1 علامت باشد. فضاهای پیشرو و پایانی نادیده گرفته خواهند شد."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","حداقل کلاس های مختلف از کاراکترها در رمز عبور%1 است. کلاس هایی از کاراکترها: مورد پایین، مورد بالا، رقم، کاراکترهای خاص."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","لطفا یک نشانی وب معتبر وارد کنید. پروتکل مورد نیاز (http: //، https: // یا ftp: //) است."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","لطفا یک نشانی وب معتبر وارد کنید. به عنوان مثال http://www.example.com یا www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","لطفا یک شناسه معتبر XML (Ex: something_1، block5، id-4) وارد کنید."
"Please enter a valid social security number (Ex: 123-45-6789).","لطفا یک شماره امنیتی معتبر (مانند: 123-45-6789) وارد کنید."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","لطفا یک کد پستی معتبر (مانند: 90602 یا 90602-1234) وارد کنید."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","لطفا از این فرمت تاریخ استفاده کنید: dd / mm / yyyy. به عنوان مثال 17/03/2006 به 17 مارس 2006."
"Please enter a valid $ amount. For example $100.00.","لطفا مبلغ معتبر را وارد کنید به عنوان مثال 100 دلار."
"Please enter a number 0 or greater in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please enter a number greater than 0 in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","لطفا طول CSS معتبر (Ex: 100px، 77pt، 20em، .5ex یا 50٪) را وارد کنید."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"The value is not within the specified range.","مقدار در محدوده مشخص نشده است."
"Please use letters only (a-z or A-Z) in this field.","لطفا در این فیلد تنها از حروف (a-z یا A-Z) استفاده نمایید."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","لطفا تنها در این فیلد فقط حروف (a-z) یا اعداد (9-0) را استفاده نمایید. فاصله یا هیچ کاراکتر دیگری مجاز نیستند."
"Please enter a valid date.","لطفا یک تاریخ معتبر وارد کنید."
"Make sure the To Date is later than or the same as the From Date.","به تاریخ اطمینان حاصل کنید که بعد از آن یا همان تاریخ از تاریخ است."
"Please make sure your passwords match.","لطفا مطمئن شوید با کلمات عبور شما مطابقت دارد."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","لطفا کلید URL معتبر (مانند: ""example-page""، ""example-page.html"" یا ""anotherlevel / example-page"" را وارد کنید)."
"Please enter a valid zip code.","لطفا یک کد پستی معتبر وارد نمایید."
"Please select one of the options above.","لطفا یکی از گزینه های بالا را انتخاب کنید."
"Please select State/Province.","لطفا ایالت/استان را انتخاب نمایید."
"Please select a file.","لطفا یک فایل انتخاب کنید."
"The field isn't complete.","فیلد کامل نیست."
"This is a required field.","این فیلد الزامی است."
"Please select one of the options.","لطفا یکی از گزینه‌ها را انتخاب نمایید."
"Please enter a value less than or equal to %s.","لطفا یک مقدار کمتر یا مساوی با %s وارد کنید."
"Please enter a value greater than or equal to %s.","لطفا یک مقدار بزرگتر یا برابر با %s وارد کنید."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","لطفا آدرس های ایمیل معتبر را وارد کنید، جدا از کاما. به عنوان مثال، johndoe@domain.com، johnsmith@domain.com."
"Card type does not match credit card number.","نوع کارت با شماره کارت اعتباری مطابقت ندارد."
"Credit card number does not match credit card type.","شماره کارت اعتباری، نوع کارت اعتباری مطابقت ندارد."
"Incorrect credit card expiration date.","تاریخ انقضا کارت اعتباری نادرست است."
"Please enter a valid credit card verification number.","لطفا یک شماره تایید معتبر کارت اعتباری وارد کنید."
"Please enter issue number or start date for switch/solo card type.","لطفا شماره و یا تاریخ شروع برای نوع کارت سوئیچ / انفرادی را وارد كنيد."
"Please enter less or equal than %1 symbols.","لطفا کمتر یا برابر از%1 نماد وارد کنید."
"Please enter more or equal than %1 symbols.","لطفا کمتر یا برابر از%1 نماد وارد کنید."
"Please enter positive number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"Please enter a valid value, ex: 10,20,30","لطفا یک مقدار معتبر وارد نمایید، مثال: 10،20،30"
"Please enter a valid value from list","لطفا یک مقدار معتبر از لیست را وارد کنید"
"Please enter valid SKU key.","لطفا کلید معتبر SKU را وارد کنید."
"Please enter a valid number.","لطفا یک عدد معتبر وارد کنید."
"This is required field","این فیلد الزامی است"
"Admin is a required field in each row.","Admin یک فیلد الزامی در هر سطر است."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","لطفا این فیلد را اصلاح کنید."
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"Please enter a valid URL.","لطفا یک url معتبر وارد کنید."
"Please enter a valid date (ISO).","لطفا یک تاریخ معتبر (ISO) را وارد کنید."
"Please enter only digits.","لطفا فقط اعداد را وارد کنید."
"Please enter the same value again.","لطفا مجددا همان مقدار را وارد کنید."
"Please enter no more than {0} characters.","لطفا حداکثر {0} کاراکتر را وارد کنید."
"Please enter at least {0} characters.","لطفا حداقل {0} کاراکتر را وارد کنید."
"Please enter a value between {0} and {1} characters long.","لطفا یک مقدار بین {0} و {1} کاراکتر را طولانی وارد کنید."
"Please enter a value between {0} and {1}.","لطفا یک مقدار بین {0} و {1} وارد کنید."
"Please enter a value less than or equal to {0}.","لطفا یک مقدار کمتر یا مساوی با {0} وارد کنید."
"Please enter a value greater than or equal to {0}.","لطفا یک مقدار بزرگتر یا برابر {0} را وارد کنید."
"Please specify the quantity of product(s).","لطفا تعداد محصول(ات) را مشخص نمایید."
"Please enter a date between %min and %max.","لطفا یک تاریخ بین %min و %max وارد کنید."
"Please enter a valid full date.","لطفا یک تاریخ معتبر را کامل وارد کنید."
"Please enter a valid month (1-12).","لطفا یک ماه معتبر (1-12) را وارد کنید."
"Please enter a valid year (1900-%1).","لطفا یک سال معتبر بین (1900-%1) وارد کنید."
"Please enter a valid day (1-%1).","لطفا روز معتبر بین (1%1) وارد کنید."
"Please enter a date from the past.","لطفا یک تاریخ از گذشته وارد کنید."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","شما می توانید این محصول را هر بار تنها به تعداد %1 عدد خریداری کنید."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","کلمه عبور نمی تواند همانند آدرس ایمیل باشد. یک کلمه عبور جدید ایجاد کرده و دوباره امتحان کنید."
