"Backup options","Опції Резервної Копії"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Будь ласка, використовуйте лише літери (a-z або A-Z) чи цифри (0-9) у цьому полі. Пробіли чи інші символи не допустимі."
"Please enter a valid date.","Будь ласка, вкажіть правильну дату."
"Make sure the To Date is later than or the same as the From Date.","Переконайтеся, що кінцева дата пізніша або така сама, як початкова дата."
"Please make sure your passwords match.","Переконайтеся, що ваші паролі співпадають."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Будь ласка, введіть коректний URL-ключ (приклад: ""example-page"", ""example-page.html"" або ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Введіть правильний поштовий індекс."
"Please select one of the options above.","Будь ласка, виберіть одну з наведених вище опцій."
"Please select State/Province.","Будь ласка, виберіть область."
"Please select a file.","Будь ласка, виберіть файл."
"The field isn't complete.","Поле не заповнено."
"This is a required field.","Це поле є обов'язковим."
"Please select one of the options.","Будь ласка, виберіть одну з опцій."
"Please enter a value less than or equal to %s.","Будь ласка, введіть значення менше або дорівнює %s."
"Please enter a value greater than or equal to %s.","Введіть число більше або дорівнює %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Будь ласка, введіть дійсні адреси електронної пошти, розділяючи комами. Наприклад, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Тип картки не відповідає номеру кредитної картки."
"Credit card number does not match credit card type.","Номер кредитної картки не відповідає типу кредитної картки."
"Incorrect credit card expiration date.","Неправильний термін дії банківської картки."
"Please enter a valid credit card verification number.","Будь ласка, введіть правильний номер перевірки кредитної картки."
"Please enter issue number or start date for switch/solo card type.","Будь ласка, введіть номер випуску або дату початку для карти типу switch/solo."
"Please enter less or equal than %1 symbols.","Будь ласка, введіть %1 або менше символів."
"Please enter more or equal than %1 symbols.","Будь ласка, введіть %1 або більше символів."
"Please enter positive number in this field.","Будь ласка, введіть у це поле дійсне число."
"Please enter a valid value, ex: 10,20,30","Будь ласка, введіть дійсне значення, наприклад: 10,20,30"
"Please enter a valid value from list","Будь ласка, введіть припустиме значення зі списку"
"Please enter valid SKU key.","Будь ласка, вкажіть правильне SKU."
"Please enter a valid number.","Будь ласка, вкажіть правильний номер."
"This is required field","Це поле є обов'язковим"
"Admin is a required field in each row.","Адміністратор - це обов'язкове поле в кожному рядку."
"Password cannot be the same as email address.","Пароль не може бути таким же, як адреса електронної пошти."
"Please fix this field.","Будь ласка, виправте це поле."
"Please enter a valid email address.","Будь ласка, введіть коректну адресу електронної пошти."
"Please enter a valid URL.","Будь ласка, введіть припустиму URL-адресу."
"Please enter a valid date (ISO).","Будь ласка, вкажіть правильну дату (ISO)."
"Please enter only digits.","Будь ласка, введіть лише цифри."
"Please enter the same value again.","Будь ласка, введіть такий самий пароль знову."
"Please enter no more than {0} characters.","Будь ласка, введіть не більше {0} символів."
"Please enter at least {0} characters.","Будь ласка, введіть менше {0} символів."
"Please enter a value between {0} and {1} characters long.","Будь ласка, введіть значення між {0} та {1} символів."
"Please enter a value between {0} and {1}.","Будь ласка, введіть значення від {0} до {1}."
"Please enter a value less than or equal to {0}.","Будь ласка, введіть значення, яке менше чи дорівнює {0}."
"Please enter a value greater than or equal to {0}.","Будь ласка, введіть значення, яке більше або дорівнює {0}."
"Please specify the quantity of product(s).","Будь ласка, вкажіть кількість продуктів."
"Please enter a date between %min and %max.","Будь ласка, введіть дату між % min та % max."
"Please enter a valid full date.","Будь-ласка, введіть дійсну повну дату."
"Please enter a valid month (1-12).","Будь ласка, введіть дійсний місяць (1-12)."
"Please enter a valid year (1900-%1).","Будь ласка, Введіть припустимий рік (1900-%1)."
"Please enter a valid day (1-%1).","Будь ласка, Введіть припустимий день (1-%1)."
"Please enter a date from the past.","Будь ласка, введіть дати з минулого."
"Maximum length of this field must be equal or less than %1 symbols.","Максимальна довжина цього поля має бути рівна або меншою, ніж %1 символів."
"Admin is a required field in the each row.","Адміністратор - це обов'язкове поле в кожному рядку."
"Please enter a quantity greater than 0.","Будь ласка, введіть значення, більше за 0."
"The fewest you may purchase is %1.","Найменша кількість, яку ви можете придбати, це %1."
"The maximum you may purchase is %1.","Ви можете придбати щонайбільше %1."
"You can buy this product only in quantities of %1 at a time.","Ви можете придбати цей товар тільки у кількості %1 за раз."
"Forbidden extensions has been used. Avoid usage of ","Використовуються заборонені розширення. Уникайте використання "
"No marginal white space please","Не залишайте пропусків на полях, будь ласка"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Будь ласка, введіть 6 або більше символів. Пробіли на початку та в кінці будуть проігноровані."
"Enter valid SKU key","Введіть дійсний SKU ключ"
"Swatch and Admin are the required fields in the each row.","Swatch і Адміністратор - це обов'язкові поля в кожному рядку."
"Insert Variable","Вставити змінну"
"Insert Widget","Вставити віджет"
"The widget %1 is no longer available. Select a different widget.","Віджет ""%1"" більше не доступний. Виберіть інший віджет."
"First character must be letter.","Першим символом має бути буква."
"The password can't be the same as the email address. Create a new password and try again.","Пароль не може збігатися з адресою електронної пошти. Придумайте новий пароль та спробуйте ще."
