"Backup options","バックアップオプション"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","このフィールドには文字(a-z); 数字(0-9) あるいはアンダースコア (_)のみをお使いください。スペースや他の文字は許可されていません"
"Please enter a valid date.","正しい日付を入力してください。"
"Make sure the To Date is later than or the same as the From Date.","終了時期は開始時期より後か同じであることを確認してください"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","有効なURLキーを入力して下さい (例: ""example-page"", ""example-page.html"" あるいは ""anotherlevel/example-page"")。"
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please select one of the options above.","1つ以上のオプションを選択してください。"
"Please select State/Province.","地域を選択してください"
"Please select a file.","ファイルを選択してください。"
"The field isn't complete.","フィールドが全て埋まっていません。"
"This is a required field.","必須項目です"
"Please select one of the options.","1つ以上のオプションを選択してください。"
"Please enter a value less than or equal to %s.","%s以下か同じ数の値を入力してください。"
"Please enter a value greater than or equal to %s.","%s以上か同じ数の値を入力してください。"
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","カードブランドが番号と一致しません。"
"Credit card number does not match credit card type.","カード番号がブランドと一致していません。"
"Incorrect credit card expiration date.","正しくない有効期限です。"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Please enter issue number or start date for switch/solo card type.","switch/soloカード・タイプのイシュー番号あるいは開始日を入力してください"
"Please enter less or equal than %1 symbols.","%1 文字以下で入力してください。"
"Please enter more or equal than %1 symbols.","%1 文字以上で入力してください。"
"Please enter positive number in this field.","このフィールドには使用可能な数字を入力してください。"
"Please enter a valid value, ex: 10,20,30","正しい値を入力してください。 例: 10,20,30"
"Please enter a valid value from list","一覧から正しい値を入力してください"
"Please enter valid SKU key.","正しいSKUキーを入力してください"
"Please enter a valid number.","正しい数字を入力してください。"
"This is required field","必須項目です"
"Admin is a required field in each row.","Adminは各行に必須のフィールドです。"
"Password cannot be the same as email address.","パスワードはメールアドレスと同じにすることはできません"
"Please fix this field.","フィールドの値を修正してください。"
"Please enter a valid email address.","正しいメールアドレスを入力してください。"
"Please enter a valid URL.","正しいURLを入力してください。"
"Please enter a valid date (ISO).","ISO規格の正しい日付を入力してください。"
"Please enter only digits.","数字を入力してください。"
"Please enter the same value again.","同じ内容を入力してください。"
"Please enter no more than {0} characters.","{0} 文字以下で入力してください。"
"Please enter at least {0} characters.","最低 {0} 文字を入力してください。"
"Please enter a value between {0} and {1} characters long.","{0} 文字以上 {1} 文字以下の正しい値を入力してください。"
"Please enter a value between {0} and {1}.","{0} 以上 {1} 以下の正しい値を入力してください。"
"Please enter a value less than or equal to {0}.","{0}以下の値を入力してください。"
"Please enter a value greater than or equal to {0}.","{0}以上の値を入力してください。"
"Please specify the quantity of product(s).","商品の個数を指定してください。"
"Please enter a date between %min and %max.","%min から %maxの間で日付を入力してください。"
"Please enter a valid full date.","正しい完全な日付を入力してください。"
"Please enter a valid month (1-12).","正しい月を入力してください (1-12)."
"Please enter a valid year (1900-%1).","有効な年を入力してください (1900-%1)."
"Please enter a valid day (1-%1).","有効な日を入力してください (1-%1)."
"Please enter a date from the past.","過去の日付を入力してください。"
"Maximum length of this field must be equal or less than %1 symbols.","このフィールドの最大は%1と同じかそれ以下です。"
"Admin is a required field in the each row.","Adminは各行に必須のフィールドです。"
"Please enter a quantity greater than 0.","0 より大きい個数を入力してください。"
"The fewest you may purchase is %1.","購入の最低限数量は%1です。"
"The maximum you may purchase is %1.","最大購入可能数量は %1 です。"
"You can buy this product only in quantities of %1 at a time.","この商品は数量%1づつのみ一度に買うことができます。"
"Forbidden extensions has been used. Avoid usage of ","ご利用いただけない拡張子が使用されました。次の拡張子はご使用いただけません "
"No marginal white space please","余白を削除してください"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","6文字以上を入力してください。先頭と最後の空白は無視されます。"
"Enter valid SKU key","正しい SKU キーを入力してください"
"Swatch and Admin are the required fields in the each row.","Swatch と Admin は、各行の必須フィールドです。"
"Insert Variable","変数の挿入"
"Insert Widget","ウィジェット挿入"
"The widget %1 is no longer available. Select a different widget.","ウィジェット %1 は使用できなくなりました。別のウィジェットを選択して下さい。"
"First character must be letter.","最初の文字に数字や記号はご使用いただけません。"
"The password can't be the same as the email address. Create a new password and try again.","パスワードはメールアドレスと同じにすることはできません。 新しいパスワードを作成し、再度お試し下さい。"
