"Backup options","Опције резервних копија"
"Credit card number does not match credit card type.","Број картице се не поклапа са типом картице."
"Incorrect credit card expiration date.","Неисправан датум истека картице."
"Please enter a valid credit card verification number.","Молимо унесите важећи број за верификацију кредитне картице."
"Please enter issue number or start date for switch/solo card type.","Унесите број издања или датум почетка за сwитцх/соло тип картице."
"Please enter less or equal than %1 symbols.","Унесите мање или једнако %1 симбола."
"Please enter more or equal than %1 symbols.","Унесите више или једнако %1 симбола."
"Please enter positive number in this field.","Унесите позитиван број у ово поље."
"Please enter a valid value, ex: 10,20,30","Унесите важећу вредност, нпр: 10,20,30"
"Please enter a valid value from list","Изаберите важећу вредност са листе"
"Please enter valid SKU key.","Унесите важећу шифру производа."
"Please enter a valid number.","Унесите важећи број."
"This is required field","Ово је обавезно поље"
"Admin is a required field in each row.","Админ је обавезно поље у сваком реду."
"Password cannot be the same as email address.","Лозинка не може бити иста као емаил адреса."
"Please fix this field.","Исправите ово поље."
"Please enter a valid email address.","Молимо унесите исправну емаил адресу."
"Please enter a valid URL.","Унесите важећи УРЛ."
"Please enter a valid date (ISO).","Унесите важећи датум (ИСО)."
"Please enter only digits.","Унесите само цифре."
"Please enter the same value again.","Поново унесите исту вредност."
"Please enter no more than {0} characters.","Унесите највише {0} карактера."
"Please enter at least {0} characters.","Унесите најмање {0} карактера."
"Please enter a value between {0} and {1} characters long.","Унесите вредност дужине између {0} и {1} карактера."
"Please enter a value between {0} and {1}.","Унесите вредност између {0} и {1}."
"Please enter a value less than or equal to {0}.","Унесите вредност мању или једнаку {0}."
"Please enter a value greater than or equal to {0}.","Унесите вредност већу или једнаку {0}."
"Please specify the quantity of product(s).","Изаберите количину производа."
"Please enter a date between %min and %max.","Молим унети датум између %мин и %маx."
"Please enter a valid full date.","Унесите важећи пуни датум."
"Please enter a valid month (1-12).","Унесите важећи месец (1-12)."
"Please enter a valid year (1900-%1).","Унесите важећу годину (1900-%1)."
"Please enter a valid day (1-%1).","Унесите важећи дан (1-%1)."
"Please enter a date from the past.","Унесите датум у прошлости."
"Maximum length of this field must be equal or less than %1 symbols.","Максимална дужина овог поља мора бити једнака или мања од %1 симбола."
"Admin is a required field in the each row.","Админ је обавезно поље у сваком реду."
"Please enter a quantity greater than 0.","Унесите количину већу од 0."
"The fewest you may purchase is %1.","Можете поручити најмање %1."
"The maximum you may purchase is %1.","Максимум који можете купити је %1."
"You can buy this product only in quantities of %1 at a time.","Овај производ можете купити само у количини од %1 ођедном."
"Forbidden extensions has been used. Avoid usage of ","Коришћене су забрањене екстензије. Избегавајте коришћење"
"No marginal white space please","Без маргиналних размака, молим Вас"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Унесите 6 или више карактера. Водећи и завршни размаци ће бити игнорисани."
"Enter valid SKU key","Унесите важећу шифру производа"
"Swatch and Admin are the required fields in the each row.","Узорак и Админ су обавезна поља у сваком реду."
"Insert Variable","Убаци променљиву"
"Insert Widget","Убаци wидгет"
"The widget %1 is no longer available. Select a different widget.","Wидгет %1 више није доступан. Изаберите други wидгет."
"First character must be letter.","Први карактер мора бити слово."
"The password can't be the same as the email address. Create a new password and try again.","Лозинка не може бити емаил адреса. Креирајте нову Лозинку и покушајте поново."
