"Backup options","बैकअप विकल्प"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","पासवर्ड में वर्णों के विभिन्न वर्गों का न्यूनतम %1 है। वर्णों के वर्ग: लोअर केस, अपर केस, अंक, विशेष वर्ण।"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","कृपया एक मान्य यूआरएल दर्ज कीजिए। प्रोटोकॉल आवश्यक है (http: //, https: // या ftp: //)।"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","कृपया एक मान्य यूआरएल दर्ज कीजिए। उदाहरण के लिए http://www.example.com या www.example.com।"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","कृपया एक मान्य XML-पहचानकर्ता दर्ज करें (उदा: something_1, block5, id-4)।"
"Please enter a valid social security number (Ex: 123-45-6789).","कृपया एक वैध सामाजिक सुरक्षा नंबर दर्ज करें (उदा: 123-45-6789)।"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","कृपया एक मान्य ज़िप कोड दर्ज करें (उदा: 90602 या 90602-1234)।"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","कृपया इस तिथि प्रारूप का उपयोग करें: dd / mm / yyyy। उदाहरण के लिए 17/03/2006 मार्च 17, 2006 के लिए।"
"Please enter a valid $ amount. For example $100.00.","कृपया एक मान्य $ राशि दर्ज करें। उदाहरण के लिए $ 100.00।"
"Please enter a number 0 or greater in this field.","कृपया इस क्षेत्र में 0 या अधिक संख्या दर्ज करें।"
"Please enter a number greater than 0 in this field.","कृपया इस क्षेत्र में 0 से अधिक संख्या दर्ज करें।"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","कृपया एक वैध सीएसएस-लंबाई इनपुट करें (उदाहरण: 100px, 77pt, 20em, .5ex या 50%)।"
"Please enter a valid number in this field.","कृपया इस क्षेत्र में एक मान्य संख्या दर्ज करें।"
"The value is not within the specified range.","मान निर्दिष्ट सीमा के भीतर नहीं है।"
"Please use letters only (a-z or A-Z) in this field.","कृपया इस क्षेत्र में केवल अक्षरों (ए-जेड या ए-जेड) का उपयोग करें।"
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","कृपया इस क्षेत्र में केवल अक्षरों (a-z), संख्याओं (0-9) या अंडरस्कोर (_) का उपयोग करें और पहला अक्षर अक्षर होना चाहिए।"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed."
"Please enter a valid date.","कृपया एक मान्य तिथि प्रविष्ट करें।"
"Make sure the To Date is later than or the same as the From Date.","सुनिश्चित करें कि दिनांक से बाद की तिथि के समान या समान है।"
"Please make sure your passwords match.","अपने पासवर्ड का मिलान सुनिश्चित करें।"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","एक वैध ज़िप कोड दर्ज करें।"
"Please select one of the options above.","कृपया ऊपर दिए गए विकल्पों में से एक का चयन करें।"
"Please select State/Province.","कृपया राज्य / प्रांत का चयन करें।"
"Please select a file.","कृपया एक फ़ाइल चुनें।"
"The field isn't complete.","क्षेत्र पूर्ण नहीं है।"
"This is a required field.","यह एक ज़रूरी जगह हैं।"
"Please select one of the options.","कृपया किसी एक विकल्प का चयन करें।"
"Please enter a value less than or equal to %s.","कृपया %s के बराबर या उससे कम मान दर्ज करें।"
"Please enter a value greater than or equal to %s.","कृपया %s के बराबर या उससे अधिक मूल्य दर्ज करें।"
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","कृपया अल्पविराम द्वारा अलग किए गए मान्य ईमेल पते दर्ज करें। उदाहरण के लिए, johndoe@domain.com, johnsmith@domain.com।"
"Card type does not match credit card number.","कार्ड का प्रकार क्रेडिट कार्ड नंबर से मेल नहीं खाता है।"
"Credit card number does not match credit card type.","क्रेडिट कार्ड नंबर क्रेडिट कार्ड के प्रकार से मेल नहीं खाता है।"
"Incorrect credit card expiration date.","गलत क्रेडिट कार्ड की समाप्ति तिथि।"
"Please enter a valid credit card verification number.","कृपया एक मान्य क्रेडिट कार्ड सत्यापन नंबर दर्ज करें।"
"Please enter issue number or start date for switch/solo card type.","कृपया स्विच / सोलो कार्ड प्रकार के लिए अंक संख्या या प्रारंभ तिथि दर्ज करें।"
"Please enter less or equal than %1 symbols.","कृपया %1 प्रतीकों से कम या बराबर दर्ज करें।"
"Please enter more or equal than %1 symbols.","कृपया%1 प्रतीकों से अधिक या बराबर दर्ज करें।"
"Please enter positive number in this field.","कृपया इस क्षेत्र में सकारात्मक संख्या दर्ज करें।"
"Please enter a valid value, ex: 10,20,30","कृपया मान्य मान दर्ज करें, उदा: 10,20,30"
"Please enter a valid value from list","कृपया सूची से मान्य मान दर्ज करें"
"Please enter valid SKU key.","कृपया मान्य SKU कुंजी दर्ज करें।"
"Please enter a valid number.","कृपया एक सही संख्या डालिये।"
"This is required field","यह आवश्यक क्षेत्र है"
"Admin is a required field in each row.","प्रत्येक पंक्ति में व्यवस्थापक एक आवश्यक फ़ील्ड है।"
"Password cannot be the same as email address.","पासवर्ड ईमेल पते के समान नहीं हो सकता।"
"Please fix this field.","कृपया यह फ़ील्ड ठीक करें।"
"Please enter a valid email address.","कृपया एक वैध ई - मेल एड्रेस डालें।"
"Please enter a valid URL.","कृपया एक मान्य यूआरएल दर्ज कीजिए।"
"Please enter a valid date (ISO).","कृपया एक मान्य दिनांक (ISO) दर्ज करें।"
"Please enter only digits.","कृपया केवल अंक दर्ज करें।"
"Please enter the same value again.","कृपया फिर से वही संख्या डालिये।"
"Please enter no more than {0} characters.","कृपया {0} वर्णों से अधिक नहीं दर्ज करें।"
"Please enter at least {0} characters.","कृपया कम से कम {0} अक्षर दर्ज करें।"
"Please enter a value between {0} and {1} characters long.","कृपया {0} और {1} वर्णों के बीच का मान दर्ज करें।"
"Please enter a value between {0} and {1}.","कृपया {0} और {1} के बीच एक मान दर्ज करें।"
"Please enter a value less than or equal to {0}.","कृपया {0} से कम या बराबर मान दर्ज करें।"
"Please enter a value greater than or equal to {0}.","कृपया {0} से अधिक या बराबर मान दर्ज करें।"
"Please specify the quantity of product(s).","कृपया उत्पाद की मात्रा निर्दिष्ट करें।"
"Please enter a date between %min and %max.","कृपया %min और%अधिकतम के बीच की तारीख डालें।"
"Please enter a valid full date.","कृपया एक पूर्ण तिथि दर्ज करें।"
"Please enter a valid month (1-12).","कृपया एक मान्य महीना (1-12) दर्ज करें।"
"Please enter a valid year (1900-%1).","कृपया एक मान्य वर्ष (1900-%1) दर्ज करें।"
"Please enter a valid day (1-%1).","कृपया एक वैध दिन (1-%1) दर्ज करें।"
"Please enter a date from the past.","कृपया अतीत से एक तारीख दर्ज करें।"
"Maximum length of this field must be equal or less than %1 symbols.","इस फ़ील्ड की अधिकतम लंबाई %1 प्रतीकों के बराबर या उससे कम होनी चाहिए।"
"Admin is a required field in the each row.","प्रत्येक पंक्ति में व्यवस्थापक एक आवश्यक फ़ील्ड है।"
"Please enter a quantity greater than 0.","कृपया 0 से अधिक की मात्रा दर्ज करें।"
"The fewest you may purchase is %1.","आप जो कुछ खरीद सकते हैं वह %1 है।"
"The maximum you may purchase is %1.","अधिकतम आप खरीद सकते हैं %1 है।"
"You can buy this product only in quantities of %1 at a time.","आप इस उत्पाद को एक बार में केवल %1 की मात्रा में खरीद सकते हैं।"
"Forbidden extensions has been used. Avoid usage of ","निषिद्ध एक्सटेंशन का उपयोग किया गया है। के उपयोग से बचें "
"No marginal white space please","कोई सीमांत सफेद स्थान कृपया"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","कृपया 6 या अधिक वर्ण दर्ज करें। लीडिंग या ट्रेलिंग स्पेस को नजरअंदाज किया जाएगा।"
"Enter valid SKU key","मान्य SKU कुंजी दर्ज करें"
"Swatch and Admin are the required fields in the each row.","प्रत्येक पंक्ति में स्वैच और व्यवस्थापक आवश्यक फ़ील्ड हैं।"
"Insert Variable","चर डालें"
"Insert Widget","विजेट डालें"
"The widget %1 is no longer available. Select a different widget.","विजेट %1 अब उपलब्ध नहीं है। एक अलग विजेट का चयन करें।"
"First character must be letter.","पहला पात्र अक्षर होना चाहिए।"
"The password can't be the same as the email address. Create a new password and try again.","पासवर्ड ईमेल पते के समान नहीं हो सकता। एक नया पासवर्ड बनाएं और फिर से प्रयास करें।"
