"Backup options","Backup opties"
"Make sure the To Date is later than or the same as the From Date.","Zorg ervoor dat de t/m datum is hoger dan of gelijk aan de datum van."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Voer een geldige URL-sleutel in (Ex: ""voorbeeld-pagina"", ""voorbeeld-pagina.html"" of ""anderniveau/voorbeeld-pagina"")."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please select one of the options above.","Selecteer alstublieft een van de bovenstaande opties."
"Please select State/Province.","Selecteer een staat/provincie."
"Please select a file.","Selecteer een bestand."
"The field isn't complete.","Het veld is niet compleet."
"This is a required field.","Dit is een verplicht veld."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please enter a value less than or equal to %s.","Voer een waarde in die minder dan of gelijk is aan %s."
"Please enter a value greater than or equal to %s.","Voer een waarde die groter dan of gelijk is aan %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Card type does not match credit card number.","Creditcardtype matcht niet met het creditcardnummer."
"Credit card number does not match credit card type.","Het creditcardnummer komt niet overeen met het type creditcard."
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Please enter a valid credit card verification number.","Geef a. j. b. een geldig credit card verificatie nummer op."
"Please enter issue number or start date for switch/solo card type.","Voer een geldig nummer of een geldige startdatum in voor het switch/solo kaarttype."
"Please enter less or equal than %1 symbols.","Voer %1 of minder symbolen in."
"Please enter more or equal than %1 symbols.","Voer meer of gelijk dan %1 symbolen."
"Please enter positive number in this field.","Een positief getal invullen a. u. b."
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Please enter a valid value from list","Voer een geldige waarde in van de lijst"
"Please enter valid SKU key.","Voer een geldig art. nr. in."
"Please enter a valid number.","Vul een geldig getal in."
"This is required field","Dit is een verplicht veld"
"Admin is a required field in each row.","Admin is een vereist veld in elke rij."
"Password cannot be the same as email address.","Wachtwoord kan niet hetzelfde zijn het e-mailadres."
"Please fix this field.","Corrigeer dit veld."
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Please enter a valid URL.","Voer een geldige URL in."
"Please enter a valid date (ISO).","Voer een geldige datum in (ISO)."
"Please enter only digits.","Voer alleen cijfers in."
"Please enter the same value again.","Voer dezelfde waarde nogmaals in."
"Please enter no more than {0} characters.","Voer niet meer dan {0} karakters in."
"Please enter at least {0} characters.","Voer minstens {0} karakters in."
"Please enter a value between {0} and {1} characters long.","Voer een waarde in tussen {0} en {1} karakters lang."
"Please enter a value between {0} and {1}.","Voer een waarde in tussen {0} en {1}."
"Please enter a value less than or equal to {0}.","Voer een waarde in die minder dan of gelijk is aan {0}."
"Please enter a value greater than or equal to {0}.","Voer een waarde die groter dan of gelijk is aan {0}."
"Please specify the quantity of product(s).","Specificeer het aantal producten a.j.b."
"Please enter a date between %min and %max.","Voer een datum in tussen %min en %max."
"Please enter a valid full date.","Geef a.j.b. een geldige volledige datum op."
"Please enter a valid month (1-12).","Geef a.j.b. een geldige maand op (1-12)."
"Please enter a valid year (1900-%1).","Voer een geldig jaar (1900-%1)."
"Please enter a valid day (1-%1).","Geef een geldige dag op (1-%1)."
"Please enter a date from the past.","Voer een datum in uit het verleden."
"Maximum length of this field must be equal or less than %1 symbols.","Maximale lengte van dit veld moet gelijk zijn of minder zijn dan %1 symbolen."
"Admin is a required field in the each row.","Admin is een vereist veld in elke rij."
"Please enter a quantity greater than 0.","Voer een getal groter dan 0 in."
"The fewest you may purchase is %1.","Het minimale dat Je kunt bestellen is %1."
"The maximum you may purchase is %1.","Het maximale dat Je kunt bestellen is %1."
"You can buy this product only in quantities of %1 at a time.","Je kunt dit product enkel in een veelvoud van %1 kopen."
"Forbidden extensions has been used. Avoid usage of ","Verboden extensies zijn gebruikt. Vermijd gebruik van "
"No marginal white space please","Geen spaties toegelaten"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer zes of meer tekens in. Spaties aan begin en eind zullen worden genegeerd."
"Enter valid SKU key","Voer geldige SKU sleutel in"
"Swatch and Admin are the required fields in the each row.","Swatch en Admin zijn de vereiste velden in elke rij."
"Insert Variable","Variabele invoegen"
"Insert Widget","Widget invoegen"
"The widget %1 is no longer available. Select a different widget.","De widget %1 is niet meer beschikbaar. Selecteer een andere widget."
"First character must be letter.","Eerste teken moet een letter zijn."
"The password can't be the same as the email address. Create a new password and try again.","Het wachtwoord kan niet hetzelfde zijn als het e-mailadres. Maak een nieuw wachtwoord en probeer het opnieuw."
