"Backup options","Yedekleme ayarları"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Lütfen bu alanda sadece harfleri (a-z veya A-Z) veya sayıları (0-9) kullanın. Boşluk veya başka karakterlere izin verilmemektedir."
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Make sure the To Date is later than or the same as the From Date.","Bitiş Tarihi' nin Başlangıç Tarihi' nden daha geç ya da aynı olduğundan emin olun."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Lütfen geçerli bir URL Anahtarını girin (Ör. ""Örnek-sayfa"", ""örnek-sayfa.html"" veya ""başka düzey/örnek-sayfa"")."
"Please enter a valid zip code.","Lütfen geçerli bir posta kodu girin."
"Please select one of the options above.","Lütfen yukarıdaki seçeneklerden birini seçin."
"Please select State/Province.","Lütfen Eyalet/İl seçin."
"Please select a file.","Lütfen bir dosya seçin."
"The field isn't complete.","Alan tam değil."
"This is a required field.","Bu gerekli bir alandır."
"Please select one of the options.","Lütfen seçeneklerden birini seçin."
"Please enter a value less than or equal to %s.","Lütfen {0} a eşit veya daha büyük bir sayı girin."
"Please enter a value greater than or equal to %s.","Lütfen {0} a eşit veya daha büyük bir sayı girin."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-posta adreslerini virgülle ayırarak girin. Örneğin, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Kart türü kredi kartı numarasıyla eşleşmiyor."
"Credit card number does not match credit card type.","Kredi kartı numarası kredi kartı türüne uymuyor."
"Incorrect credit card expiration date.","Kredi kartı son kullanma tarihinin yanlış olması."
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı doğrulama numarası girin."
"Please enter issue number or start date for switch/solo card type.","Lütfen geçiş/yalnız kart türü için konu numarası veya başlangıç tarihi girin."
"Please enter less or equal than %1 symbols.","Lütfen %1 sembolden daha az veya eşit girin."
"Please enter more or equal than %1 symbols.","Lütfen %1 sembolden fazla veya eşit girin."
"Please enter positive number in this field.","Lütfen bu alana pozitif sayı girin."
"Please enter a valid value, ex: 10,20,30","Lütfen geçerli bir değer girin, örn: 10,20,30"
"Please enter a valid value from list","Lütfen listeden geçerli bir değer girin"
"Please enter valid SKU key.","Lütfen geçerli SKU anahtarını girin."
"Please enter a valid number.","Lütfen geçerli bir numara girin."
"This is required field","Bu zorunlu alan"
"Admin is a required field in each row.","Yönetici her satırda zorunlu bir alandır."
"Password cannot be the same as email address.","Şifre e-posta adresiyle aynı olamaz."
"Please fix this field.","Bu alanı düzeltin lütfen."
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi girin."
"Please enter a valid URL.","Lütfen geçerli bir adres girin."
"Please enter a valid date (ISO).","Lütfen geçerli bir tarih girin (ISO)."
"Please enter only digits.","Lütfen sadece rakam giriniz."
"Please enter the same value again.","Lütfen aynı değeri tekrar giriniz."
"Please enter no more than {0} characters.","Lütfen en fazla {0} karakter girin."
"Please enter at least {0} characters.","Lütfen en az {0} karakter girin."
"Please enter a value between {0} and {1} characters long.","Lütfen {0} ve {1} karakter uzunluğunda bir değer girin."
"Please enter a value between {0} and {1}.","Lütfen {0} ile {1} arasında bir değer girin."
"Please enter a value less than or equal to {0}.","Lütfen {0} değerinden küçük veya ona eşit bir değer girin."
"Please enter a value greater than or equal to {0}.","Lütfen {0} değerinden büyük veya ona eşit bir değer girin."
"Please specify the quantity of product(s).","Lütfen ürün (ler) miktarını belirtin."
"Please enter a date between %min and %max.","Lütfen % min ve max % arasında bir tarih girin."
"Please enter a valid full date.","Lütfen geçerli bir tam tarih girin."
"Please enter a valid month (1-12).","Lütfen geçerli bir ay girin (1-12)."
"Please enter a valid year (1900-%1).","Lütfen geçerli bir yıl (1900-%1) girin."
"Please enter a valid day (1-%1).","Lütfen geçerli bir gün (1-%1) girin."
"Please enter a date from the past.","Lütfen geçmiş bir tarih girin."
"Maximum length of this field must be equal or less than %1 symbols.","Bu alan en fazla uzunluğu eşit veya %1 sembolleri daha az olmalıdır."
"Admin is a required field in the each row.","Yönetici, her satırda zorunlu bir alandır."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","Satın alabileceğiniz en düşük tutar% 1'dir."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","Bir seferde bu üründen sadece %1 miktarında satın alabilirsiniz."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Lütfen en az 6 karakter giriniz. Baştaki ve sondaki boşluklar görmezden gelinecektir."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Değişen Ekle"
"Insert Widget","Widget Ekle"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
