"Backup options","Alternativer for sikkerhetskopiering"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette formatet for dato: dd/mm/åååå. For eksempel 17/03/2006 for 17. Mars, 2006."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a number 0 or greater in this field.","Angi et nummer 0 eller større i dette feltet."
"Please enter a number greater than 0 in this field.","Skriv inn et tall større enn 0 i dette feltet."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"The value is not within the specified range.","Verdien er ikke innenfor det angitte området."
"Please use letters only (a-z or A-Z) in this field.","Vennligst bruk bare bokstaver ( a-å eller A-Å) i dette feltet."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Bruk bare bokstaver (a-z eller A-Z) eller tall (0-9) i dette feltet. Ingen mellomrom eller andre tegn er tillatt."
"Please enter a valid date.","Vennligst angi en gyldig dato."
"Make sure the To Date is later than or the same as the From Date.","Kontroller at Til Dato er senere enn eller samme som Fra Dato."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Vennligst skriv inn en gyldig zip-kode."
"Please select one of the options above.","Vennligst velg ett av alternativene ovenfor."
"Please select State/Province.","Vennligst angi Stat/Province."
"Please select a file.","Vennligst velg en fil."
"The field isn't complete.","Dette feltet er ikke komplett."
"This is a required field.","Dette er et obligatorisk felt."
"Please select one of the options.","Vennligst velg ett av alternativene."
"Please enter a value less than or equal to %s.","Skriv inn en verdi som er mindre enn eller lik %s."
"Please enter a value greater than or equal to %s.","Skriv inn en verdi større enn eller lik %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Angi gyldige e-postadresser, atskilt med komma. For eksempel johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Korttypen samsvarer ikke med kredittkortnummer."
"Credit card number does not match credit card type.","Kredittkortnummeret samsvarer ikke med type kredittkort."
"Incorrect credit card expiration date.","Ugyldig utløpsdato for kredittkortet."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please enter positive number in this field.","Please enter positive number in this field."
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30"
"Please enter a valid value from list","Please enter a valid value from list"
"Please enter valid SKU key.","Vennligst angi en gyldig SKU nøkkel."
"Please enter a valid number.","Vennligst skriv inn et gyldig tall."
"This is required field","Dette er et obligatorisk felt"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Vennligst fyll inn dette feltet."
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Please enter a valid URL.","Vennligst skriv inn en gyldig URL."
"Please enter a valid date (ISO).","Vennligst angi en gyldig dato(ISO)."
"Please enter only digits.","Oppgi kun tall."
"Please enter the same value again.","Vennligst oppgi samme verdi igjen."
"Please enter no more than {0} characters.","Skriv inn minst {0} tegn."
"Please enter at least {0} characters.","Skriv inn minst {0} tegn."
"Please enter a value between {0} and {1} characters long.","Angi en verdi mellom {0} og {1}."
"Please enter a value between {0} and {1}.","Angi en verdi mellom {0} og {1}."
"Please enter a value less than or equal to {0}.","Skriv inn en verdi som er mindre enn eller lik {0}."
"Please enter a value greater than or equal to {0}.","Skriv inn en verdi større enn eller lik {0}."
"Please specify the quantity of product(s).","Vennligst spesifiser antall produkt(er)."
"Please enter a date between %min and %max.","Angi en dato mellom % min og % maks."
"Please enter a valid full date.","Angi en gyldig dato."
"Please enter a valid month (1-12).","Angi en gyldig måned (1-12)."
"Please enter a valid year (1900-%1).","Angi et gyldig år (1900-%1)."
"Please enter a valid day (1-%1).","Angi en gyldig dag (1-%1)."
"Please enter a date from the past.","Angi en dato fra fortiden."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","Du kan kjøpe dette produktet kun i mengder %1 om gangen."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","Vennligst ingen mellomrom"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","Første tegn må være en bokstav."
"The password can't be the same as the email address. Create a new password and try again.","Passordet kan ikke være det samme som e-postadressen. Opprett et nytt passord, og prøv på nytt."
