"Backup options","خيارات النسخ الاحتياطي"
"Please enter a valid fax number (Ex: 123-456-7890).","الرجاء إدخال رقم فاكس صحيح (مثال: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","الرجاء إدخال عنوان بريد إلكتروني سليم (مثلاً: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","الرجاء إدخال 6 احرف أو أكثر. سيتم تجاهل المسافات في البداية والنهاية."
"Please enter 7 or more characters, using both numeric and alphabetic.","الرجاء إدخال 7 أحرف أو أكثر، باستخدام كل من الارقام و الأحرف."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","الحد الأدنى لطول هذا الحقل يجب أن تكون مساوية أو أكبر %1. سيتم تجاهل المسافات البادئة والزائدة."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","الحد الأدنى من الفئات المختلفة من الرموز و الأحرف هو %1 الفئات هي: حروف صغيرة, حروف كبيرة, ارقام, رموز."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","الرجاء إدخال عنوان URL صحيح. مطلوب البروتوكول (http://أو https://أو ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","الرجاء إدخال عنوان URL صحيح. فعلى سبيل المثال http://www.example.com أو www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","الرجاء إدخال معرف XML صالح. وعلى سبيل المثال ( something_1، block5، id-4.)."
"Please enter a valid social security number (Ex: 123-45-6789).","الرجاء إدخال رقم الضمان الاجتماعي صالحة (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","الرجاء إدخال رمز بريدي صالح (مثال: 90602 أو 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006."
"Please enter a valid $ amount. For example $100.00.","الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $."
"Please enter a number 0 or greater in this field.","الرجاء إدخال رقم 0 أو أكبر في هذا الحقل."
"Please enter a number greater than 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","فضبلاً إدخل طول CSS صالح (مثال: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","الرجاء ادخال عدد في هذا المجال."
"The value is not within the specified range.","القيمة ليست ضمن النطاق المحدد."
"Please use letters only (a-z or A-Z) in this field.","الرجاء استخدام الأحرف فقط (من الالف الى الياء) في هذا الحقل."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","الرجاء استخدام الأحرف (a إلى z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","فضلاً استخدم الحروف (a-z أو A-Z) او أرقام (0-9) فقط في هذا الحقل. لا يسمح بأي مسافات أو رموز أخرى."
"Please enter a valid date.","الرجاء ادخال تاريخ صحيح."
"Make sure the To Date is later than or the same as the From Date.","تأكد من ""أن التاريخ"" يتجاوز أو نفس ""من التاريخ""."
"Please make sure your passwords match.","رجاء تاكد من ان الرقم السري يتطابق."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","الرجاء إدخال عنوان URL بشكل صحيح (مثال: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","الرجاء إدخال الرمز البريدي."
"Please select one of the options above.","الرجاء تحديد أحد الخيارات الواردة أعلاه."
"Please select State/Province.","الرجاء اختيار الدولة / الأقليم."
"Please select a file.","الرجاء تحديد ملف."
"The field isn't complete.","الحقل فارغ."
"This is a required field.","هذا الحقل مطلوب."
"Please select one of the options.","رجاء قم باختيار وحده من الخيارات."
"Please enter a value less than or equal to %s.","الرجاء إدخال قيمة أقل من أو تساوي %s."
"Please enter a value greater than or equal to %s.","الرجاء إدخال قيمة أكبر من أو تساوي %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","الرجاء إدخال عناوين بريد الإلكتروني صالحة، مفصولة بفواصل. على سبيل المثال، johndoe@domain.com، johnsmith@domain.com."
"Card type does not match credit card number.","لا يطابق نوع البطاقة رقم بطاقة الائتمان."
"Credit card number does not match credit card type.","رقم بطاقة الائتمان لا يطابق نوع بطاقة الائتمان."
"Incorrect credit card expiration date.","تاريخ انتهاء صلاحية بطاقة الائتمان غير صحيح."
"Please enter a valid credit card verification number.","الرجاء إدخال رقم بطاقة ائتمان صالح للتحقق."
"Please enter issue number or start date for switch/solo card type.","الرجاء إدخال رقم الإصدار أو تاريخ البدء لنوع بطاقة switch/solo."
"Please enter less or equal than %1 symbols.","الرجاء إدخال أصغر من أو يساوي %1 من الرموز."
"Please enter more or equal than %1 symbols.","الرجاء إدخال اكبر من أو يساوي %1 من الرموز."
"Please enter positive number in this field.","الرجاء إدخال رقم موجب في هذا الحقل."
"Please enter a valid value, ex: 10,20,30","الرجاء ادخال قيمة ، مثال : 10،20،30"
"Please enter a valid value from list","الرجاء اختيار قيمة من القائمة"
"Please enter valid SKU key.","الرجاء إدخال SKU بشكل صحيح."
"Please enter a valid number.","الرجاء إدخال رقم صحيح."
"This is required field","هذا حقل مطلوب"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","كلمة السر لا يمكن أن تكون مطابقة لعنوان البريد الإلكتروني."
"Please fix this field.","الرجاء إصلاح هذا الحقل."
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"Please enter a valid URL.","المرجو إدخال عنوان URL بشكل صحيح."
"Please enter a valid date (ISO).","الرجاء إدخال تاريخ بشكل صحيح (ISO)."
"Please enter only digits.","الرجاء إدخال أرقام فقط."
"Please enter the same value again.","الرجاء إدخال القيمة نفسها مرة أخرى."
"Please enter no more than {0} characters.","الرجاء عدم إدخال أكثر من {0} أحرف."
"Please enter at least {0} characters.","الرجاء إدخال {0} أحرف على الأقل."
"Please enter a value between {0} and {1} characters long.","الرجاء إدخال قيمة بين {0} و {1} حرفاً."
"Please enter a value between {0} and {1}.","الرجاء إدخال قيمة بين {0} و {1}."
"Please enter a value less than or equal to {0}.","الرجاء إدخال قيمة أقل من أو يساوي إلى {0}."
"Please enter a value greater than or equal to {0}.","الرجاء إدخال قيمة أكبر من أو تساوي {0}."
"Please specify the quantity of product(s).","الرجاء تحديد كمية المنتج (المنتجات)."
"Please enter a date between %min and %max.","الرجاء إدخال تاريخ بين % min و % max."
"Please enter a valid full date.","الرجاء إدخال تاريخ كامل بشكل صحيح."
"Please enter a valid month (1-12).","الرجاء إدخال شهر صالح (1-12)."
"Please enter a valid year (1900-%1).","الرجاء إدخال سنة صحيحة (1900-%1)."
"Please enter a valid day (1-%1).","الرجاء إدخال يوم صحيح (1-%1)."
"Please enter a date from the past.","الرجاء إدخال تاريخ من الماضي."
"Maximum length of this field must be equal or less than %1 symbols.","يجب أن يكون الحد الأقصى لطول هذا الحقل مساوية أو أقل من %1 من الرموز."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","أقل عدد يمكنك شراؤه هو %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","يمكنك الشراء من هذا المنتج فقط بكميات من %1 في وقت واحد."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","من فضلك قم بإدخال 6 أحرف أو أكثر. سيتم تجاهل المسافات قبل أو بعد الأحرف."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","إدراج المربع الجانبي"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
