"Backup options","બૅકઅપ વિકલ્પો"
"Please enter at least {0} characters","કૃપા કરીને ઓછામાં ઓછા {0} અક્ષરો દાખલ કરો"
"Please remove invalid characters: {0}.","કૃપા કરીને અમાન્ય અક્ષરો દૂર કરો: {0}."
"Please enter a valid credit card number.","મહેરબાની કરીને માન્ય ક્રેડિટ કાર્ડ નંબર લખો."
"Please enter a valid IP v4 address.","કૃપા કરી કોઈ માન્ય આઇપી વી 4 સરનામું દાખલ કરો."
"Please enter a valid IP v6 address.","મહેરબાની કરીને માન્ય IP v6 સરનામું દાખલ કરો."
"Invalid format.","અમાન્ય ફોર્મેટ."
"HTML tags are not allowed.","એચટીએમએલ ટૅગ્સની પરવાનગી નથી."
"Please select an option.","કૃપા કરીને એક વિકલ્પ પસંદ કરો."
"Empty Value.","ખાલી મૂલ્ય."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","કૃપા કરીને ફક્ત આ ક્ષેત્રમાં જ અક્ષરો (a-z અથવા A-Z), નંબરો (0-9) અથવા ખાલી જગ્યાઓનો ઉપયોગ કરો."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (એ-ઝેડ અથવા એ-ઝેડ), નંબર્સ (0-9) અથવા અંડરસ્કોર (_) નો ઉપયોગ કરો અને પહેલો અક્ષર એક અક્ષર હોવો જોઈએ."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (એ-ઝેડ અથવા એ-ઝેડ), નંબર્સ (0-9), સ્પેસ અને ""#"" નો ઉપયોગ કરો."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","કૃપા કરીને સાચો ફોન નંબર નાખો. ઉદાહરણ તરીકે (123) 456-7890 અથવા 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","કૃપા કરીને માન્ય ફેક્સ નંબર દાખલ કરો (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","કૃપા કરી કોઈ માન્ય ઇમેઇલ સરનામું દાખલ કરો (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","કૃપા કરીને 6 અથવા વધુ અક્ષરો દાખલ કરો. અગ્રણી અને પાછળની જગ્યાઓ અવગણવામાં આવશે."
"Please enter 7 or more characters, using both numeric and alphabetic.","આંકડાકીય અને મૂળાક્ષરો બંનેનો ઉપયોગ કરીને, કૃપા કરીને 7 અથવા વધુ અક્ષરો દાખલ કરો."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","આ ક્ષેત્રની ન્યૂનતમ લંબાઈ%1 પ્રતીક કરતાં સમાન અથવા વધારે હોવી આવશ્યક છે. અગ્રણી અને પાછળની જગ્યાઓ અવગણવામાં આવશે."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","પાસવર્ડમાં અક્ષરોના ઓછામાં ઓછા જુદા જુદા વર્ગ%1 છે. અક્ષરોના વર્ગ: લોઅર કેસ, અપર કેસ, ડિજિટ્સ, વિશેષ પાત્રો."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","કૃપા કરી કોઈ માન્ય URL દાખલ કરો. પ્રોટોકોલ આવશ્યક છે (http: //, https: // અથવા ftp: //)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","કૃપા કરી કોઈ માન્ય URL દાખલ કરો. ઉદાહરણ તરીકે http://www.example.com અથવા www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","કૃપા કરી માન્ય XML- ઓળખકર્તા દાખલ કરો (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","કૃપા કરી માન્ય સામાજિક સુરક્ષા નંબર દાખલ કરો (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","કૃપા કરીને કોઈ માન્ય પિન કોડ દાખલ કરો (ઉદા .: 90602 અથવા 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","કૃપા કરીને આ તારીખ ફોર્મેટનો ઉપયોગ કરો: ડીડી / એમએમ / વાયવાય. 17 માર્ચ, 2006 માટે 17/03/2006 ઉદાહરણ તરીકે."
"Please enter a valid $ amount. For example $100.00.","કૃપા કરી માન્ય $ રકમ દાખલ કરો. ઉદાહરણ તરીકે $ 100.00."
"Please enter a number 0 or greater in this field.","કૃપા કરીને આ ક્ષેત્રમાં 0 અથવા વધુ દાખલ કરો."
"Please enter a number greater than 0 in this field.","કૃપા કરીને આ ક્ષેત્રમાં 0 કરતાં મોટી સંખ્યા દાખલ કરો."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","કૃપા કરીને માન્ય સીએસએસ-લંબાઈ ઇનપુટ કરો (Ex: 100px, 77pt, 20em, .5ex અથવા 50%)."
"Please enter a valid number in this field.","કૃપા કરીને આ ક્ષેત્રમાં માન્ય નંબર દાખલ કરો."
"The value is not within the specified range.","મૂલ્ય ઉલ્લેખિત શ્રેણીની અંદર નથી."
"Please use letters only (a-z or A-Z) in this field.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (a-z અથવા A-Z) નો ઉપયોગ કરો."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (a-z અથવા A-Z) અથવા સંખ્યાઓ (0-9) નો ઉપયોગ કરો. કોઈ જગ્યા અથવા અન્ય અક્ષરોની મંજૂરી નથી."
"Please enter a valid date.","કૃપા કરી માન્ય તારીખ દાખલ કરો."
"Make sure the To Date is later than or the same as the From Date.","ખાતરી કરો કે તારીખ પછીની તારીખથી અથવા તેની બરાબર છે."
"Please make sure your passwords match.","કૃપા કરીને ખાતરી કરો કે તમારા પાસવર્ડ્સ મેચ કરે છે."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","કૃપા કરી કોઈ માન્ય URL કી દાખલ કરો (દા.ત.: ""ઉદાહરણ-પૃષ્ઠ"", ""ઉદાહરણ-પૃષ્ઠ.html"" અથવા ""બીજું સ્તર / ઉદાહરણ-પૃષ્ઠ"")."
"Please enter a valid zip code.","કૃપા કરી કોઈ માન્ય પિન કોડ દાખલ કરો."
"Please select one of the options above.","કૃપા કરીને ઉપરોક્ત વિકલ્પોમાંથી એક પસંદ કરો."
"Please select State/Province.","કૃપા કરીને રાજ્ય / પ્રાંત પસંદ કરો."
"Please select a file.","કૃપા કરી કોઈ ફાઇલ પસંદ કરો."
"The field isn't complete.","ક્ષેત્ર પૂર્ણ થયું નથી."
"This is a required field.","આ જગ્યા ભરવી જરૂરી છે."
"Please select one of the options.","કૃપા કરીને વિકલ્પોમાંથી એક પસંદ કરો."
"Please enter a value less than or equal to %s.","મહેરબાની કરી%s કરતા ઓછા અથવા બરાબર કિંમત દાખલ કરો."
"Please enter a value greater than or equal to %s.","મહેરબાની કરી%s કરતા વધારે અથવા બરાબર મૂલ્ય દાખલ કરો."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","કૃપા કરીને અલ્પવિરામથી વિભાજિત, માન્ય ઇમેઇલ સરનામાં દાખલ કરો. ઉદાહરણ તરીકે, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","કાર્ડ પ્રકાર ક્રેડિટ કાર્ડ નંબરથી મેળ ખાતું નથી."
"Credit card number does not match credit card type.","ક્રેડિટ કાર્ડ નંબર ક્રેડિટ કાર્ડ પ્રકારથી મેળ ખાતું નથી."
"Incorrect credit card expiration date.","ખોટો ક્રેડિટ કાર્ડ સમાપ્તિ તારીખ."
"Please enter a valid credit card verification number.","કૃપા કરી કોઈ માન્ય ક્રેડિટ કાર્ડ ચકાસણી નંબર દાખલ કરો."
"Please enter issue number or start date for switch/solo card type.","કૃપા કરીને ઇશ્યૂ નંબર અથવા સ્વિચ / સોલો કાર્ડ પ્રકાર માટે પ્રારંભ તારીખ દાખલ કરો."
"Please enter less or equal than %1 symbols.","કૃપા કરીને%1 પ્રતીકો કરતાં ઓછું અથવા બરાબર દાખલ કરો."
"Please enter more or equal than %1 symbols.","કૃપા કરીને%1 પ્રતીક કરતાં વધુ અથવા બરાબર દાખલ કરો."
"Please enter positive number in this field.","કૃપા કરીને આ ક્ષેત્રમાં હકારાત્મક સંખ્યા દાખલ કરો."
"Please enter a valid value, ex: 10,20,30","કૃપા કરીને માન્ય મૂલ્ય દાખલ કરો, દા.ત. 10,20,30"
"Please enter a valid value from list","કૃપા કરીને સૂચિમાંથી માન્ય મૂલ્ય દાખલ કરો"
"Please enter valid SKU key.","કૃપા કરી માન્ય એસકેયુ કી દાખલ કરો."
"Please enter a valid number.","કૃપા કરી કોઈ માન્ય નંબર દાખલ કરો."
"This is required field","આ જરૂરી ક્ષેત્ર છે"
"Admin is a required field in each row.","એડમિન દરેક પંક્તિ માં આવશ્યક ક્ષેત્ર છે."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","કૃપા કરીને આ ક્ષેત્રને ઠીક કરો."
"Please enter a valid email address.","કૃપા કરી કોઈ માન્ય ઇમેઇલ સરનામું દાખલ કરો."
"Please enter a valid URL.","કૃપા કરી કોઈ માન્ય URL દાખલ કરો."
"Please enter a valid date (ISO).","કૃપા કરી કોઈ માન્ય તારીખ (આઇએસઓ) દાખલ કરો."
"Please enter only digits.","કૃપા કરીને માત્ર અંકો દાખલ કરો."
"Please enter the same value again.","મહેરબાની કરીને ફરીથી એ જ મૂલ્ય દાખલ કરો."
"Please enter no more than {0} characters.","કૃપા કરીને {0} અક્ષરો કરતાં વધુ દાખલ કરો."
"Please enter at least {0} characters.","કૃપા કરીને ઓછામાં ઓછા {0} અક્ષરો દાખલ કરો."
"Please enter a value between {0} and {1} characters long.","કૃપા કરીને {0} અને {1} અક્ષરો વચ્ચેનું મૂલ્ય લાંબું દાખલ કરો."
"Please enter a value between {0} and {1}.","કૃપા કરીને {0} અને {1} વચ્ચે મૂલ્ય દાખલ કરો."
"Please enter a value less than or equal to {0}.","કૃપા કરીને {0} કરતાં ઓછા અથવા સમાન મૂલ્ય દાખલ કરો."
"Please enter a value greater than or equal to {0}.","કૃપા કરીને {0} કરતાં વધુ અથવા સમાન મૂલ્ય દાખલ કરો."
"Please specify the quantity of product(s).","કૃપા કરીને ઉત્પાદન જથ્થો (ણો) નો ઉલ્લેખ કરો."
"Please enter a date between %min and %max.","કૃપા કરીને%મિનિટ અને%મહત્તમ વચ્ચેની તારીખ દાખલ કરો."
"Please enter a valid full date.","કૃપા કરી માન્ય પૂર્ણ તારીખ દાખલ કરો."
"Please enter a valid month (1-12).","કૃપા કરી કોઈ માન્ય મહિનો દાખલ કરો (1-12)."
"Please enter a valid year (1900-%1).","કૃપા કરી માન્ય વર્ષ દાખલ કરો (1900-%1)."
"Please enter a valid day (1-%1).","કૃપા કરી માન્ય દિવસ દાખલ કરો (1-%1)."
"Please enter a date from the past.","કૃપા કરીને ભૂતકાળની તારીખ દાખલ કરો."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","કૃપા કરીને 0 કરતાં વધારે જથ્થો દાખલ કરો."
"The fewest you may purchase is %1.","તમે સૌથી ઓછી %1 ખરીદી શકો છો."
"The maximum you may purchase is %1.","તમે મહત્તમ %1 ખરીદી શકો છો."
"You can buy this product only in quantities of %1 at a time.","તમે આ ઉત્પાદન ફક્ત એક સમયે%1 ની માત્રામાં ખરીદી શકો છો."
"Forbidden extensions has been used. Avoid usage of ","પ્રતિબંધિત એક્સ્ટેન્શન્સનો ઉપયોગ કરવામાં આવ્યો છે. ઉપયોગ ટાળો "
"No marginal white space please","કોઈ સીમાચિહ્ન સફેદ જગ્યા કૃપા કરીને"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","ચલ શામેલ કરો"
"Insert Widget","વિજેટ શામેલ કરો"
"The widget %1 is no longer available. Select a different widget.","વિજેટ %1 હવે ઉપલબ્ધ નથી. કોઈ અલગ વિજેટ પસંદ કરો."
"First character must be letter.","પ્રથમ શીલ અક્ષર હોવું જ જોઈએ."
"The password can't be the same as the email address. Create a new password and try again.","પાસવર્ડ ઇમેઇલ સરનામાં જેવો સમાન ન હોઈ શકે. નવો પાસવર્ડ બનાવો અને ફરી પ્રયાસ કરો."
